#"+ESI Scan (rt: 0.791-1.223 min, 27 scans) Frag=250.0V NUDT7A_p016_30min_1day.d  Deconvoluted (Isotope Width=14.8)"
#Point,X(Daltons),Y(Counts)
0,10000.00,0.000115952323540114
1,10001.00,0.000270140182692558
2,10002.00,0.000465685356175527
3,10003.00,0.000701671233400702
4,10004.00,0.000971369270700961
5,10005.00,0.0012614835286513
6,10006.00,0.00155401369556785
7,10007.00,0.00183063559234142
8,10008.00,0.00207795645110309
9,10009.00,0.00229119998402894
10,10010.00,0.00247461395338178
11,10011.00,0.00263856211677194
12,10012.00,0.00279453513212502
13,10013.00,0.00294954050332308
14,10014.00,0.00310104456730187
15,10015.00,0.00323377805761993
16,10016.00,0.00332057196646929
17,10017.00,0.00332960532978177
18,10018.00,0.00323778297752142
19,10019.00,0.00304435170255601
20,10020.00,0.00277542020194232
21,10021.00,0.00247486890293658
22,10022.00,0.00218751071952283
23,10023.00,0.00194544391706586
24,10024.00,0.00176365382503718
25,10025.00,0.00164299516472965
26,10026.00,0.00157555856276304
27,10027.00,0.00154919538181275
28,10028.00,0.00155073311179876
29,10029.00,0.00156858586706221
30,10030.00,0.0015950029483065
31,10031.00,0.00162729900330305
32,10032.00,0.00166728813201189
33,10033.00,0.00171893381047994
34,10034.00,0.0017850297736004
35,10035.00,0.00186392827890813
36,10036.00,0.0019472143612802
37,10037.00,0.00201936275698245
38,10038.00,0.00206051813438535
39,10039.00,0.00205259490758181
40,10040.00,0.00198660022579134
41,10041.00,0.00186715414747596
42,10042.00,0.00171119393780828
43,10043.00,0.00154165830463171
44,10044.00,0.00138014031108469
45,10045.00,0.00124223879538476
46,10046.00,0.00113664625678211
47,10047.00,0.00106670509558171
48,10048.00,0.00103259657043964
49,10049.00,0.00103291950654238
50,10050.00,0.00106516061350703
51,10051.00,0.00112503545824438
52,10052.00,0.00120504212100059
53,10053.00,0.00129305059090257
54,10054.00,0.00137228355742991
55,10055.00,0.0014239902375266
56,10056.00,0.00143274385482073
57,10057.00,0.00139204936567694
58,10058.00,0.00130685977637768
59,10059.00,0.00119132036343217
60,10060.00,0.00106329843401909
61,10061.00,0.000938997196499258
62,10062.00,0.000829986354801804
63,10063.00,0.000742874981369823
64,10064.00,0.000680536672007293
65,10065.00,0.000643681909423321
66,10066.00,0.000632040144409984
67,10067.00,0.000644827028736472
68,10068.00,0.000680370139889419
69,10069.00,0.000734920322429389
70,10070.00,0.000801047368440777
71,10071.00,0.000866706599481404
72,10072.00,0.000916547607630491
73,10073.00,0.000936246651690453
74,10074.00,0.000918241043109447
75,10075.00,0.00086517067393288
76,10076.00,0.000788373698014766
77,10077.00,0.00070253707235679
78,10078.00,0.000620200298726559
79,10079.00,0.000548907264601439
80,10080.00,0.000491185521241277
81,10081.00,0.000445969257270917
82,10082.00,0.000410179869504645
83,10083.00,0.000379942677682266
84,10084.00,0.000351470982423052
85,10085.00,0.00032177337561734
86,10086.00,0.000289205578155816
87,10087.00,0.000253727979725227
88,10088.00,0.000216721397009678
89,10089.00,0.000180383256520145
90,10090.00,0.000146945880260319
91,10091.00,0.000118042007670738
92,10092.00,9.4426803116221E-05
93,10093.00,7.60531911510043E-05
94,10094.00,6.23462256044149E-05
95,10095.00,5.25016694155056E-05
96,10096.00,4.57037349406164E-05
97,10097.00,4.12382760259788E-05
98,10098.00,3.85261009796523E-05
99,10099.00,3.71145360986702E-05
100,10100.00,3.6659388570115E-05
101,10101.00,3.69173721992411E-05
102,10102.00,3.77561700588558E-05
103,10103.00,3.91783942177426E-05
104,10104.00,4.13510824728291E-05
105,10105.00,4.46364720119163E-05
106,10106.00,4.96299035148695E-05
107,10107.00,5.72157478018198E-05
108,10108.00,6.86405692249537E-05
109,10109.00,8.55629114084877E-05
110,10110.00,0.000109965301817283
111,10111.00,0.000143726603710093
112,10112.00,0.000187647150596604
113,10113.00,0.000239979708567262
114,10114.00,0.000295141217065975
115,10115.00,0.000343877734849229
116,10116.00,0.000375811650883406
117,10117.00,0.000383599603082985
118,10118.00,0.000366183259757236
119,10119.00,0.000328900670865551
120,10120.00,0.000280597945675254
121,10121.00,0.000229939687415026
122,10122.00,0.000183026495506056
123,10123.00,0.000142895223689266
124,10124.00,0.000110237924673129
125,10125.00,8.44387759570964E-05
126,10126.00,6.43930543446913E-05
127,10127.00,4.89724770886824E-05
128,10128.00,3.7210040318314E-05
129,10129.00,2.83266290352913E-05
130,10130.00,2.16975822695531E-05
131,10131.00,1.68148726515938E-05
132,10132.00,1.32640461742994E-05
133,10133.00,1.07137793747825E-05
134,10134.00,8.91013132786611E-06
135,10135.00,7.67043820815161E-06
136,10136.00,6.87643887431477E-06
137,10137.00,6.46909757051617E-06
138,10138.00,6.44917054160032E-06
139,10139.00,6.88935961079551E-06
140,10140.00,7.96718450146727E-06
141,10141.00,1.00322477010195E-05
142,10142.00,1.37237575472682E-05
143,10143.00,2.01398033823352E-05
144,10144.00,3.09973838739097E-05
145,10145.00,4.85845484945457E-05
146,10146.00,7.51755287637934E-05
147,10147.00,0.000111768618808128
148,10148.00,0.000156783979036845
149,10149.00,0.000206110460567288
150,10150.00,0.000255214690696448
151,10151.00,0.000302014756016433
152,10152.00,0.00034832046367228
153,10153.00,0.000399058888433501
154,10154.00,0.00046016598935239
155,10155.00,0.000536068866495043
156,10156.00,0.000626948254648596
157,10157.00,0.000726186321116984
158,10158.00,0.000819847395177931
159,10159.00,0.000890727911610156
160,10160.00,0.000926789070945233
161,10161.00,0.000928877503611147
162,10162.00,0.000911831972189248
163,10163.00,0.000899072154425085
164,10164.00,0.000916805176530033
165,10165.00,0.000993584399111569
166,10166.00,0.00116682739462703
167,10167.00,0.00149566389154643
168,10168.00,0.00207958905957639
169,10169.00,0.00308102555572987
170,10170.00,0.00474321795627475
171,10171.00,0.00738303596153855
172,10172.00,0.0113307600840926
173,10173.00,0.0168042033910751
174,10174.00,0.0237502325326204
175,10175.00,0.0317335352301598
176,10176.00,0.0399491786956787
177,10177.00,0.0473715215921402
178,10178.00,0.0529815331101418
179,10179.00,0.0559944435954094
180,10180.00,0.0560335330665112
181,10181.00,0.0532193556427956
182,10182.00,0.0481480956077576
183,10183.00,0.0417450107634068
184,10184.00,0.0350241251289845
185,10185.00,0.0288415681570768
186,10186.00,0.0237429216504097
187,10187.00,0.0199504420161247
188,10188.00,0.0174559112638235
189,10189.00,0.0161427780985832
190,10190.00,0.0158748906105757
191,10191.00,0.0165265183895826
192,10192.00,0.0179572496563196
193,10193.00,0.0199532378464937
