#"+ESI Scan (rt: 0.833-1.200 min, 23 scans) Frag=250.0V NUDT7A_p016_30min_1day_9_9_no_cov_0_1.d  Deconvoluted (Isotope Width=14.8)"
#Point,X(Daltons),Y(Counts)
0,10000.00,0.00021836394444108
1,10001.00,0.000439930940046906
2,10002.00,0.000665620842482895
3,10003.00,0.000900035898666829
4,10004.00,0.00114926695823669
5,10005.00,0.0014208541251719
6,10006.00,0.00172286585438997
7,10007.00,0.00206234841607511
8,10008.00,0.00244317390024662
9,10009.00,0.0028635726775974
10,10010.00,0.00331388902850449
11,10011.00,0.00377517146989703
12,10012.00,0.00421897508203983
13,10013.00,0.00460851425305009
14,10014.00,0.004901516251266
15,10015.00,0.00505585735663772
16,10016.00,0.00503910565748811
17,10017.00,0.00484081218019128
18,10018.00,0.00448214402422309
19,10019.00,0.00401532230898738
20,10020.00,0.00350992032326758
21,10021.00,0.00303228734992445
22,10022.00,0.00262938509695232
23,10023.00,0.00232391245663166
24,10024.00,0.00211898633278906
25,10025.00,0.00200612074695528
26,10026.00,0.00197158427909017
27,10027.00,0.001999800093472
28,10028.00,0.00207495130598545
29,10029.00,0.00218249368481338
30,10030.00,0.00231127440929413
31,10031.00,0.00245548295788467
32,10032.00,0.00261489953845739
33,10033.00,0.00279253884218633
34,10034.00,0.00299004768021405
35,10035.00,0.0032022069208324
36,10036.00,0.00341246370226145
37,10037.00,0.00359202292747796
38,10038.00,0.00370505917817354
39,10039.00,0.0037204313557595
40,10040.00,0.00362560758367181
41,10041.00,0.00343481893651187
42,10042.00,0.00318569038063288
43,10043.00,0.00292638712562621
44,10044.00,0.0027015411760658
45,10045.00,0.00254430272616446
46,10046.00,0.00247601582668722
47,10047.00,0.00251029874198139
48,10048.00,0.00265733757987618
49,10049.00,0.00292544229887426
50,10050.00,0.0033183079212904
51,10051.00,0.00382742355577648
52,10052.00,0.00442068884149194
53,10053.00,0.0050315479747951
54,10054.00,0.0055572921410203
55,10055.00,0.00587662821635604
56,10056.00,0.00588900176808238
57,10057.00,0.00556064350530505
58,10058.00,0.00494801858440042
59,10059.00,0.0041778776794672
60,10060.00,0.00339425634592772
61,10061.00,0.00270734564401209
62,10062.00,0.00217209989205003
63,10063.00,0.00179721938911825
64,10064.00,0.00156706129200757
65,10065.00,0.00146054965443909
66,10066.00,0.00146110542118549
67,10067.00,0.00155834888573736
68,10068.00,0.00174374715425074
