#"+ESI Scan (rt: 0.821-1.203 min, 24 scans) Frag=250.0V NUDT7A_p016_30min_1day_9_no_cov_1.d  Deconvoluted (Isotope Width=14.8)"
#Point,X(Daltons),Y(Counts)
0,10000.00,0.000368775276001543
1,10001.00,0.000689582899212837
2,10002.00,0.000970218970905989
3,10003.00,0.00122167635709047
4,10004.00,0.00145307986531407
5,10005.00,0.00167298631276935
6,10006.00,0.00188921974040568
7,10007.00,0.00210810429416597
8,10008.00,0.00233326246961951
9,10009.00,0.00256441021338105
10,10010.00,0.00279666320420802
11,10011.00,0.00302067259326577
12,10012.00,0.00322346552275121
13,10013.00,0.00338948401622474
14,10014.00,0.00350145762786269
15,10015.00,0.00354157504625618
16,10016.00,0.00349424174055457
17,10017.00,0.00335125788114965
18,10018.00,0.00311800208874047
19,10019.00,0.00281661842018366
20,10020.00,0.00248245499096811
21,10021.00,0.00215427740477026
22,10022.00,0.00186355132609606
23,10023.00,0.00162844359874725
24,10024.00,0.00145406438969076
25,10025.00,0.00133646815083921
26,10026.00,0.00126715085934848
27,10027.00,0.00123636401258409
28,10028.00,0.00123519415501505
29,10029.00,0.00125692354049534
30,10030.00,0.00129789218772203
31,10031.00,0.00135763501748443
32,10032.00,0.00143797940108925
33,10033.00,0.00154105003457516
34,10034.00,0.00166643632110208
35,10035.00,0.00180805730633438
36,10036.00,0.00195178750436753
37,10037.00,0.00207560765556991
38,10038.00,0.00215400080196559
39,10039.00,0.0021663261577487
40,10040.00,0.00210551358759403
41,10041.00,0.00198174687102437
42,10042.00,0.00181853969115764
43,10043.00,0.00164384779054672
44,10044.00,0.00148164830170572
45,10045.00,0.00134770176373422
46,10046.00,0.00124961242545396
47,10047.00,0.00118914199993014
48,10048.00,0.00116473494563252
49,10049.00,0.00117319845594466
50,10050.00,0.00121035042684525
51,10051.00,0.00127088278532028
52,10052.00,0.00134784623514861
53,10053.00,0.00143221579492092
54,10054.00,0.00151298299897462
55,10055.00,0.00157806172501296
56,10056.00,0.00161598960403353
57,10057.00,0.00161805562674999
58,10058.00,0.00158029596786946
59,10059.00,0.00150479632429779
60,10060.00,0.00139984395354986
61,10061.00,0.00127867120318115
62,10062.00,0.00115697761066258
63,10063.00,0.00105004652868956
64,10064.00,0.000970657856669277
65,10065.00,0.000928640249185264
66,10066.00,0.000931969727389514
67,10067.00,0.00098841916769743
68,10068.00,0.00110622879583389
69,10069.00,0.00129200413357466
70,10070.00,0.00154428440146148
71,10071.00,0.00184330809861422
72,10072.00,0.00214263005182147
73,10073.00,0.00237334263511002
74,10074.00,0.00246777548454702
75,10075.00,0.00239270622842014
76,10076.00,0.00216763000935316
77,10077.00,0.00185272307135165
78,10078.00,0.00151730270590633
79,10079.00,0.00121289351955056
80,10080.00,0.000964258040767163
81,10081.00,0.000774816784542054
82,10082.00,0.000636520446278155
83,10083.00,0.000537617364898324
84,10084.00,0.000466783967567608
85,10085.00,0.000414639187511057
86,10086.00,0.000374005117919296
87,10087.00,0.00033976772101596
88,10088.00,0.000308649468934163
89,10089.00,0.000278905383311212
90,10090.00,0.000249905482633039
91,10091.00,0.000221659283852205
92,10092.00,0.000194414591533132
93,10093.00,0.000168436381500214
94,10094.00,0.000143969198688865
95,10095.00,0.00012129578681197
96,10096.00,0.000100778364867438
97,10097.00,8.28151169116609E-05
98,10098.00,6.77261195960455E-05
99,10099.00,5.56433988094796E-05
100,10100.00,4.64753211417701E-05
101,10101.00,3.9959340938367E-05
102,10102.00,3.5764434869634E-05
103,10103.00,3.35939184878953E-05
104,10104.00,3.32632480422035E-05
105,10105.00,3.47563254763372E-05
106,10106.00,3.82795224140864E-05
107,10107.00,4.43332864961121E-05
108,10108.00,5.38099702680483E-05
109,10109.00,6.80985613144003E-05
110,10110.00,8.91140371095389E-05
111,10111.00,0.000119051263027359
112,10112.00,0.000159526331117377
113,10113.00,0.000209818928851746
114,10114.00,0.000264574453467503
115,10115.00,0.000312679709168151
116,10116.00,0.000339856575010344
117,10117.00,0.000335474382154644
118,10118.00,0.00029937265207991
119,10119.00,0.000242568843532354
120,10120.00,0.000180792238097638
121,10121.00,0.000126509155961685
122,10122.00,8.52687953738496E-05
123,10123.00,5.69197800359689E-05
124,10124.00,3.86463652830571E-05
125,10125.00,2.72901870630449E-05
126,10126.00,2.03575345949503E-05
127,10127.00,1.61674925038824E-05
128,10128.00,1.36727967401384E-05
129,10129.00,1.22395485959714E-05
130,10130.00,1.14786589620053E-05
131,10131.00,1.11372455648961E-05
132,10132.00,1.10368546302198E-05
133,10133.00,1.10464570752811E-05
134,10134.00,1.10812779894331E-05
135,10135.00,1.11170884338208E-05
136,10136.00,1.12064972199732E-05
137,10137.00,1.14877393571078E-05
138,10138.00,1.21913217299152E-05
139,10139.00,1.36674279929139E-05
140,10140.00,1.64654502441408E-05
141,10141.00,2.1492345695151E-05
142,10142.00,3.02500684483675E-05
143,10143.00,4.50638181064278E-05
144,10144.00,6.90072411089204E-05
145,10145.00,0.000104993436252698
146,10146.00,0.000153700209921226
147,10147.00,0.000211209684493952
148,10148.00,0.000268749194219708
149,10149.00,0.000316219695378095
150,10150.00,0.000347591907484457
151,10151.00,0.000363885890692472
152,10152.00,0.000371848582290113
153,10153.00,0.000380468991352245
154,10154.00,0.000398349337046966
155,10155.00,0.000432980654295534
156,10156.00,0.000491190643515438
157,10157.00,0.000579680548980832
158,10158.00,0.000705063692294061
159,10159.00,0.000873518583830446
160,10160.00,0.00109080015681684
161,10161.00,0.00136358023155481
162,10162.00,0.0017025878187269
163,10163.00,0.00212707370519638
164,10164.00,0.00266958377324045
165,10165.00,0.00338033121079206
166,10166.00,0.00433107139542699
167,10167.00,0.00561848841607571
168,10168.00,0.00736654317006469
169,10169.00,0.00972638092935085
170,10170.00,0.0128715084865689
171,10171.00,0.0169850252568722
172,10172.00,0.0222343988716602
173,10173.00,0.0287278424948454
174,10174.00,0.0364465340971947
175,10175.00,0.0451526790857315
176,10176.00,0.0542907863855362
177,10177.00,0.06293024122715
178,10178.00,0.0698276534676552
179,10179.00,0.0736797079443932
180,10180.00,0.0735481902956963
181,10181.00,0.0692866295576096
182,10182.00,0.061704084277153
183,10183.00,0.0523108504712582
184,10184.00,0.0427675023674965
185,10185.00,0.0343620851635933
186,10186.00,0.0277772303670645
187,10187.00,0.0231690127402544
188,10188.00,0.020399508997798
189,10189.00,0.0192554797977209
190,10190.00,0.0195721965283155
191,10191.00,0.0212537460029125
192,10192.00,0.024205170571804
193,10193.00,0.028199790045619
194,10194.00,0.0327366590499878
195,10195.00,0.0369927287101746
196,10196.00,0.039973296225071
197,10197.00,0.0408511571586132
198,10198.00,0.0393180102109909
199,10199.00,0.0357175208628178
200,10200.00,0.0308703165501356
201,10201.00,0.0257169399410486
202,10202.00,0.0210009291768074
203,10203.00,0.0171331111341715
204,10204.00,0.0142290722578764
205,10205.00,0.0122264213860035
206,10206.00,0.0109966266900301
207,10207.00,0.010415455326438
208,10208.00,0.0103937862440944
209,10209.00,0.0108830537647009
210,10210.00,0.01186637673527
211,10211.00,0.013339189812541
212,10212.00,0.0152783645316958
213,10213.00,0.0176003724336624
214,10214.00,0.0201197024434805
215,10215.00,0.0225358325988054
216,10216.00,0.024483697488904
217,10217.00,0.0256541520357132
218,10218.00,0.0259303972125053
219,10219.00,0.0254503265023232
220,10220.00,0.0245491731911898
221,10221.00,0.0236278790980577
222,10222.00,0.0230350494384766
223,10223.00,0.0230121910572052
224,10224.00,0.0236910451203585
225,10225.00,0.0251056961715221
226,10226.00,0.0271937344223261
227,10227.00,0.0297861509025097
228,10228.00,0.0326050482690334
229,10229.00,0.0352914035320282
230,10230.00,0.037469144910574
231,10231.00,0.0388279631733894
232,10232.00,0.0391936227679253
233,10233.00,0.0385608933866024
234,10234.00,0.0370815172791481
235,10235.00,0.0350154861807823
236,10236.00,0.0326631814241409
237,10237.00,0.0302995871752501
238,10238.00,0.0281286109238863
239,10239.00,0.0262656975537539
240,10240.00,0.0247455704957247
241,10241.00,0.023545591160655
242,10242.00,0.0226148664951324
243,10243.00,0.021901648491621
244,10244.00,0.0213733781129122
