#"+ESI Scan (rt: 0.841-1.191 min, 22 scans) Frag=250.0V NUDT7A_p016_No_cov_1day.d  Deconvoluted (Isotope Width=14.8)"
#Point,X(Daltons),Y(Counts)
0,10000.00,1.15375166842568E-06
1,10001.00,2.27566692956316E-06
2,10002.00,3.35750019075931E-06
3,10003.00,4.35094852946349E-06
4,10004.00,5.16653244631016E-06
5,10005.00,5.72029830436804E-06
6,10006.00,5.98281121710897E-06
7,10007.00,6.00189923716243E-06
8,10008.00,5.88500552112237E-06
9,10009.00,5.759364739788E-06
10,10010.00,5.73997931496706E-06
11,10011.00,5.92004607824492E-06
12,10012.00,6.37898165223305E-06
13,10013.00,7.19643003321835E-06
14,10014.00,8.46506645757472E-06
15,10015.00,1.03035363281379E-05
16,10016.00,1.28806750581134E-05
17,10017.00,1.64724388014292E-05
18,10018.00,2.15829768421827E-05
19,10019.00,2.91763153654756E-05
20,10020.00,4.11033070122357E-05
21,10021.00,6.08904665568843E-05
22,10022.00,9.51714318944141E-05
23,10023.00,0.000156077570863999
24,10024.00,0.000264530826825649
25,10025.00,0.000453026645118371
26,10026.00,0.000764012744184583
27,10027.00,0.00123844132758677
28,10028.00,0.00189332861918956
29,10029.00,0.00269879656843841
30,10030.00,0.00357368518598378
31,10031.00,0.00440944079309702
32,10032.00,0.00510896602645516
33,10033.00,0.00561517477035522
34,10034.00,0.00591543084010482
35,10035.00,0.00602762261405587
36,10036.00,0.00598230073228478
37,10037.00,0.00581108825281262
38,10038.00,0.00554338376969099
39,10039.00,0.0052080387249589
40,10040.00,0.00483553810045123
41,10041.00,0.00445784302428365
42,10042.00,0.00410559773445129
43,10043.00,0.00380421569570899
44,10044.00,0.00357067747972906
45,10045.00,0.00341194169595838
46,10046.00,0.00332473730668426
47,10047.00,0.00329613196663558
48,10048.00,0.0033049089834094
49,10049.00,0.00332468561828136
50,10050.00,0.00332946027629077
51,10051.00,0.00330034852959216
52,10052.00,0.00323019176721573
53,10053.00,0.00312316860072315
54,10054.00,0.00298981508240104
55,10055.00,0.00284093641676009
56,10056.00,0.00268400530330837
57,10057.00,0.0025233484338969
58,10058.00,0.00236292812041938
59,10059.00,0.00220928760245442
60,10060.00,0.00207259808667004
61,10061.00,0.00196535838767886
62,10062.00,0.00189995591063052
63,10063.00,0.00188667583279312
64,10064.00,0.00193275569472462
65,10065.00,0.00204192916862667
66,10066.00,0.00221359869465232
67,10067.00,0.00244136271066964
68,10068.00,0.00271153775975108
69,10069.00,0.00300287478603423
70,10070.00,0.00328846322372556
71,10071.00,0.00353995943441987
72,10072.00,0.00373337394557893
73,10073.00,0.00385508756153286
74,10074.00,0.00390643067657948
75,10075.00,0.00390513194724917
76,10076.00,0.00388278043828905
77,10077.00,0.0038793811108917
78,10078.00,0.00393774826079607
79,10079.00,0.00410033389925957
80,10080.00,0.00440915301442146
81,10081.00,0.00490730674937367
82,10082.00,0.00563942873850465
83,10083.00,0.0066481688991189
84,10084.00,0.00796424504369497
85,10085.00,0.00958866532891989
86,10086.00,0.0114683154970407
87,10087.00,0.0134713789448142
88,10088.00,0.0153769236057997
89,10089.00,0.0168985798954964
90,10090.00,0.017754789441824
91,10091.00,0.0177697744220495
92,10092.00,0.0169542692601681
93,10093.00,0.0155104864388704
94,10094.00,0.0137515868991613
95,10095.00,0.0119863953441381
96,10096.00,0.0104359528049827
97,10097.00,0.00921121891587973
98,10098.00,0.0083360904827714
99,10099.00,0.00778430700302124
100,10100.00,0.00750938011333346
101,10101.00,0.007462362293154
102,10102.00,0.00760092074051499
103,10103.00,0.00789449922740459
104,10104.00,0.00832821149379015
105,10105.00,0.00890580657869577
106,10106.00,0.00965115893632174
107,10107.00,0.0106082884594798
108,10108.00,0.01184072624892
109,10109.00,0.0134312380105257
110,10110.00,0.0154818883165717
111,10111.00,0.0181127656251192
112,10112.00,0.0214555747807026
113,10113.00,0.0256366562098265
114,10114.00,0.0307443737983704
115,10115.00,0.0367805995047092
116,10116.00,0.0436072871088982
117,10117.00,0.0509139001369476
118,10118.00,0.0582387037575245
119,10119.00,0.0650614649057388
120,10120.00,0.0709449872374535
121,10121.00,0.0756629109382629
122,10122.00,0.0792476087808609
123,10123.00,0.0819337069988251
124,10124.00,0.0840276032686234
125,10125.00,0.0857602804899216
126,10126.00,0.0871734693646431
127,10127.00,0.0880693048238754
128,10128.00,0.0880412086844444
129,10129.00,0.086592823266983
130,10130.00,0.0833244994282722
131,10131.00,0.0781221240758896
132,10132.00,0.0712551847100258
133,10133.00,0.0633223205804825
134,10134.00,0.0550673976540565
135,10135.00,0.047163974493742
136,10136.00,0.0400683507323265
137,10137.00,0.0339815020561218
138,10138.00,0.0288952440023422
139,10139.00,0.0246730763465166
140,10140.00,0.0211271960288286
141,10141.00,0.018075680360198
142,10142.00,0.0153782237321138
143,10143.00,0.0129528110846877
144,10144.00,0.010774721391499
145,10145.00,0.00886007398366928
146,10146.00,0.00724038574844599
147,10147.00,0.00593875721096992
148,10148.00,0.00495716882869601
149,10149.00,0.00427753664553165
150,10150.00,0.00387170165777206
151,10151.00,0.00371258473023772
152,10152.00,0.00378025299869478
153,10153.00,0.00405933288857341
154,10154.00,0.00452614622190595
155,10155.00,0.00512728886678815
156,10156.00,0.00575958890840411
157,10157.00,0.00627184612676501
158,10158.00,0.00650644674897194
159,10159.00,0.00637007318437099
160,10160.00,0.00588602293282747
161,10161.00,0.00518365390598774
162,10162.00,0.00443275878205895
163,10163.00,0.0037751542404294
164,10164.00,0.00329552055336535
165,10165.00,0.00303292111493647
166,10166.00,0.00301111489534378
167,10167.00,0.00327008496969938
168,10168.00,0.00389441871084273
169,10169.00,0.00504106376320124
170,10170.00,0.00696620298549533
171,10171.00,0.0100399516522884
172,10172.00,0.0147218629717827
173,10173.00,0.0214595887809992
174,10174.00,0.0304849967360497
175,10175.00,0.041532177478075
176,10176.00,0.0535856932401657
177,10177.00,0.0648455694317818
178,10178.00,0.0730885416269302
179,10179.00,0.0764292851090431
180,10180.00,0.0741657316684723
181,10181.00,0.0671759992837906
182,10182.00,0.0575364045798779
183,10183.00,0.0475967824459076
184,10184.00,0.0391466394066811
185,10185.00,0.0331306420266628
186,10186.00,0.0298846960067749
187,10187.00,0.0295898225158453
188,10188.00,0.0327151715755463
189,10189.00,0.0403993427753448
190,10190.00,0.0547616817057133
191,10191.00,0.0789481028914452
192,10192.00,0.11633975058794
193,10193.00,0.168171599507332
194,10194.00,0.229741901159287
195,10195.00,0.287881672382355
196,10196.00,0.324036926031113
197,10197.00,0.323875308036804
198,10198.00,0.286794990301132
199,10199.00,0.226495027542114
200,10200.00,0.16196483373642
201,10201.00,0.107308521866798
202,10202.00,0.0678413957357407
203,10203.00,0.0423297956585884
204,10204.00,0.026989446952939
205,10205.00,0.0181571785360575
206,10206.00,0.013222030363977
207,10207.00,0.0105920266360044
208,10208.00,0.00938651151955128
209,10209.00,0.00915807206183672
210,10210.00,0.00970529858022928
211,10211.00,0.0109500410035253
212,10212.00,0.0128393191844225
213,10213.00,0.0152470786124468
214,10214.00,0.0178855042904615
215,10215.00,0.0202799756079912
216,10216.00,0.0218738000839949
217,10217.00,0.0222548972815275
218,10218.00,0.0213687978684902
219,10219.00,0.0195490643382072
220,10220.00,0.0173393320292234
221,10221.00,0.0152545683085918
222,10222.00,0.013641775585711
223,10223.00,0.012677158229053
224,10224.00,0.0124376928433776
225,10225.00,0.0129770087078214
226,10226.00,0.0143710635602474
227,10227.00,0.0167244803160429
228,10228.00,0.0201329104602337
229,10229.00,0.0245956275612116
230,10230.00,0.0298860669136047
231,10231.00,0.0354289747774601
232,10232.00,0.0402868241071701
233,10233.00,0.0433631427586079
234,10234.00,0.0438137352466583
235,10235.00,0.0414548180997372
236,10236.00,0.0368733815848827
237,10237.00,0.0311386976391077
238,10238.00,0.0253271516412497
239,10239.00,0.0201753061264753
240,10240.00,0.0159999541938305
241,10241.00,0.0128077724948525
242,10242.00,0.0104514928534627
243,10243.00,0.00874606985598803
244,10244.00,0.00752828130498528
245,10245.00,0.00667616399005055
246,10246.00,0.0061078192666173
247,10247.00,0.00577227445319295
248,10248.00,0.00563862314447761
249,10249.00,0.00568555714562535
250,10250.00,0.00589134963229299
251,10251.00,0.00622422154992819
252,10252.00,0.00663491198793054
253,10253.00,0.00705594941973686
254,10254.00,0.00741228507831693
255,10255.00,0.00764247868210077
256,10256.00,0.00772067811340094
257,10257.00,0.00766592659056187
258,10258.00,0.00753279868513346
259,10259.00,0.0073899794369936
260,10260.00,0.00729917967692018
261,10261.00,0.0073023708537221
262,10262.00,0.00741768535226583
263,10263.00,0.0076405918225646
264,10264.00,0.00794787891209126
265,10265.00,0.00830435939133167
