#"+ESI Scan (rt: 0.744-1.042 min, 19 scans) Frag=250.0V NUDT7A_p026_NU0000308a_30min_6ul.d  Deconvoluted (Isotope Width=11.0)"
#Point,X(Daltons),Y(Counts)
0,10000.00,0.000421193049987778
1,10001.00,0.000958760792855173
2,10002.00,0.00154856836888939
3,10003.00,0.00206333585083485
4,10004.00,0.00240399083122611
5,10005.00,0.00255747884511948
6,10006.00,0.00259391870349646
7,10007.00,0.00261014071293175
8,10008.00,0.00267718802206218
9,10009.00,0.00281741376966238
10,10010.00,0.00300140772014856
11,10011.00,0.00316092488355935
12,10012.00,0.00322575401514769
13,10013.00,0.00316891982220113
14,10014.00,0.00301747838966548
15,10015.00,0.00281730503775179
16,10016.00,0.00259263440966606
17,10017.00,0.00233919522725046
18,10018.00,0.00205099140293896
19,10019.00,0.00175071135163307
20,10020.00,0.00149129424244165
21,10021.00,0.00133173633366823
22,10022.00,0.00132485153153539
23,10023.00,0.00154072872828692
24,10024.00,0.00212130462750793
25,10025.00,0.0033552348613739
26,10026.00,0.0057434719055891
27,10027.00,0.00997486524283886
28,10028.00,0.0167491659522057
29,10029.00,0.0265823341906071
30,10030.00,0.0398764200508595
31,10031.00,0.0573172569274902
32,10032.00,0.0804116874933243
33,10033.00,0.112154893577099
34,10034.00,0.158162340521812
35,10035.00,0.228629186749458
36,10036.00,0.340927273035049
37,10037.00,0.52085018157959
38,10038.00,0.796540081501007
39,10039.00,1.17642199993134
40,10040.00,1.61567032337189
41,10041.00,2.0105357170105
42,10042.00,2.26015090942383
43,10043.00,2.34910178184509
44,10044.00,2.35538005828857
45,10045.00,2.38637161254883
46,10046.00,2.52228331565857
47,10047.00,2.79432606697083
48,10048.00,3.1706395149231
49,10049.00,3.54432988166809
50,10050.00,3.76540398597717
51,10051.00,3.73721361160278
52,10052.00,3.49525833129883
53,10053.00,3.1739296913147
54,10054.00,2.9056704044342
55,10055.00,2.75862431526184
56,10056.00,2.73332977294922
57,10057.00,2.77916550636292
58,10058.00,2.81364798545837
59,10059.00,2.75642490386963
60,10060.00,2.5740270614624
61,10061.00,2.29868912696838
62,10062.00,1.99976134300232
63,10063.00,1.73776924610138
64,10064.00,1.54094672203064
65,10065.00,1.40896892547607
66,10066.00,1.32666432857513
67,10067.00,1.27573204040527
68,10068.00,1.24194836616516
69,10069.00,1.21785438060761
70,10070.00,1.20081651210785
71,10071.00,1.18796586990356
72,10072.00,1.1716719865799
73,10073.00,1.13964247703552
74,10074.00,1.08148670196533
75,10075.00,0.997984051704407
76,10076.00,0.904435813426971
77,10077.00,0.823952794075012
78,10078.00,0.777247905731201
79,10079.00,0.777313053607941
80,10080.00,0.828650832176209
81,10081.00,0.924776434898376
82,10082.00,1.04164326190948
83,10083.00,1.13583898544312
84,10084.00,1.16183984279633
85,10085.00,1.10305213928223
86,10086.00,0.984321475028992
87,10087.00,0.850155293941498
88,10088.00,0.734792053699493
89,10089.00,0.650892555713654
90,10090.00,0.594714641571045
91,10091.00,0.555026829242706
92,10092.00,0.520389258861542
93,10093.00,0.484526008367538
94,10094.00,0.448502868413925
95,10095.00,0.41844841837883
96,10096.00,0.400979578495026
97,10097.00,0.399828404188156
98,10098.00,0.414495348930359
99,10099.00,0.439751833677292
100,10100.00,0.465906769037247
101,10101.00,0.48135569691658
102,10102.00,0.477642625570297
103,10103.00,0.45375207066536
104,10104.00,0.415871351957321
105,10105.00,0.37317568063736
106,10106.00,0.333566576242447
107,10107.00,0.30194878578186
108,10108.00,0.280692160129547
109,10109.00,0.270809471607208
110,10110.00,0.272864192724228
111,10111.00,0.287286818027496
112,10112.00,0.314073234796524
113,10113.00,0.351972788572311
114,10114.00,0.397588074207306
115,10115.00,0.445251256227493
116,10116.00,0.48841467499733
117,10117.00,0.522036552429199
118,10118.00,0.544125437736511
119,10119.00,0.55512261390686
120,10120.00,0.555825412273407
121,10121.00,0.545735001564026
122,10122.00,0.523070812225342
123,10123.00,0.48624661564827
124,10124.00,0.435554206371307
125,10125.00,0.373825788497925
126,10126.00,0.305868268013
127,10127.00,0.237384036183357
128,10128.00,0.173969343304634
129,10129.00,0.120155245065689
130,10130.00,0.0784571319818497
131,10131.00,0.048919141292572
132,10132.00,0.029607005417347
133,10133.00,0.0177474059164524
134,10134.00,0.010755161754787
135,10135.00,0.00671317521482706
136,10136.00,0.00438801757991314
137,10137.00,0.00305099715478718
138,10138.00,0.0022904893849045
139,10139.00,0.00187849020585418
140,10140.00,0.00168923032470047
141,10141.00,0.00165019440464675
142,10142.00,0.0017078259261325
143,10143.00,0.00179862056393176
144,10144.00,0.00183247774839401
145,10145.00,0.00171454006340355
146,10146.00,0.00141478783916682
147,10147.00,0.00101592973805964
148,10148.00,0.000653171504382044
149,10149.00,0.000406435952754691
150,10150.00,0.000275465165032074
151,10151.00,0.000230415185797028
152,10152.00,0.000257713400060311
153,10153.00,0.000383128557587042
154,10154.00,0.000690510263666511
155,10155.00,0.00131676602177322
156,10156.00,0.00233883201144636
157,10157.00,0.00355575792491436
158,10158.00,0.00447773328050971
159,10159.00,0.00471650902181864
160,10160.00,0.0043066069483757
161,10161.00,0.00356812519021332
162,10162.00,0.00280691892839968
163,10163.00,0.00218676659278572
164,10164.00,0.00175863015465438
165,10165.00,0.00152609474025667
166,10166.00,0.00149683933705091
167,10167.00,0.00172858289442956
168,10168.00,0.00240356079302728
169,10169.00,0.00399460690096021
170,10170.00,0.00762978848069906
171,10171.00,0.0157474055886269
172,10172.00,0.0328181311488152
173,10173.00,0.0651306509971619
174,10174.00,0.118295915424824
175,10175.00,0.193081736564636
176,10176.00,0.283193618059158
177,10177.00,0.377351194620132
178,10178.00,0.46280363202095
179,10179.00,0.526450097560883
180,10180.00,0.555026531219482
181,10181.00,0.539468884468079
