#"+ESI Scan (rt: 0.769-1.052 min, 18 scans) Frag=250.0V 30L_70U.d  Deconvoluted (Isotope Width=11.4)"
#Point,X(Daltons),Y(Counts)
0,15000.00,0.00252097588963807
1,15001.00,0.00505349971354008
2,15002.00,0.00751933269202709
3,15003.00,0.0097275311127305
4,15004.00,0.0114117227494717
5,15005.00,0.0123495506122708
6,15006.00,0.0124762617051601
7,15007.00,0.0119213480502367
8,15008.00,0.0109527250751853
9,15009.00,0.00987545400857925
10,15010.00,0.00894620735198259
11,15011.00,0.00833704974502325
12,15012.00,0.00814425852149725
13,15013.00,0.00841400120407343
14,15014.00,0.00915384292602539
15,15015.00,0.0103118875995278
16,15016.00,0.0117295160889626
17,15017.00,0.0131087824702263
18,15018.00,0.0140593722462654
19,15019.00,0.0142518142238259
20,15020.00,0.0135968578979373
21,15021.00,0.0123051526024938
22,15022.00,0.0107695339247584
23,15023.00,0.00937311165034771
24,15024.00,0.00836847815662622
25,15025.00,0.0078714657574892
26,15026.00,0.00791128724813461
27,15027.00,0.00846276152879
28,15028.00,0.00942341703921556
29,15029.00,0.0105528943240643
30,15030.00,0.0114613473415375
31,15031.00,0.0117525449022651
32,15032.00,0.0112778656184673
33,15033.00,0.0102577218785882
34,15034.00,0.00912824831902981
35,15035.00,0.00829368364065886
36,15036.00,0.00802344363182783
37,15037.00,0.00851575657725334
38,15038.00,0.0100190872326493
39,15039.00,0.0129275750368834
40,15040.00,0.0177931450307369
41,15041.00,0.0251646861433983
42,15042.00,0.0351673997938633
43,15043.00,0.0469465404748917
44,15044.00,0.0585034862160683
45,15045.00,0.0674936324357986
46,15046.00,0.0726913809776306
47,15047.00,0.0748960822820663
48,15048.00,0.0765694603323936
49,15049.00,0.0809298232197762
50,15050.00,0.0916490107774735
51,15051.00,0.113530948758125
52,15052.00,0.153759106993675
53,15053.00,0.222601324319839
54,15054.00,0.331155717372894
55,15055.00,0.482913196086884
56,15056.00,0.660617172718048
57,15057.00,0.822194755077362
58,15058.00,0.921964645385742
59,15059.00,0.945502936840057
60,15060.00,0.921695947647095
61,15061.00,0.90266478061676
62,15062.00,0.942357957363129
63,15063.00,1.09914088249207
64,15064.00,1.46228790283203
65,15065.00,2.19413232803345
66,15066.00,3.57214951515198
67,15067.00,5.97383880615234
68,15068.00,9.68385601043701
69,15069.00,14.4598083496094
70,15070.00,19.1526641845703
71,15071.00,22.026782989502
72,15072.00,21.9001903533936
73,15073.00,19.0600605010986
74,15074.00,14.935154914856
75,15075.00,10.9828023910522
76,15076.00,7.96660041809082
77,15077.00,5.99236631393433
78,15078.00,4.86437892913818
79,15079.00,4.35225200653076
80,15080.00,4.28690576553345
81,15081.00,4.55647468566895
82,15082.00,5.06850719451904
83,15083.00,5.71415996551514
84,15084.00,6.35622692108154
85,15085.00,6.85154581069946
86,15086.00,7.09677076339722
87,15087.00,7.06706571578979
88,15088.00,6.82055521011353
89,15089.00,6.46690034866333
90,15090.00,6.12235403060913
91,15091.00,5.87574625015259
92,15092.00,5.77360391616821
93,15093.00,5.81689262390137
94,15094.00,5.95978116989136
95,15095.00,6.11156988143921
96,15096.00,6.15579319000244
97,15097.00,5.99707317352295
98,15098.00,5.61648082733154
99,15099.00,5.0894341468811
100,15100.00,4.5449390411377
101,15101.00,4.10223197937012
102,15102.00,3.83470416069031
103,15103.00,3.77128911018372
104,15104.00,3.91269278526306
105,15105.00,4.24226951599121
106,15106.00,4.72879028320313
107,15107.00,5.329918384552
108,15108.00,6.00421094894409
109,15109.00,6.72787427902222
110,15110.00,7.50165796279907
111,15111.00,8.33585262298584
112,15112.00,9.21490859985352
113,15113.00,10.0567646026611
114,15114.00,10.6930274963379
115,15115.00,10.9016342163086
116,15116.00,10.5027151107788
117,15117.00,9.47132110595703
118,15118.00,7.97883987426758
119,15119.00,6.31862735748291
120,15120.00,4.77128219604492
121,15121.00,3.50755143165588
122,15122.00,2.57398796081543
123,15123.00,1.9351110458374
124,15124.00,1.52445232868195
125,15125.00,1.27755904197693
126,15126.00,1.14466226100922
127,15127.00,1.09119319915771
128,15128.00,1.09392011165619
129,15129.00,1.13683593273163
130,15130.00,1.20788216590881
131,15131.00,1.29601848125458
132,15132.00,1.38825261592865
133,15133.00,1.46776235103607
134,15134.00,1.51567661762238
135,15135.00,1.51793885231018
136,15136.00,1.47402918338776
137,15137.00,1.40050661563873
138,15138.00,1.32572317123413
139,15139.00,1.28043913841248
140,15140.00,1.29224145412445
141,15141.00,1.38668072223663
142,15142.00,1.59193694591522
143,15143.00,1.94111633300781
144,15144.00,2.46493721008301
145,15145.00,3.16707897186279
146,15146.00,3.98273611068726
147,15147.00,4.74781179428101
148,15148.00,5.23360109329224
149,15149.00,5.26787662506104
150,15150.00,4.85593938827515
151,15151.00,4.17594623565674
152,15152.00,3.45254564285278
153,15153.00,2.83840942382813
154,15154.00,2.38509821891785
155,15155.00,2.07483410835266
156,15156.00,1.85826575756073
157,15157.00,1.67828071117401
158,15158.00,1.48712348937988
159,15159.00,1.26313030719757
160,15160.00,1.01837718486786
161,15161.00,0.786137223243713
162,15162.00,0.596615970134735
163,15163.00,0.46223109960556
164,15164.00,0.379881918430328
165,15165.00,0.340525060892105
166,15166.00,0.336117625236511
167,15167.00,0.361515134572983
168,15168.00,0.412762403488159
169,15169.00,0.483537346124649
170,15170.00,0.561923980712891
171,15171.00,0.6307373046875
172,15172.00,0.673440158367157
173,15173.00,0.682644486427307
174,15174.00,0.664180457592011
175,15175.00,0.633186459541321
176,15176.00,0.606197476387024
177,15177.00,0.595338642597198
178,15178.00,0.606416761875153
179,15179.00,0.63871294260025
180,15180.00,0.684454560279846
181,15181.00,0.728905379772186
182,15182.00,0.75433623790741
183,15183.00,0.748806297779083
184,15184.00,0.714006364345551
185,15185.00,0.664473712444305
186,15186.00,0.618765592575073
187,15187.00,0.590726137161255
188,15188.00,0.585766613483429
189,15189.00,0.600129365921021
190,15190.00,0.620071113109589
191,15191.00,0.622662782669067
192,15192.00,0.584051907062531
193,15193.00,0.49569371342659
194,15194.00,0.374718934297562
195,15195.00,0.253594636917114
196,15196.00,0.157802820205688
197,15197.00,0.094430223107338
198,15198.00,0.0574159063398838
199,15199.00,0.0374161750078201
200,15200.00,0.0271631367504597
201,15201.00,0.0222841072827578
202,15202.00,0.0204114615917206
203,15203.00,0.0202233009040356
204,15204.00,0.0208373069763184
205,15205.00,0.0215612053871155
206,15206.00,0.0219071432948112
207,15207.00,0.0216928943991661
208,15208.00,0.0210427660495043
209,15209.00,0.0202496126294136
210,15210.00,0.019608935341239
211,15211.00,0.019328260794282
212,15212.00,0.0195211637765169
213,15213.00,0.0202437471598387
214,15214.00,0.0215382277965546
215,15215.00,0.023468803614378
216,15216.00,0.0261426921933889
217,15217.00,0.029703862965107
218,15218.00,0.0342767387628555
219,15219.00,0.0398335121572018
220,15220.00,0.0459868684411049
221,15221.00,0.0518039651215076
222,15222.00,0.0558699332177639
223,15223.00,0.0568055734038353
224,15224.00,0.0540593080222607
225,15225.00,0.0483397431671619
226,15226.00,0.0412391759455204
227,15227.00,0.0343807935714722
228,15228.00,0.028803288936615
229,15229.00,0.0248815268278122
230,15230.00,0.0225666873157024
231,15231.00,0.0216429699212313
232,15232.00,0.0218741875141859
233,15233.00,0.0230599176138639
234,15234.00,0.0250606872141361
235,15235.00,0.0278252642601728
236,15236.00,0.0314069651067257
237,15237.00,0.0359316803514957
238,15238.00,0.0414988435804844
239,15239.00,0.0480466522276402
240,15240.00,0.0552728436887264
241,15241.00,0.0627316311001778
242,15242.00,0.0701516792178154
243,15243.00,0.0778503119945526
244,15244.00,0.0870584920048714
245,15245.00,0.100172534584999
246,15246.00,0.121258817613125
247,15247.00,0.157354116439819
248,15248.00,0.221288934350014
249,15249.00,0.336950927972794
250,15250.00,0.547353506088257
251,15251.00,0.92210465669632
252,15252.00,1.55043494701386
253,15253.00,2.49396586418152
254,15254.00,3.69195866584778
255,15255.00,4.89427089691162
256,15256.00,5.75615072250366
257,15257.00,6.08062314987183
258,15258.00,5.96482849121094
259,15259.00,5.70101499557495
260,15260.00,5.58830547332764
261,15261.00,5.84830379486084
262,15262.00,6.64579248428345
263,15263.00,8.10938262939453
264,15264.00,10.2645082473755
265,15265.00,12.8662786483765
266,15266.00,15.2731704711914
267,15267.00,16.6305408477783
268,15268.00,16.4012889862061
269,15269.00,14.7696228027344
270,15270.00,12.4632120132446
271,15271.00,10.2237024307251
272,15272.00,8.46812629699707
273,15273.00,7.29443597793579
274,15274.00,6.63155698776245
275,15275.00,6.35877180099487
276,15276.00,6.36172676086426
277,15277.00,6.55663442611694
278,15278.00,6.90679168701172
279,15279.00,7.43056726455688
280,15280.00,8.19133567810059
281,15281.00,9.26845359802246
282,15282.00,10.7140512466431
283,15283.00,12.4991016387939
284,15284.00,14.4617252349854
285,15285.00,16.2934894561768
286,15286.00,17.6040821075439
287,15287.00,18.0611381530762
288,15288.00,17.5353221893311
289,15289.00,16.1598625183105
290,15290.00,14.2679433822632
291,15291.00,12.2533950805664
292,15292.00,10.440128326416
293,15293.00,9.01972198486328
294,15294.00,8.05905628204346
295,15295.00,7.54104518890381
296,15296.00,7.40070295333862
297,15297.00,7.54100275039673
298,15298.00,7.83757352828979
299,15299.00,8.15494918823242
300,15300.00,8.38847732543945
301,15301.00,8.51488590240479
302,15302.00,8.61283779144287
