#"+ESI Scan (rt: 0.751-1.068 min, 20 scans) Frag=250.0V NUDT7A_0_8_a.d  Deconvoluted (Isotope Width=9.5)"
#Point,X(Daltons),Y(Counts)
0,10000.00,0.000755555462092161
1,10001.00,0.0023824053350836
2,10002.00,0.00502060446888208
3,10003.00,0.0079489266499877
4,10004.00,0.00985442474484444
5,10005.00,0.0100173065438867
6,10006.00,0.00892306305468082
7,10007.00,0.00751286745071411
8,10008.00,0.00637841923162341
9,10009.00,0.00567654892802238
10,10010.00,0.00535967666655779
11,10011.00,0.00534200621768832
12,10012.00,0.00555594358593225
13,10013.00,0.00594763411208987
14,10014.00,0.00644312892109156
15,10015.00,0.00690765865147114
16,10016.00,0.00714068673551083
17,10017.00,0.00696362415328622
18,10018.00,0.00637894589453936
19,10019.00,0.00563916191458702
20,10020.00,0.00512858014553785
21,10021.00,0.00524182664230466
22,10022.00,0.00651279604062438
23,10023.00,0.0101010138168931
24,10024.00,0.0186998341232538
25,10025.00,0.0376329571008682
26,10026.00,0.0749046057462692
27,10027.00,0.139296263456345
28,10028.00,0.239709854125977
29,10029.00,0.390351116657257
30,10030.00,0.61970591545105
31,10031.00,0.976691007614136
32,10032.00,1.52720510959625
33,10033.00,2.33151721954346
34,10034.00,3.39643049240112
35,10035.00,4.61983108520508
36,10036.00,5.7723913192749
37,10037.00,6.5571756362915
38,10038.00,6.74947071075439
39,10039.00,6.34458637237549
40,10040.00,5.57840394973755
41,10041.00,4.78617715835571
42,10042.00,4.25087261199951
43,10043.00,4.18583345413208
44,10044.00,4.86166143417358
45,10045.00,6.85606288909912
46,10046.00,11.4265642166138
47,10047.00,20.7248020172119
48,10048.00,36.6823120117188
49,10049.00,57.5192031860352
50,10050.00,75.437255859375
51,10051.00,81.7883529663086
52,10052.00,75.1110305786133
53,10053.00,60.9988899230957
54,10054.00,45.8261070251465
55,10055.00,33.0304145812988
56,10056.00,23.4257926940918
57,10057.00,16.6326675415039
58,10058.00,11.9872274398804
59,10059.00,8.88235950469971
60,10060.00,6.84997844696045
61,10061.00,5.55827808380127
62,10062.00,4.78178596496582
63,10063.00,4.36503505706787
64,10064.00,4.18994855880737
65,10065.00,4.15212869644165
66,10066.00,4.1505274772644
67,10067.00,4.09309864044189
68,10068.00,3.91307711601257
69,10069.00,3.58344197273254
70,10070.00,3.12079310417175
71,10071.00,2.57828521728516
72,10072.00,2.02913665771484
73,10073.00,1.54287111759186
74,10074.00,1.16374528408051
75,10075.00,0.904268980026245
76,10076.00,0.755883097648621
77,10077.00,0.706362009048462
78,10078.00,0.753867626190186
79,10079.00,0.914754986763
80,10080.00,1.22428894042969
81,10081.00,1.72543513774872
82,10082.00,2.44123554229736
83,10083.00,3.34287905693054
84,10084.00,4.34691667556763
85,10085.00,5.35996866226196
86,10086.00,6.33163833618164
87,10087.00,7.24857521057129
88,10088.00,8.05533123016357
89,10089.00,8.57381343841553
90,10090.00,8.54512405395508
91,10091.00,7.84327554702759
92,10092.00,6.66331434249878
93,10093.00,5.41650676727295
94,10094.00,4.44404458999634
95,10095.00,3.87997364997864
96,10096.00,3.70902633666992
97,10097.00,3.84800577163696
