#"+ESI Scan (rt: 0.708-1.108 min, 25 scans) Frag=250.0V NUDT7A_0_2_d.d  Deconvoluted (Isotope Width=9.5)"
#Point,X(Daltons),Y(Counts)
0,10000.00,0.000459253787994385
1,10001.00,0.00128451874479651
2,10002.00,0.00241421139799058
3,10003.00,0.00343184638768435
4,10004.00,0.00386874517425895
5,10005.00,0.00365847954526544
6,10006.00,0.00313758524134755
7,10007.00,0.00265735131688416
8,10008.00,0.00238105352036655
9,10009.00,0.00234058243222535
10,10010.00,0.00253128027543426
11,10011.00,0.00295071443542838
12,10012.00,0.00359082198701799
13,10013.00,0.00440268032252789
14,10014.00,0.00525227980688214
15,10015.00,0.00590390944853425
16,10016.00,0.00608674203976989
17,10017.00,0.00566132972016931
18,10018.00,0.00476682558655739
19,10019.00,0.00376002513803542
20,10020.00,0.00297944084741175
21,10021.00,0.00260539911687374
22,10022.00,0.00273898430168629
23,10023.00,0.00358963920734823
24,10024.00,0.00567570375278592
25,10025.00,0.00998653192073107
26,10026.00,0.0180232487618923
27,10027.00,0.0319372303783894
28,10028.00,0.0556664504110813
29,10029.00,0.0980172082781792
30,10030.00,0.178035452961922
31,10031.00,0.331834644079208
32,10032.00,0.614858567714691
33,10033.00,1.08498501777649
34,10034.00,1.75801777839661
35,10035.00,2.56190180778503
36,10036.00,3.33699202537537
37,10037.00,3.89492917060852
38,10038.00,4.10733556747437
39,10039.00,3.97649145126343
40,10040.00,3.63316869735718
41,10041.00,3.26139569282532
42,10042.00,3.02678346633911
43,10043.00,3.07196736335754
44,10044.00,3.58272099494934
45,10045.00,4.91535377502441
46,10046.00,7.77344655990601
47,10047.00,13.2813339233398
48,10048.00,22.4406719207764
49,10049.00,34.5476455688477
50,10050.00,45.9759635925293
51,10051.00,52.0511474609375
52,10052.00,50.8569221496582
53,10053.00,44.2547073364258
54,10054.00,35.5453262329102
55,10055.00,27.2209854125977
56,10056.00,20.4323978424072
57,10057.00,15.4019546508789
58,10058.00,11.9106140136719
59,10059.00,9.60430812835693
60,10060.00,8.14398956298828
61,10061.00,7.25656509399414
62,10062.00,6.73365783691406
63,10063.00,6.413987159729
64,10064.00,6.17120599746704
65,10065.00,5.91225528717041
66,10066.00,5.57720994949341
67,10067.00,5.13182687759399
68,10068.00,4.55849409103394
69,10069.00,3.85980796813965
70,10070.00,3.0754189491272
71,10071.00,2.28836679458618
72,10072.00,1.59699332714081
73,10073.00,1.0673189163208
74,10074.00,0.709209382534027
75,10075.00,0.49205955862999
76,10076.00,0.375168293714523
77,10077.00,0.327652335166931
78,10078.00,0.334577858448029
79,10079.00,0.396682769060135
80,10080.00,0.528513193130493
81,10081.00,0.753856062889099
82,10082.00,1.09393525123596
83,10083.00,1.54788076877594
84,10084.00,2.07793307304382
85,10085.00,2.61844801902771
86,10086.00,3.1060209274292
87,10087.00,3.49746680259705
88,10088.00,3.75520491600037
89,10089.00,3.82848811149597
90,10090.00,3.67553019523621
91,10091.00,3.32003021240234
92,10092.00,2.87051606178284
93,10093.00,2.46401000022888
94,10094.00,2.19686985015869
95,10095.00,2.10842299461365
96,10096.00,2.20172023773193
97,10097.00,2.45675873756409
98,10098.00,2.82285928726196
99,10099.00,3.21302485466003
100,10100.00,3.53190422058105
101,10101.00,3.73190140724182
102,10102.00,3.84731340408325
103,10103.00,3.97583270072937
104,10104.00,4.23432540893555
105,10105.00,4.72543668746948
106,10106.00,5.51425933837891
107,10107.00,6.59345436096191
108,10108.00,7.84404230117798
109,10109.00,9.05260467529297
110,10110.00,10.0302858352661
111,10111.00,10.7520065307617
112,10112.00,11.3742980957031
113,10113.00,12.1265869140625
114,10114.00,13.1924848556519
115,10115.00,14.6513671875
116,10116.00,16.4689884185791
117,10117.00,18.5072059631348
118,10118.00,20.535530090332
119,10119.00,22.2526988983154
120,10120.00,23.358814239502
121,10121.00,23.6940174102783
122,10122.00,23.3534469604492
123,10123.00,22.6438407897949
124,10124.00,21.8822784423828
125,10125.00,21.1864490509033
126,10126.00,20.3912982940674
127,10127.00,19.147102355957
128,10128.00,17.1847190856934
129,10129.00,14.5832252502441
130,10130.00,11.7731523513794
131,10131.00,9.25010967254639
132,10132.00,7.30197715759277
133,10133.00,5.96698904037476
134,10134.00,5.14356088638306
135,10135.00,4.69764947891235
136,10136.00,4.51344585418701
137,10137.00,4.50558042526245
138,10138.00,4.61852264404297
139,10139.00,4.82462978363037
140,10140.00,5.12123680114746
141,10141.00,5.52119636535645
142,10142.00,6.02768802642822
143,10143.00,6.58600187301636
144,10144.00,7.02591705322266
145,10145.00,7.06152439117432
146,10146.00,6.44511413574219
147,10147.00,5.22121858596802
148,10148.00,3.77589964866638
149,10149.00,2.54203653335571
