#"+ESI Scan (rt: 0.692-1.108 min, 26 scans) Frag=250.0V NUDT7A_0_5.d  Deconvoluted (Isotope Width=9.5)"
#Point,X(Daltons),Y(Counts)
0,10000.00,0.00881079398095608
1,10001.00,0.0180193595588207
2,10002.00,0.0253629256039858
3,10003.00,0.0277177914977074
4,10004.00,0.0246242042630911
5,10005.00,0.0188370086252689
6,10006.00,0.013444815762341
7,10007.00,0.00974189769476652
8,10008.00,0.00761842867359519
9,10009.00,0.00656857760623097
10,10010.00,0.0061549530364573
11,10011.00,0.00607783114537597
12,10012.00,0.00614755833521485
13,10013.00,0.00625329371541739
14,10014.00,0.00631955172866583
15,10015.00,0.00625460781157017
16,10016.00,0.00593735510483384
17,10017.00,0.00528893806040287
18,10018.00,0.00438526365906
19,10019.00,0.0034622410312295
20,10020.00,0.0027701179496944
21,10021.00,0.00245888298377395
22,10022.00,0.00263329618610442
23,10023.00,0.00352000235579908
24,10024.00,0.00566852884367108
25,10025.00,0.0101341083645821
26,10026.00,0.0185684431344271
27,10027.00,0.0334544293582439
28,10028.00,0.05939856544137
29,10029.00,0.106571957468987
30,10030.00,0.197281554341316
31,10031.00,0.376715153455734
32,10032.00,0.72585517168045
33,10033.00,1.36414790153503
34,10034.00,2.4179847240448
35,10035.00,3.9419994354248
36,10036.00,5.82291555404663
37,10037.00,7.73294734954834
38,10038.00,9.2040319442749
39,10039.00,9.84692287445068
40,10040.00,9.59469127655029
41,10041.00,8.75181579589844
42,10042.00,7.80437040328979
43,10043.00,7.19665765762329
44,10044.00,7.26873874664307
45,10045.00,8.36128616333008
46,10046.00,10.9645042419434
47,10047.00,15.7103643417358
48,10048.00,22.9151916503906
49,10049.00,31.6466960906982
50,10050.00,39.3264312744141
51,10051.00,43.1353721618652
52,10052.00,42.1471366882324
53,10053.00,37.666259765625
54,10054.00,31.7495536804199
55,10055.00,25.8950481414795
56,10056.00,20.7787303924561
57,10057.00,16.5556449890137
58,10058.00,13.1683778762817
59,10059.00,10.5055541992188
60,10060.00,8.45769309997559
61,10061.00,6.92845249176025
62,10062.00,5.8299298286438
