#"+ESI Scan (rt: 0.699-1.115 min, 26 scans) Frag=250.0V NUDT7A_95_c.d  Deconvoluted (Isotope Width=9.5)"
#Point,X(Daltons),Y(Counts)
0,10000.00,0.238964840769768
1,10001.00,0.480415403842926
2,10002.00,0.67638373374939
3,10003.00,0.758904576301575
4,10004.00,0.710697829723358
5,10005.00,0.584729671478271
6,10006.00,0.452777236700058
7,10007.00,0.354729801416397
8,10008.00,0.296730667352676
9,10009.00,0.270464062690735
10,10010.00,0.265274614095688
11,10011.00,0.271210938692093
12,10012.00,0.279453843832016
13,10013.00,0.283654689788818
14,10014.00,0.281371355056763
15,10015.00,0.273343086242676
16,10016.00,0.260727167129517
17,10017.00,0.242833688855171
18,10018.00,0.217472910881042
19,10019.00,0.183847397565842
20,10020.00,0.145231917500496
21,10021.00,0.107992395758629
22,10022.00,0.0775693953037262
23,10023.00,0.0558617971837521
24,10024.00,0.0419185422360897
25,10025.00,0.0339106023311615
26,10026.00,0.030442900955677
27,10027.00,0.0310323964804411
28,10028.00,0.0362818017601967
29,10029.00,0.0480791963636875
30,10030.00,0.0697526931762695
31,10031.00,0.105907894670963
32,10032.00,0.16227100789547
33,10033.00,0.247250184416771
34,10034.00,0.377038955688477
35,10035.00,0.583341300487518
36,10036.00,0.917728841304779
37,10037.00,1.43621206283569
38,10038.00,2.13758134841919
39,10039.00,2.87208938598633
40,10040.00,3.36050248146057
41,10041.00,3.42602968215942
42,10042.00,3.18577027320862
43,10043.00,2.93175315856934
44,10044.00,2.92351150512695
45,10045.00,3.3697361946106
46,10046.00,4.54510498046875
47,10047.00,6.87686252593994
48,10048.00,10.8409128189087
49,10049.00,16.5792007446289
50,10050.00,23.5648632049561
51,10051.00,30.9208927154541
52,10052.00,38.2034454345703
53,10053.00,45.6698875427246
54,10054.00,53.6854400634766
55,10055.00,61.8141059875488
56,10056.00,68.3791427612305
57,10057.00,71.1842651367188
58,10058.00,69.1498794555664
59,10059.00,63.2601928710938
60,10060.00,55.7850570678711
61,10061.00,48.7845764160156
62,10062.00,43.3023414611816
63,10063.00,39.4297142028809
64,10064.00,36.7141532897949
65,10065.00,34.5602874755859
66,10066.00,32.5320892333984
67,10067.00,30.4927253723145
68,10068.00,28.5374050140381
69,10069.00,26.8037452697754
70,10070.00,25.312183380127
71,10071.00,23.9177875518799
72,10072.00,22.3744869232178
73,10073.00,20.4814434051514
74,10074.00,18.2384548187256
75,10075.00,15.8919582366943
76,10076.00,13.815637588501
77,10077.00,12.3254919052124
78,10078.00,11.5758180618286
79,10079.00,11.5564908981323
80,10080.00,12.1048021316528
81,10081.00,12.8878908157349
82,10082.00,13.4312858581543
83,10083.00,13.297887802124
