#"+ESI Scan (rt: 0.707-1.123 min, 26 scans) Frag=250.0V NUDT7A_95_d.d  Deconvoluted (Isotope Width=9.5)"
#Point,X(Daltons),Y(Counts)
0,10000.00,0.32153332233429
1,10001.00,0.606196939945221
2,10002.00,0.811903595924377
3,10003.00,0.884105861186981
4,10004.00,0.820016741752625
5,10005.00,0.679555952548981
6,10006.00,0.533894658088684
7,10007.00,0.421244829893112
8,10008.00,0.347224473953247
9,10009.00,0.303254634141922
10,10010.00,0.278789788484573
11,10011.00,0.265438169240952
12,10012.00,0.257650077342987
13,10013.00,0.252555310726166
14,10014.00,0.249282985925674
15,10015.00,0.247542187571526
16,10016.00,0.245787918567657
17,10017.00,0.239994436502457
18,10018.00,0.224531024694443
19,10019.00,0.195974558591843
20,10020.00,0.157289549708366
21,10021.00,0.117072194814682
22,10022.00,0.083563469350338
23,10023.00,0.0601182095706463
24,10024.00,0.0458463430404663
25,10025.00,0.0384712368249893
26,10026.00,0.0362211838364601
27,10027.00,0.038420207798481
28,10028.00,0.0455252416431904
29,10029.00,0.0590098239481449
30,10030.00,0.081037811934948
31,10031.00,0.113889291882515
32,10032.00,0.159870117902756
33,10033.00,0.223130270838737
34,10034.00,0.313673615455627
35,10035.00,0.45145320892334
36,10036.00,0.666181862354279
37,10037.00,0.983663618564606
38,10038.00,1.38758587837219
39,10039.00,1.77689278125763
40,10040.00,1.99821448326111
41,10041.00,1.97996199131012
42,10042.00,1.81192219257355
43,10043.00,1.6612960100174
44,10044.00,1.6691689491272
45,10045.00,1.95793974399567
46,10046.00,2.71010732650757
47,10047.00,4.23234510421753
48,10048.00,6.90010738372803
49,10049.00,10.8872575759888
50,10050.00,15.8725824356079
51,10051.00,21.2094383239746
52,10052.00,26.5172653198242
53,10053.00,31.945068359375
54,10054.00,37.7673950195313
55,10055.00,43.7200965881348
56,10056.00,48.6645736694336
57,10057.00,51.0371589660645
58,10058.00,49.9295272827148
59,10059.00,45.8086013793945
60,10060.00,40.1565170288086
61,10061.00,34.5142707824707
62,10062.00,29.820219039917
63,10063.00,26.3241672515869
64,10064.00,23.8232116699219
65,10065.00,21.9427833557129
66,10066.00,20.3539810180664
67,10067.00,18.892650604248
68,10068.00,17.5563545227051
69,10069.00,16.4083976745605
70,10070.00,15.4714097976685
71,10071.00,14.6721334457397
72,10072.00,13.8502521514893
73,10073.00,12.8274183273315
74,10074.00,11.519006729126
75,10075.00,10.0204887390137
76,10076.00,8.57723045349121
77,10077.00,7.44663619995117
78,10078.00,6.78008270263672
79,10079.00,6.60263776779175
80,10080.00,6.83945226669312
81,10081.00,7.32275342941284
82,10082.00,7.79646682739258
83,10083.00,7.98601627349854
84,10084.00,7.73741006851196
85,10085.00,7.11356830596924
86,10086.00,6.34122705459595
87,10087.00,5.65665483474731
88,10088.00,5.19125938415527
89,10089.00,4.95507621765137
90,10090.00,4.87533044815063
91,10091.00,4.84967279434204
92,10092.00,4.80286884307861
93,10093.00,4.72023725509644
94,10094.00,4.62589979171753
95,10095.00,4.52196931838989
96,10096.00,4.34177732467651
97,10097.00,3.96484851837158
98,10098.00,3.31262302398682
99,10099.00,2.45801019668579
100,10100.00,1.60671448707581
101,10101.00,0.941683530807495
102,10102.00,0.513863146305084
103,10103.00,0.273036867380142
104,10104.00,0.146778434514999
105,10105.00,0.0819072499871254
106,10106.00,0.0483448468148708
107,10107.00,0.0309382509440184
108,10108.00,0.0223149582743645
109,10109.00,0.0189819671213627
110,10110.00,0.0196133404970169
111,10111.00,0.0243921279907227
112,10112.00,0.0346441753208637
113,10113.00,0.0520549900829792
114,10114.00,0.0771418139338493
115,10115.00,0.108109392225742
116,10116.00,0.141530185937881
117,10117.00,0.173308044672012
118,10118.00,0.197350203990936
119,10119.00,0.204307839274406
120,10120.00,0.186499193310738
121,10121.00,0.147459253668785
122,10122.00,0.102337509393692
123,10123.00,0.0654368177056313
124,10124.00,0.0413536839187145
125,10125.00,0.0276041086763144
126,10126.00,0.0202126502990723
127,10127.00,0.0161988046020269
128,10128.00,0.0137162292376161
129,10129.00,0.0116809085011482
130,10130.00,0.00957442447543144
131,10131.00,0.00735290488228202
132,10132.00,0.00525222532451153
133,10133.00,0.00351758999750018
134,10134.00,0.00224707927554846
135,10135.00,0.00140273827128112
136,10136.00,0.000887142727151513
137,10137.00,0.000600826111622155
138,10138.00,0.000469614780740812
139,10139.00,0.000458263384643942
140,10140.00,0.000588936265558004
141,10141.00,0.000997077324427664
142,10142.00,0.00208862125873566
143,10143.00,0.00483888667076826
144,10144.00,0.0108415270224214
145,10145.00,0.0206523146480322
146,10146.00,0.0301956310868263
147,10147.00,0.0319018736481667
148,10148.00,0.0242210123687983
149,10149.00,0.0140178445726633
150,10150.00,0.00700139254331589
151,10151.00,0.00358016067184508
152,10152.00,0.00222968659363687
153,10153.00,0.00190429575741291
154,10154.00,0.00228702113963664
155,10155.00,0.00363228120841086
156,10156.00,0.00686205318197608
157,10157.00,0.0138436108827591
158,10158.00,0.0273216720670462
159,10159.00,0.049533486366272
160,10160.00,0.0792764201760292
161,10161.00,0.110107809305191
162,10162.00,0.133616417646408
163,10163.00,0.146100550889969
164,10164.00,0.151562437415123
165,10165.00,0.159049689769745
166,10166.00,0.179889053106308
167,10167.00,0.229687422513962
168,10168.00,0.336310833692551
169,10169.00,0.554061591625214
170,10170.00,0.981697082519531
171,10171.00,1.77234089374542
172,10172.00,3.11669063568115
173,10173.00,5.20252561569214
174,10174.00,8.18451881408691
175,10175.00,12.1588153839111
176,10176.00,17.0453243255615
177,10177.00,22.31178855896
178,10178.00,26.7424716949463
179,10179.00,28.7395839691162
180,10180.00,27.3142681121826
181,10181.00,22.9442272186279
182,10182.00,17.3096504211426
183,10183.00,12.1692714691162
184,10184.00,8.49917411804199
185,10185.00,6.46741247177124
186,10186.00,5.95562982559204
187,10187.00,7.19035816192627
188,10188.00,11.535044670105
189,10189.00,23.0000190734863
190,10190.00,50.6514701843262
191,10191.00,109.278678894043
192,10192.00,212.108901977539
193,10193.00,355.183959960938
194,10194.00,507.225494384766
195,10195.00,617.469421386719
196,10196.00,639.380737304688
197,10197.00,560.349487304688
198,10198.00,415.684539794922
199,10199.00,264.961090087891
200,10200.00,150.193725585938
201,10201.00,79.6000900268555
202,10202.00,41.6806755065918
203,10203.00,22.6182384490967
204,10204.00,13.1276321411133
205,10205.00,8.26687812805176
206,10206.00,5.66893291473389
207,10207.00,4.24136734008789
208,10208.00,3.4808623790741
209,10209.00,3.15646934509277
210,10210.00,3.17242765426636
211,10211.00,3.50712037086487
212,10212.00,4.17092704772949
213,10213.00,5.14520978927612
214,10214.00,6.29107809066772
215,10215.00,7.28787183761597
216,10216.00,7.7295823097229
217,10217.00,7.39540481567383
218,10218.00,6.44112205505371
219,10219.00,5.2730975151062
220,10220.00,4.25627088546753
221,10221.00,3.56326580047607
222,10222.00,3.21683096885681
223,10223.00,3.18771052360535
224,10224.00,3.45725440979004
225,10225.00,4.04369974136353
226,10226.00,5.01822423934937
227,10227.00,6.52569103240967
228,10228.00,8.80588150024414
229,10229.00,12.1914339065552
230,10230.00,17.0360355377197
231,10231.00,23.5146408081055
232,10232.00,31.2957935333252
233,10233.00,39.2714729309082
234,10234.00,45.7139015197754
235,10235.00,49.0382957458496
236,10236.00,48.7096710205078
237,10237.00,45.502067565918
238,10238.00,40.9183006286621
239,10239.00,36.3663330078125
240,10240.00,32.6935081481934
241,10241.00,30.157398223877
242,10242.00,28.596284866333
243,10243.00,27.6099109649658
244,10244.00,26.7190208435059
245,10245.00,25.5392589569092
246,10246.00,23.9492263793945
247,10247.00,22.1537971496582
