#"+ESI Scan (rt: 7.091-9.005 min, 116 scans) Frag=250.0V NUDT7A_imp_1_0_a.d  Deconvoluted (Isotope Width=9.5)"
#Point,X(Daltons),Y(Counts)
0,10000.00,0.000366462481906638
1,10001.00,0.00116264773532748
2,10002.00,0.00249830493703485
3,10003.00,0.00410716561600566
4,10004.00,0.00535852555185556
5,10005.00,0.00574639486148953
6,10006.00,0.00535518722608685
7,10007.00,0.00467227632179856
8,10008.00,0.00412990152835846
9,10009.00,0.00394729152321815
10,10010.00,0.00423264363780618
11,10011.00,0.00510183768346906
12,10012.00,0.00670057442039251
13,10013.00,0.00907604489475489
14,10014.00,0.0118948016315699
15,10015.00,0.0142588103190064
16,10016.00,0.0150909582152963
17,10017.00,0.0140027506276965
18,10018.00,0.0116669256240129
19,10019.00,0.00921083893626928
20,10020.00,0.00744501035660505
21,10021.00,0.00670820940285921
22,10022.00,0.00719372229650617
23,10023.00,0.00934463739395142
24,10024.00,0.0141375595703721
25,10025.00,0.023108983412385
26,10026.00,0.0379852205514908
27,10027.00,0.0605472512543201
28,10028.00,0.0942452475428581
29,10029.00,0.148170977830887
30,10030.00,0.242949306964874
31,10031.00,0.418303310871124
32,10032.00,0.737445950508118
33,10033.00,1.26948535442352
34,10034.00,2.02529001235962
35,10035.00,2.86884784698486
36,10036.00,3.51081562042236
37,10037.00,3.66785836219788
38,10038.00,3.28157114982605
39,10039.00,2.5671718120575
40,10040.00,1.83178496360779
41,10041.00,1.27140665054321
42,10042.00,0.931213796138763
43,10043.00,0.784476101398468
44,10044.00,0.81452876329422
45,10045.00,1.06761121749878
46,10046.00,1.69537353515625
47,10047.00,2.9567015171051
48,10048.00,5.02392673492432
49,10049.00,7.52766084671021
50,10050.00,9.42259502410889
51,10051.00,9.80743885040283
52,10052.00,8.76719760894775
53,10053.00,7.07287979125977
54,10054.00,5.40069103240967
55,10055.00,4.03654956817627
56,10056.00,3.00534057617188
57,10057.00,2.24625563621521
58,10058.00,1.69579029083252
59,10059.00,1.30473566055298
60,10060.00,1.03497231006622
61,10061.00,0.856393814086914
62,10062.00,0.746037304401398
63,10063.00,0.687447488307953
64,10064.00,0.669638693332672
65,10065.00,0.685669720172882
66,10066.00,0.730143308639526
67,10067.00,0.794450581073761
68,10068.00,0.860197424888611
69,10069.00,0.896243810653687
70,10070.00,0.869125008583069
71,10071.00,0.76714015007019
72,10072.00,0.615205109119415
73,10073.00,0.458692580461502
74,10074.00,0.332784444093704
75,10075.00,0.249438643455505
76,10076.00,0.205554470419884
77,10077.00,0.19587653875351
78,10078.00,0.221504807472229
79,10079.00,0.295491248369217
80,10080.00,0.448876887559891
81,10081.00,0.736314713954926
82,10082.00,1.23278880119324
83,10083.00,2.00723266601563
84,10084.00,3.06966948509216
85,10085.00,4.32242870330811
86,10086.00,5.56449127197266
87,10087.00,6.55283451080322
88,10088.00,7.07215785980225
89,10089.00,6.99588537216187
90,10090.00,6.35741806030273
91,10091.00,5.38082075119019
92,10092.00,4.38534784317017
93,10093.00,3.62422513961792
94,10094.00,3.21521997451782
95,10095.00,3.19093060493469
96,10096.00,3.571120262146
97,10097.00,4.37841892242432
98,10098.00,5.57866382598877
99,10099.00,6.99260807037354
100,10100.00,8.30230808258057
101,10101.00,9.22245121002197
102,10102.00,9.68851661682129
103,10103.00,9.8644962310791
104,10104.00,10.003791809082
105,10105.00,10.3292808532715
106,10106.00,10.9992694854736
107,10107.00,12.1183891296387
108,10108.00,13.7420930862427
109,10109.00,15.8577127456665
110,10110.00,18.358190536499
111,10111.00,21.0394992828369
112,10112.00,23.6348838806152
113,10113.00,25.8628692626953
114,10114.00,27.462329864502
115,10115.00,28.2266845703125
116,10116.00,28.0590000152588
117,10117.00,27.0143604278564
118,10118.00,25.2666606903076
119,10119.00,23.0186653137207
120,10120.00,20.4610080718994
121,10121.00,17.8216972351074
122,10122.00,15.4032297134399
123,10123.00,13.5066442489624
124,10124.00,12.3035097122192
125,10125.00,11.7724285125732
126,10126.00,11.709716796875
127,10127.00,11.7860622406006
128,10128.00,11.6745281219482
129,10129.00,11.2171964645386
130,10130.00,10.4767723083496
131,10131.00,9.61750984191895
132,10132.00,8.7654333114624
133,10133.00,7.97708320617676
134,10134.00,7.28774118423462
135,10135.00,6.74937534332275
136,10136.00,6.41964960098267
137,10137.00,6.32781505584717
138,10138.00,6.45257949829102
139,10139.00,6.72306156158447
140,10140.00,7.04183053970337
141,10141.00,7.31823015213013
142,10142.00,7.48172807693481
143,10143.00,7.45862340927124
144,10144.00,7.14926338195801
145,10145.00,6.46918249130249
146,10146.00,5.45185375213623
147,10147.00,4.2964334487915
148,10148.00,3.26589632034302
149,10149.00,2.53549122810364
150,10150.00,2.15348291397095
151,10151.00,2.11272764205933
152,10152.00,2.43051815032959
153,10153.00,3.17503833770752
154,10154.00,4.4117169380188
155,10155.00,6.06008863449097
156,10156.00,7.76704692840576
157,10157.00,9.02744102478027
158,10158.00,9.54874420166016
159,10159.00,9.44679260253906
160,10160.00,9.04885578155518
161,10161.00,8.59264183044434
162,10162.00,8.10915946960449
163,10163.00,7.49303722381592
164,10164.00,6.65502691268921
165,10165.00,5.63816452026367
166,10166.00,4.60196590423584
167,10167.00,3.7091076374054
168,10168.00,3.04396295547485
169,10169.00,2.61860656738281
170,10170.00,2.42317247390747
171,10171.00,2.47560381889343
172,10172.00,2.8692798614502
173,10173.00,3.84848952293396
174,10174.00,5.94947481155396
175,10175.00,10.1695728302002
176,10176.00,17.7758560180664
177,10177.00,28.8005180358887
178,10178.00,39.3277359008789
179,10179.00,42.1176338195801
180,10180.00,34.1108016967773
181,10181.00,20.9864025115967
182,10182.00,10.2657604217529
183,10183.00,4.33918333053589
184,10184.00,1.77680313587189
185,10185.00,0.80601841211319
186,10186.00,0.463768899440765
187,10187.00,0.377480924129486
188,10188.00,0.457897961139679
189,10189.00,0.808375239372253
190,10190.00,1.89481961727142
191,10191.00,5.18770503997803
192,10192.00,14.5777521133423
193,10193.00,37.7201232910156
194,10194.00,82.846565246582
195,10195.00,146.000640869141
196,10196.00,199.407638549805
197,10197.00,207.970687866211
198,10198.00,166.57942199707
199,10199.00,105.419776916504
200,10200.00,55.5879135131836
201,10201.00,26.3881416320801
202,10202.00,12.3947172164917
203,10203.00,6.33042621612549
204,10204.00,3.77024388313293
205,10205.00,2.69051384925842
206,10206.00,2.26968264579773
207,10207.00,2.19259595870972
208,10208.00,2.3651020526886
209,10209.00,2.8229386806488
210,10210.00,3.72505617141724
211,10211.00,5.38917064666748
212,10212.00,8.3167781829834
213,10213.00,13.0461168289185
214,10214.00,19.5554313659668
215,10215.00,26.2879390716553
216,10216.00,30.065896987915
217,10217.00,28.3597831726074
218,10218.00,22.0301914215088
219,10219.00,14.5703563690186
220,10220.00,8.78927803039551
221,10221.00,5.33563280105591
222,10222.00,3.64272785186768
223,10223.00,3.07861876487732
224,10224.00,3.38916158676147
225,10225.00,4.81268930435181
226,10226.00,8.28048038482666
227,10227.00,15.766996383667
228,10228.00,30.319128036499
229,10229.00,54.7044410705566
230,10230.00,88.3098526000977
231,10231.00,124.66389465332
232,10232.00,153.087677001953
233,10233.00,164.152206420898
234,10234.00,154.729782104492
235,10235.00,129.354675292969
236,10236.00,97.4337997436523
237,10237.00,68.0891952514648
238,10238.00,46.1919288635254
239,10239.00,32.104118347168
240,10240.00,23.916109085083
241,10241.00,19.4612636566162
242,10242.00,17.0807285308838
243,10243.00,15.6508932113647
244,10244.00,14.501781463623
