#"+ESI Scan (rt: 7.089-9.003 min, 116 scans) Frag=250.0V NUDT7A_imp_0_2_c.d  Deconvoluted (Isotope Width=9.5)"
#Point,X(Daltons),Y(Counts)
0,10000.00,0.00225104112178087
1,10001.00,0.00459208153188229
2,10002.00,0.00665377173572779
3,10003.00,0.00791353546082973
4,10004.00,0.00820544175803661
5,10005.00,0.00786849204450846
6,10006.00,0.00745123717933893
7,10007.00,0.00737055577337742
8,10008.00,0.00783955492079258
9,10009.00,0.00894812308251858
10,10010.00,0.0107333697378635
11,10011.00,0.0132143013179302
12,10012.00,0.0163881648331881
13,10013.00,0.0201221313327551
14,10014.00,0.0238971430808306
15,10015.00,0.0265952479094267
16,10016.00,0.0268270652741194
17,10017.00,0.02399623952806
18,10018.00,0.0190994292497635
19,10019.00,0.014049687422812
20,10020.00,0.0102585218846798
21,10021.00,0.00812807306647301
22,10022.00,0.00754261389374733
23,10023.00,0.00845164712518454
24,10024.00,0.0111226327717304
25,10025.00,0.0161145180463791
26,10026.00,0.0241908226162195
27,10027.00,0.0367083549499512
28,10028.00,0.0571297854185104
29,10029.00,0.0940873846411705
30,10030.00,0.16696360707283
31,10031.00,0.315258383750916
32,10032.00,0.608441889286041
33,10033.00,1.14023423194885
34,10034.00,1.98215270042419
35,10035.00,3.09726715087891
36,10036.00,4.27638816833496
37,10037.00,5.18357229232788
38,10038.00,5.52762365341187
39,10039.00,5.24694919586182
40,10040.00,4.54042053222656
41,10041.00,3.71768522262573
42,10042.00,3.02637839317322
43,10043.00,2.59246015548706
44,10044.00,2.4630138874054
45,10045.00,2.67484736442566
46,10046.00,3.29187202453613
47,10047.00,4.36880588531494
48,10048.00,5.81104469299316
49,10049.00,7.22753763198853
50,10050.00,8.05228614807129
51,10051.00,7.96815872192383
52,10052.00,7.14058446884155
53,10053.00,5.98597812652588
54,10054.00,4.84192371368408
55,10055.00,3.86451315879822
56,10056.00,3.09065294265747
57,10057.00,2.51127672195435
58,10058.00,2.10380792617798
59,10059.00,1.8404895067215
60,10060.00,1.69189929962158
61,10061.00,1.62972474098206
62,10062.00,1.62740647792816
63,10063.00,1.65950989723206
64,10064.00,1.70243585109711
65,10065.00,1.73717141151428
66,10066.00,1.75099384784698
67,10067.00,1.73465764522552
68,10068.00,1.67673349380493
69,10069.00,1.56223917007446
70,10070.00,1.38158774375916
71,10071.00,1.14536535739899
72,10072.00,0.888620257377625
73,10073.00,0.654710114002228
74,10074.00,0.472705394029617
75,10075.00,0.349402159452438
76,10076.00,0.277465373277664
77,10077.00,0.247172668576241
78,10078.00,0.253942549228668
79,10079.00,0.301972538232803
80,10080.00,0.406157910823822
81,10081.00,0.591573417186737
82,10082.00,0.885788857936859
83,10083.00,1.2999175786972
84,10084.00,1.80678844451904
85,10085.00,2.33977770805359
86,10086.00,2.82149600982666
87,10087.00,3.19124960899353
88,10088.00,3.40018844604492
89,10089.00,3.39706778526306
90,10090.00,3.15286302566528
91,10091.00,2.71528720855713
92,10092.00,2.21435689926147
93,10093.00,1.78961980342865
94,10094.00,1.52253806591034
95,10095.00,1.43919372558594
96,10096.00,1.55159497261047
97,10097.00,1.88652074337006
98,10098.00,2.48162913322449
99,10099.00,3.34695982933044
100,10100.00,4.41275548934937
101,10101.00,5.52037191390991
102,10102.00,6.49874782562256
103,10103.00,7.27508544921875
104,10104.00,7.91529750823975
105,10105.00,8.56765556335449
106,10106.00,9.37517356872559
107,10107.00,10.4170055389404
108,10108.00,11.6938323974609
109,10109.00,13.155421257019
110,10110.00,14.7569971084595
111,10111.00,16.5010395050049
112,10112.00,18.4161071777344
113,10113.00,20.4763660430908
114,10114.00,22.5311908721924
115,10115.00,24.3332843780518
116,10116.00,25.6800384521484
117,10117.00,26.5368804931641
118,10118.00,26.9789886474609
119,10119.00,26.9882850646973
120,10120.00,26.354866027832
121,10121.00,24.8782920837402
122,10122.00,22.7142696380615
123,10123.00,20.4257965087891
124,10124.00,18.6186866760254
125,10125.00,17.563850402832
126,10126.00,17.0931358337402
127,10127.00,16.7149868011475
128,10128.00,15.8975191116333
129,10129.00,14.4227323532104
130,10130.00,12.4990758895874
131,10131.00,10.5131931304932
132,10132.00,8.74170875549316
133,10133.00,7.28423500061035
134,10134.00,6.14448213577271
135,10135.00,5.304771900177
136,10136.00,4.74527072906494
137,10137.00,4.43659114837646
138,10138.00,4.3367862701416
139,10139.00,4.40077686309814
140,10140.00,4.59754276275635
141,10141.00,4.92180204391479
142,10142.00,5.37936544418335
143,10143.00,5.93323802947998
144,10144.00,6.42914772033691
145,10145.00,6.58130836486816
