#"+ESI Scan (rt: 7.090-9.004 min, 116 scans) Frag=250.0V NUDT7A_imp_0_4_b.d  Deconvoluted (Isotope Width=9.5)"
#Point,X(Daltons),Y(Counts)
0,10000.00,0.0118383541703224
1,10001.00,0.0240186378359795
2,10002.00,0.0341913886368275
3,10003.00,0.0391272678971291
4,10004.00,0.0380207523703575
5,10005.00,0.0332261137664318
6,10006.00,0.0279973652213812
7,10007.00,0.0242977123707533
8,10008.00,0.0226397439837456
9,10009.00,0.0228353682905436
10,10010.00,0.0245062876492739
11,10011.00,0.0272458139806986
12,10012.00,0.0306259728968143
13,10013.00,0.03410779312253
14,10014.00,0.0368712022900581
15,10015.00,0.0377656482160091
16,10016.00,0.0357337668538094
17,10017.00,0.0306865330785513
18,10018.00,0.0239636860787869
19,10019.00,0.0175707787275314
20,10020.00,0.0129060996696353
21,10021.00,0.010347219184041
22,10022.00,0.00978646986186504
23,10023.00,0.0112996632233262
24,10024.00,0.0155129432678223
25,10025.00,0.0236344467848539
26,10026.00,0.0372360423207283
27,10027.00,0.0584126599133015
28,10028.00,0.091466560959816
29,10029.00,0.146689102053642
30,10030.00,0.246572583913803
31,10031.00,0.435481816530228
32,10032.00,0.791033208370209
33,10033.00,1.42432010173798
34,10034.00,2.4417736530304
35,10035.00,3.85115480422974
36,10036.00,5.45483016967773
37,10037.00,6.84296369552612
38,10038.00,7.56974983215332
39,10039.00,7.4270133972168
40,10040.00,6.57838153839111
41,10041.00,5.42492437362671
42,10042.00,4.35191345214844
43,10043.00,3.58257842063904
44,10044.00,3.19252681732178
45,10045.00,3.1946439743042
46,10046.00,3.60108613967896
47,10047.00,4.41528606414795
48,10048.00,5.54621458053589
49,10049.00,6.71747636795044
50,10050.00,7.53330373764038
51,10051.00,7.72819137573242
52,10052.00,7.336012840271
53,10053.00,6.5917444229126
54,10054.00,5.73021173477173
55,10055.00,4.88991212844849
56,10056.00,4.13009786605835
57,10057.00,3.47535490989685
58,10058.00,2.93841457366943
59,10059.00,2.52291512489319
60,10060.00,2.2225387096405
61,10061.00,2.02317118644714
62,10062.00,1.90597295761108
63,10063.00,1.84929060935974
64,10064.00,1.83035814762115
65,10065.00,1.82831799983978
66,10066.00,1.82747542858124
67,10067.00,1.81727755069733
68,10068.00,1.78750252723694
69,10069.00,1.72274827957153
70,10070.00,1.60380077362061
71,10071.00,1.41971278190613
72,10072.00,1.1827917098999
73,10073.00,0.929857730865479
74,10074.00,0.70404589176178
75,10075.00,0.533571362495422
76,10076.00,0.425898849964142
77,10077.00,0.376799255609512
78,10078.00,0.382486879825592
79,10079.00,0.447378784418106
80,10080.00,0.585895836353302
81,10081.00,0.81646329164505
82,10082.00,1.14516353607178
83,10083.00,1.54524517059326
84,10084.00,1.95362186431885
85,10085.00,2.30006837844849
86,10086.00,2.54770827293396
87,10087.00,2.70235562324524
88,10088.00,2.7830867767334
89,10089.00,2.7898051738739
90,10090.00,2.70272588729858
91,10091.00,2.51531505584717
92,10092.00,2.26531672477722
93,10093.00,2.02654910087585
94,10094.00,1.87292766571045
95,10095.00,1.85712659358978
96,10096.00,2.01640844345093
97,10097.00,2.3837296962738
98,10098.00,2.98117256164551
99,10099.00,3.79053115844727
100,10100.00,4.7232666015625
101,10101.00,5.6333909034729
102,10102.00,6.38977670669556
103,10103.00,6.95474576950073
104,10104.00,7.39699029922485
105,10105.00,7.83562660217285
106,10106.00,8.37258815765381
107,10107.00,9.05946063995361
108,10108.00,9.90869808197021
109,10109.00,10.9372596740723
110,10110.00,12.2124881744385
111,10111.00,13.8598756790161
112,10112.00,16.0100650787354
113,10113.00,18.6966514587402
114,10114.00,21.756814956665
115,10115.00,24.8328495025635
116,10116.00,27.5378170013428
117,10117.00,29.6578731536865
118,10118.00,31.1461391448975
119,10119.00,31.8933753967285
120,10120.00,31.5941104888916
121,10121.00,30.001314163208
122,10122.00,27.3747882843018
123,10123.00,24.5222835540771
124,10124.00,22.2937831878662
125,10125.00,21.0959186553955
126,10126.00,20.7810401916504
127,10127.00,20.7803363800049
128,10128.00,20.3966331481934
129,10129.00,19.2108783721924
130,10130.00,17.2869129180908
131,10131.00,14.969331741333
132,10132.00,12.5741500854492
133,10133.00,10.2980194091797
134,10134.00,8.28741359710693
135,10135.00,6.67095327377319
136,10136.00,5.51951265335083
137,10137.00,4.82332897186279
138,10138.00,4.52243518829346
139,10139.00,4.55217027664185
140,10140.00,4.87318181991577
141,10141.00,5.48173379898071
142,10142.00,6.39088153839111
143,10143.00,7.55649948120117
144,10144.00,8.74313354492188
145,10145.00,9.44264030456543
146,10146.00,9.09831714630127
147,10147.00,7.63211536407471
148,10148.00,5.64140796661377
149,10149.00,3.87976145744324
150,10150.00,2.70854520797729
151,10151.00,2.10685968399048
152,10152.00,1.94471025466919
153,10153.00,2.14331078529358
154,10154.00,2.68171525001526
155,10155.00,3.51107406616211
156,10156.00,4.4467978477478
157,10157.00,5.18146705627441
158,10158.00,5.48542165756226
159,10159.00,5.37379693984985
160,10160.00,5.02931308746338
161,10161.00,4.61683511734009
162,10162.00,4.19797849655151
163,10163.00,3.76332974433899
164,10164.00,3.3042995929718
165,10165.00,2.85758924484253
166,10166.00,2.4937629699707
167,10167.00,2.27781438827515
168,10168.00,2.24992918968201
169,10169.00,2.4356746673584
170,10170.00,2.86537861824036
171,10171.00,3.59734678268433
172,10172.00,4.76544189453125
173,10173.00,6.67612457275391
174,10174.00,9.96173477172852
175,10175.00,15.7332763671875
176,10176.00,25.4131507873535
177,10177.00,39.4107208251953
178,10178.00,54.2774124145508
179,10179.00,61.7766914367676
180,10180.00,55.4084396362305
181,10181.00,38.695198059082
182,10182.00,21.6380805969238
183,10183.00,10.3759574890137
184,10184.00,4.74895668029785
185,10185.00,2.37974667549133
186,10186.00,1.5081285238266
187,10187.00,1.34953260421753
188,10188.00,1.76405930519104
189,10189.00,3.1839120388031
190,10190.00,7.03960418701172
191,10191.00,16.6564693450928
192,10192.00,37.6806678771973
193,10193.00,75.4864654541016
194,10194.00,127.883277893066
195,10195.00,178.160049438477
196,10196.00,200.203308105469
197,10197.00,179.121475219727
198,10198.00,127.281044006348
199,10199.00,72.9705047607422
200,10200.00,35.1796379089355
201,10201.00,15.3074312210083
202,10202.00,6.61001348495483
203,10203.00,3.13481116294861
204,10204.00,1.76828110218048
205,10205.00,1.22668266296387
206,10206.00,1.02924609184265
207,10207.00,0.997554659843445
208,10208.00,1.06688928604126
209,10209.00,1.22608292102814
210,10210.00,1.50311493873596
211,10211.00,1.96293532848358
212,10212.00,2.69876956939697
213,10213.00,3.78986644744873
214,10214.00,5.19616460800171
215,10215.00,6.63146543502808
216,10216.00,7.59459829330444
217,10217.00,7.68555593490601
218,10218.00,6.94582080841064
219,10219.00,5.81250858306885
220,10220.00,4.76128768920898
221,10221.00,4.06364727020264
222,10222.00,3.80957818031311
223,10223.00,4.04011821746826
224,10224.00,4.85696172714233
225,10225.00,6.49590730667114
226,10226.00,9.3883056640625
227,10227.00,14.1991653442383
228,10228.00,21.7546348571777
229,10229.00,32.7093772888184
230,10230.00,46.9044456481934
231,10231.00,62.7336921691895
232,10232.00,77.1577377319336
233,10233.00,86.7052688598633
234,10234.00,89.0071868896484
235,10235.00,83.9515609741211
236,10236.00,73.7428436279297
237,10237.00,61.7696228027344
238,10238.00,51.0225410461426
239,10239.00,43.1540145874023
240,10240.00,38.5608062744141
241,10241.00,36.9622001647949
242,10242.00,37.8567657470703
243,10243.00,40.686408996582
244,10244.00,44.8553695678711
245,10245.00,49.776252746582
246,10246.00,54.9555549621582
247,10247.00,59.9842224121094
248,10248.00,64.3649673461914
249,10249.00,67.3459167480469
250,10250.00,68.0418243408203
251,10251.00,65.8808822631836
252,10252.00,61.005485534668
253,10253.00,54.2366981506348
