#"+ESI Scan (rt: 0.738-1.087 min, 22 scans) Frag=250.0V NUDT7A_p026_0_2.d  Deconvoluted (Isotope Width=8.8)"
#Point,X(Daltons),Y(Counts)
0,4000.00,5.79369816477993E-06
1,4001.00,8.26692576083587E-06
2,4002.00,1.03290140032186E-05
3,4003.00,1.42141843753052E-05
4,4004.00,2.20333895413205E-05
5,4005.00,3.60460762749426E-05
6,4006.00,5.54618673049845E-05
7,4007.00,7.23304110579193E-05
8,4008.00,7.7957178291399E-05
9,4009.00,7.64820288168266E-05
10,4010.00,8.43444722704589E-05
11,4011.00,0.000133294452098198
12,4012.00,0.0003443805326242
13,4013.00,0.00134087447077036
14,4014.00,0.00610385555773973
15,4015.00,0.0244035422801971
16,4016.00,0.0700918883085251
17,4017.00,0.13418185710907
18,4018.00,0.177156284451485
19,4019.00,0.178025245666504
20,4020.00,0.152302488684654
21,4021.00,0.121037542819977
22,4022.00,0.0941549465060234
23,4023.00,0.074003741145134
24,4024.00,0.0603722222149372
25,4025.00,0.0520985350012779
26,4026.00,0.0472598522901535
27,4027.00,0.0433948040008545
28,4028.00,0.0384212471544743
29,4029.00,0.0320071503520012
30,4030.00,0.0256147775799036
31,4031.00,0.0208539497107267
32,4032.00,0.0183841455727816
33,4033.00,0.018236706033349
34,4034.00,0.0205439440906048
35,4035.00,0.0261850859969854
36,4036.00,0.0377248860895634
37,4037.00,0.0612767860293388
38,4038.00,0.109443165361881
39,4039.00,0.201850146055222
40,4040.00,0.350957185029984
41,4041.00,0.526903212070465
42,4042.00,0.649271488189697
43,4043.00,0.659213900566101
44,4044.00,0.581459581851959
45,4045.00,0.480996608734131
46,4046.00,0.398223221302032
47,4047.00,0.338054865598679
48,4048.00,0.287071943283081
49,4049.00,0.230778649449348
50,4050.00,0.167145118117332
51,4051.00,0.108208984136581
52,4052.00,0.0660534575581551
53,4053.00,0.0422592982649803
54,4054.00,0.0317946076393127
55,4055.00,0.0298929288983345
56,4056.00,0.033821988850832
57,4057.00,0.0408246852457523
58,4058.00,0.0459378696978092
59,4059.00,0.0446048080921173
60,4060.00,0.0378279350697994
61,4061.00,0.0303940176963806
62,4062.00,0.0254848785698414
63,4063.00,0.0237442944198847
64,4064.00,0.0250229500234127
65,4065.00,0.0297049842774868
66,4066.00,0.03955053165555
67,4067.00,0.0585069619119167
68,4068.00,0.0928542539477348
69,4069.00,0.147982940077782
70,4070.00,0.219979867339134
71,4071.00,0.292008399963379
72,4072.00,0.350653201341629
73,4073.00,0.40715280175209
74,4074.00,0.498166978359222
75,4075.00,0.678533315658569
76,4076.00,1.01528251171112
77,4077.00,1.54046094417572
78,4078.00,2.12570762634277
79,4079.00,2.44260501861572
80,4080.00,2.2645366191864
81,4081.00,1.75705361366272
82,4082.00,1.24928402900696
83,4083.00,0.90669322013855
84,4084.00,0.725928485393524
85,4085.00,0.650489568710327
