#"+ESI Scan (rt: 7.023-9.070 min, 124 scans) Frag=250.0V NUDT7A_p026_xtal_15.d  Deconvoluted (Isotope Width=8.8)"
#Point,X(Daltons),Y(Counts)
0,4000.00,3.69846873127244E-07
1,4001.00,1.12213740521838E-06
2,4002.00,2.66802840087621E-06
3,4003.00,5.77899390918901E-06
4,4004.00,1.14946506073466E-05
5,4005.00,2.07845005206764E-05
6,4006.00,3.3566164347576E-05
7,4007.00,4.75101624033414E-05
8,4008.00,5.8605019148672E-05
9,4009.00,6.4283078245353E-05
10,4010.00,6.57241180306301E-05
11,4011.00,6.68387147015892E-05
12,4012.00,7.25480858818628E-05
13,4013.00,8.95437042345293E-05
14,4014.00,0.000130843196529895
15,4015.00,0.000226098942221142
16,4016.00,0.000438796065282077
17,4017.00,0.00087422359501943
18,4018.00,0.00162120594177395
19,4019.00,0.00259366910904646
20,4020.00,0.00344328908249736
21,4021.00,0.0037836090195924
22,4022.00,0.00353053538128734
23,4023.00,0.00292704929597676
24,4024.00,0.00227756518870592
25,4025.00,0.0017463406547904
26,4026.00,0.00135394500102848
27,4027.00,0.00105908920522779
28,4028.00,0.000823132751975209
29,4029.00,0.000633969553746283
30,4030.00,0.000497291039209813
31,4031.00,0.000418614770751446
32,4032.00,0.000398185133235529
33,4033.00,0.00043727591400966
34,4034.00,0.000543315021786839
35,4035.00,0.000728805549442768
36,4036.00,0.00100971001666039
37,4037.00,0.00141534756403416
38,4038.00,0.0020109845791012
39,4039.00,0.00290578417479992
40,4040.00,0.00419277884066105
41,4041.00,0.00578375672921538
42,4042.00,0.0072820414789021
43,4043.00,0.00823521614074707
44,4044.00,0.00863699615001678
45,4045.00,0.00897710956633091
46,4046.00,0.00985264033079147
47,4047.00,0.0117258839309216
48,4048.00,0.0148800425231457
49,4049.00,0.0193435698747635
50,4050.00,0.0248110350221395
51,4051.00,0.0307306312024593
52,4052.00,0.036513339728117
53,4053.00,0.0416297242045403
54,4054.00,0.0455215387046337
55,4055.00,0.0475000366568565
56,4056.00,0.0468495637178421
57,4057.00,0.043230727314949
58,4058.00,0.0371683984994888
59,4059.00,0.0300707630813122
60,4060.00,0.0235303957015276
61,4061.00,0.0185322053730488
62,4062.00,0.0152739249169827
63,4063.00,0.0134859895333648
64,4064.00,0.0127625744789839
65,4065.00,0.0127112129703164
66,4066.00,0.0130150821059942
67,4067.00,0.0135155888274312
68,4068.00,0.0142877576872706
69,4069.00,0.0156216351315379
70,4070.00,0.017921332269907
71,4071.00,0.0215950477868319
72,4072.00,0.0269532315433025
73,4073.00,0.0341200269758701
74,4074.00,0.0430074743926525
75,4075.00,0.0533003211021423
76,4076.00,0.064202681183815
77,4077.00,0.0738975703716278
78,4078.00,0.0794218629598618
79,4079.00,0.077955462038517
80,4080.00,0.069049559533596
81,4081.00,0.0554707199335098
82,4082.00,0.041489340364933
83,4083.00,0.0303872562944889
84,4084.00,0.0234243758022785
85,4085.00,0.0205332972109318
86,4086.00,0.0215721856802702
87,4087.00,0.0272116158157587
88,4088.00,0.0391950942575932
89,4089.00,0.0596462748944759
90,4090.00,0.0890378132462502
91,4091.00,0.123847372829914
92,4092.00,0.156567201018333
93,4093.00,0.178909033536911
94,4094.00,0.185394123196602
95,4095.00,0.174944996833801
96,4096.00,0.150922909379005
97,4097.00,0.120015881955624
98,4098.00,0.0895356610417366
99,4099.00,0.0643759220838547
100,4100.00,0.0459475703537464
101,4101.00,0.0333066694438457
102,4102.00,0.0247933343052864
103,4103.00,0.0189944952726364
104,4104.00,0.0149769997224212
105,4105.00,0.0121590057387948
106,4106.00,0.0101263700053096
107,4107.00,0.00853918865323067
108,4108.00,0.00714236777275801
109,4109.00,0.00581725407391787
110,4110.00,0.00458206841722131
111,4111.00,0.00351203279569745
112,4112.00,0.00265708053484559
113,4113.00,0.00202372600324452
114,4114.00,0.00159618258476257
115,4115.00,0.0013525472022593
116,4116.00,0.00127082853578031
117,4117.00,0.00133333401754498
118,4118.00,0.00152865226846188
119,4119.00,0.00185264914762229
120,4120.00,0.00231031840667129
121,4121.00,0.00289809564128518
122,4122.00,0.00353905837982893
123,4123.00,0.0040126433596015
124,4124.00,0.00402570981532335
125,4125.00,0.00346677773632109
126,4126.00,0.00254987017251551
127,4127.00,0.00162912847008556
128,4128.00,0.00093622098211199
129,4129.00,0.000511592952534556
130,4130.00,0.000287722010398284
131,4131.00,0.000182352188858204
132,4132.00,0.000139659736305475
133,4133.00,0.000131189415697008
134,4134.00,0.000144257006468251
135,4135.00,0.000171533654793166
136,4136.00,0.000205784977879375
137,4137.00,0.000242225389229134
138,4138.00,0.00028618733631447
139,4139.00,0.000359380937879905
140,4140.00,0.000506699900142848
141,4141.00,0.000815211969893426
142,4142.00,0.00145326927304268
143,4143.00,0.0027366450522095
144,4144.00,0.00526371458545327
145,4145.00,0.0102181825786829
146,4146.00,0.0198384057730436
147,4147.00,0.0375085361301899
148,4148.00,0.0660910904407501
149,4149.00,0.104002647101879
150,4150.00,0.142808645963669
151,4151.00,0.170990064740181
152,4152.00,0.180832862854004
153,4153.00,0.171961560845375
154,4154.00,0.150288864970207
155,4155.00,0.124068722128868
156,4156.00,0.0995598435401917
157,4157.00,0.0793104842305183
158,4158.00,0.0633366703987122
159,4159.00,0.0509158186614513
160,4160.00,0.0413919687271118
161,4161.00,0.034129086881876
162,4162.00,0.0284134335815907
163,4163.00,0.0236309561878443
164,4164.00,0.0194691717624664
165,4165.00,0.0158618129789829
166,4166.00,0.0127758625894785
167,4167.00,0.0101322047412395
168,4168.00,0.00789572671055794
169,4169.00,0.00612494349479675
170,4170.00,0.00488275848329067
171,4171.00,0.00414422759786248
172,4172.00,0.00380547088570893
173,4173.00,0.00373849784955382
174,4174.00,0.00383488275110722
175,4175.00,0.00403217552229762
176,4176.00,0.00430436385795474
177,4177.00,0.00460688676685095
178,4178.00,0.00483669945970178
179,4179.00,0.00490123499184847
180,4180.00,0.00487528694793582
181,4181.00,0.00507475528866053
182,4182.00,0.00605400744825602
183,4183.00,0.00885152444243431
184,4184.00,0.0157981365919113
185,4185.00,0.0317628309130669
186,4186.00,0.0639226958155632
187,4187.00,0.115842178463936
188,4188.00,0.17776945233345
189,4189.00,0.228264331817627
190,4190.00,0.251045405864716
191,4191.00,0.24574787914753
192,4192.00,0.222624823451042
193,4193.00,0.193266645073891
194,4194.00,0.165965348482132
195,4195.00,0.144889146089554
196,4196.00,0.130786135792732
197,4197.00,0.122138522565365
198,4198.00,0.116325110197067
199,4199.00,0.110790424048901
200,4200.00,0.104153528809547
201,4201.00,0.0966808944940567
202,4202.00,0.0897374749183655
203,4203.00,0.0847432687878609
204,4204.00,0.08244688808918
205,4205.00,0.082760713994503
206,4206.00,0.0849989876151085
207,4207.00,0.0884602963924408
208,4208.00,0.0932877585291862
209,4209.00,0.101150818169117
210,4210.00,0.115314409136772
211,4211.00,0.140349552035332
212,4212.00,0.181780114769936
213,4213.00,0.244862824678421
214,4214.00,0.330550372600555
215,4215.00,0.427627056837082
216,4216.00,0.507277548313141
217,4217.00,0.53584212064743
218,4218.00,0.505300283432007
219,4219.00,0.44364595413208
220,4220.00,0.38806477189064
221,4221.00,0.359623670578003
222,4222.00,0.362538486719131
223,4223.00,0.392486900091171
224,4224.00,0.441342741250992
225,4225.00,0.49867394566536
226,4226.00,0.550849497318268
227,4227.00,0.57753974199295
228,4228.00,0.552810549736023
229,4229.00,0.462477952241898
230,4230.00,0.327435046434402
231,4231.00,0.195674255490303
232,4232.00,0.102536365389824
233,4233.00,0.0509522818028927
234,4234.00,0.0266420394182205
235,4235.00,0.0162096749991179
236,4236.00,0.0121917854994535
237,4237.00,0.0113066956400871
238,4238.00,0.0122315436601639
239,4239.00,0.0143639110028744
240,4240.00,0.0173465423285961
241,4241.00,0.0209913160651922
242,4242.00,0.0251891892403364
243,4243.00,0.0295558050274849
244,4244.00,0.0330423973500729
245,4245.00,0.0341191738843918
246,4246.00,0.0318086929619312
247,4247.00,0.0266922079026699
248,4248.00,0.0205964110791683
249,4249.00,0.0152293117716908
250,4250.00,0.0113016124814749
251,4251.00,0.00868114642798901
252,4252.00,0.00691431295126677
253,4253.00,0.00558346603065729
254,4254.00,0.00446242792531848
255,4255.00,0.00352178746834397
256,4256.00,0.00281583960168064
257,4257.00,0.0023709018714726
258,4258.00,0.00216383161023259
259,4259.00,0.0021471232175827
260,4260.00,0.00225641275756061
261,4261.00,0.00239853677339852
262,4262.00,0.00247098156251013
263,4263.00,0.00244167842902243
264,4264.00,0.00240115285851061
265,4265.00,0.00250489264726639
266,4266.00,0.00288633932359517
267,4267.00,0.00358826015144587
268,4268.00,0.00445432588458061
269,4269.00,0.00511041423305869
270,4270.00,0.0052814413793385
271,4271.00,0.00511282170191407
272,4272.00,0.00500726513564587
273,4273.00,0.00532220490276814
274,4274.00,0.00632331054657698
275,4275.00,0.00823755655437708
276,4276.00,0.0111610647290945
277,4277.00,0.014812245965004
278,4278.00,0.0185012836009264
279,4279.00,0.021684005856514
280,4280.00,0.0245435815304518
