#"+ESI Scan (rt: 7.013-9.076 min, 125 scans) Frag=250.0V NUDT7A_p026_xtal_D5a_1.d  Deconvoluted (Isotope Width=8.8)"
#Point,X(Daltons),Y(Counts)
0,4000.00,1.34785143046656E-08
1,4001.00,1.85628934445958E-08
2,4002.00,2.40062885126235E-08
3,4003.00,3.8381887890182E-08
4,4004.00,7.95282204535397E-08
5,4005.00,2.02839459007009E-07
6,4006.00,5.68134964851197E-07
7,4007.00,1.54605072566483E-06
8,4008.00,3.75817353415187E-06
9,4009.00,7.93266735854559E-06
10,4010.00,1.48306298797252E-05
11,4011.00,2.58422714978224E-05
12,4012.00,4.47133170382585E-05
13,4013.00,8.10899073258042E-05
14,4014.00,0.000157716902322136
15,4015.00,0.000323047628626227
16,4016.00,0.000664601509924978
17,4017.00,0.00130625127349049
18,4018.00,0.00237500527873635
19,4019.00,0.00393965095281601
20,4020.00,0.00590197648853064
21,4021.00,0.00783825479447842
22,4022.00,0.0090149212628603
23,4023.00,0.00885669514536858
24,4024.00,0.00747222360223532
25,4025.00,0.00552215427160263
26,4026.00,0.00366344559006393
27,4027.00,0.00225014542229474
28,4028.00,0.00135677994694561
29,4029.00,0.000899911217857152
30,4030.00,0.000777055392973125
31,4031.00,0.00102529069408774
32,4032.00,0.00215930514968932
33,4033.00,0.00635872222483158
34,4034.00,0.0204609148204327
35,4035.00,0.0571109466254711
36,4036.00,0.122949622571468
37,4037.00,0.207962721586227
38,4038.00,0.308621525764465
39,4039.00,0.452563524246216
40,4040.00,0.690506279468536
41,4041.00,1.05942010879517
42,4042.00,1.51396000385284
43,4043.00,1.89756274223328
44,4044.00,2.06325483322144
45,4045.00,2.02363896369934
46,4046.00,1.92216062545776
47,4047.00,1.90721809864044
48,4048.00,2.07673335075378
49,4049.00,2.48326349258423
50,4050.00,3.11580348014832
51,4051.00,3.8482882976532
52,4052.00,4.45278406143188
53,4053.00,4.73500394821167
54,4054.00,4.64605140686035
55,4055.00,4.2431812286377
56,4056.00,3.60667371749878
57,4057.00,2.83070468902588
58,4058.00,2.04291224479675
59,4059.00,1.37059473991394
60,4060.00,0.879634737968445
61,4061.00,0.561787486076355
62,4062.00,0.371120691299438
63,4063.00,0.260394632816315
64,4064.00,0.195149600505829
65,4065.00,0.153289958834648
66,4066.00,0.121544525027275
67,4067.00,0.0936671942472458
68,4068.00,0.0693148821592331
69,4069.00,0.0509381219744682
70,4070.00,0.0401790328323841
71,4071.00,0.0373119525611401
72,4072.00,0.0433945916593075
73,4073.00,0.0631368383765221
74,4074.00,0.108110599219799
75,4075.00,0.199020281434059
76,4076.00,0.360517650842667
77,4077.00,0.598143458366394
78,4078.00,0.861017405986786
79,4079.00,1.0355304479599
80,4080.00,1.02415728569031
81,4081.00,0.846977174282074
82,4082.00,0.619672060012817
83,4083.00,0.438510179519653
84,4084.00,0.33056628704071
85,4085.00,0.284251868724823
86,4086.00,0.283407390117645
87,4087.00,0.317855715751648
88,4088.00,0.382311105728149
89,4089.00,0.475391417741776
90,4090.00,0.600682258605957
91,4091.00,0.763055324554443
92,4092.00,0.952191174030304
93,4093.00,1.11797976493835
94,4094.00,1.17183887958527
95,4095.00,1.0523247718811
96,4096.00,0.801202416419983
97,4097.00,0.532609522342682
98,4098.00,0.329112231731415
99,4099.00,0.20331084728241
100,4100.00,0.1324183344841
101,4101.00,0.0924066379666328
102,4102.00,0.0682107135653496
103,4103.00,0.0523967370390892
104,4104.00,0.0418558605015278
105,4105.00,0.0351577959954739
106,4106.00,0.0310872811824083
107,4107.00,0.0281667038798332
108,4108.00,0.0248490180820227
109,4109.00,0.0203035119920969
110,4110.00,0.0150491762906313
111,4111.00,0.0103261154145002
112,4112.00,0.00688657723367214
113,4113.00,0.00469016563147306
114,4114.00,0.00335233169607818
115,4115.00,0.0025208150036633
116,4116.00,0.00198161765001714
117,4117.00,0.00163592176977545
118,4118.00,0.00144951220136136
119,4119.00,0.00141334137879312
120,4120.00,0.00152063788846135
121,4121.00,0.00173870101571083
122,4122.00,0.00195881095714867
123,4123.00,0.00197852589190006
124,4124.00,0.00163679756224155
125,4125.00,0.00103402324020863
126,4126.00,0.00047974253538996
127,4127.00,0.000163856107974425
128,4128.00,4.3628166167764E-05
129,4129.00,1.02703779703006E-05
130,4130.00,2.59747343989147E-06
131,4131.00,8.85377517079178E-07
132,4132.00,4.82949246816133E-07
133,4133.00,4.3167972307856E-07
134,4134.00,5.50778679553332E-07
135,4135.00,8.128137096719E-07
136,4136.00,1.17698778012709E-06
137,4137.00,1.59367016294709E-06
138,4138.00,2.16522107621131E-06
139,4139.00,3.38152540280134E-06
140,4140.00,6.84573797116173E-06
141,4141.00,1.86860397661803E-05
142,4142.00,6.51889931759797E-05
143,4143.00,0.000261376844719052
144,4144.00,0.00108466227538884
145,4145.00,0.00432958174496889
146,4146.00,0.0159356575459242
147,4147.00,0.0527720898389816
148,4148.00,0.154761657118797
149,4149.00,0.398249804973602
150,4150.00,0.895212233066559
151,4151.00,1.74779188632965
152,4152.00,2.92914271354675
153,4153.00,4.15720462799072
154,4154.00,4.98780345916748
155,4155.00,5.17354154586792
156,4156.00,4.85387659072876
157,4157.00,4.33466243743896
158,4158.00,3.8199679851532
159,4159.00,3.36663246154785
160,4160.00,2.96425604820251
161,4161.00,2.5983247756958
162,4162.00,2.25856971740723
163,4163.00,1.92556035518646
164,4164.00,1.57586991786957
165,4165.00,1.208536028862
166,4166.00,0.85835725069046
167,4167.00,0.571183204650879
168,4168.00,0.368623614311218
169,4169.00,0.241337850689888
170,4170.00,0.166034504771233
171,4171.00,0.120886370539665
172,4172.00,0.0908499583601952
173,4173.00,0.0677069798111916
174,4174.00,0.0486810430884361
175,4175.00,0.0338248163461685
176,4176.00,0.0232146326452494
177,4177.00,0.0160210691392422
178,4178.00,0.0111678931862116
179,4179.00,0.00798933207988739
180,4180.00,0.00628171442076564
181,4181.00,0.00618975190445781
182,4182.00,0.00874533131718636
183,4183.00,0.0183871574699879
184,4184.00,0.0517128668725491
185,4185.00,0.160450890660286
186,4186.00,0.45794004201889
187,4187.00,1.07451629638672
188,4188.00,1.99604165554047
189,4189.00,2.97183632850647
190,4190.00,3.66616415977478
191,4191.00,3.8822717666626
192,4192.00,3.64572143554688
193,4193.00,3.13770079612732
194,4194.00,2.56322431564331
195,4195.00,2.05056166648865
196,4196.00,1.63308477401733
197,4197.00,1.28855800628662
198,4198.00,0.987953722476959
199,4199.00,0.725050210952759
200,4200.00,0.513913035392761
201,4201.00,0.365624308586121
202,4202.00,0.27507272362709
203,4203.00,0.227061003446579
204,4204.00,0.205925390124321
205,4205.00,0.199125707149506
206,4206.00,0.197663888335228
207,4207.00,0.197145849466324
208,4208.00,0.198990613222122
209,4209.00,0.210184380412102
210,4210.00,0.243243336677551
211,4211.00,0.320298075675964
212,4212.00,0.483714014291763
213,4213.00,0.807337820529938
214,4214.00,1.372034907341
215,4215.00,2.13587975502014
216,4216.00,2.77748918533325
217,4217.00,2.89682626724243
218,4218.00,2.49917125701904
219,4219.00,1.95765316486359
220,4220.00,1.56637763977051
221,4221.00,1.40535414218903
222,4222.00,1.46509408950806
223,4223.00,1.73602330684662
224,4224.00,2.21258759498596
225,4225.00,2.85261607170105
226,4226.00,3.53089380264282
227,4227.00,4.03141784667969
228,4228.00,4.11418724060059
229,4229.00,3.64992237091064
230,4230.00,2.74600720405579
231,4231.00,1.72519600391388
232,4232.00,0.910169363021851
233,4233.00,0.418939203023911
234,4234.00,0.181371331214905
235,4235.00,0.081854522228241
236,4236.00,0.042824424803257
237,4237.00,0.0280916374176741
238,4238.00,0.0238193199038506
239,4239.00,0.0257631242275238
240,4240.00,0.0343248546123505
241,4241.00,0.0541134960949421
242,4242.00,0.0961100310087204
243,4243.00,0.179250255227089
244,4244.00,0.320790559053421
245,4245.00,0.503616094589233
246,4246.00,0.650451719760895
247,4247.00,0.67508852481842
248,4248.00,0.573276519775391
249,4249.00,0.418042123317719
250,4250.00,0.27775651216507
251,4251.00,0.176266506314278
252,4252.00,0.108575187623501
253,4253.00,0.0636852234601974
254,4254.00,0.03425233066082
255,4255.00,0.0164726804941893
256,4256.00,0.00720922416076064
257,4257.00,0.00308799208141863
258,4258.00,0.00144830532371998
259,4259.00,0.000828317191917449
260,4260.00,0.000608094036579132
261,4261.00,0.000557444698642939
262,4262.00,0.000589817354921252
263,4263.00,0.000668754102662206
264,4264.00,0.000786546152085066
265,4265.00,0.000961175770498812
266,4266.00,0.00121565337758511
267,4267.00,0.00152952969074249
268,4268.00,0.00179524323903024
269,4269.00,0.0018740528030321
270,4270.00,0.00174899655394256
271,4271.00,0.00155667378567159
272,4272.00,0.00145440502092242
273,4273.00,0.00154237123206258
274,4274.00,0.0018938115099445
275,4275.00,0.0025829803198576
276,4276.00,0.00364751112647355
277,4277.00,0.00502355024218559
278,4278.00,0.00657949317246675
279,4279.00,0.0082993395626545
280,4280.00,0.0104536600410938
281,4281.00,0.0136019047349691
282,4282.00,0.0184302851557732
283,4283.00,0.0253785662353039
284,4284.00,0.0340449139475822
285,4285.00,0.0429424569010735
286,4286.00,0.0503730028867722
287,4287.00,0.0556740686297417
288,4288.00,0.0591187514364719
289,4289.00,0.0605839267373085
290,4290.00,0.0588332489132881
291,4291.00,0.0527174212038517
292,4292.00,0.0432875864207745
293,4293.00,0.0337889306247234
294,4294.00,0.0272107236087322
295,4295.00,0.0249354857951403
296,4296.00,0.0277784261852503
297,4297.00,0.0376571789383888
298,4298.00,0.0588577724993229
299,4299.00,0.0991856381297112
300,4300.00,0.171824216842651
301,4301.00,0.296872764825821
302,4302.00,0.493622958660126
303,4303.00,0.750252664089203
304,4304.00,0.993145644664764
305,4305.00,1.12972557544708
306,4306.00,1.14461851119995
307,4307.00,1.10332524776459
308,4308.00,1.06805288791656
309,4309.00,1.0483683347702
310,4310.00,1.00971138477325
311,4311.00,0.911622524261475
312,4312.00,0.748861968517303
313,4313.00,0.556298196315765
314,4314.00,0.376431316137314
315,4315.00,0.233451187610626
316,4316.00,0.132511496543884
317,4317.00,0.0685862302780151
318,4318.00,0.0325669981539249
319,4319.00,0.0145913623273373
320,4320.00,0.00651969714090228
321,4321.00,0.00312672602012753
322,4322.00,0.00172005849890411
323,4323.00,0.00111913355067372
324,4324.00,0.000851042568683624
325,4325.00,0.000738597358576953
326,4326.00,0.000739620882086456
327,4327.00,0.000908126879949123
328,4328.00,0.00145739852450788
329,4329.00,0.00303106755018234
330,4330.00,0.00732750725001097
331,4331.00,0.0175897739827633
332,4332.00,0.0370696038007736
333,4333.00,0.0661525651812553
334,4334.00,0.105062425136566
335,4335.00,0.162583142518997
336,4336.00,0.26301833987236
337,4337.00,0.448372304439545
338,4338.00,0.763453423976898
339,4339.00,1.20043873786926
340,4340.00,1.63996934890747
341,4341.00,1.9092812538147
342,4342.00,1.93578696250916
343,4343.00,1.78576731681824
344,4344.00,1.56372570991516
345,4345.00,1.33584356307983
346,4346.00,1.13060736656189
347,4347.00,0.963467419147491
348,4348.00,0.84858500957489
349,4349.00,0.799015283584595
350,4350.00,0.826462924480438
351,4351.00,0.941068768501282
352,4352.00,1.1411190032959
353,4353.00,1.38659799098969
354,4354.00,1.58176028728485
355,4355.00,1.61963522434235
356,4356.00,1.47275614738464
357,4357.00,1.21661841869354
358,4358.00,0.955384969711304
359,4359.00,0.751806974411011
360,4360.00,0.619636476039886
361,4361.00,0.547108113765717
362,4362.00,0.51547783613205
363,4363.00,0.506192445755005
364,4364.00,0.503518760204315
365,4365.00,0.496933132410049
366,4366.00,0.481694310903549
367,4367.00,0.456240236759186
368,4368.00,0.419901430606842
369,4369.00,0.374363005161285
370,4370.00,0.326449900865555
371,4371.00,0.287155985832214
372,4372.00,0.26739227771759
373,4373.00,0.275994896888733
374,4374.00,0.321364641189575
375,4375.00,0.411228060722351
376,4376.00,0.543684065341949
377,4377.00,0.692326009273529
378,4378.00,0.80824601650238
379,4379.00,0.854310274124146
380,4380.00,0.835514605045319
381,4381.00,0.786098301410675
382,4382.00,0.736970782279968
383,4383.00,0.700806021690369
384,4384.00,0.676431655883789
385,4385.00,0.658832192420959
386,4386.00,0.646523475646973
387,4387.00,0.643871963024139
388,4388.00,0.659675598144531
389,4389.00,0.70479279756546
390,4390.00,0.789847910404205
391,4391.00,0.921015679836273
392,4392.00,1.0898312330246
393,4393.00,1.25621354579926
394,4394.00,1.3414558172226
395,4395.00,1.26838612556458
396,4396.00,1.04209899902344
397,4397.00,0.765472888946533
398,4398.00,0.545630216598511
399,4399.00,0.422107934951782
400,4400.00,0.387405872344971
401,4401.00,0.427325457334518
402,4402.00,0.52575159072876
403,4403.00,0.638229191303253
