#"+ESI Scan (rt: 7.010-9.073 min, 125 scans) Frag=250.0V NUDT7A_p026_xtal_D5a_2.d  Deconvoluted (Isotope Width=8.8)"
#Point,X(Daltons),Y(Counts)
0,4000.00,4.59818716436189E-09
1,4001.00,1.40317197860895E-08
2,4002.00,3.56406353319016E-08
3,4003.00,9.02862140605976E-08
4,4004.00,2.31813586992757E-07
5,4005.00,5.94698747136135E-07
6,4006.00,1.47680782447424E-06
7,4007.00,3.41074041898537E-06
8,4008.00,7.08868992660427E-06
9,4009.00,1.30941416500718E-05
10,4010.00,2.17726083064917E-05
11,4011.00,3.37146848323755E-05
12,4012.00,5.08816192450468E-05
13,4013.00,7.82047281973064E-05
14,4014.00,0.000126075115986168
15,4015.00,0.00021458427363541
16,4016.00,0.000379248143872246
17,4017.00,0.000674144423101097
18,4018.00,0.00116266880650073
19,4019.00,0.00188231805805117
20,4020.00,0.00277549820020795
21,4021.00,0.00361987249925733
22,4022.00,0.00407920777797699
23,4023.00,0.00394819071516395
24,4024.00,0.00334610184654593
25,4025.00,0.0025807551573962
26,4026.00,0.00188876176252961
27,4027.00,0.00136017974000424
28,4028.00,0.00100682256743312
29,4029.00,0.000827786745503545
30,4030.00,0.000851688615512103
31,4031.00,0.00123180507216603
32,4032.00,0.0025753197260201
33,4033.00,0.00696591241285205
34,4034.00,0.0198454931378365
35,4035.00,0.0488784313201904
36,4036.00,0.0936871990561485
37,4037.00,0.141574576497078
38,4038.00,0.186222657561302
39,4039.00,0.239150017499924
40,4040.00,0.318608462810516
41,4041.00,0.432905912399292
42,4042.00,0.564466118812561
43,4043.00,0.671520709991455
44,4044.00,0.723209202289581
45,4045.00,0.729784965515137
46,4046.00,0.729886651039124
47,4047.00,0.76253604888916
48,4048.00,0.855508744716644
49,4049.00,1.0232001543045
50,4050.00,1.25817167758942
51,4051.00,1.51963126659393
52,4052.00,1.74087047576904
53,4053.00,1.86164307594299
54,4054.00,1.85414576530457
55,4055.00,1.72090971469879
56,4056.00,1.48424184322357
57,4057.00,1.1854772567749
58,4058.00,0.881150603294373
59,4059.00,0.62238746881485
60,4060.00,0.433358460664749
61,4061.00,0.310229957103729
62,4062.00,0.23565086722374
63,4063.00,0.191478282213211
64,4064.00,0.163486286997795
65,4065.00,0.141748145222664
66,4066.00,0.120817869901657
67,4067.00,0.100080661475658
68,4068.00,0.0823061838746071
69,4069.00,0.0706847161054611
70,4070.00,0.0672929584980011
71,4071.00,0.0740453600883484
72,4072.00,0.094637505710125
73,4073.00,0.136010363698006
74,4074.00,0.207888886332512
75,4075.00,0.317747056484222
76,4076.00,0.459237545728683
77,4077.00,0.599526226520538
78,4078.00,0.682752072811127
79,4079.00,0.663402199745178
80,4080.00,0.54756897687912
81,4081.00,0.392086416482925
82,4082.00,0.256676137447357
83,4083.00,0.166636541485786
84,4084.00,0.117732256650925
85,4085.00,0.0974767729640007
86,4086.00,0.097055546939373
87,4087.00,0.112785965204239
88,4088.00,0.143309637904167
89,4089.00,0.186071202158928
90,4090.00,0.235367059707642
91,4091.00,0.282860219478607
92,4092.00,0.318790793418884
93,4093.00,0.33293291926384
94,4094.00,0.317706406116486
95,4095.00,0.274050712585449
96,4096.00,0.213993683457375
97,4097.00,0.154231250286102
98,4098.00,0.106170624494553
99,4099.00,0.0723862051963806
100,4100.00,0.0500463545322418
101,4101.00,0.0352968908846378
102,4102.00,0.0253621991723776
103,4103.00,0.0187315847724676
104,4104.00,0.014602292329073
105,4105.00,0.0123980082571507
106,4106.00,0.0115846889093518
107,4107.00,0.0115812076255679
108,4108.00,0.0116600850597024
109,4109.00,0.0110619748011231
110,4110.00,0.00945440586656332
111,4111.00,0.00721750129014254
112,4112.00,0.0050566429272294
113,4113.00,0.00342470104806125
114,4114.00,0.00238457834348083
115,4115.00,0.00180194282438606
116,4116.00,0.00152368354611099
117,4117.00,0.00144113274291158
118,4118.00,0.00148976745549589
119,4119.00,0.00163701467681676
120,4120.00,0.00187089829705656
121,4121.00,0.00217418908141553
122,4122.00,0.00247158017009497
123,4123.00,0.00258853635750711
124,4124.00,0.00233218749053776
125,4125.00,0.00170889846049249
126,4126.00,0.000991653650999069
127,4127.00,0.000461460847873241
128,4128.00,0.000182260249857791
129,4129.00,6.77039788570255E-05
130,4130.00,2.7183530619368E-05
131,4131.00,1.3595220480056E-05
132,4132.00,9.24678897717968E-06
133,4133.00,8.44855730974814E-06
134,4134.00,9.35145726543851E-06
135,4135.00,1.10075352495187E-05
136,4136.00,1.26495060612797E-05
137,4137.00,1.41418577186414E-05
138,4138.00,1.65112760441843E-05
139,4139.00,2.22963608393911E-05
140,4140.00,3.75505987904035E-05
141,4141.00,7.95735904830508E-05
142,4142.00,0.000200961716473103
143,4143.00,0.000558995408937335
144,4144.00,0.00160527764819562
145,4145.00,0.00458209961652756
146,4146.00,0.0127260321751237
147,4147.00,0.0338043197989464
148,4148.00,0.0846531689167023
149,4149.00,0.19853250682354
150,4150.00,0.435658872127533
151,4151.00,0.886732876300812
152,4152.00,1.62541449069977
153,4153.00,2.56383037567139
154,4154.00,3.35309648513794
155,4155.00,3.62761425971985
156,4156.00,3.3756422996521
157,4157.00,2.87112736701965
158,4158.00,2.35160636901855
159,4159.00,1.90408742427826
160,4160.00,1.53263092041016
161,4161.00,1.2254923582077
162,4162.00,0.971941530704498
163,4163.00,0.758872449398041
164,4164.00,0.573475301265717
165,4165.00,0.410854637622833
166,4166.00,0.275241732597351
167,4167.00,0.172668606042862
168,4168.00,0.103615388274193
169,4169.00,0.0620706789195538
170,4170.00,0.0392892323434353
171,4171.00,0.0275812484323978
172,4172.00,0.0217359866946936
173,4173.00,0.0186337660998106
174,4174.00,0.0165332145988941
175,4175.00,0.0146915651857853
176,4176.00,0.0130120953544974
177,4177.00,0.0115361697971821
178,4178.00,0.0101655190810561
179,4179.00,0.00882254447788
180,4180.00,0.00773839699104428
181,4181.00,0.00748358387500048
