#"+ESI Scan (rt: 7.016-9.064 min, 124 scans) Frag=250.0V NUDT7A_p026_xtal_D5c_1.d  Deconvoluted (Isotope Width=8.8)"
#Point,X(Daltons),Y(Counts)
0,4000.00,3.56082273356151E-06
1,4001.00,7.03710065863561E-06
2,4002.00,1.13228661575704E-05
3,4003.00,1.7829912394518E-05
4,4004.00,2.8404549084371E-05
5,4005.00,4.56176203442737E-05
6,4006.00,7.13937552063726E-05
7,4007.00,0.000103431040770374
8,4008.00,0.000133306806674227
9,4009.00,0.000152709588292055
10,4010.00,0.000162583542987704
11,4011.00,0.000173222026205622
12,4012.00,0.000199236994376406
13,4013.00,0.000261253298958763
14,4014.00,0.000398930686060339
15,4015.00,0.000696991162840277
16,4016.00,0.00131525006145239
17,4017.00,0.00245827669277787
18,4018.00,0.00416524056345224
19,4019.00,0.00601802999153733
20,4020.00,0.00725912908092141
21,4021.00,0.00738887162879109
22,4022.00,0.00651985500007868
23,4023.00,0.00516956625506282
24,4024.00,0.00385920028202236
25,4025.00,0.00286756083369255
26,4026.00,0.00223405426368117
27,4027.00,0.00189367611892521
28,4028.00,0.00179686117917299
29,4029.00,0.00198803492821753
30,4030.00,0.00272250175476074
31,4031.00,0.00483799260109663
32,4032.00,0.0109488293528557
33,4033.00,0.0282977949827909
34,4034.00,0.0709158778190613
35,4035.00,0.148370549082756
36,4036.00,0.23919178545475
37,4037.00,0.299700915813446
38,4038.00,0.316232800483704
39,4039.00,0.312565952539444
40,4040.00,0.313066691160202
41,4041.00,0.3238485455513
42,4042.00,0.335686326026917
43,4043.00,0.334378182888031
44,4044.00,0.312867373228073
45,4045.00,0.275529682636261
46,4046.00,0.231936797499657
47,4047.00,0.190081745386124
48,4048.00,0.154821574687958
49,4049.00,0.128725498914719
50,4050.00,0.112689115107059
51,4051.00,0.106406345963478
52,4052.00,0.108831822872162
53,4053.00,0.118015095591545
54,4054.00,0.130185708403587
55,4055.00,0.139397516846657
56,4056.00,0.139611408114433
57,4057.00,0.128565385937691
58,4058.00,0.109449468553066
59,4059.00,0.088257223367691
60,4060.00,0.0698189660906792
61,4061.00,0.0561233535408974
62,4062.00,0.0469890013337135
63,4063.00,0.0413005799055099
64,4064.00,0.0378330238163471
65,4065.00,0.0357131026685238
66,4066.00,0.0347250923514366
67,4067.00,0.0354027189314365
68,4068.00,0.0388536788523197
69,4069.00,0.0464472696185112
70,4070.00,0.0592606030404568
71,4071.00,0.0770216137170792
72,4072.00,0.0974390208721161
73,4073.00,0.117774315178394
74,4074.00,0.137503206729889
75,4075.00,0.157916575670242
76,4076.00,0.178174182772636
77,4077.00,0.192100450396538
78,4078.00,0.190766677260399
79,4079.00,0.170749232172966
80,4080.00,0.13847804069519
81,4081.00,0.104604676365852
82,4082.00,0.0765173137187958
83,4083.00,0.0565769001841545
84,4084.00,0.0441152341663837
85,4085.00,0.0374571308493614
86,4086.00,0.0348882079124451
87,4087.00,0.0348340272903442
88,4088.00,0.0357791781425476
89,4089.00,0.0364169105887413
90,4090.00,0.0360226929187775
91,4091.00,0.0345544964075089
92,4092.00,0.0323220677673817
93,4093.00,0.0296221300959587
94,4094.00,0.0266240388154984
95,4095.00,0.0234342273324728
96,4096.00,0.0201900601387024
97,4097.00,0.0171064678579569
98,4098.00,0.0144320083782077
99,4099.00,0.012326599098742
100,4100.00,0.0107660731300712
101,4101.00,0.00956903304904699
102,4102.00,0.0085445698350668
103,4103.00,0.00766439363360405
104,4104.00,0.00710446340963244
105,4105.00,0.00713735818862915
106,4106.00,0.00804353877902031
107,4107.00,0.0100724715739489
108,4108.00,0.0132400216534734
109,4109.00,0.0168602988123894
110,4110.00,0.0193515792489052
111,4111.00,0.0191927030682564
112,4112.00,0.016439326107502
113,4113.00,0.0127474162727594
114,4114.00,0.00980948563665152
115,4115.00,0.00837735645473003
116,4116.00,0.00862047355622053
117,4117.00,0.0107602439820766
118,4118.00,0.0151696307584643
119,4119.00,0.0217285305261612
120,4120.00,0.0288825258612633
121,4121.00,0.0337992645800114
122,4122.00,0.0342568196356297
123,4123.00,0.0304612051695585
124,4124.00,0.0246742442250252
125,4125.00,0.0192281473428011
126,4126.00,0.0152372131124139
127,4127.00,0.0127644408494234
128,4128.00,0.0114709213376045
129,4129.00,0.0109880911186337
130,4130.00,0.0109498389065266
131,4131.00,0.0108613604679704
132,4132.00,0.0100855911150575
133,4133.00,0.00825455877929926
134,4134.00,0.00578472763299942
135,4135.00,0.00356101803481579
136,4136.00,0.0020838885102421
137,4137.00,0.00128808303270489
138,4138.00,0.000923648709431291
139,4139.00,0.00080877065192908
140,4140.00,0.00085921841673553
141,4141.00,0.00104282412212342
142,4142.00,0.00132541439961642
143,4143.00,0.00164429855067283
144,4144.00,0.00195790338329971
145,4145.00,0.00233201566152275
146,4146.00,0.00297381915152073
147,4147.00,0.00428021000698209
148,4148.00,0.00709475437179208
149,4149.00,0.0135179990902543
150,4150.00,0.0290878489613533
151,4151.00,0.0671460255980492
152,4152.00,0.150249317288399
153,4153.00,0.286305755376816
154,4154.00,0.419676393270493
155,4155.00,0.462130457162857
