#"+ESI Scan (rt: 7.020-9.067 min, 124 scans) Frag=250.0V NUDT7A_p026_xtal_D5c_2.d  Deconvoluted (Isotope Width=8.8)"
#Point,X(Daltons),Y(Counts)
0,4000.00,7.24722985978588E-06
1,4001.00,1.51521253428655E-05
2,4002.00,2.55093509622384E-05
3,4003.00,4.08999803767074E-05
4,4004.00,6.40405851299874E-05
5,4005.00,9.83552454272285E-05
6,4006.00,0.000145634010550566
7,4007.00,0.000200490045244806
8,4008.00,0.000248467171331868
9,4009.00,0.000276582461083308
10,4010.00,0.000286547059658915
11,4011.00,0.000293257238809019
12,4012.00,0.000315424636937678
13,4013.00,0.000374798459233716
14,4014.00,0.000507905206177384
15,4015.00,0.000789707934018224
16,4016.00,0.00136402144562453
17,4017.00,0.00243220524862409
18,4018.00,0.00407559331506491
19,4019.00,0.00592215359210968
20,4020.00,0.00715595856308937
21,4021.00,0.00718773761764169
22,4022.00,0.00617888895794749
23,4023.00,0.00475920084863901
24,4024.00,0.00347095378674567
25,4025.00,0.00254125450737774
26,4026.00,0.0019686222076416
27,4027.00,0.00167849636636674
28,4028.00,0.00162179057952017
29,4029.00,0.00182854826562107
30,4030.00,0.0024832054041326
31,4031.00,0.00412608636543155
32,4032.00,0.00813704449683428
33,4033.00,0.0174054969102144
34,4034.00,0.035599734634161
35,4035.00,0.0621508210897446
36,4036.00,0.0873468816280365
37,4037.00,0.0999651029706001
38,4038.00,0.0995254591107368
39,4039.00,0.0936210006475449
40,4040.00,0.0881292149424553
41,4041.00,0.0840124636888504
42,4042.00,0.0794545188546181
43,4043.00,0.0730040222406387
44,4044.00,0.0652954503893852
45,4045.00,0.0582441687583923
46,4046.00,0.0533245056867599
47,4047.00,0.0509396456182003
48,4048.00,0.0508005023002625
49,4049.00,0.0524305254220963
50,4050.00,0.0553745590150356
51,4051.00,0.0590856559574604
52,4052.00,0.0627069398760796
53,4053.00,0.0650999248027802
54,4054.00,0.0652759075164795
55,4055.00,0.0628838837146759
56,4056.00,0.0582228936254978
57,4057.00,0.0518509186804295
58,4058.00,0.0443925261497498
59,4059.00,0.0366798602044582
60,4060.00,0.0297210644930601
61,4061.00,0.0243060514330864
62,4062.00,0.0206971280276775
63,4063.00,0.0186903886497021
64,4064.00,0.0178508851677179
65,4065.00,0.0177214648574591
66,4066.00,0.0180208552628756
67,4067.00,0.0188255216926336
68,4068.00,0.0205953978002071
69,4069.00,0.0239856746047735
70,4070.00,0.0295046363025904
71,4071.00,0.0370769761502743
72,4072.00,0.0459264703094959
73,4073.00,0.0554177798330784
74,4074.00,0.066163957118988
75,4075.00,0.0795888602733612
76,4076.00,0.0955955758690834
77,4077.00,0.110040441155434
78,4078.00,0.115589119493961
79,4079.00,0.107845693826675
80,4080.00,0.0900668576359749
81,4081.00,0.0697322562336922
82,4082.00,0.0524852611124516
83,4083.00,0.0403158664703369
84,4084.00,0.0329149141907692
85,4085.00,0.0291291885077953
86,4086.00,0.0275633819401264
87,4087.00,0.0266734175384045
88,4088.00,0.0250292737036943
89,4089.00,0.0219928305596113
90,4090.00,0.0180362183600664
91,4091.00,0.0141132827848196
92,4092.00,0.0108650652691722
93,4093.00,0.00844178814440966
94,4094.00,0.00673224404454231
95,4095.00,0.00557177839800715
96,4096.00,0.0048158448189497
97,4097.00,0.00434454763308167
98,4098.00,0.00405905116349459
99,4099.00,0.0038848842959851
100,4100.00,0.00377475586719811
101,4101.00,0.00370887760072947
102,4102.00,0.00370333553291857
103,4103.00,0.00382976746186614
104,4104.00,0.00423441594466567
105,4105.00,0.00515443924814463
