#"+ESI Scan (rt: 7.014-9.078 min, 125 scans) Frag=250.0V NUDT7A_p026_xtal_E6a_1.d  Deconvoluted (Isotope Width=8.8)"
#Point,X(Daltons),Y(Counts)
0,4000.00,4.66026328638236E-09
1,4001.00,1.22482584075101E-08
2,4002.00,2.93685502583685E-08
3,4003.00,7.98606123453283E-08
4,4004.00,2.45372547169609E-07
5,4005.00,7.89622902175324E-07
6,4006.00,2.39452583628008E-06
7,4007.00,6.24549102212768E-06
8,4008.00,1.34004812935018E-05
9,4009.00,2.39241708186455E-05
10,4010.00,3.76501448045019E-05
11,4011.00,5.68587965972256E-05
12,4012.00,8.99090446182527E-05
13,4013.00,0.000157970178406686
14,4014.00,0.000310439529130235
15,4015.00,0.000650373520329595
16,4016.00,0.00134715065360069
17,4017.00,0.0025875240098685
18,4018.00,0.00447473395615816
19,4019.00,0.00697450805455446
20,4020.00,0.00988373812288046
21,4021.00,0.0126988673582673
22,4022.00,0.0145869879052043
23,4023.00,0.0148227112367749
24,4024.00,0.0133529929444194
25,4025.00,0.0107548646628857
26,4026.00,0.00776298018172383
27,4027.00,0.0049984073266387
28,4028.00,0.002887460635975
29,4029.00,0.00155831209849566
30,4030.00,0.0008564816089347
31,4031.00,0.000537932850420475
32,4032.00,0.000427029473939911
33,4033.00,0.000446146179456264
34,4034.00,0.000592384312767535
35,4035.00,0.000921513536013663
36,4036.00,0.0015539115993306
37,4037.00,0.00272619072347879
38,4038.00,0.00493369391188025
39,4039.00,0.00914463773369789
40,4040.00,0.0167829357087612
41,4041.00,0.0287085510790348
42,4042.00,0.0431294031441212
43,4043.00,0.0555601343512535
44,4044.00,0.0633429437875748
45,4045.00,0.0693857073783875
46,4046.00,0.0808949694037437
47,4047.00,0.108279898762703
48,4048.00,0.167879194021225
49,4049.00,0.282474637031555
50,4050.00,0.463341265916824
51,4051.00,0.669358491897583
52,4052.00,0.80193156003952
53,4053.00,0.790734112262726
54,4054.00,0.663877248764038
55,4055.00,0.499699592590332
56,4056.00,0.352472633123398
57,4057.00,0.238526999950409
58,4058.00,0.155820220708847
59,4059.00,0.0985308811068535
60,4060.00,0.0609386116266251
61,4061.00,0.0375579483807087
62,4062.00,0.02355613745749
63,4063.00,0.0153200970962644
64,4064.00,0.0104994848370552
65,4065.00,0.00767698790878057
66,4066.00,0.00602080905809999
67,4067.00,0.00505995890125632
68,4068.00,0.00457032397389412
69,4069.00,0.00452869804576039
70,4070.00,0.00512349652126431
71,4071.00,0.00688542099669576
72,4072.00,0.0110845249146223
73,4073.00,0.0205538235604763
74,4074.00,0.0407763570547104
75,4075.00,0.0800020769238472
76,4076.00,0.145851299166679
77,4077.00,0.23625947535038
78,4078.00,0.327579408884048
79,4079.00,0.3756103515625
80,4080.00,0.348601371049881
81,4081.00,0.264655888080597
82,4082.00,0.173968076705933
83,4083.00,0.109428890049458
84,4084.00,0.0741130784153938
85,4085.00,0.0594536513090134
86,4086.00,0.058709729462862
87,4087.00,0.0697620287537575
88,4088.00,0.0942021459341049
89,4089.00,0.136275008320808
90,4090.00,0.201588615775108
91,4091.00,0.293053716421127
92,4092.00,0.401142209768295
93,4093.00,0.493690550327301
94,4094.00,0.524971008300781
95,4095.00,0.47264301776886
96,4096.00,0.363458722829819
97,4097.00,0.248391807079315
98,4098.00,0.160535514354706
99,4099.00,0.104787401854992
100,4100.00,0.0723581612110138
101,4101.00,0.0535093285143375
102,4102.00,0.0415947325527668
103,4103.00,0.0329387187957764
104,4104.00,0.0259110778570175
105,4105.00,0.0199839994311333
106,4106.00,0.014973265118897
107,4107.00,0.0107217095792294
108,4108.00,0.00716238422319293
109,4109.00,0.00438768230378628
110,4110.00,0.00249020522460341
111,4111.00,0.00137282034847885
112,4112.00,0.00078944384586066
113,4113.00,0.000504388939589262
114,4114.00,0.000367267377441749
115,4115.00,0.000299554521916434
116,4116.00,0.000263413414359093
117,4117.00,0.000242697497014888
118,4118.00,0.000234241553698666
119,4119.00,0.000242496156715788
120,4120.00,0.000275525642791763
121,4121.00,0.000341131439199671
122,4122.00,0.000436354021076113
123,4123.00,0.000525361683685333
124,4124.00,0.00053317123092711
125,4125.00,0.00041240343125537
126,4126.00,0.000227024385822006
127,4127.00,8.72517266543582E-05
128,4128.00,2.44797447521705E-05
129,4129.00,5.67132065043552E-06
130,4130.00,1.33831849780108E-06
131,4131.00,4.21398425487496E-07
132,4132.00,2.24134765858253E-07
133,4133.00,2.16095685345863E-07
134,4134.00,3.27576685776876E-07
135,4135.00,6.06648939083243E-07
136,4136.00,1.12204202196153E-06
137,4137.00,1.96477890312963E-06
138,4138.00,3.56612940777268E-06
139,4139.00,7.78391495259712E-06
140,4140.00,2.24271607294213E-05
141,4141.00,8.3205130067654E-05
142,4142.00,0.00035350609687157
143,4143.00,0.00150164647493511
144,4144.00,0.0057868380099535
145,4145.00,0.0192759148776531
146,4146.00,0.054361879825592
147,4147.00,0.127747967839241
148,4148.00,0.245597913861275
149,4149.00,0.381125181913376
150,4150.00,0.478826999664307
151,4151.00,0.500414609909058
152,4152.00,0.458296567201614
153,4153.00,0.394315421581268
154,4154.00,0.341756939888
155,4155.00,0.312603116035461
156,4156.00,0.303809583187103
157,4157.00,0.304797351360321
158,4158.00,0.303431302309036
159,4159.00,0.292997449636459
160,4160.00,0.275188595056534
161,4161.00,0.254636526107788
162,4162.00,0.231608226895332
163,4163.00,0.201156005263329
164,4164.00,0.159794434905052
165,4165.00,0.112769097089767
166,4166.00,0.0713898539543152
167,4167.00,0.042903084307909
168,4168.00,0.0267498027533293
169,4169.00,0.0188457891345024
170,4170.00,0.0156102208420634
171,4171.00,0.0147851398214698
172,4172.00,0.014829664491117
173,4173.00,0.0145799433812499
174,4174.00,0.0135753341019154
175,4175.00,0.0121781667694449
176,4176.00,0.010952977463603
177,4177.00,0.0101073924452066
178,4178.00,0.00953499041497707
179,4179.00,0.00922651216387749
180,4180.00,0.0097031407058239
181,4181.00,0.0124918753281236
182,4182.00,0.0220687575638294
183,4183.00,0.0542001985013485
184,4184.00,0.164417430758476
185,4185.00,0.512603461742401
186,4186.00,1.39968264102936
187,4187.00,3.06334662437439
188,4188.00,5.27683353424072
189,4189.00,7.3445930480957
190,4190.00,8.61858654022217
191,4191.00,8.88398265838623
192,4192.00,8.32726192474365
193,4193.00,7.31357288360596
194,4194.00,6.17784357070923
195,4195.00,5.11058950424194
196,4196.00,4.15512228012085
197,4197.00,3.27953791618347
198,4198.00,2.46418690681458
199,4199.00,1.74490737915039
200,4200.00,1.18132424354553
201,4201.00,0.797375380992889
202,4202.00,0.567270159721375
203,4203.00,0.445061683654785
204,4204.00,0.391523659229279
205,4205.00,0.381395697593689
206,4206.00,0.400778591632843
207,4207.00,0.444362878799438
208,4208.00,0.51518702507019
209,4209.00,0.62650865316391
210,4210.00,0.806326448917389
211,4211.00,1.10691785812378
212,4212.00,1.61969482898712
213,4213.00,2.47994136810303
214,4214.00,3.80320262908936
215,4215.00,5.47474336624146
216,4216.00,6.93374443054199
217,4217.00,7.46516418457031
218,4218.00,6.94799423217773
219,4219.00,5.96401262283325
220,4220.00,5.14099359512329
221,4221.00,4.76816558837891
222,4222.00,4.90057992935181
223,4223.00,5.52883911132813
224,4224.00,6.62989139556885
225,4225.00,8.12160205841064
226,4226.00,9.76095867156982
227,4227.00,11.0533561706543
228,4228.00,11.3351469039917
229,4229.00,10.1649837493896
230,4230.00,7.77892971038818
231,4231.00,5.03701066970825
232,4232.00,2.79124450683594
233,4233.00,1.36984086036682
234,4234.00,0.63162636756897
235,4235.00,0.296749293804169
236,4236.00,0.155315563082695
237,4237.00,0.0973216071724892
238,4238.00,0.0752868130803108
239,4239.00,0.0708696842193604
240,4240.00,0.0779933109879494
241,4241.00,0.0962415114045143
242,4242.00,0.128256663680077
243,4243.00,0.176323249936104
244,4244.00,0.233853563666344
245,4245.00,0.274717509746552
246,4246.00,0.262563973665237
247,4247.00,0.192390710115433
248,4248.00,0.106772057712078
249,4249.00,0.0470049008727074
250,4250.00,0.0180980153381824
251,4251.00,0.00685745198279619
252,4252.00,0.00280066416598856
253,4253.00,0.00126835028640926
254,4254.00,0.000618740334175527
255,4255.00,0.000311659969156608
256,4256.00,0.000161001866217703
257,4257.00,8.97151767276227E-05
258,4258.00,5.90606869081967E-05
259,4259.00,5.00210626341868E-05
260,4260.00,5.61000233574305E-05
261,4261.00,7.94282095739618E-05
262,4262.00,0.000128853396745399
263,4263.00,0.000218298780964687
264,4264.00,0.000366740336176008
265,4265.00,0.000601807085331529
266,4266.00,0.000952939386479557
267,4267.00,0.00140562863089144
268,4268.00,0.00183783087413758
269,4269.00,0.00206690793856978
270,4270.00,0.00203534821048379
271,4271.00,0.00187295058276504
272,4272.00,0.00174851762130857
273,4273.00,0.00175730476621538
274,4274.00,0.00192870001774281
275,4275.00,0.00225748005323112
276,4276.00,0.00271319900639355
277,4277.00,0.0032486068084836
278,4278.00,0.00383591768331826
279,4279.00,0.00453223288059235
280,4280.00,0.00554566411301494
281,4281.00,0.00729364762082696
282,4282.00,0.010481278412044
283,4283.00,0.0161384399980307
284,4284.00,0.0253072511404753
285,4285.00,0.0380412042140961
286,4286.00,0.0522770583629608
287,4287.00,0.0642286315560341
288,4288.00,0.0706148818135262
289,4289.00,0.0704871937632561
290,4290.00,0.0651172325015068
291,4291.00,0.0568542443215847
292,4292.00,0.0481708571314812
293,4293.00,0.0411183275282383
294,4294.00,0.0370883643627167
295,4295.00,0.0369447097182274
296,4296.00,0.0414031594991684
297,4297.00,0.0511698499321938
298,4298.00,0.0663928836584091
299,4299.00,0.0856507122516632
300,4300.00,0.105460219085217
301,4301.00,0.120942078530788
302,4302.00,0.127528592944145
303,4303.00,0.123664379119873
304,4304.00,0.112942785024643
305,4305.00,0.102605231106281
306,4306.00,0.0996224135160446
307,4307.00,0.109085135161877
308,4308.00,0.134980052709579
