#"+ESI Scan (rt: 7.012-9.076 min, 125 scans) Frag=250.0V NUDT7A_p026_xtal_F7a_1.d  Deconvoluted (Isotope Width=8.8)"
#Point,X(Daltons),Y(Counts)
0,4000.00,2.77772687695688E-06
1,4001.00,5.83733071835013E-06
2,4002.00,9.8077043730882E-06
3,4003.00,1.55897905642632E-05
4,4004.00,2.40580939134816E-05
5,4005.00,3.62074824806768E-05
6,4006.00,5.27629963471554E-05
7,4007.00,7.33252381905913E-05
8,4008.00,9.59207391133532E-05
9,4009.00,0.000117945986858103
10,4010.00,0.000137976341648027
11,4011.00,0.000157110596774146
12,4012.00,0.000179967013536952
13,4013.00,0.000216772546991706
14,4014.00,0.00028855973505415
15,4015.00,0.000439189607277513
16,4016.00,0.00075731088872999
17,4017.00,0.00139159010723233
18,4018.00,0.00248943758197129
19,4019.00,0.00399509677663445
20,4020.00,0.00548027269542217
21,4021.00,0.00634299730882049
22,4022.00,0.00627399096265435
23,4023.00,0.00547310942783952
24,4024.00,0.00441203592345119
25,4025.00,0.00346208550035954
26,4026.00,0.00274862721562386
27,4027.00,0.002233981853351
28,4028.00,0.00184548366814852
29,4029.00,0.00155038246884942
30,4030.00,0.00136510119773448
31,4031.00,0.00132968346588314
32,4032.00,0.00149620801676065
33,4033.00,0.00193465570919216
34,4034.00,0.00270255445502698
35,4035.00,0.00373758678324521
36,4036.00,0.00478391954675317
37,4037.00,0.00556444469839334
38,4038.00,0.00606198562309146
39,4039.00,0.0065154917538166
40,4040.00,0.00716926530003548
41,4041.00,0.00806100945919752
42,4042.00,0.00895483326166868
43,4043.00,0.00950727146118879
44,4044.00,0.00962571520358324
45,4045.00,0.00960374251008034
46,4046.00,0.00986788887530565
47,4047.00,0.0107144061475992
48,4048.00,0.0122469672933221
49,4049.00,0.0144186122342944
50,4050.00,0.0171038787811995
51,4051.00,0.0201521124690771
52,4052.00,0.0233487393707037
53,4053.00,0.0263243075460196
54,4054.00,0.0285878293216228
55,4055.00,0.0297418497502804
56,4056.00,0.029643340036273
57,4057.00,0.0283169355243444
58,4058.00,0.0258268266916275
59,4059.00,0.0223687496036291
60,4060.00,0.0184282399713993
61,4061.00,0.014671572484076
62,4062.00,0.0116154784336686
63,4063.00,0.00943036191165447
64,4064.00,0.0080071734264493
65,4065.00,0.00713029038161039
66,4066.00,0.00662085879594088
67,4067.00,0.00642567733302712
68,4068.00,0.00664609391242266
69,4069.00,0.00751783605664968
70,4070.00,0.00938249658793211
71,4071.00,0.0126353269442916
72,4072.00,0.017586562782526
73,4073.00,0.0243103932589293
74,4074.00,0.0326441451907158
75,4075.00,0.0421084724366665
76,4076.00,0.0512841083109379
77,4077.00,0.0572305470705032
78,4078.00,0.0567815117537975
