#"+ESI Scan (rt: 7.012-9.076 min, 125 scans) Frag=250.0V NUDT7A_p026_xtal_F7a_2.d  Deconvoluted (Isotope Width=8.8)"
#Point,X(Daltons),Y(Counts)
0,4000.00,3.34268968060769E-09
1,4001.00,1.11730376062269E-08
2,4002.00,3.39720394038068E-08
3,4003.00,1.13905649357093E-07
4,4004.00,4.07847238648174E-07
5,4005.00,1.43106638006429E-06
6,4006.00,4.45804607807077E-06
7,4007.00,1.14344911708031E-05
8,4008.00,2.35014813370071E-05
9,4009.00,3.97015173803084E-05
10,4010.00,5.88138500461355E-05
11,4011.00,8.30503704492003E-05
12,4012.00,0.00012110859825043
13,4013.00,0.00019267966854386
14,4014.00,0.000338508427375928
15,4015.00,0.000634569383691996
16,4016.00,0.00119122606702149
17,4017.00,0.00210256222635508
18,4018.00,0.00335584604181349
19,4019.00,0.00479266000911593
20,4020.00,0.00615894887596369
21,4021.00,0.00716962292790413
22,4022.00,0.00758225191384554
23,4023.00,0.00731144519522786
24,4024.00,0.00647118920460343
25,4025.00,0.00527074933052063
26,4026.00,0.00391384167596698
27,4027.00,0.00260600401088595
28,4028.00,0.00155039527453482
29,4029.00,0.000851635180879384
30,4030.00,0.000466948142275214
31,4031.00,0.000284301087958738
32,4032.00,0.000211833044886589
33,4033.00,0.000202794282813556
34,4034.00,0.000246025912929326
35,4035.00,0.000357984361471608
36,4036.00,0.000589527131523937
37,4037.00,0.00105976534541696
38,4038.00,0.00204057199880481
39,4039.00,0.00409989850595593
40,4040.00,0.00816528499126434
41,4041.00,0.0150377582758665
42,4042.00,0.0241250060498714
43,4043.00,0.0330180115997791
44,4044.00,0.0398144982755184
45,4045.00,0.0457729585468769
46,4046.00,0.055361196398735
47,4047.00,0.0760211646556854
48,4048.00,0.120366178452969
49,4049.00,0.207763984799385
50,4050.00,0.353130102157593
51,4051.00,0.532773435115814
52,4052.00,0.664951086044312
53,4053.00,0.670856237411499
54,4054.00,0.557500064373016
55,4055.00,0.398659467697144
56,4056.00,0.257543385028839
57,4057.00,0.156488358974457
58,4058.00,0.0920904278755188
59,4059.00,0.0536837987601757
60,4060.00,0.0315727889537811
61,4061.00,0.0189557820558548
62,4062.00,0.0116749759763479
63,4063.00,0.00742020504549146
64,4064.00,0.00495395390316844
65,4065.00,0.00358134810812771
66,4066.00,0.00288524688221514
67,4067.00,0.00262004765681922
68,4068.00,0.00266726710833609
69,4069.00,0.00302961096167564
70,4070.00,0.00388277973979712
71,4071.00,0.00573610747233033
72,4072.00,0.0098298043012619
73,4073.00,0.0189464297145605
74,4074.00,0.0384477861225605
75,4075.00,0.0759780257940292
76,4076.00,0.136833548545837
77,4077.00,0.214391872286797
78,4078.00,0.282861143350601
79,4079.00,0.306505560874939
80,4080.00,0.269448101520538
81,4081.00,0.195289596915245
82,4082.00,0.123827382922173
83,4083.00,0.0761180967092514
84,4084.00,0.0512710437178612
85,4085.00,0.0417664386332035
86,4086.00,0.042615931481123
87,4087.00,0.0526297204196453
88,4088.00,0.0733251571655273
89,4089.00,0.107964962720871
90,4090.00,0.160848781466484
91,4091.00,0.234732091426849
92,4092.00,0.322870820760727
93,4093.00,0.398776054382324
94,4094.00,0.42216295003891
95,4095.00,0.37298196554184
96,4096.00,0.276782661676407
97,4097.00,0.180064663290977
98,4098.00,0.110108941793442
99,4099.00,0.0681688115000725
100,4100.00,0.0449762605130672
101,4101.00,0.031967431306839
102,4102.00,0.023900743573904
103,4103.00,0.0181851536035538
104,4104.00,0.0138307297602296
105,4105.00,0.0105281621217728
106,4106.00,0.00804180838167667
107,4107.00,0.00605760188773274
108,4108.00,0.0043261949904263
109,4109.00,0.00281871575862169
110,4110.00,0.00166557566262782
111,4111.00,0.000932524155359715
112,4112.00,0.000536549836397171
113,4113.00,0.000343998486641794
114,4114.00,0.000256169063504785
115,4115.00,0.000219313267734833
116,4116.00,0.000207190896617249
117,4117.00,0.000208033758099191
118,4118.00,0.000218970904825255
119,4119.00,0.000242714420892298
120,4120.00,0.000283189117908478
121,4121.00,0.000338609068421647
122,4122.00,0.000391681154724211
123,4123.00,0.000406398961786181
124,4124.00,0.000351397757185623
125,4125.00,0.000239773973589763
126,4126.00,0.000125961581943557
127,4127.00,5.15090796397999E-05
128,4128.00,1.72644122358179E-05
129,4129.00,5.24097049492411E-06
130,4130.00,1.68234385000687E-06
131,4131.00,6.94173024839984E-07
132,4132.00,4.37803606700982E-07
133,4133.00,4.46188778369105E-07
134,4134.00,6.59561749216664E-07
135,4135.00,1.15103455300414E-06
136,4136.00,1.99403257283848E-06
137,4137.00,3.28401711158222E-06
138,4138.00,5.67582492294605E-06
139,4139.00,1.21403845696477E-05
140,4140.00,3.59168443537783E-05
141,4141.00,0.000143761542858556
142,4142.00,0.000678165932185948
143,4143.00,0.0031827159691602
144,4144.00,0.0131016355007887
145,4145.00,0.0444929152727127
146,4146.00,0.1224415153265
147,4147.00,0.271852076053619
148,4148.00,0.484079539775848
149,4149.00,0.688488841056824
150,4150.00,0.789829969406128
151,4151.00,0.755707859992981
152,4152.00,0.639529943466187
153,4153.00,0.516225874423981
154,4154.00,0.427675157785416
155,4155.00,0.380876362323761
156,4156.00,0.365290105342865
157,4157.00,0.363068997859955
158,4158.00,0.354982376098633
159,4159.00,0.329865604639053
160,4160.00,0.290725409984589
161,4161.00,0.247947812080383
162,4162.00,0.208182409405708
163,4163.00,0.171134367585182
164,4164.00,0.133806884288788
165,4165.00,0.096137709915638
166,4166.00,0.0625531896948814
167,4167.00,0.0378239676356316
168,4168.00,0.0228010974824429
169,4169.00,0.0150274923071265
170,4170.00,0.0115867992863059
171,4171.00,0.0104494160041213
172,4172.00,0.0102775963023305
173,4173.00,0.0100440448150039
174,4174.00,0.00919655337929726
175,4175.00,0.00789678376168013
176,4176.00,0.00662897014990449
177,4177.00,0.00568064860999584
178,4178.00,0.00509912427514791
179,4179.00,0.00492772134020925
180,4180.00,0.005457011051476
181,4181.00,0.00763622671365738
182,4182.00,0.0145765990018845
183,4183.00,0.0372604504227638
184,4184.00,0.112338915467262
185,4185.00,0.336464285850525
186,4186.00,0.870755732059479
187,4187.00,1.81453442573547
188,4188.00,3.02257895469666
189,4189.00,4.1448221206665
190,4190.00,4.86647653579712
191,4191.00,5.06088161468506
192,4192.00,4.78495788574219
193,4193.00,4.2049036026001
194,4194.00,3.50291585922241
195,4195.00,2.80493402481079
196,4196.00,2.16559982299805
197,4197.00,1.60062944889069
198,4198.00,1.12345254421234
199,4199.00,0.752834558486938
200,4200.00,0.495830923318863
201,4201.00,0.337368160486221
202,4202.00,0.250022411346436
203,4203.00,0.208552360534668
204,4204.00,0.1958869099617
205,4205.00,0.202101856470108
206,4206.00,0.222136095166206
207,4207.00,0.255122363567352
208,4208.00,0.305352181196213
209,4209.00,0.384211391210556
210,4210.00,0.513716459274292
211,4211.00,0.733570098876953
212,4212.00,1.1117262840271
213,4213.00,1.74603140354156
214,4214.00,2.71228194236755
215,4215.00,3.90491795539856
216,4216.00,4.89485692977905
217,4217.00,5.18317842483521
218,4218.00,4.74285268783569
219,4219.00,4.03021860122681
220,4220.00,3.48624873161316
221,4221.00,3.29950284957886
222,4222.00,3.50811982154846
223,4223.00,4.11327838897705
224,4224.00,5.0862889289856
225,4225.00,6.29841947555542
226,4226.00,7.43588972091675
227,4227.00,8.0105562210083
228,4228.00,7.58623361587524
229,4229.00,6.14048767089844
230,4230.00,4.18391799926758
231,4231.00,2.40345120429993
232,4232.00,1.18893361091614
233,4233.00,0.528220057487488
234,4234.00,0.224253997206688
235,4235.00,0.0983131974935532
236,4236.00,0.048326201736927
237,4237.00,0.0285392925143242
238,4238.00,0.021016975864768
239,4239.00,0.0192832667380571
240,4240.00,0.0214210413396358
241,4241.00,0.0276318676769733
242,4242.00,0.0393059477210045
243,4243.00,0.0575876124203205
244,4244.00,0.0797203779220581
245,4245.00,0.0951800942420959
246,4246.00,0.0908966362476349
247,4247.00,0.0666473284363747
248,4248.00,0.0376816652715206
249,4249.00,0.0173044819384813
250,4250.00,0.00706148473545909
251,4251.00,0.00283204624429345
252,4252.00,0.00119938456919044
253,4253.00,0.000543520378414541
254,4254.00,0.000253793783485889
255,4255.00,0.000117015406431165
256,4256.00,5.36761290277354E-05
257,4257.00,2.66967126663076E-05
258,4258.00,1.66102399816737E-05
259,4259.00,1.46921511259279E-05
260,4260.00,1.90287810255541E-05
261,4261.00,3.28358510159887E-05
262,4262.00,6.43956809653901E-05
263,4263.00,0.000125703663798049
264,4264.00,0.000231114885536954
265,4265.00,0.000403582322178409
266,4266.00,0.000681729754433036
267,4267.00,0.00109645584598184
268,4268.00,0.0015989129897207
269,4269.00,0.00202227802947164
270,4270.00,0.0022127574775368
271,4271.00,0.00219645584002137
272,4272.00,0.00212707230821252
273,4273.00,0.00213226792402565
274,4274.00,0.00226015620864928
275,4275.00,0.00250149611383677
276,4276.00,0.00282289576716721
277,4277.00,0.00320565747097135
278,4278.00,0.00369469891302288
279,4279.00,0.00445244135335088
280,4280.00,0.00583294639363885
281,4281.00,0.00853259023278952
282,4282.00,0.0138589544221759
283,4283.00,0.0239479448646307
284,4284.00,0.041279211640358
285,4285.00,0.0667776241898537
286,4286.00,0.0974868461489677
287,4287.00,0.126569747924805
288,4288.00,0.146089911460876
289,4289.00,0.150030255317688
290,4290.00,0.136680394411087
291,4291.00,0.110486261546612
292,4292.00,0.0807301178574562
293,4293.00,0.0560637749731541
294,4294.00,0.0401353500783443
295,4295.00,0.0323726944625378
296,4296.00,0.0311364494264126
297,4297.00,0.0355131961405277
298,4298.00,0.0451147593557835
299,4299.00,0.05866589397192
300,4300.00,0.0727587044239044
301,4301.00,0.0825260579586029
302,4302.00,0.0844673961400986
303,4303.00,0.079237587749958
304,4304.00,0.0715822130441666
305,4305.00,0.0674470216035843
306,4306.00,0.0719805955886841
307,4307.00,0.0905436649918556
308,4308.00,0.12989841401577
309,4309.00,0.193591147661209
310,4310.00,0.268397927284241
311,4311.00,0.317743837833405
312,4312.00,0.3083276450634
313,4313.00,0.246318697929382
314,4314.00,0.168486088514328
315,4315.00,0.104440450668335
316,4316.00,0.0618548393249512
317,4317.00,0.0361333116889
318,4318.00,0.0210545789450407
319,4319.00,0.0123853823170066
320,4320.00,0.00764132337644696
321,4321.00,0.00528581393882632
322,4322.00,0.00437137903645635
323,4323.00,0.004410688765347
324,4324.00,0.00525117432698607
325,4325.00,0.00700823497027159
326,4326.00,0.010264128446579
327,4327.00,0.0168470982462168
328,4328.00,0.0318414643406868
329,4329.00,0.0682128742337227
330,4330.00,0.15421624481678
331,4331.00,0.335038721561432
332,4332.00,0.652629971504211
333,4333.00,1.11831116676331
334,4334.00,1.73002552986145
335,4335.00,2.52556538581848
336,4336.00,3.59027671813965
337,4337.00,4.97001600265503
338,4338.00,6.51720142364502
339,4339.00,7.82867527008057
340,4340.00,8.47889995574951
341,4341.00,8.38336658477783
342,4342.00,7.82656955718994
343,4343.00,7.14789342880249
344,4344.00,6.50199556350708
345,4345.00,5.86473798751831
346,4346.00,5.17034673690796
347,4347.00,4.43336391448975
348,4348.00,3.76025938987732
349,4349.00,3.26970887184143
350,4350.00,3.02607893943787
351,4351.00,3.02805876731873
352,4352.00,3.20579886436462
353,4353.00,3.39945244789124
354,4354.00,3.38593101501465
355,4355.00,3.02659440040588
356,4356.00,2.40448260307312
357,4357.00,1.74343872070313
358,4358.00,1.21246993541718
359,4359.00,0.852440655231476
360,4360.00,0.62797486782074
361,4361.00,0.488860130310059
362,4362.00,0.396799087524414
363,4363.00,0.330299139022827
364,4364.00,0.281582057476044
365,4365.00,0.250122040510178
366,4366.00,0.236361488699913
367,4367.00,0.238294705748558
368,4368.00,0.250142425298691
369,4369.00,0.262679368257523
370,4370.00,0.267364174127579
371,4371.00,0.263051629066467
372,4372.00,0.258141070604324
373,4373.00,0.266254961490631
374,4374.00,0.302868038415909
375,4375.00,0.387270599603653
376,4376.00,0.545479118824005
377,4377.00,0.805003702640533
378,4378.00,1.17447316646576
379,4379.00,1.61759221553802
380,4380.00,2.05155801773071
381,4381.00,2.38599538803101
382,4382.00,2.57237195968628
383,4383.00,2.61970210075378
384,4384.00,2.56997036933899
