#"+ESI Scan (rt: 7.017-9.064 min, 124 scans) Frag=250.0V blank19.d  Deconvoluted (Isotope Width=8.8)"
#Point,X(Daltons),Y(Counts)
0,4000.00,3.95438428313355E-06
1,4001.00,9.2459786174004E-06
2,4002.00,1.71534447872546E-05
3,4003.00,2.95431746053509E-05
4,4004.00,4.81712158943992E-05
5,4005.00,7.48723105061799E-05
6,4006.00,0.000110865759779699
7,4007.00,0.000154903362272307
8,4008.00,0.000201964270672761
9,4009.00,0.000245040195295587
10,4010.00,0.000279605214018375
11,4011.00,0.00030770679586567
12,4012.00,0.000340233324095607
13,4013.00,0.000399205426219851
14,4014.00,0.00052516459254548
15,4015.00,0.000796950771473348
16,4016.00,0.00136196566745639
17,4017.00,0.00242546712979674
18,4018.00,0.00407035602256656
19,4019.00,0.00592940812930465
20,4020.00,0.00721631851047277
21,4021.00,0.0073819225654006
22,4022.00,0.0065825548954308
23,4023.00,0.00539524806663394
24,4024.00,0.00431314157322049
25,4025.00,0.00354406051337719
26,4026.00,0.00307767861522734
27,4027.00,0.00280731008388102
28,4028.00,0.00261415331624448
29,4029.00,0.0024260685313493
30,4030.00,0.00224578427150846
31,4031.00,0.00212489767000079
32,4032.00,0.00211482588201761
33,4033.00,0.00224087270908058
34,4034.00,0.00249749352224171
35,4035.00,0.00284795346669853
36,4036.00,0.0032348248641938
37,4037.00,0.00361370528116822
38,4038.00,0.00399286858737469
39,4039.00,0.00443679047748446
40,4040.00,0.00501394923776388
41,4041.00,0.00571408262476325
42,4042.00,0.00640189694240689
43,4043.00,0.00690272822976112
44,4044.00,0.00719322310760617
45,4045.00,0.00746739795431495
46,4046.00,0.00799547415226698
47,4047.00,0.00896807108074427
48,4048.00,0.0104399072006345
49,4049.00,0.012337701395154
50,4050.00,0.0144916297867894
51,4051.00,0.0166602209210396
52,4052.00,0.0185562577098608
53,4053.00,0.0199369266629219
54,4054.00,0.0207369476556778
55,4055.00,0.0210742522031069
56,4056.00,0.0210444200783968
57,4057.00,0.0204991046339273
58,4058.00,0.0191136561334133
59,4059.00,0.0167953241616488
60,4060.00,0.0139858433976769
61,4061.00,0.0114068733528256
62,4062.00,0.00956709124147892
63,4063.00,0.00860137026757002
64,4064.00,0.00841953326016665
65,4065.00,0.00886962749063969
66,4066.00,0.00983481574803591
67,4067.00,0.0113282948732376
68,4068.00,0.0135841146111488
69,4069.00,0.0170630160719156
70,4070.00,0.0223277024924755
71,4071.00,0.0298194903880358
72,4072.00,0.0397099107503891
73,4073.00,0.0520735941827297
74,4074.00,0.067144051194191
75,4075.00,0.0847381800413132
76,4076.00,0.102390497922897
77,4077.00,0.113891705870628
78,4078.00,0.111981198191643
79,4079.00,0.0951351299881935
80,4080.00,0.0702250823378563
81,4081.00,0.0466039702296257
82,4082.00,0.029494745656848
83,4083.00,0.0192652884870768
84,4084.00,0.0141660338267684
85,4085.00,0.0125574674457312
86,4086.00,0.0136790946125984
87,4087.00,0.0175607148557901
88,4088.00,0.0244350340217352
89,4089.00,0.0336256735026836
90,4090.00,0.0424749590456486
91,4091.00,0.0469431281089783
92,4092.00,0.0445256307721138
93,4093.00,0.0366358496248722
94,4094.00,0.0272059757262468
95,4095.00,0.0193432979285717
96,4096.00,0.0139747504144907
97,4097.00,0.010671766474843
98,4098.00,0.00869886670261621
99,4099.00,0.00746509898453951
100,4100.00,0.00658915378153324
101,4101.00,0.00585739919915795
102,4102.00,0.00518494239076972
103,4103.00,0.00459151295945048
104,4104.00,0.00416457932442427
105,4105.00,0.00400413293391466
106,4106.00,0.00418094918131828
107,4107.00,0.00470952922478318
108,4108.00,0.00549596780911088
109,4109.00,0.00627785688266158
110,4110.00,0.0066782278008759
111,4111.00,0.00643474841490388
112,4112.00,0.00561725348234177
113,4113.00,0.00458670360967517
114,4114.00,0.00373480026610196
115,4115.00,0.00329138524830341
116,4116.00,0.00335144344717264
117,4117.00,0.00399530492722988
118,4118.00,0.00532715627923608
119,4119.00,0.00735634937882423
120,4120.00,0.00977101922035217
121,4121.00,0.0118224108591676
122,4122.00,0.0126128261908889
123,4123.00,0.0117723392322659
124,4124.00,0.00983180478215218
125,4125.00,0.00771705759689212
126,4126.00,0.00601929519325495
127,4127.00,0.00484538730233908
128,4128.00,0.00406809896230698
129,4129.00,0.00354524725116789
130,4130.00,0.00319551024585962
131,4131.00,0.00298046576790512
132,4132.00,0.00286026694811881
133,4133.00,0.00277380319312215
134,4134.00,0.00266022770665586
135,4135.00,0.00249673030339181
136,4136.00,0.00230593886226416
137,4137.00,0.00212999852374196
138,4138.00,0.00201243720948696
139,4139.00,0.00200185901485384
140,4140.00,0.0021594304125756
141,4141.00,0.00255893939174712
142,4142.00,0.00327393552288413
143,4143.00,0.00434793205931783
144,4144.00,0.00577790243551135
145,4145.00,0.00754929380491376
146,4146.00,0.00965994596481323
147,4147.00,0.0120278326794505
148,4148.00,0.0143589973449707
149,4149.00,0.0162210706621408
150,4150.00,0.0173449665307999
151,4151.00,0.0177699513733387
152,4152.00,0.0176454354077578
153,4153.00,0.0170453321188688
154,4154.00,0.0160717722028494
155,4155.00,0.0150179881602526
156,4156.00,0.0142652811482549
157,4157.00,0.014016137458384
158,4158.00,0.0141482129693031
159,4159.00,0.0142778670415282
160,4160.00,0.0140200238674879
161,4161.00,0.0132946902886033
162,4162.00,0.0123730897903442
163,4163.00,0.0116181652992964
164,4164.00,0.0112094851210713
165,4165.00,0.0110290832817554
166,4166.00,0.0107105216011405
167,4167.00,0.00990325957536697
168,4168.00,0.00864536222070456
169,4169.00,0.00739240273833275
170,4170.00,0.00663552060723305
171,4171.00,0.00664969580247998
172,4172.00,0.00753923738375306
173,4173.00,0.00926400348544121
174,4174.00,0.011512235738337
175,4175.00,0.0136718014255166
176,4176.00,0.0151218492537737
177,4177.00,0.0155773488804698
178,4178.00,0.0151713863015175
179,4179.00,0.014368824660778
180,4180.00,0.0138455890119076
181,4181.00,0.0144034875556827
182,4182.00,0.0171234607696533
183,4183.00,0.023977117612958
184,4184.00,0.0389805808663368
185,4185.00,0.0693505257368088
186,4186.00,0.123902693390846
187,4187.00,0.204138800501823
188,4188.00,0.292194843292236
189,4189.00,0.35566172003746
190,4190.00,0.373492568731308
191,4191.00,0.351098418235779
192,4192.00,0.308629333972931
193,4193.00,0.263882339000702
194,4194.00,0.226199045777321
195,4195.00,0.198141247034073
196,4196.00,0.17840701341629
197,4197.00,0.163909628987312
198,4198.00,0.151447489857674
199,4199.00,0.139245361089706
200,4200.00,0.127611130475998
201,4201.00,0.11813260614872
202,4202.00,0.112292289733887
203,4203.00,0.110669709742069
204,4204.00,0.112812377512455
205,4205.00,0.117337465286255
206,4206.00,0.122199095785618
207,4207.00,0.125372037291527
208,4208.00,0.125882342457771
209,4209.00,0.124412938952446
210,4210.00,0.122789897024632
211,4211.00,0.122893080115318
212,4212.00,0.126123070716858
213,4213.00,0.13359247148037
214,4214.00,0.146149069070816
215,4215.00,0.163261041045189
216,4216.00,0.180873185396194
217,4217.00,0.1908960044384
218,4218.00,0.186263620853424
219,4219.00,0.168364003300667
220,4220.00,0.14628392457962
221,4221.00,0.128445029258728
222,4222.00,0.117766179144382
223,4223.00,0.112829640507698
224,4224.00,0.110597357153893
225,4225.00,0.108384527266026
226,4226.00,0.104633055627346
227,4227.00,0.0985292196273804
228,4228.00,0.0894732922315598
229,4229.00,0.0773632302880287
230,4230.00,0.0632518604397774
231,4231.00,0.0491929799318314
232,4232.00,0.0371961146593094
233,4233.00,0.0283820703625679
234,4234.00,0.0229343138635159
235,4235.00,0.0205091033130884
236,4236.00,0.020585011690855
237,4237.00,0.0224407110363245
238,4238.00,0.0248883105814457
239,4239.00,0.0265352856367826
240,4240.00,0.0269262809306383
241,4241.00,0.0271709132939577
242,4242.00,0.0292202159762383
243,4243.00,0.0351642332971096
244,4244.00,0.0471817888319492
245,4245.00,0.0667955055832863
246,4246.00,0.0919667556881905
247,4247.00,0.114005669951439
248,4248.00,0.121244885027409
249,4249.00,0.109799109399319
250,4250.00,0.0872321948409081
251,4251.00,0.063979484140873
252,4252.00,0.0456496886909008
253,4253.00,0.0329894199967384
254,4254.00,0.0247658807784319
255,4255.00,0.0195727609097958
256,4256.00,0.0163333360105753
257,4257.00,0.0142926443368196
258,4258.00,0.0129452189430594
259,4259.00,0.0119865033775568
260,4260.00,0.011244404129684
261,4261.00,0.0105937849730253
262,4262.00,0.00994147732853889
263,4263.00,0.00931455567479134
264,4264.00,0.0089232949540019
265,4265.00,0.00907856225967407
266,4266.00,0.0100247198715806
267,4267.00,0.0117111271247268
