#"+ESI Scan (rt: 0.767-1.083 min, 20 scans) Frag=250.0V NUDT7A_p026_0_04_mg_ml.d  Deconvoluted (Isotope Width=8.8)"
#Point,X(Daltons),Y(Counts)
0,4000.00,1.56536525963702E-08
1,4001.00,8.72158700815362E-09
2,4002.00,4.0529442024706E-09
3,4003.00,2.18209006419556E-09
4,4004.00,1.58496993307722E-09
5,4005.00,1.62799740355268E-09
6,4006.00,2.23985829883588E-09
7,4007.00,3.73489772442781E-09
8,4008.00,6.961822673901E-09
9,4009.00,1.39499913842656E-08
10,4010.00,2.95831892316301E-08
11,4011.00,6.54715108794335E-08
12,4012.00,1.49323639675458E-07
13,4013.00,3.52314799556552E-07
14,4014.00,8.82930692114314E-07
15,4015.00,2.42107444137218E-06
16,4016.00,7.25466770745697E-06
17,4017.00,2.26123593165539E-05
18,4018.00,6.74883631290868E-05
19,4019.00,0.000176266257767566
20,4020.00,0.000371650909073651
21,4021.00,0.000593196542467922
22,4022.00,0.000689951179083437
23,4023.00,0.00058921065647155
24,4024.00,0.000398142728954554
25,4025.00,0.000246761774178594
26,4026.00,0.000169832492247224
27,4027.00,0.000153465400217101
28,4028.00,0.00019566758419387
29,4029.00,0.000336171098751947
30,4030.00,0.000690241693519056
31,4031.00,0.00149411195889115
32,4032.00,0.00312810414470732
33,4033.00,0.00609030714258552
34,4034.00,0.0109245264902711
35,4035.00,0.0180174261331558
36,4036.00,0.0271889641880989
37,4037.00,0.0375139079988003
38,4038.00,0.0479424297809601
39,4039.00,0.0580421909689903
40,4040.00,0.0677417889237404
41,4041.00,0.0765901431441307
42,4042.00,0.0838206261396408
43,4043.00,0.0891800820827484
44,4044.00,0.0932833850383759
45,4045.00,0.0970535725355148
46,4046.00,0.101152338087559
47,4047.00,0.106101498007774
48,4048.00,0.112711623311043
49,4049.00,0.122043922543526
50,4050.00,0.134812548756599
51,4051.00,0.150997400283813
52,4052.00,0.170456618070602
53,4053.00,0.194164797663689
54,4054.00,0.224334344267845
55,4055.00,0.26202717423439
56,4056.00,0.3029705286026
57,4057.00,0.335304975509644
58,4058.00,0.344675481319427
59,4059.00,0.325246512889862
60,4060.00,0.284731447696686
61,4061.00,0.237665817141533
62,4062.00,0.196092635393143
63,4063.00,0.166006729006767
64,4064.00,0.148523390293121
65,4065.00,0.141956806182861
66,4066.00,0.142999306321144
67,4067.00,0.147219032049179
68,4068.00,0.149917453527451
69,4069.00,0.147493690252304
70,4070.00,0.138334289193153
71,4071.00,0.123083427548409
72,4072.00,0.104752376675606
73,4073.00,0.0877922028303146
74,4074.00,0.0758111402392387
75,4075.00,0.0698619782924652
76,4076.00,0.068141333758831
77,4077.00,0.0662256553769112
78,4078.00,0.0590220987796783
79,4079.00,0.0454766377806664
80,4080.00,0.0301916431635618
81,4081.00,0.0182000268250704
82,4082.00,0.0108230067417026
83,4083.00,0.00686693424358964
84,4084.00,0.00485530588775873
85,4085.00,0.00379060441628098
86,4086.00,0.00306936749257147
87,4087.00,0.00234243855811656
