#"+ESI Scan (rt: 0.773-1.072 min, 19 scans) Frag=250.0V NUDT7A_p026_1_mg_ml.d  Deconvoluted (Isotope Width=8.8)"
#Point,X(Daltons),Y(Counts)
0,4000.00,1.70204490501646E-08
1,4001.00,2.56175898272204E-08
2,4002.00,3.22935242991207E-08
3,4003.00,4.44811369959552E-08
4,4004.00,7.46080459634868E-08
5,4005.00,1.55954538172409E-07
6,4006.00,3.87541490454169E-07
7,4007.00,1.07099106116948E-06
8,4008.00,3.20790240948554E-06
9,4009.00,1.08143658508197E-05
10,4010.00,4.38201604993083E-05
11,4011.00,0.000218443165067583
12,4012.00,0.00124791776761413
13,4013.00,0.00699147535488009
14,4014.00,0.0320466235280037
15,4015.00,0.104119151830673
16,4016.00,0.223720625042915
17,4017.00,0.321750432252884
18,4018.00,0.335331797599792
19,4019.00,0.284973680973053
20,4020.00,0.222484841942787
21,4021.00,0.174345523118973
22,4022.00,0.143579617142677
23,4023.00,0.125875875353813
24,4024.00,0.116906933486462
25,4025.00,0.113210007548332
26,4026.00,0.111461408436298
27,4027.00,0.109086252748966
28,4028.00,0.107085973024368
29,4029.00,0.113075159490108
30,4030.00,0.14570564031601
31,4031.00,0.258548855781555
32,4032.00,0.649099409580231
33,4033.00,2.07083415985107
34,4034.00,6.89676380157471
35,4035.00,19.7414360046387
36,4036.00,43.1080093383789
37,4037.00,70.2572937011719
38,4038.00,90.1254959106445
39,4039.00,99.0282516479492
40,4040.00,100.715995788574
41,4041.00,100.136192321777
42,4042.00,100.916938781738
43,4043.00,105.561141967773
44,4044.00,115.365509033203
45,4045.00,129.662078857422
46,4046.00,145.399703979492
47,4047.00,158.261520385742
48,4048.00,164.787170410156
49,4049.00,163.266189575195
50,4050.00,153.323181152344
51,4051.00,136.281204223633
52,4052.00,115.853622436523
53,4053.00,96.7402801513672
54,4054.00,81.9277725219727
55,4055.00,71.5839691162109
56,4056.00,63.8863792419434
57,4057.00,56.5203475952148
58,4058.00,48.1604347229004
59,4059.00,39.1755485534668
60,4060.00,30.9101829528809
61,4061.00,24.3997344970703
62,4062.00,19.8299331665039
63,4063.00,16.7755508422852
64,4064.00,14.5857992172241
65,4065.00,12.6607875823975
66,4066.00,10.6715974807739
67,4067.00,8.65481185913086
68,4068.00,6.84400224685669
69,4069.00,5.39605808258057
70,4070.00,4.29538249969482
71,4071.00,3.44446754455566
72,4072.00,2.77696895599365
73,4073.00,2.28891730308533
74,4074.00,1.99642932415009
75,4075.00,1.89082407951355
76,4076.00,1.91720688343048
77,4077.00,1.95563745498657
78,4078.00,1.84179317951202
79,4079.00,1.49541449546814
80,4080.00,1.02975964546204
81,4081.00,0.633056402206421
82,4082.00,0.387216091156006
83,4083.00,0.266836374998093
84,4084.00,0.223942637443542
85,4085.00,0.225644782185555
86,4086.00,0.248372673988342
87,4087.00,0.267461180686951
88,4088.00,0.265560030937195
89,4089.00,0.24772047996521
90,4090.00,0.233685702085495
91,4091.00,0.240003362298012
92,4092.00,0.275112956762314
93,4093.00,0.340011596679688
94,4094.00,0.424875617027283
95,4095.00,0.509174823760986
96,4096.00,0.573854446411133
97,4097.00,0.612522065639496
98,4098.00,0.625817894935608
99,4099.00,0.60925567150116
100,4100.00,0.553587794303894
101,4101.00,0.459201276302338
102,4102.00,0.345651239156723
103,4103.00,0.240426942706108
104,4104.00,0.160048618912697
105,4105.00,0.105232171714306
106,4106.00,0.0688211619853973
107,4107.00,0.0437710955739021
108,4108.00,0.0261857286095619
109,4109.00,0.014576225541532
110,4110.00,0.00785103626549244
111,4111.00,0.00447742221876979
112,4112.00,0.00300824921578169
113,4113.00,0.00255930470302701
114,4114.00,0.0027783343102783
115,4115.00,0.00366255268454552
116,4116.00,0.00538201909512281
117,4117.00,0.00794797949492931
118,4118.00,0.0106773423030972
119,4119.00,0.0121527221053839
120,4120.00,0.011353830806911
121,4121.00,0.00870054867118597
122,4122.00,0.00552654825150967
123,4123.00,0.00291991117410362
124,4124.00,0.00126874051056802
125,4125.00,0.000446196441771463
126,4126.00,0.000128613392007537
127,4127.00,3.32894087478053E-05
128,4128.00,9.55303403316066E-06
129,4129.00,4.15577596868388E-06
130,4130.00,3.67328357242513E-06
131,4131.00,7.1823769758339E-06
132,4132.00,2.5077317332034E-05
133,4133.00,0.000104767437733244
134,4134.00,0.00035551012842916
135,4135.00,0.000760977796744555
136,4136.00,0.000934380223043263
137,4137.00,0.000683427788317204
138,4138.00,0.000338208221364766
139,4139.00,0.00013345293700695
140,4140.00,4.89298145112116E-05
141,4141.00,1.8852068023989E-05
142,4142.00,8.50955620990135E-06
143,4143.00,5.00900341648958E-06
144,4144.00,4.1473981582385E-06
145,4145.00,4.80729613627773E-06
146,4146.00,7.20836169421091E-06
147,4147.00,1.30701573652914E-05
148,4148.00,2.95844984066207E-05
149,4149.00,9.40254249144346E-05
150,4150.00,0.000449609680799767
151,4151.00,0.00288746599107981
152,4152.00,0.0187492985278368
153,4153.00,0.0901683568954468
154,4154.00,0.263434320688248
155,4155.00,0.456429153680801
156,4156.00,0.536750137805939
157,4157.00,0.536091566085815
158,4158.00,0.561699867248535
159,4159.00,0.688755691051483
160,4160.00,0.977548122406006
161,4161.00,1.48713481426239
162,4162.00,2.23052883148193
163,4163.00,3.0617790222168
164,4164.00,3.58371472358704
165,4165.00,3.37224960327148
166,4166.00,2.49128389358521
167,4167.00,1.49021112918854
168,4168.00,0.78659862279892
169,4169.00,0.41225254535675
170,4170.00,0.23899818956852
171,4171.00,0.162491649389267
172,4172.00,0.129895329475403
173,4173.00,0.120093904435635
174,4174.00,0.129349246621132
175,4175.00,0.166600570082664
176,4176.00,0.254488527774811
177,4177.00,0.426335602998734
178,4178.00,0.693158209323883
179,4179.00,0.981973886489868
180,4180.00,1.15577363967896
181,4181.00,1.15999150276184
182,4182.00,1.07709395885468
183,4183.00,1.02084696292877
184,4184.00,1.06346452236176
185,4185.00,1.24852049350739
186,4186.00,1.61287927627563
187,4187.00,2.17390394210815
188,4188.00,2.88736081123352
189,4189.00,3.62283134460449
190,4190.00,4.20919942855835
191,4191.00,4.52852344512939
192,4192.00,4.57210683822632
193,4193.00,4.419508934021
194,4194.00,4.17967939376831
195,4195.00,3.94341278076172
196,4196.00,3.76304841041565
197,4197.00,3.65254664421082
198,4198.00,3.59880065917969
199,4199.00,3.5798032283783
200,4200.00,3.58465909957886
201,4201.00,3.62446022033691
202,4202.00,3.72371459007263
203,4203.00,3.89309096336365
204,4204.00,4.09472131729126
205,4205.00,4.22257518768311
206,4206.00,4.13675880432129
207,4207.00,3.76466536521912
208,4208.00,3.18327283859253
209,4209.00,2.57434058189392
210,4210.00,2.10139513015747
211,4211.00,1.84983098506927
212,4212.00,1.86248695850372
213,4213.00,2.20747399330139
214,4214.00,3.02183651924133
215,4215.00,4.46289968490601
216,4216.00,6.4577751159668
217,4217.00,8.36378765106201
218,4218.00,9.17269039154053
219,4219.00,8.43371963500977
220,4220.00,6.67586994171143
221,4221.00,4.75323629379272
222,4222.00,3.17785573005676
223,4223.00,2.0632791519165
224,4224.00,1.33653855323792
225,4225.00,0.88964980840683
226,4226.00,0.632558643817902
227,4227.00,0.501268208026886
228,4228.00,0.454135775566101
229,4229.00,0.463222533464432
230,4230.00,0.500382900238037
231,4231.00,0.526542127132416
232,4232.00,0.50425124168396
233,4233.00,0.429288774728775
234,4234.00,0.334413081407547
235,4235.00,0.255458950996399
236,4236.00,0.208177208900452
237,4237.00,0.193739756941795
238,4238.00,0.211514338850975
239,4239.00,0.265010476112366
240,4240.00,0.359711527824402
241,4241.00,0.493601739406586
242,4242.00,0.645843923091888
243,4243.00,0.778372347354889
244,4244.00,0.857929408550262
245,4245.00,0.877786636352539
246,4246.00,0.854199707508087
247,4247.00,0.805748105049133
248,4248.00,0.73996889591217
249,4249.00,0.656183898448944
250,4250.00,0.557220637798309
251,4251.00,0.45629945397377
252,4252.00,0.370924472808838
253,4253.00,0.312037348747253
254,4254.00,0.280787914991379
255,4255.00,0.272392511367798
256,4256.00,0.280732840299606
257,4257.00,0.302107125520706
258,4258.00,0.338444441556931
259,4259.00,0.397485196590424
260,4260.00,0.485768735408783
261,4261.00,0.59024715423584
262,4262.00,0.657965958118439
263,4263.00,0.622066736221313
264,4264.00,0.484577506780624
265,4265.00,0.325439155101776
266,4266.00,0.208423301577568
267,4267.00,0.140522882342339
268,4268.00,0.103253990411758
269,4269.00,0.0785922184586525
270,4270.00,0.0561326071619987
271,4271.00,0.0345863401889801
272,4272.00,0.0178737156093121
273,4273.00,0.00795873813331127
274,4274.00,0.00321751018054783
275,4275.00,0.00123819487635046
276,4276.00,0.000469399383291602
277,4277.00,0.000182278730790131
278,4278.00,7.77115055825561E-05
279,4279.00,4.03149206249509E-05
280,4280.00,2.80126605503028E-05
281,4281.00,2.6712648832472E-05
282,4282.00,3.22731102642138E-05
283,4283.00,4.23992387368344E-05
284,4284.00,5.18743436259683E-05
285,4285.00,5.39263564860448E-05
286,4286.00,4.78126567031723E-05
287,4287.00,3.94901799154468E-05
288,4288.00,3.43077990692109E-05
289,4289.00,3.42522507708054E-05
290,4290.00,4.00950484618079E-05
291,4291.00,5.34186328877695E-05
292,4292.00,7.79806869104505E-05
293,4293.00,0.000121812925499398
294,4294.00,0.000202584589715116
295,4295.00,0.000365198677172884
296,4296.00,0.000744558346923441
297,4297.00,0.00181100715417415
298,4298.00,0.00545056769624352
299,4299.00,0.0200349651277065
300,4300.00,0.0826828703284264
301,4301.00,0.33122980594635
302,4302.00,1.09427762031555
303,4303.00,2.62490320205688
304,4304.00,4.33030223846436
305,4305.00,5.07204246520996
306,4306.00,4.68766641616821
307,4307.00,3.93221688270569
308,4308.00,3.35950613021851
309,4309.00,3.03961706161499
310,4310.00,2.79202103614807
311,4311.00,2.42055296897888
312,4312.00,1.90594887733459
313,4313.00,1.3978476524353
314,4314.00,1.02214622497559
315,4315.00,0.793567657470703
316,4316.00,0.668600261211395
317,4317.00,0.60168594121933
318,4318.00,0.566782176494598
319,4319.00,0.561557650566101
320,4320.00,0.603194713592529
321,4321.00,0.722784280776978
322,4322.00,0.959353685379028
323,4323.00,1.33025193214417
324,4324.00,1.75045502185822
325,4325.00,1.98285460472107
326,4326.00,1.82152462005615
327,4327.00,1.36032378673553
328,4328.00,0.8785200715065
329,4329.00,0.535685420036316
330,4330.00,0.328533470630646
331,4331.00,0.203451991081238
332,4332.00,0.121858760714531
333,4333.00,0.068080373108387
334,4334.00,0.0362639985978603
335,4335.00,0.0200361423194408
336,4336.00,0.0126262363046408
337,4337.00,0.00943256914615631
338,4338.00,0.00803051516413689
339,4339.00,0.00721126049757004
340,4340.00,0.00644681602716446
341,4341.00,0.00566577538847923
342,4342.00,0.00497870659455657
343,4343.00,0.00443386845290661
344,4344.00,0.00395769206807017
345,4345.00,0.00343346316367388
346,4346.00,0.002819619840011
347,4347.00,0.0021997548174113
348,4348.00,0.00170909485314041
349,4349.00,0.00144506036303937
350,4350.00,0.00149245944339782
351,4351.00,0.00211657118052244
352,4352.00,0.00446435622870922
353,4353.00,0.0139274867251515
354,4354.00,0.0569211319088936
355,4355.00,0.24573327600956
356,4356.00,0.882319569587708
357,4357.00,2.1865131855011
358,4358.00,3.43539810180664
359,4359.00,3.53889226913452
360,4360.00,2.74800729751587
361,4361.00,1.9629921913147
362,4362.00,1.54273319244385
363,4363.00,1.44539046287537
364,4364.00,1.55561494827271
365,4365.00,1.74176025390625
366,4366.00,1.86050653457642
367,4367.00,1.82965302467346
368,4368.00,1.67443633079529
369,4369.00,1.47472214698792
370,4370.00,1.29775750637054
371,4371.00,1.18066716194153
372,4372.00,1.14051377773285
373,4373.00,1.18263602256775
374,4374.00,1.29864597320557
375,4375.00,1.45517420768738
376,4376.00,1.58683454990387
377,4377.00,1.61908543109894
378,4378.00,1.52081942558289
379,4379.00,1.33231770992279
380,4380.00,1.1300128698349
381,4381.00,0.971269905567169
382,4382.00,0.87343031167984
383,4383.00,0.823549568653107
384,4384.00,0.792986989021301
385,4385.00,0.749278783798218
386,4386.00,0.669209718704224
387,4387.00,0.551431000232697
388,4388.00,0.418810188770294
389,4389.00,0.303469479084015
390,4390.00,0.226125419139862
391,4391.00,0.190776780247688
392,4392.00,0.194865629076958
393,4393.00,0.236485496163368
394,4394.00,0.303062587976456
395,4395.00,0.347857058048248
396,4396.00,0.31523397564888
397,4397.00,0.220739036798477
398,4398.00,0.131254062056541
399,4399.00,0.0773449093103409
400,4400.00,0.0508592128753662
401,4401.00,0.0379322431981564
402,4402.00,0.029806325212121
403,4403.00,0.0224516745656729
404,4404.00,0.0154862655326724
405,4405.00,0.0100777121260762
406,4406.00,0.00669789360836148
407,4407.00,0.00487597659230232
408,4408.00,0.0039435001090169
409,4409.00,0.003415233688429
410,4410.00,0.00303882220759988
411,4411.00,0.0027560640592128
412,4412.00,0.00260708527639508
413,4413.00,0.00263772229664028
414,4414.00,0.00287503493018448
415,4415.00,0.00335358991287649
416,4416.00,0.00416646618396044
417,4417.00,0.00554748252034187
418,4418.00,0.00804635789245367
419,4419.00,0.0130378250032663
420,4420.00,0.0243497416377068
421,4421.00,0.0533360242843628
422,4422.00,0.132092356681824
423,4423.00,0.329049855470657
424,4424.00,0.694987297058105
425,4425.00,1.06888711452484
426,4426.00,1.12795436382294
427,4427.00,0.87627899646759
428,4428.00,0.600800275802612
429,4429.00,0.449640870094299
430,4430.00,0.420384466648102
431,4431.00,0.48944216966629
432,4432.00,0.643808424472809
433,4433.00,0.876212477684021
434,4434.00,1.21697866916656
435,4435.00,1.79497730731964
436,4436.00,2.87341141700745
437,4437.00,4.77781295776367
438,4438.00,7.51630401611328
439,4439.00,10.2104806900024
440,4440.00,11.4005565643311
441,4441.00,10.5013990402222
442,4442.00,8.34889221191406
443,4443.00,6.11315250396729
444,4444.00,4.39195537567139
445,4445.00,3.2457013130188
446,4446.00,2.5278754234314
447,4447.00,2.07432246208191
448,4448.00,1.75465166568756
449,4449.00,1.47996997833252
450,4450.00,1.21142470836639
451,4451.00,0.960912942886353
452,4452.00,0.764983773231506
453,4453.00,0.651880145072937
454,4454.00,0.636308550834656
455,4455.00,0.740663111209869
456,4456.00,1.02475774288177
457,4457.00,1.62128210067749
458,4458.00,2.78148293495178
459,4459.00,4.91398572921753
460,4460.00,8.52523326873779
461,4461.00,13.8558502197266
462,4462.00,20.1158180236816
463,4463.00,24.9848670959473
464,4464.00,25.7365703582764
465,4465.00,21.7094688415527
466,4466.00,15.1302404403687
467,4467.00,8.97873783111572
468,4468.00,4.75370788574219
469,4469.00,2.37142944335938
470,4470.00,1.17542576789856
471,4471.00,0.607300043106079
472,4472.00,0.343815684318542
473,4473.00,0.227631762623787
474,4474.00,0.191353991627693
475,4475.00,0.219482570886612
476,4476.00,0.346999883651733
477,4477.00,0.692918598651886
478,4478.00,1.48180568218231
479,4479.00,2.84526562690735
480,4480.00,4.34960842132568
481,4481.00,5.13708257675171
482,4482.00,4.9542498588562
483,4483.00,4.32869911193848
484,4484.00,3.77389788627625
485,4485.00,3.4235360622406
486,4486.00,3.17020654678345
487,4487.00,2.87158942222595
488,4488.00,2.49690389633179
489,4489.00,2.13934850692749
490,4490.00,1.91267693042755
491,4491.00,1.88076102733612
492,4492.00,2.06068968772888
493,4493.00,2.4207808971405
494,4494.00,2.8375563621521
495,4495.00,3.09257340431213
496,4496.00,3.01239538192749
497,4497.00,2.6304075717926
498,4498.00,2.13791251182556
499,4499.00,1.70453798770905
500,4500.00,1.39641261100769
501,4501.00,1.20696842670441
502,4502.00,1.10384893417358
503,4503.00,1.05066382884979
504,4504.00,1.01047337055206
505,4505.00,0.946249902248383
506,4506.00,0.830249965190887
507,4507.00,0.6622074842453
508,4508.00,0.475253045558929
509,4509.00,0.312489748001099
510,4510.00,0.196880877017975
511,4511.00,0.126078769564629
512,4512.00,0.08663509786129
