#"+ESI Scan (rt: 0.770-1.069 min, 19 scans) Frag=250.0V NUDT7A_p026_gly_0_04_mg_ml.d  Deconvoluted (Isotope Width=8.8)"
#Point,X(Daltons),Y(Counts)
0,4000.00,1.04616217910802E-08
1,4001.00,8.11576938986036E-08
2,4002.00,4.26204195491664E-07
3,4003.00,1.75145771663665E-06
4,4004.00,5.73848592466675E-06
5,4005.00,1.5017630175862E-05
6,4006.00,3.09685674437787E-05
7,4007.00,4.93386396556161E-05
8,4008.00,6.09469898336101E-05
9,4009.00,6.16770994383842E-05
10,4010.00,5.69346957490779E-05
11,4011.00,5.45383554708678E-05
12,4012.00,6.05521345278248E-05
13,4013.00,8.37768384371884E-05
14,4014.00,0.000149207626236603
15,4015.00,0.000335720629664138
16,4016.00,0.000871328637003899
17,4017.00,0.00223091174848378
18,4018.00,0.00474816700443625
19,4019.00,0.00742448307573795
20,4020.00,0.0081911152228713
21,4021.00,0.00663796626031399
22,4022.00,0.00434097554534674
23,4023.00,0.00257534347474575
24,4024.00,0.00156281481031328
25,4025.00,0.00108803017064929
26,4026.00,0.000962221005465835
27,4027.00,0.00116138975135982
28,4028.00,0.00195089168846607
29,4029.00,0.00437390524893999
30,4030.00,0.011979391798377
31,4031.00,0.0360195003449917
32,4032.00,0.107437215745449
33,4033.00,0.292067497968674
34,4034.00,0.678508460521698
35,4035.00,1.29459285736084
36,4036.00,2.01253008842468
37,4037.00,2.62072157859802
38,4038.00,3.02572536468506
39,4039.00,3.30835795402527
40,4040.00,3.59937047958374
41,4041.00,3.95929622650146
42,4042.00,4.33704900741577
43,4043.00,4.59692144393921
44,4044.00,4.61102962493896
45,4045.00,4.36341190338135
46,4046.00,3.96589279174805
47,4047.00,3.57536482810974
48,4048.00,3.30791902542114
49,4049.00,3.21309304237366
50,4050.00,3.28734993934631
51,4051.00,3.48852300643921
52,4052.00,3.74453401565552
53,4053.00,3.97199273109436
54,4054.00,4.11002349853516
55,4055.00,4.14477920532227
56,4056.00,4.0924859046936
57,4057.00,3.94822216033936
58,4058.00,3.65535068511963
59,4059.00,3.15206933021545
60,4060.00,2.47281789779663
61,4061.00,1.77063095569611
62,4062.00,1.20029950141907
63,4063.00,0.814135491847992
64,4064.00,0.578359186649323
65,4065.00,0.435947090387344
66,4066.00,0.341584831476212
67,4067.00,0.269258737564087
68,4068.00,0.209223955869675
69,4069.00,0.160261482000351
70,4070.00,0.121992856264114
71,4071.00,0.0922080725431442
72,4072.00,0.068372905254364
73,4073.00,0.0493279099464417
74,4074.00,0.0350130647420883
75,4075.00,0.0251546707004309
76,4076.00,0.0187715273350477
77,4077.00,0.0146198561415076
78,4078.00,0.0116878738626838
79,4079.00,0.00937781948596239
80,4080.00,0.00744884926825762
81,4081.00,0.00585327809676528
82,4082.00,0.00459709949791431
83,4083.00,0.00367780798114836
84,4084.00,0.00306505267508328
85,4085.00,0.00269147567451
86,4086.00,0.00244961655698717
87,4087.00,0.00220792461186647
88,4088.00,0.00187311030458659
89,4089.00,0.00146344734821469
90,4090.00,0.00108022114727646
91,4091.00,0.000799781060777605
92,4092.00,0.000631050730589777
93,4093.00,0.000549812568351626
94,4094.00,0.000535501167178154
95,4095.00,0.000587557326070964
96,4096.00,0.00073326239362359
97,4097.00,0.00103499973192811
98,4098.00,0.00158444419503212
99,4099.00,0.00243518408387899
100,4100.00,0.00344335404224694
101,4101.00,0.00418910151347518
102,4102.00,0.00427030632272363
103,4103.00,0.00372933992184699
104,4104.00,0.00298525393009186
105,4105.00,0.00240468140691519
106,4106.00,0.00211577606387436
107,4107.00,0.00210426445119083
108,4108.00,0.00232055597007275
109,4109.00,0.00272573065012693
110,4110.00,0.00335525115951896
111,4111.00,0.00446348357945681
112,4112.00,0.00683765904977918
113,4113.00,0.0127462474629283
114,4114.00,0.0290435366332531
115,4115.00,0.0757129564881325
116,4116.00,0.199577242136002
117,4117.00,0.462987065315247
118,4118.00,0.851408779621124
119,4119.00,1.19352686405182
120,4120.00,1.30787491798401
121,4121.00,1.19221019744873
122,4122.00,0.966606140136719
123,4123.00,0.735715746879578
124,4124.00,0.547835409641266
125,4125.00,0.412495076656342
