#"+ESI Scan (rt: 0.772-1.072 min, 19 scans) Frag=250.0V NUDT7A_p026_gly_1_mg_ml.d  Deconvoluted (Isotope Width=8.8)"
#Point,X(Daltons),Y(Counts)
0,4000.00,4.59700686405995E-08
1,4001.00,9.4997012922704E-08
2,4002.00,1.76842135601873E-07
3,4003.00,3.72028097217481E-07
4,4004.00,8.93851222372177E-07
5,4005.00,2.29288730224653E-06
6,4006.00,5.68994119021227E-06
7,4007.00,1.27085859276121E-05
8,4008.00,2.56337771133985E-05
9,4009.00,5.12704573338851E-05
10,4010.00,0.000117979609058239
11,4011.00,0.000353455980075523
12,4012.00,0.00139861658681184
13,4013.00,0.00648378022015095
14,4014.00,0.0288646705448627
15,4015.00,0.101971782743931
16,4016.00,0.253300219774246
17,4017.00,0.428803652524948
18,4018.00,0.518782615661621
19,4019.00,0.49415984749794
20,4020.00,0.412626415491104
21,4021.00,0.32829537987709
22,4022.00,0.260295987129211
23,4023.00,0.209013730287552
24,4024.00,0.171009242534637
25,4025.00,0.143146753311157
26,4026.00,0.122427962720394
27,4027.00,0.10649511218071
28,4028.00,0.0954056456685066
29,4029.00,0.0930751860141754
30,4030.00,0.109141573309898
31,4031.00,0.168799474835396
32,4032.00,0.348692744970322
33,4033.00,0.868098020553589
34,4034.00,2.18580794334412
35,4035.00,4.73137998580933
36,4036.00,8.0886402130127
37,4037.00,11.0013761520386
38,4038.00,12.7444896697998
39,4039.00,13.5606727600098
40,4040.00,13.7830963134766
41,4041.00,13.3199195861816
42,4042.00,11.9612445831299
43,4043.00,9.8741455078125
44,4044.00,7.59860992431641
45,4045.00,5.63531351089478
46,4046.00,4.19650316238403
47,4047.00,3.25822973251343
48,4048.00,2.69647097587585
49,4049.00,2.37066459655762
50,4050.00,2.15590238571167
51,4051.00,1.96535420417786
52,4052.00,1.77357769012451
53,4053.00,1.60957932472229
54,4054.00,1.51361584663391
55,4055.00,1.49794220924377
56,4056.00,1.53215730190277
57,4057.00,1.55130112171173
58,4058.00,1.49788212776184
59,4059.00,1.37569391727448
60,4060.00,1.24593281745911
61,4061.00,1.16984748840332
62,4062.00,1.1719411611557
63,4063.00,1.23811674118042
64,4064.00,1.3221184015274
65,4065.00,1.36242926120758
66,4066.00,1.31859743595123
67,4067.00,1.19726955890656
68,4068.00,1.03620874881744
69,4069.00,0.869315326213837
70,4070.00,0.712114572525024
71,4071.00,0.570770561695099
72,4072.00,0.453667968511581
73,4073.00,0.37155082821846
74,4074.00,0.331503719091415
75,4075.00,0.335450857877731
76,4076.00,0.379849344491959
77,4077.00,0.4451023042202
78,4078.00,0.482359528541565
79,4079.00,0.44123238325119
80,4080.00,0.333505541086197
81,4081.00,0.22320830821991
82,4082.00,0.151968419551849
83,4083.00,0.121711388230324
84,4084.00,0.123388722538948
85,4085.00,0.152505695819855
86,4086.00,0.204900056123734
87,4087.00,0.265971660614014
88,4088.00,0.312586098909378
89,4089.00,0.332544922828674
90,4090.00,0.333574146032333
91,4091.00,0.330252647399902
92,4092.00,0.330578476190567
93,4093.00,0.333535879850388
94,4094.00,0.333099067211151
95,4095.00,0.323719054460526
96,4096.00,0.303338408470154
97,4097.00,0.271982252597809
98,4098.00,0.229633137583733
99,4099.00,0.178092762827873
100,4100.00,0.124395184218884
101,4101.00,0.0785462930798531
102,4102.00,0.0464702434837818
103,4103.00,0.0272964481264353
104,4104.00,0.0167818386107683
105,4105.00,0.010976648889482
106,4106.00,0.00737458514049649
107,4107.00,0.00473509449511766
108,4108.00,0.00270962086506188
109,4109.00,0.00135322578717023
110,4110.00,0.000628218229394406
111,4111.00,0.000315395300276577
112,4112.00,0.000207841541850939
113,4113.00,0.000208169454708695
114,4114.00,0.000324328400893137
115,4115.00,0.000707542581949383
116,4116.00,0.00180769211146981
117,4117.00,0.00448604207485914
118,4118.00,0.00932379718869925
119,4119.00,0.0148688089102507
120,4120.00,0.0176632069051266
121,4121.00,0.015771072357893
122,4122.00,0.0108213787898421
123,4123.00,0.0057931556366384
124,4124.00,0.00242464360781014
125,4125.00,0.000796399253886193
126,4126.00,0.000214277577470057
127,4127.00,5.38829481229186E-05
128,4128.00,1.63530185091076E-05
129,4129.00,8.47727369546192E-06
130,4130.00,1.00410343293333E-05
131,4131.00,2.80032727459911E-05
132,4132.00,0.000137107403133996
133,4133.00,0.000748202146496624
134,4134.00,0.0030472434591502
135,4135.00,0.00727643771097064
136,4136.00,0.00946841482073069
137,4137.00,0.00716734910383821
138,4138.00,0.00371446553617716
139,4139.00,0.00162364228162915
140,4140.00,0.000727102102246135
141,4141.00,0.000381830992409959
142,4142.00,0.000252513273153454
143,4143.00,0.000217406413867138
144,4144.00,0.000245672272285447
145,4145.00,0.000352903094608337
146,4146.00,0.000595261692069471
147,4147.00,0.00107366987504065
148,4148.00,0.00196203426457942
149,4149.00,0.00366312055848539
150,4150.00,0.00722469761967659
151,4151.00,0.0148706799373031
152,4152.00,0.0290462262928486
153,4153.00,0.0467335619032383
154,4154.00,0.055650781840086
155,4155.00,0.0486746914684772
156,4156.00,0.0346487574279308
157,4157.00,0.0236718058586121
158,4158.00,0.0179817564785481
159,4159.00,0.0163681115955114
160,4160.00,0.01816126704216
161,4161.00,0.0247233919799328
162,4162.00,0.0412073545157909
163,4163.00,0.079176165163517
164,4164.00,0.151652306318283
165,4165.00,0.240001663565636
166,4166.00,0.269606590270996
167,4167.00,0.20285852253437
168,4168.00,0.10772966593504
169,4169.00,0.0464608520269394
170,4170.00,0.0193668324500322
171,4171.00,0.00901826098561287
172,4172.00,0.00512362271547318
173,4173.00,0.00378346652723849
174,4174.00,0.00392622640356421
175,4175.00,0.00607785396277905
176,4176.00,0.0133765749633312
177,4177.00,0.0350274331867695
178,4178.00,0.0872583016753197
179,4179.00,0.174971282482147
180,4180.00,0.265815734863281
181,4181.00,0.318639636039734
182,4182.00,0.333687543869019
183,4183.00,0.340983659029007
184,4184.00,0.367208808660507
185,4185.00,0.427990108728409
186,4186.00,0.531778931617737
187,4187.00,0.6793172955513
188,4188.00,0.858544528484344
189,4189.00,1.04227614402771
190,4190.00,1.19513499736786
191,4191.00,1.2882753610611
192,4192.00,1.31281208992004
193,4193.00,1.28291392326355
194,4194.00,1.22690582275391
195,4195.00,1.17343389987946
196,4196.00,1.14165258407593
197,4197.00,1.13857924938202
198,4198.00,1.16146349906921
199,4199.00,1.20273053646088
200,4200.00,1.2560076713562
201,4201.00,1.32049441337585
202,4202.00,1.40001463890076
203,4203.00,1.49574089050293
204,4204.00,1.59614205360413
205,4205.00,1.67187523841858
206,4206.00,1.68499517440796
207,4207.00,1.61277985572815
208,4208.00,1.4676296710968
209,4209.00,1.29320108890533
210,4210.00,1.1431257724762
211,4211.00,1.06579148769379
212,4212.00,1.10869300365448
213,4213.00,1.3417661190033
214,4214.00,1.88905429840088
215,4215.00,2.9244921207428
216,4216.00,4.52385663986206
217,4217.00,6.36258792877197
218,4218.00,7.69425535202026
219,4219.00,7.95678615570068
220,4220.00,7.25249338150024
221,4221.00,6.05707550048828
222,4222.00,4.75542688369751
223,4223.00,3.53527212142944
224,4224.00,2.48740696907043
225,4225.00,1.67130589485168
226,4226.00,1.10669374465942
227,4227.00,0.762058794498444
228,4228.00,0.577923893928528
229,4229.00,0.4977026283741
230,4230.00,0.477836281061172
231,4231.00,0.480886489152908
232,4232.00,0.471994549036026
233,4233.00,0.431687891483307
234,4234.00,0.368179708719254
235,4235.00,0.305677890777588
236,4236.00,0.26318570971489
237,4237.00,0.24832047522068
238,4238.00,0.263173609972
239,4239.00,0.309512466192245
240,4240.00,0.389057636260986
241,4241.00,0.501435339450836
242,4242.00,0.645441174507141
243,4243.00,0.82694137096405
244,4244.00,1.06791186332703
245,4245.00,1.4047976732254
246,4246.00,1.86496198177338
247,4247.00,2.41731238365173
248,4248.00,2.93119764328003
249,4249.00,3.22882318496704
250,4250.00,3.23655033111572
251,4251.00,3.06108951568604
252,4252.00,2.89310884475708
253,4253.00,2.88293051719666
254,4254.00,3.10560250282288
255,4255.00,3.57113432884216
256,4256.00,4.22842931747437
257,4257.00,4.99866533279419
258,4258.00,5.87650489807129
259,4259.00,7.01396226882935
260,4260.00,8.65292739868164
261,4261.00,10.8414287567139
262,4262.00,12.9730272293091
263,4263.00,13.7118730545044
264,4264.00,12.1315956115723
265,4265.00,8.91451168060303
266,4266.00,5.58063411712646
267,4267.00,3.05026435852051
268,4268.00,1.44980549812317
269,4269.00,0.581017076969147
270,4270.00,0.191119447350502
271,4271.00,0.0523417443037033
272,4272.00,0.0128141827881336
273,4273.00,0.00312257837504148
274,4274.00,0.000834033009596169
275,4275.00,0.000255083781667054
276,4276.00,8.83795655681752E-05
277,4277.00,3.38869358529337E-05
278,4278.00,1.46333313750802E-05
279,4279.00,7.70207589084748E-06
280,4280.00,5.4661409194523E-06
281,4281.00,5.47861691302387E-06
282,4282.00,7.34967443349888E-06
283,4283.00,1.16582941700472E-05
284,4284.00,1.93947089428548E-05
285,4285.00,3.18977909046225E-05
286,4286.00,5.23261041962542E-05
287,4287.00,8.94165714271367E-05
288,4288.00,0.000164836528711021
289,4289.00,0.000328519381582737
290,4290.00,0.000687362509779632
291,4291.00,0.00143888813909143
292,4292.00,0.00284645101055503
293,4293.00,0.00502958334982395
294,4294.00,0.00765378400683403
295,4295.00,0.010100225917995
296,4296.00,0.0122547410428524
297,4297.00,0.0149864349514246
298,4298.00,0.0201919786632061
299,4299.00,0.0315508618950844
300,4300.00,0.0568087100982666
301,4301.00,0.110307611525059
302,4302.00,0.206731781363487
303,4303.00,0.330732077360153
304,4304.00,0.412360966205597
305,4305.00,0.392528831958771
306,4306.00,0.304163038730621
307,4307.00,0.216971054673195
308,4308.00,0.160015419125557
309,4309.00,0.126946911215782
310,4310.00,0.103094153106213
311,4311.00,0.0789462327957153
312,4312.00,0.0544822365045547
313,4313.00,0.034513995051384
314,4314.00,0.0213251505047083
315,4315.00,0.0136484177783132
316,4316.00,0.00932998955249786
317,4317.00,0.00687927147373557
318,4318.00,0.00562947383150458
319,4319.00,0.00553241651505232
320,4320.00,0.00727997533977032
321,4321.00,0.0136049129068851
322,4322.00,0.033596083521843
323,4323.00,0.0894168987870216
324,4324.00,0.200329065322876
325,4325.00,0.313600182533264
326,4326.00,0.32102844119072
327,4327.00,0.227828949689865
328,4328.00,0.129733622074127
329,4329.00,0.0702050179243088
330,4330.00,0.0408511199057102
331,4331.00,0.0266602244228125
332,4332.00,0.0191354919224977
333,4333.00,0.0147024113684893
334,4334.00,0.0121755311265588
335,4335.00,0.0112789683043957
336,4336.00,0.0120125124230981
337,4337.00,0.014449599198997
338,4338.00,0.0185163393616676
339,4339.00,0.0238028150051832
340,4340.00,0.0299565438181162
341,4341.00,0.0375937595963478
342,4342.00,0.0487005673348904
