#"+ESI Scan (rt: 6.530-7.162 min, 39 scans) Frag=250.0V NUDT7A_p026_CI076587-A10c.d  Deconvoluted (Isotope Width=8.8)"
#Point,X(Daltons),Y(Counts)
0,4000.00,3.87963700632099E-06
1,4001.00,8.09073662821902E-06
2,4002.00,1.35721502374508E-05
3,4003.00,2.1877202016185E-05
4,4004.00,3.48561879945919E-05
5,4005.00,5.48387179151177E-05
6,4006.00,8.47034170874394E-05
7,4007.00,0.000128828221932054
8,4008.00,0.000196755659999326
9,4009.00,0.000312938791466877
10,4010.00,0.000543175032362342
11,4011.00,0.00107722636312246
12,4012.00,0.00251007871702313
13,4013.00,0.0068065021187067
14,4014.00,0.0203063171356916
15,4015.00,0.0608938187360764
16,4016.00,0.166720867156982
17,4017.00,0.386693209409714
18,4018.00,0.729886770248413
19,4019.00,1.11398446559906
20,4020.00,1.40018498897552
21,4021.00,1.49705970287323
22,4022.00,1.41557908058167
23,4023.00,1.23512840270996
24,4024.00,1.0405125617981
25,4025.00,0.88480681180954
26,4026.00,0.785733282566071
27,4027.00,0.737439811229706
28,4028.00,0.72107470035553
29,4029.00,0.711240947246552
30,4030.00,0.684122323989868
31,4031.00,0.628106117248535
32,4032.00,0.54813414812088
33,4033.00,0.458962082862854
34,4034.00,0.374915719032288
35,4035.00,0.304705709218979
36,4036.00,0.25181570649147
37,4037.00,0.216977789998055
38,4038.00,0.200385138392448
39,4039.00,0.203044533729553
40,4040.00,0.227073833346367
41,4041.00,0.273932784795761
42,4042.00,0.339458912611008
43,4043.00,0.408932715654373
44,4044.00,0.461371600627899
45,4045.00,0.483871459960938
46,4046.00,0.479302734136581
47,4047.00,0.458766967058182
48,4048.00,0.431761533021927
49,4049.00,0.404792308807373
50,4050.00,0.385325133800507
51,4051.00,0.384519129991531
52,4052.00,0.417646706104279
53,4053.00,0.504541158676147
54,4054.00,0.666654527187347
55,4055.00,0.906006097793579
56,4056.00,1.15806317329407
57,4057.00,1.27614462375641
58,4058.00,1.1460474729538
59,4059.00,0.830934941768646
60,4060.00,0.506166517734528
61,4061.00,0.280876815319061
62,4062.00,0.157842949032784
63,4063.00,0.0999097153544426
64,4064.00,0.0767344534397125
65,4065.00,0.0724672451615334
66,4066.00,0.0797085836529732
67,4067.00,0.0927205756306648
68,4068.00,0.103499472141266
69,4069.00,0.10392115265131
70,4070.00,0.0921072661876678
71,4071.00,0.0738241001963615
72,4072.00,0.0565609708428383
73,4073.00,0.0443521328270435
74,4074.00,0.0376265421509743
75,4075.00,0.0351714268326759
76,4076.00,0.0353286154568195
77,4077.00,0.0363472439348698
78,4078.00,0.0368561111390591
79,4079.00,0.036484319716692
80,4080.00,0.0357160046696663
81,4081.00,0.0349615924060345
82,4082.00,0.0338544920086861
83,4083.00,0.0314170010387897
84,4084.00,0.0270249806344509
85,4085.00,0.0212521981447935
86,4086.00,0.0154965296387672
87,4087.00,0.0108620012179017
88,4088.00,0.0076460363343358
89,4089.00,0.00560672814026475
90,4090.00,0.00435842201113701
91,4091.00,0.0035628997720778
92,4092.00,0.00297034555114806
93,4093.00,0.0024267602711916
94,4094.00,0.00188339711166918
95,4095.00,0.0013751172227785
96,4096.00,0.000959165801759809
97,4097.00,0.000664876191876829
98,4098.00,0.000487159966723993
99,4099.00,0.000406420265790075
100,4100.00,0.000409646629123017
101,4101.00,0.000502040144056082
102,4102.00,0.000701993412803859
103,4103.00,0.00100472965277731
104,4104.00,0.00132745085284114
105,4105.00,0.00152833480387926
106,4106.00,0.00153588259126991
107,4107.00,0.0014205506304279
108,4108.00,0.00131878687534481
109,4109.00,0.00135587784461677
110,4110.00,0.00167710951063782
111,4111.00,0.00259179179556668
112,4112.00,0.00487525714561343
113,4113.00,0.0102699613198638
114,4114.00,0.0217221416532993
115,4115.00,0.0419205352663994
116,4116.00,0.0701317712664604
117,4117.00,0.102617859840393
118,4118.00,0.140073090791702
119,4119.00,0.195293247699738
120,4120.00,0.297317326068878
121,4121.00,0.493190675973892
122,4122.00,0.824876427650452
123,4123.00,1.24083030223846
124,4124.00,1.52696406841278
125,4125.00,1.48726141452789
126,4126.00,1.19687712192535
127,4127.00,0.883104681968689
128,4128.00,0.676489531993866
129,4129.00,0.589264273643494
130,4130.00,0.595127880573273
131,4131.00,0.662730574607849
132,4132.00,0.749100625514984
133,4133.00,0.800319373607636
134,4134.00,0.781918823719025
135,4135.00,0.704010426998138
136,4136.00,0.602733016014099
137,4137.00,0.505652248859406
138,4138.00,0.420665204524994
139,4139.00,0.345530599355698
140,4140.00,0.279161602258682
141,4141.00,0.225140035152435
142,4142.00,0.188749775290489
143,4143.00,0.174312576651573
144,4144.00,0.186817318201065
145,4145.00,0.236234292387962
146,4146.00,0.339402616024017
147,4147.00,0.509006321430206
148,4148.00,0.719623982906342
149,4149.00,0.880296111106873
150,4150.00,0.886981248855591
151,4151.00,0.729282379150391
152,4152.00,0.500028073787689
153,4153.00,0.297457277774811
154,4154.00,0.161061719059944
155,4155.00,0.0837677121162415
156,4156.00,0.0444787181913853
157,4157.00,0.0257015079259872
158,4158.00,0.0170274209231138
159,4159.00,0.0132086183875799
160,4160.00,0.0117412786930799
161,4161.00,0.0112837133929133
162,4162.00,0.0108977966010571
163,4163.00,0.00993447098881006
164,4164.00,0.00823514349758625
165,4165.00,0.00613551400601864
166,4166.00,0.00413540890440345
167,4167.00,0.00257471459917724
168,4168.00,0.00153943931218237
169,4169.00,0.000939659483265132
170,4170.00,0.000632779498118907
171,4171.00,0.000506310258060694
172,4172.00,0.000503089569974691
173,4173.00,0.000618412101175636
174,4174.00,0.000894475029781461
175,4175.00,0.00140758336056024
176,4176.00,0.00221087876707315
177,4177.00,0.0032005226239562
178,4178.00,0.00400749268010259
179,4179.00,0.00418177386745811
180,4180.00,0.00363596621900797
181,4181.00,0.00275500514544547
182,4182.00,0.00199028314091265
183,4183.00,0.00154759222641587
184,4184.00,0.00146007095463574
185,4185.00,0.00179448514245451
186,4186.00,0.00282675353810191
187,4187.00,0.00513808010146022
188,4188.00,0.00924797635525465
189,4189.00,0.0142957540228963
190,4190.00,0.017442112788558
191,4191.00,0.0167174618691206
192,4192.00,0.0135041959583759
193,4193.00,0.010349134914577
194,4194.00,0.00852812733501196
195,4195.00,0.0082782031968236
196,4196.00,0.0097989346832037
197,4197.00,0.013894765637815
198,4198.00,0.0224872343242168
199,4199.00,0.0392001792788506
200,4200.00,0.0694976970553398
201,4201.00,0.118751667439938
202,4202.00,0.187380477786064
203,4203.00,0.268164157867432
204,4204.00,0.353538542985916
205,4205.00,0.44720795750618
206,4206.00,0.565880179405212
207,4207.00,0.730158627033234
208,4208.00,0.950879335403442
209,4209.00,1.2134815454483
210,4210.00,1.46762430667877
211,4211.00,1.63702762126923
212,4212.00,1.65737557411194
