#"+ESI Scan (rt: 6.526-7.158 min, 39 scans) Frag=250.0V NUDT7A_p026_CI076587-A9c_1.d  Deconvoluted (Isotope Width=8.8)"
#Point,X(Daltons),Y(Counts)
0,4000.00,5.74477553527686E-06
1,4001.00,1.32816621771781E-05
2,4002.00,2.48459273279877E-05
3,4003.00,4.49479412054643E-05
4,4004.00,7.98153778305277E-05
5,4005.00,0.000135301961563528
6,4006.00,0.000211094724363647
7,4007.00,0.000298054597806185
8,4008.00,0.000389741791877896
9,4009.00,0.000503476127050817
10,4010.00,0.000700460863299668
11,4011.00,0.00113104633055627
12,4012.00,0.00219172961078584
13,4013.00,0.00500342389568686
14,4014.00,0.0126855028793216
15,4015.00,0.03303387388587
16,4016.00,0.0816156417131424
17,4017.00,0.178677976131439
18,4018.00,0.330578863620758
19,4019.00,0.507809579372406
20,4020.00,0.65758216381073
21,4021.00,0.747971773147583
22,4022.00,0.786325871944427
23,4023.00,0.797358155250549
24,4024.00,0.798451125621796
25,4025.00,0.792471587657928
26,4026.00,0.773034453392029
27,4027.00,0.734727025032043
28,4028.00,0.681767046451569
29,4029.00,0.627885043621063
30,4030.00,0.587511479854584
31,4031.00,0.567080557346344
32,4032.00,0.562320172786713
33,4033.00,0.560852587223053
34,4034.00,0.548678278923035
35,4035.00,0.517923831939697
36,4036.00,0.4703349173069
37,4037.00,0.414274781942368
38,4038.00,0.359138131141663
39,4039.00,0.311336845159531
40,4040.00,0.272901475429535
41,4041.00,0.242238119244576
42,4042.00,0.216275781393051
43,4043.00,0.192846611142159
44,4044.00,0.171746850013733
45,4045.00,0.153787806630135
46,4046.00,0.139125257730484
47,4047.00,0.126648768782616
48,4048.00,0.114810071885586
49,4049.00,0.102930381894112
50,4050.00,0.0916575044393539
51,4051.00,0.0821821615099907
52,4052.00,0.0751936957240105
53,4053.00,0.0705146715044975
54,4054.00,0.0673501938581467
55,4055.00,0.0646874159574509
56,4056.00,0.0616194233298302
57,4057.00,0.0576184242963791
58,4058.00,0.0527489557862282
59,4059.00,0.0476300641894341
60,4060.00,0.0430946014821529
61,4061.00,0.0398780815303326
62,4062.00,0.0386348627507687
63,4063.00,0.0401741713285446
64,4064.00,0.0455959923565388
65,4065.00,0.055903609842062
66,4066.00,0.0703893154859543
67,4067.00,0.084064207971096
68,4068.00,0.0884560197591782
69,4069.00,0.0793659761548042
70,4070.00,0.0620799697935581
71,4071.00,0.0451370738446712
72,4072.00,0.0329604670405388
73,4073.00,0.0257531888782978
74,4074.00,0.0222658477723598
75,4075.00,0.0212821662425995
76,4076.00,0.02178143709898
77,4077.00,0.0227144472301006
78,4078.00,0.0230430606752634
79,4079.00,0.0221850667148829
80,4080.00,0.0203089229762554
81,4081.00,0.0180051233619452
82,4082.00,0.0157531686127186
83,4083.00,0.0137434396892786
84,4084.00,0.0120020285248756
