#"+ESI Scan (rt: 6.535-7.167 min, 39 scans) Frag=250.0V NUDT7A_p026_CI076587-A9d.d  Deconvoluted (Isotope Width=8.8)"
#Point,X(Daltons),Y(Counts)
0,4000.00,1.2131264384152E-06
1,4001.00,4.79683330922853E-06
2,4002.00,1.4287669728219E-05
3,4003.00,3.71116984752007E-05
4,4004.00,8.49069110699929E-05
5,4005.00,0.000170516286743805
6,4006.00,0.000302077474771068
7,4007.00,0.000481007940834388
8,4008.00,0.000712065899278969
9,4009.00,0.00102661794517189
10,4010.00,0.00151913065928966
11,4011.00,0.00241963239386678
12,4012.00,0.00427775457501411
13,4013.00,0.00843735598027706
14,4014.00,0.0181608758866787
15,4015.00,0.0408592373132706
16,4016.00,0.0910350605845451
17,4017.00,0.190035238862038
18,4018.00,0.353694200515747
19,4019.00,0.565260171890259
20,4020.00,0.760919570922852
21,4021.00,0.866678953170776
22,4022.00,0.860249996185303
23,4023.00,0.781518995761871
24,4024.00,0.687272071838379
25,4025.00,0.61298131942749
26,4026.00,0.568099200725555
27,4027.00,0.54650491476059
28,4028.00,0.535649538040161
29,4029.00,0.522350311279297
30,4030.00,0.497375935316086
31,4031.00,0.458740025758743
32,4032.00,0.411865949630737
33,4033.00,0.365900427103043
34,4034.00,0.32843804359436
35,4035.00,0.302163869142532
36,4036.00,0.284741014242172
37,4037.00,0.271115303039551
38,4038.00,0.257074922323227
39,4039.00,0.2420354783535
40,4040.00,0.228609263896942
41,4041.00,0.219519317150116
42,4042.00,0.215008169412613
43,4043.00,0.212463855743408
44,4044.00,0.207906574010849
45,4045.00,0.198200255632401
46,4046.00,0.182510286569595
47,4047.00,0.162235304713249
48,4048.00,0.140052631497383
49,4049.00,0.118948049843311
50,4050.00,0.101439587771893
51,4051.00,0.0890564769506454
52,4052.00,0.0822527706623077
53,4053.00,0.0806537196040154
54,4054.00,0.0832556784152985
55,4055.00,0.0884124264121056
56,4056.00,0.0939110964536667
57,4057.00,0.0975645557045937
58,4058.00,0.098136804997921
59,4059.00,0.0957627594470978
60,4060.00,0.0915251895785332
61,4061.00,0.0868857204914093
62,4062.00,0.083570696413517
63,4063.00,0.0836231335997581
64,4064.00,0.0890930444002151
65,4065.00,0.101059302687645
66,4066.00,0.11754197627306
67,4067.00,0.131155908107758
68,4068.00,0.131333768367767
69,4069.00,0.113662056624889
70,4070.00,0.0854607596993446
71,4071.00,0.0583876334130764
72,4072.00,0.038939967751503
73,4073.00,0.0274703539907932
74,4074.00,0.0218705777078867
75,4075.00,0.0201070681214333
76,4076.00,0.020701315253973
77,4077.00,0.0223243348300457
78,4078.00,0.0236184746026993
79,4079.00,0.0236876010894775
80,4080.00,0.0225152932107449
81,4081.00,0.0205746963620186
82,4082.00,0.0182377304881811
83,4083.00,0.0157079622149467
84,4084.00,0.0132503602653742
85,4085.00,0.0112106893211603
86,4086.00,0.00981453340500593
87,4087.00,0.00904898438602686
88,4088.00,0.00869926530867815
89,4089.00,0.00844383146613836
90,4090.00,0.00799036398530006
91,4091.00,0.00721929548308253
92,4092.00,0.00620540836825967
93,4093.00,0.00509727094322443
94,4094.00,0.00400731293484569
95,4095.00,0.00300396047532558
96,4096.00,0.00214668619446456
97,4097.00,0.00148699677083641
98,4098.00,0.00104038382414728
99,4099.00,0.000779447727836668
100,4100.00,0.000658153963740915
101,4101.00,0.000635427422821522
102,4102.00,0.000678072799928486
103,4103.00,0.000750876904930919
104,4104.00,0.000815488630905747
105,4105.00,0.000848391558974981
106,4106.00,0.000856658036354929
107,4107.00,0.000871352851390839
108,4108.00,0.000935111078433692
109,4109.00,0.00110896828118712
110,4110.00,0.00151155050843954
111,4111.00,0.00241524307057261
112,4112.00,0.00445350399240851
113,4113.00,0.00895152892917395
114,4114.00,0.0180328860878944
115,4115.00,0.033491563051939
116,4116.00,0.0541686341166496
117,4117.00,0.0751935914158821
118,4118.00,0.0924904718995094
119,4119.00,0.1078772097826
120,4120.00,0.128648146986961
121,4121.00,0.164107784628868
122,4122.00,0.221935033798218
123,4123.00,0.301431804895401
124,4124.00,0.385151147842407
125,4125.00,0.443202525377274
126,4126.00,0.455697238445282
127,4127.00,0.428533136844635
128,4128.00,0.384308964014053
129,4129.00,0.344779312610626
130,4130.00,0.323067605495453
131,4131.00,0.324833661317825
132,4132.00,0.350760757923126
133,4133.00,0.396495670080185
134,4134.00,0.45184326171875
135,4135.00,0.50407475233078
136,4136.00,0.544618964195251
137,4137.00,0.570492148399353
138,4138.00,0.578330278396606
139,4139.00,0.561327695846558
140,4140.00,0.516686975955963
141,4141.00,0.455146998167038
142,4142.00,0.397904813289642
143,4143.00,0.364013165235519
144,4144.00,0.363540530204773
145,4145.00,0.398054093122482
146,4146.00,0.458446532487869
147,4147.00,0.518386542797089
148,4148.00,0.538756549358368
149,4149.00,0.494846671819687
150,4150.00,0.399880617856979
151,4151.00,0.291290879249573
152,4152.00,0.199000865221024
153,4153.00,0.132801726460457
154,4154.00,0.0894962996244431
155,4155.00,0.0624001957476139
156,4156.00,0.0457576923072338
157,4157.00,0.0355481021106243
158,4158.00,0.0291265863925219
159,4159.00,0.0247649233788252
160,4160.00,0.0213392283767462
161,4161.00,0.0181795414537191
162,4162.00,0.0150193804875016
163,4163.00,0.0119196195155382
164,4164.00,0.00908894743770361
165,4165.00,0.00669408449903131
166,4166.00,0.00479339063167572
167,4167.00,0.00337365828454494
168,4168.00,0.00238700676709414
169,4169.00,0.00175928615499288
170,4170.00,0.00140207353979349
171,4171.00,0.00123390846420079
172,4172.00,0.00119140825700015
173,4173.00,0.00122570293024182
174,4174.00,0.0012946390779689
175,4175.00,0.00135780242271721
176,4176.00,0.00137406529393047
177,4177.00,0.00130721437744796
178,4178.00,0.00114836927969009
179,4179.00,0.000934384530410171
180,4180.00,0.000725734338629991
181,4181.00,0.000563041481655091
182,4182.00,0.000452440901426598
183,4183.00,0.000380402547307312
184,4184.00,0.000330694892909378
185,4185.00,0.000293057702947408
186,4186.00,0.000265032460447401
187,4187.00,0.000249086937401444
188,4188.00,0.000248261145316064
189,4189.00,0.000263108842773363
190,4190.00,0.000289993622573093
191,4191.00,0.000321485014865175
192,4192.00,0.000352152303094044
193,4193.00,0.000388904969440773
194,4194.00,0.000459854345535859
195,4195.00,0.000628318462986499
196,4196.00,0.00104578526224941
197,4197.00,0.00211905315518379
198,4198.00,0.00495315250009298
199,4199.00,0.0122946035116911
200,4200.00,0.029770577326417
201,4201.00,0.0655854567885399
202,4202.00,0.125712335109711
203,4203.00,0.20691953599453
204,4204.00,0.297907024621964
205,4205.00,0.390087425708771
206,4206.00,0.483709424734116
207,4207.00,0.582286179065704
208,4208.00,0.683389186859131
209,4209.00,0.774398148059845
210,4210.00,0.835838258266449
211,4211.00,0.850199937820435
212,4212.00,0.811623334884644
213,4213.00,0.731154561042786
214,4214.00,0.632759571075439
215,4215.00,0.541327595710754
216,4216.00,0.472283482551575
217,4217.00,0.429984718561172
218,4218.00,0.412210822105408
219,4219.00,0.414761155843735
220,4220.00,0.433271467685699
221,4221.00,0.462300509214401
222,4222.00,0.493779987096787
223,4223.00,0.518388092517853
224,4224.00,0.530930399894714
225,4225.00,0.534279882907867
226,4226.00,0.535975813865662
227,4227.00,0.540129780769348
228,4228.00,0.541504621505737
229,4229.00,0.525839865207672
230,4230.00,0.478537052869797
231,4231.00,0.398589760065079
232,4232.00,0.304012030363083
233,4233.00,0.219228222966194
234,4234.00,0.158247575163841
235,4235.00,0.1214330047369
236,4236.00,0.102545283734798
237,4237.00,0.0945618599653244
238,4238.00,0.091324120759964
239,4239.00,0.087972603738308
240,4240.00,0.082062765955925
241,4241.00,0.0741000920534134
242,4242.00,0.0662315338850021
243,4243.00,0.0604565218091011
244,4244.00,0.0579335950314999
245,4245.00,0.0591249763965607
246,4246.00,0.063785545527935
247,4247.00,0.0702476799488068
248,4248.00,0.0745499655604362
249,4249.00,0.0716073960065842
250,4250.00,0.059576153755188
251,4251.00,0.0426033660769463
252,4252.00,0.0270652249455452
253,4253.00,0.0163110345602036
254,4254.00,0.0101143652573228
255,4255.00,0.00695064477622509
256,4256.00,0.00553183164447546
257,4257.00,0.00509854312986135
258,4258.00,0.00522956298664212
259,4259.00,0.00562321254983544
260,4260.00,0.00598389143124223
261,4261.00,0.00604770798236132
262,4262.00,0.00570463575422764
263,4263.00,0.00507264072075486
264,4264.00,0.00440500117838383
265,4265.00,0.00391738209873438
266,4266.00,0.00370833021588624
267,4267.00,0.00379365310072899
268,4268.00,0.00417316937819123
269,4269.00,0.00489451363682747
270,4270.00,0.00612348457798362
271,4271.00,0.00822764169424772
272,4272.00,0.0118708191439509
273,4273.00,0.0180754475295544
274,4274.00,0.0280896928161383
275,4275.00,0.0428072512149811
276,4276.00,0.0617597512900829
277,4277.00,0.0824874639511108
278,4278.00,0.101482830941677
279,4279.00,0.11648241430521
280,4280.00,0.127914547920227
281,4281.00,0.138072475790977
282,4282.00,0.149085104465485
283,4283.00,0.16127122938633
284,4284.00,0.172436624765396
285,4285.00,0.178490668535233
286,4286.00,0.175876975059509
287,4287.00,0.164655938744545
288,4288.00,0.149094805121422
289,4289.00,0.134782865643501
290,4290.00,0.125397548079491
291,4291.00,0.121696136891842
292,4292.00,0.122180812060833
293,4293.00,0.124396942555904
294,4294.00,0.126706540584564
295,4295.00,0.129841461777687
296,4296.00,0.137036517262459
297,4297.00,0.153091266751289
298,4298.00,0.183813899755478
299,4299.00,0.235981419682503
300,4300.00,0.316236197948456
301,4301.00,0.427204668521881
302,4302.00,0.562105476856232
303,4303.00,0.704580068588257
304,4304.00,0.839012324810028
305,4305.00,0.96283096075058
306,4306.00,1.08650088310242
307,4307.00,1.22149431705475
308,4308.00,1.36785912513733
309,4309.00,1.50915241241455
310,4310.00,1.61596715450287
311,4311.00,1.65569508075714
312,4312.00,1.60501146316528
313,4313.00,1.46191191673279
314,4314.00,1.25136399269104
315,4315.00,1.01672351360321
316,4316.00,0.799608469009399
317,4317.00,0.623979806900024
318,4318.00,0.494650363922119
319,4319.00,0.405097752809525
320,4320.00,0.345263242721558
321,4321.00,0.305619806051254
322,4322.00,0.278306752443314
323,4323.00,0.256877452135086
324,4324.00,0.235698267817497
325,4325.00,0.209943011403084
326,4326.00,0.176962733268738
327,4327.00,0.138307794928551
328,4328.00,0.0997066795825958
329,4329.00,0.0675878524780273
330,4330.00,0.045164804905653
331,4331.00,0.0318270698189735
332,4332.00,0.0252393297851086
333,4333.00,0.023238692432642
334,4334.00,0.0242512542754412
335,4335.00,0.0266443714499474
336,4336.00,0.0281058307737112
337,4337.00,0.0264756195247173
338,4338.00,0.0217126533389091
339,4339.00,0.0159755125641823
340,4340.00,0.0113429157063365
341,4341.00,0.00845751259475946
342,4342.00,0.0070313005708158
343,4343.00,0.00661211227998137
344,4344.00,0.00684575596824288
345,4345.00,0.00742865446954966
346,4346.00,0.00801313575357199
347,4347.00,0.00821358617395163
348,4348.00,0.00775690609589219
349,4349.00,0.00664605991914868
350,4350.00,0.00515021104365587
351,4351.00,0.00363524979911745
352,4352.00,0.00238952809013426
353,4353.00,0.00153388560283929
354,4354.00,0.00103610579390079
355,4355.00,0.000797767541371286
356,4356.00,0.000731089210603386
357,4357.00,0.000777507375460118
358,4358.00,0.000882783206179738
359,4359.00,0.000973616144619882
360,4360.00,0.000983696314506233
361,4361.00,0.00090785970678553
362,4362.00,0.000801227462943643
363,4363.00,0.000727311940863729
364,4364.00,0.000729348452296108
365,4365.00,0.000840509601403028
366,4366.00,0.00109816319309175
367,4367.00,0.00152670009993017
368,4368.00,0.0020757052116096
369,4369.00,0.00258295517414808
370,4370.00,0.0028843441978097
371,4371.00,0.00298221665434539
372,4372.00,0.00302759814076126
373,4373.00,0.00315492763184011
374,4374.00,0.00335893291048706
375,4375.00,0.00345846964046359
376,4376.00,0.00320683163590729
377,4377.00,0.00256499438546598
378,4378.00,0.00179187674075365
379,4379.00,0.00116480037104338
380,4380.00,0.000764374563004822
381,4381.00,0.000537890067789704
382,4382.00,0.000415307993534952
383,4383.00,0.000352332921465859
384,4384.00,0.000329780537867919
385,4385.00,0.00034355727257207
386,4386.00,0.000395358976675197
387,4387.00,0.000483066018205136
388,4388.00,0.000590394251048565
389,4389.00,0.00068774278042838
390,4390.00,0.000754925713408738
391,4391.00,0.000804075738415122
392,4392.00,0.000877028680406511
393,4393.00,0.00103470636531711
394,4394.00,0.00136994034983218
395,4395.00,0.00205889437347651
396,4396.00,0.00346758658997715
397,4397.00,0.00633429083973169
398,4398.00,0.011990450322628
399,4399.00,0.0223988462239504
400,4400.00,0.0395617634057999
401,4401.00,0.0639425441622734
402,4402.00,0.0923996642231941
403,4403.00,0.11766991019249
404,4404.00,0.131611898541451
405,4405.00,0.13059002161026
406,4406.00,0.117629811167717
407,4407.00,0.0994022414088249
408,4408.00,0.0818679109215736
409,4409.00,0.0681761205196381
410,4410.00,0.0588860064744949
411,4411.00,0.0530308857560158
412,4412.00,0.0491110496222973
413,4413.00,0.0459249205887318
414,4414.00,0.0431496240198612
415,4415.00,0.0412594303488731
416,4416.00,0.0408602990210056
417,4417.00,0.0421273931860924
418,4418.00,0.0447339043021202
419,4419.00,0.0481933690607548
420,4420.00,0.0522924140095711
421,4421.00,0.0571405626833439
422,4422.00,0.0627228021621704
423,4423.00,0.0684229582548141
424,4424.00,0.0730136409401894
425,4425.00,0.0750941932201386
426,4426.00,0.0735650360584259
427,4427.00,0.06804159283638
428,4428.00,0.059383112937212
429,4429.00,0.0498154647648335
430,4430.00,0.0419881977140903
431,4431.00,0.0378123857080936
432,4432.00,0.0384044274687767
433,4433.00,0.0449922159314156
434,4434.00,0.0599599964916706
435,4435.00,0.0878951624035835
436,4436.00,0.137187108397484
437,4437.00,0.222573757171631
438,4438.00,0.367009252309799
439,4439.00,0.596612155437469
440,4440.00,0.920074224472046
441,4441.00,1.29968905448914
442,4442.00,1.65340185165405
443,4443.00,1.91149663925171
444,4444.00,2.07128286361694
445,4445.00,2.18668556213379
446,4446.00,2.31890797615051
447,4447.00,2.50282979011536
448,4448.00,2.74179100990295
449,4449.00,3.02053594589233
450,4450.00,3.32501578330994
451,4451.00,3.65171670913696
452,4452.00,3.99177694320679
453,4453.00,4.30016183853149
454,4454.00,4.4867787361145
455,4455.00,4.46137046813965
456,4456.00,4.20633840560913
457,4457.00,3.79833793640137
458,4458.00,3.35201644897461
459,4459.00,2.95207333564758
460,4460.00,2.63169407844543
461,4461.00,2.38931560516357
462,4462.00,2.21198487281799
