#"+ESI Scan (rt: 6.533-7.166 min, 39 scans) Frag=250.0V NUDT7A_p026_sgc90_3.d  Deconvoluted (Isotope Width=8.8)"
#Point,X(Daltons),Y(Counts)
0,4000.00,8.28225893201306E-07
1,4001.00,2.28675003199896E-06
2,4002.00,4.956794782629E-06
3,4003.00,9.89495492831338E-06
4,4004.00,1.84108612302225E-05
5,4005.00,3.15028992190491E-05
6,4006.00,4.89375779579859E-05
7,4007.00,6.9267101935111E-05
8,4008.00,9.2080190370325E-05
9,4009.00,0.000121500990644563
10,4010.00,0.000170038983924314
11,4011.00,0.000267649942543358
12,4012.00,0.000491574581246823
13,4013.00,0.00106104533188045
14,4014.00,0.00262681301683187
15,4015.00,0.0070780455134809
16,4016.00,0.0193375740200281
17,4017.00,0.0496921353042126
18,4018.00,0.11261885613203
19,4019.00,0.215768337249756
20,4020.00,0.344311684370041
21,4021.00,0.46296888589859
22,4022.00,0.541643977165222
23,4023.00,0.575785279273987
24,4024.00,0.581357479095459
25,4025.00,0.57775342464447
26,4026.00,0.576601326465607
27,4027.00,0.579507827758789
28,4028.00,0.580621719360352
29,4029.00,0.571400225162506
30,4030.00,0.546018302440643
31,4031.00,0.50461733341217
32,4032.00,0.452343702316284
33,4033.00,0.395831137895584
34,4034.00,0.340566515922546
35,4035.00,0.290422350168228
36,4036.00,0.248166173696518
37,4037.00,0.21565905213356
38,4038.00,0.193637698888779
39,4039.00,0.181503728032112
40,4040.00,0.177207916975021
41,4041.00,0.177188381552696
42,4042.00,0.176856577396393
43,4043.00,0.172273367643356
44,4044.00,0.162192076444626
45,4045.00,0.148316577076912
46,4046.00,0.133391425013542
47,4047.00,0.119297467172146
48,4048.00,0.106750950217247
49,4049.00,0.0961152240633965
50,4050.00,0.0881105363368988
51,4051.00,0.0838634073734283
52,4052.00,0.0845835655927658
53,4053.00,0.0912466123700142
54,4054.00,0.104076266288757
55,4055.00,0.121303260326386
56,4056.00,0.137568935751915
57,4057.00,0.144471600651741
58,4058.00,0.135713130235672
59,4059.00,0.113096870481968
60,4060.00,0.0855189114809036
61,4061.00,0.0617643930017948
62,4062.00,0.0458115302026272
63,4063.00,0.0377244390547276
64,4064.00,0.0364678837358952
65,4065.00,0.041478019207716
66,4066.00,0.0520875714719296
67,4067.00,0.0649498552083969
68,4068.00,0.0726800560951233
69,4069.00,0.0691751539707184
70,4070.00,0.0565989911556244
71,4071.00,0.0423788353800774
72,4072.00,0.0315317139029503
73,4073.00,0.024934321641922
74,4074.00,0.0215984638780355
75,4075.00,0.0203130450099707
76,4076.00,0.0200443882495165
77,4077.00,0.019961154088378
78,4078.00,0.019554415717721
79,4079.00,0.0187600124627352
80,4080.00,0.0178350675851107
81,4081.00,0.017044922336936
82,4082.00,0.0164347812533379
83,4083.00,0.0158194098621607
84,4084.00,0.0149419391527772
85,4085.00,0.0136719681322575
86,4086.00,0.0120880706235766
87,4087.00,0.0103951785713434
88,4088.00,0.00878587923943996
89,4089.00,0.0073646605014801
90,4090.00,0.00615192856639624
91,4091.00,0.00512269977480173
92,4092.00,0.00424026418477297
93,4093.00,0.003472866024822
94,4094.00,0.00280116684734821
95,4095.00,0.0022239307872951
