#"+ESI Scan (rt: 6.530-7.162 min, 39 scans) Frag=250.0V blank06.d  Deconvoluted (Isotope Width=8.8)"
#Point,X(Daltons),Y(Counts)
0,4000.00,1.10902119558887E-05
1,4001.00,3.13481905322988E-05
2,4002.00,6.80969606037252E-05
3,4003.00,0.000132041022880003
4,4004.00,0.000231553829507902
5,4005.00,0.000364606123184785
6,4006.00,0.000510687765199691
7,4007.00,0.00063366797985509
8,4008.00,0.000702586839906871
9,4009.00,0.000713892746716738
10,4010.00,0.000689921202138066
11,4011.00,0.000658967008348554
12,4012.00,0.000642034166958183
13,4013.00,0.000654692703392357
14,4014.00,0.000715962611138821
15,4015.00,0.000856551167089492
16,4016.00,0.00112310901749879
17,4017.00,0.00157248717732728
18,4018.00,0.00224725948646665
19,4019.00,0.00314289657399058
20,4020.00,0.00419998727738857
21,4021.00,0.00532406801357865
22,4022.00,0.00640655541792512
23,4023.00,0.00736766122281551
24,4024.00,0.00823153834789991
25,4025.00,0.00914283469319344
26,4026.00,0.0102640669792891
27,4027.00,0.0116368569433689
28,4028.00,0.0131337773054838
29,4029.00,0.0145605718716979
30,4030.00,0.015816543251276
31,4031.00,0.016930066049099
32,4032.00,0.0179557111114264
33,4033.00,0.0188948959112167
34,4034.00,0.0197089016437531
35,4035.00,0.0203281324356794
36,4036.00,0.0205977205187082
37,4037.00,0.0202873758971691
38,4038.00,0.019299166277051
39,4039.00,0.0178856458514929
40,4040.00,0.0165409501641989
41,4041.00,0.015657976269722
42,4042.00,0.0153396874666214
43,4043.00,0.0154662998393178
44,4044.00,0.0158512964844704
45,4045.00,0.0163092520087957
46,4046.00,0.0165899451822042
47,4047.00,0.0163520909845829
48,4048.00,0.0153786558657885
49,4049.00,0.0138556510210037
50,4050.00,0.0122807081788778
51,4051.00,0.0110595123842359
52,4052.00,0.0102622341364622
53,4053.00,0.00968635082244873
54,4054.00,0.00908367615193129
55,4055.00,0.00838734582066536
56,4056.00,0.00774590391665697
57,4057.00,0.00734972255304456
58,4058.00,0.00726486276835203
59,4059.00,0.00738637242466211
60,4060.00,0.00747983949258924
61,4061.00,0.00730902422219515
62,4062.00,0.00680904882028699
63,4063.00,0.00614101113751531
64,4064.00,0.0055589135736227
65,4065.00,0.00525082508102059
66,4066.00,0.00528923561796546
67,4067.00,0.00564219802618027
68,4068.00,0.00616223271936178
69,4069.00,0.00657347496598959
70,4070.00,0.00656627956777811
71,4071.00,0.00601487141102552
72,4072.00,0.00509613519534469
73,4073.00,0.00413852510973811
74,4074.00,0.00338841555640101
75,4075.00,0.00293333502486348
76,4076.00,0.00276130111888051
77,4077.00,0.00283184181898832
78,4078.00,0.003110955003649
79,4079.00,0.0035838820040226
80,4080.00,0.00425592018291354
81,4081.00,0.00512699317187071
82,4082.00,0.00613534962758422
83,4083.00,0.00712459348142147
84,4084.00,0.00791616644710302
85,4085.00,0.00844624172896147
86,4086.00,0.00879218894988298
87,4087.00,0.00905068218708038
88,4088.00,0.00923066399991512
89,4089.00,0.00927834864705801
90,4090.00,0.00918259471654892
91,4091.00,0.0090236347168684
92,4092.00,0.00891177635639906
93,4093.00,0.00889788940548897
94,4094.00,0.00893867388367653
95,4095.00,0.00892235618084669
96,4096.00,0.00872808787971735
97,4097.00,0.00829612743109465
98,4098.00,0.0076768365688622
99,4099.00,0.00701424805447459
100,4100.00,0.00646536238491535
101,4101.00,0.00612762570381165
102,4102.00,0.0060335174202919
103,4103.00,0.00619859201833606
104,4104.00,0.00667106499895453
105,4105.00,0.00753236515447497
106,4106.00,0.00881785806268454
107,4107.00,0.0103716347366571
108,4108.00,0.0117688914760947
