#"+ESI Scan (rt: 0.738-1.071 min, 21 scans) Frag=250.0V NUDT7A_0_4_a.d  Deconvoluted (Isotope Width=9.5)"
#Point,X(Daltons),Y(Counts)
0,10000.00,0.00884319841861725
1,10001.00,0.0214073155075312
2,10002.00,0.0361002311110497
3,10003.00,0.0483907759189606
4,10004.00,0.0541748516261578
5,10005.00,0.0533101372420788
6,10006.00,0.0491195023059845
7,10007.00,0.0450645908713341
8,10008.00,0.0428019948303699
9,10009.00,0.0422146767377853
10,10010.00,0.0420290865004063
11,10011.00,0.0406406857073307
12,10012.00,0.0372494757175446
13,10013.00,0.0324713066220284
14,10014.00,0.0276310741901398
15,10015.00,0.0236017070710659
16,10016.00,0.0203962065279484
17,10017.00,0.0175319910049438
18,10018.00,0.0146443555131555
19,10019.00,0.0118774902075529
20,10020.00,0.00974382180720568
21,10021.00,0.00874310545623302
22,10022.00,0.00934444554150105
23,10023.00,0.0124818263575435
24,10024.00,0.0204455405473709
25,10025.00,0.0379860177636147
26,10026.00,0.0726265385746956
27,10027.00,0.132544666528702
28,10028.00,0.223252400755882
29,10029.00,0.348217934370041
30,10030.00,0.514983832836151
31,10031.00,0.742058515548706
32,10032.00,1.06360733509064
33,10033.00,1.53411114215851
34,10034.00,2.23693704605103
35,10035.00,3.29855298995972
36,10036.00,4.8976469039917
37,10037.00,7.2264552116394
38,10038.00,10.3320760726929
39,10039.00,13.8393688201904
40,10040.00,16.8275547027588
41,10041.00,18.2815055847168
42,10042.00,17.930757522583
43,10043.00,16.5207653045654
44,10044.00,15.1924505233765
45,10045.00,14.8174448013306
46,10046.00,15.8746509552002
47,10047.00,18.5558929443359
48,10048.00,22.6532592773438
49,10049.00,27.267749786377
50,10050.00,30.916841506958
51,10051.00,32.3788528442383
52,10052.00,31.4996662139893
53,10053.00,29.0546894073486
54,10054.00,26.000940322876
55,10055.00,22.9579200744629
56,10056.00,20.1479606628418
57,10057.00,17.5602493286133
58,10058.00,15.1184320449829
59,10059.00,12.7822360992432
60,10060.00,10.5891647338867
61,10061.00,8.64133644104004
62,10062.00,7.0460410118103
63,10063.00,5.85367345809937
64,10064.00,5.03918075561523
65,10065.00,4.52474689483643
66,10066.00,4.21060514450073
67,10067.00,3.99563360214233
68,10068.00,3.79131078720093
69,10069.00,3.53490281105042
70,10070.00,3.19854235649109
71,10071.00,2.78789591789246
72,10072.00,2.3316662311554
73,10073.00,1.86963796615601
74,10074.00,1.44346559047699
75,10075.00,1.08806610107422
76,10076.00,0.8232182264328
77,10077.00,0.650846064090729
78,10078.00,0.561272203922272
79,10079.00,0.54324334859848
80,10080.00,0.589694440364838
81,10081.00,0.695034444332123
82,10082.00,0.84505707025528
83,10083.00,1.00887811183929
84,10084.00,1.14831554889679
85,10085.00,1.24431085586548
86,10086.00,1.31303012371063
87,10087.00,1.3929854631424
88,10088.00,1.51767289638519
89,10089.00,1.69154584407806
90,10090.00,1.87351727485657
91,10091.00,1.98222601413727
92,10092.00,1.94471478462219
93,10093.00,1.75988328456879
94,10094.00,1.50206923484802
95,10095.00,1.25911521911621
96,10096.00,1.0806782245636
97,10097.00,0.974484801292419
98,10098.00,0.924992680549622
99,10099.00,0.90882134437561
100,10100.00,0.904434084892273
101,10101.00,0.899879276752472
102,10102.00,0.896469116210938
103,10103.00,0.905097603797913
104,10104.00,0.938076078891754
105,10105.00,1.00187683105469
106,10106.00,1.09294283390045
107,10107.00,1.19775223731995
108,10108.00,1.30002057552338
109,10109.00,1.39418518543243
110,10110.00,1.49593579769135
111,10111.00,1.64141440391541
112,10112.00,1.87780070304871
113,10113.00,2.25138902664185
114,10114.00,2.79218769073486
115,10115.00,3.49505639076233
116,10116.00,4.31141042709351
117,10117.00,5.16341638565063
118,10118.00,5.9593300819397
119,10119.00,6.58215236663818
120,10120.00,6.88319110870361
121,10121.00,6.7480263710022
122,10122.00,6.21048259735107
123,10123.00,5.47171020507813
124,10124.00,4.77190208435059
125,10125.00,4.25334978103638
126,10126.00,3.92561316490173
127,10127.00,3.69993114471436
128,10128.00,3.44236946105957
129,10129.00,3.04262328147888
130,10130.00,2.48027348518372
131,10131.00,1.83524465560913
132,10132.00,1.22982478141785
133,10133.00,0.755603551864624
134,10134.00,0.438777029514313
135,10135.00,0.253089159727097
136,10136.00,0.154195353388786
137,10137.00,0.104997962713242
138,10138.00,0.0827511250972748
139,10139.00,0.0761474445462227
140,10140.00,0.0811681747436523
141,10141.00,0.0989440530538559
142,10142.00,0.135512411594391
143,10143.00,0.201313629746437
144,10144.00,0.304282128810883
145,10145.00,0.428482741117477
146,10146.00,0.513619959354401
147,10147.00,0.491288363933563
148,10148.00,0.368672668933868
149,10149.00,0.226133570075035
150,10150.00,0.124693766236305
151,10151.00,0.0702934339642525
152,10152.00,0.0458610132336617
153,10153.00,0.0373465716838837
154,10154.00,0.0379922427237034
155,10155.00,0.0452589392662048
156,10156.00,0.0575160086154938
157,10157.00,0.0717731863260269
158,10158.00,0.0836509242653847
159,10159.00,0.0897436961531639
160,10160.00,0.0895363464951515
161,10161.00,0.0846843421459198
162,10162.00,0.0771833062171936
163,10163.00,0.0686071664094925
164,10164.00,0.0604989528656006
165,10165.00,0.0548554435372353
166,10166.00,0.0543371476233006
167,10167.00,0.0632009580731392
168,10168.00,0.0908748283982277
169,10169.00,0.16130231320858
170,10170.00,0.332920104265213
171,10171.00,0.729077875614166
172,10172.00,1.55496633052826
173,10173.00,3.05903887748718
174,10174.00,5.45819616317749
175,10175.00,8.93612480163574
176,10176.00,13.730842590332
177,10177.00,20.0910377502441
178,10178.00,27.8046989440918
179,10179.00,35.3361511230469
180,10180.00,39.5726585388184
181,10181.00,37.7340812683105
182,10182.00,30.3999614715576
183,10183.00,21.4017333984375
184,10184.00,14.2352828979492
185,10185.00,9.96437168121338
186,10186.00,8.19614124298096
187,10187.00,8.61691474914551
188,10188.00,11.9522008895874
189,10189.00,21.0749130249023
190,10190.00,42.8817329406738
191,10191.00,89.3136978149414
192,10192.00,171.930160522461
193,10193.00,287.316192626953
194,10194.00,406.810272216797
195,10195.00,487.81640625
196,10196.00,498.051055908203
197,10197.00,431.509002685547
198,10198.00,312.31787109375
199,10199.00,185.853607177734
200,10200.00,91.50390625
201,10201.00,39.0894088745117
202,10202.00,15.8917503356934
203,10203.00,6.9319314956665
204,10204.00,3.62475991249084
205,10205.00,2.41339254379272
206,10206.00,2.02110385894775
207,10207.00,1.98589992523193
208,10208.00,2.10334157943726
209,10209.00,2.26149272918701
210,10210.00,2.42506122589111
211,10211.00,2.6396336555481
212,10212.00,3.00620007514954
213,10213.00,3.64110612869263
214,10214.00,4.61787366867065
215,10215.00,5.8540825843811
216,10216.00,6.99694871902466
217,10217.00,7.53803586959839
218,10218.00,7.23412036895752
219,10219.00,6.36965274810791
220,10220.00,5.49147891998291
221,10221.00,5.02160549163818
222,10222.00,5.19572687149048
223,10223.00,6.2265625
224,10224.00,8.44152545928955
225,10225.00,12.2768278121948
226,10226.00,18.1039333343506
227,10227.00,25.9856948852539
228,10228.00,35.5540771484375
229,10229.00,46.0424766540527
230,10230.00,56.2700080871582
231,10231.00,64.5202102661133
232,10232.00,68.7057571411133
233,10233.00,67.2505722045898
234,10234.00,60.2810249328613
235,10235.00,49.8957328796387
236,10236.00,38.9994506835938
237,10237.00,29.7794589996338
238,10238.00,23.0920257568359
239,10239.00,18.8027019500732
240,10240.00,16.3688411712646
241,10241.00,15.1949415206909
242,10242.00,14.7426300048828
243,10243.00,14.5604972839355
244,10244.00,14.3539342880249
245,10245.00,14.0718383789063
246,10246.00,13.9027223587036
