#"+ESI Scan (rt: 7.124-8.959 min, 112 scans) Frag=250.0V A11a.d  Deconvoluted (Isotope Width=9.5)"
#Point,X(Daltons),Y(Counts)
0,10000.00,0.119540512561798
1,10001.00,0.152732372283936
2,10002.00,0.148892596364021
3,10003.00,0.133459970355034
4,10004.00,0.116847582161427
5,10005.00,0.102450296282768
6,10006.00,0.090688444674015
7,10007.00,0.0813437551259995
8,10008.00,0.0746164917945862
9,10009.00,0.0712215229868889
10,10010.00,0.0720416530966759
11,10011.00,0.0777264535427094
12,10012.00,0.088081993162632
13,10013.00,0.100952491164207
14,10014.00,0.111364386975765
15,10015.00,0.113196283578873
16,10016.00,0.103779785335064
17,10017.00,0.0865411162376404
18,10018.00,0.0678971856832504
19,10019.00,0.0525805540382862
20,10020.00,0.0423425063490868
21,10021.00,0.0373362936079502
22,10022.00,0.0377402380108833
23,10023.00,0.0448737144470215
24,10024.00,0.0619337558746338
25,10025.00,0.0936656817793846
26,10026.00,0.14303369820118
27,10027.00,0.205337822437286
28,10028.00,0.267305999994278
29,10029.00,0.315969169139862
30,10030.00,0.346830934286118
31,10031.00,0.362319856882095
32,10032.00,0.367051601409912
33,10033.00,0.366970062255859
34,10034.00,0.370359629392624
35,10035.00,0.3867506980896
36,10036.00,0.423599600791931
37,10037.00,0.48161244392395
38,10038.00,0.548776507377625
39,10039.00,0.598120450973511
40,10040.00,0.599895417690277
41,10041.00,0.545541167259216
42,10042.00,0.457047611474991
43,10043.00,0.368200242519379
44,10044.00,0.301506549119949
45,10045.00,0.262845426797867
46,10046.00,0.247876703739166
47,10047.00,0.247280910611153
48,10048.00,0.248535975813866
49,10049.00,0.2395279109478
50,10050.00,0.215669527649879
51,10051.00,0.182684004306793
52,10052.00,0.150268197059631
53,10053.00,0.124621592462063
54,10054.00,0.106940977275372
55,10055.00,0.0957493036985397
56,10056.00,0.0891815423965454
57,10057.00,0.0861169621348381
58,10058.00,0.086415633559227
59,10059.00,0.0906376540660858
60,10060.00,0.0996280610561371
61,10061.00,0.114306569099426
62,10062.00,0.135893881320953
63,10063.00,0.166571334004402
64,10064.00,0.209900543093681
65,10065.00,0.269418209791183
66,10066.00,0.343700408935547
67,10067.00,0.419278413057327
68,10068.00,0.470600008964539
69,10069.00,0.476666808128357
70,10070.00,0.441344410181046
71,10071.00,0.390809416770935
72,10072.00,0.352542191743851
73,10073.00,0.342690050601959
74,10074.00,0.367664992809296
75,10075.00,0.427276462316513
76,10076.00,0.511801719665527
77,10077.00,0.59868723154068
78,10078.00,0.660967111587524
79,10079.00,0.685173392295837
80,10080.00,0.678402423858643
81,10081.00,0.656984627246857
82,10082.00,0.631322264671326
83,10083.00,0.599056422710419
84,10084.00,0.548249661922455
85,10085.00,0.469633996486664
86,10086.00,0.370498776435852
