#"+ESI Scan (rt: 7.121-8.956 min, 112 scans) Frag=250.0V A11c.d  Deconvoluted (Isotope Width=9.5)"
#Point,X(Daltons),Y(Counts)
0,10000.00,0.00101118732709438
1,10001.00,0.00231672613881528
2,10002.00,0.00398609507828951
3,10003.00,0.00606989115476608
4,10004.00,0.00846134033054113
5,10005.00,0.0107542974874377
6,10006.00,0.0123750409111381
7,10007.00,0.0130511242896318
8,10008.00,0.0131172081455588
9,10009.00,0.013287240639329
10,10010.00,0.0142818661406636
11,10011.00,0.0167178530246019
12,10012.00,0.0211065448820591
13,10013.00,0.0275615956634283
14,10014.00,0.0350430682301521
15,10015.00,0.0408446341753006
16,10016.00,0.0418610461056232
17,10017.00,0.0373379737138748
18,10018.00,0.0296899098902941
19,10019.00,0.0221723411232233
20,10020.00,0.0166616309434175
21,10021.00,0.0135627435520291
22,10022.00,0.0127487760037184
23,10023.00,0.014324932359159
24,10024.00,0.0189985018223524
25,10025.00,0.0280044917017221
26,10026.00,0.0422238409519196
27,10027.00,0.0606987923383713
28,10028.00,0.0804382935166359
29,10029.00,0.0985891744494438
30,10030.00,0.114300109446049
31,10031.00,0.128021821379662
32,10032.00,0.139882907271385
33,10033.00,0.149347633123398
34,10034.00,0.156171798706055
35,10035.00,0.161119282245636
36,10036.00,0.165293335914612
37,10037.00,0.168553903698921
38,10038.00,0.16853603720665
39,10039.00,0.161742866039276
40,10040.00,0.146737903356552
41,10041.00,0.1264608502388
42,10042.00,0.106542095541954
43,10043.00,0.0915364623069763
44,10044.00,0.083198681473732
45,10045.00,0.0811365619301796
46,10046.00,0.0837096348404884
47,10047.00,0.0882287994027138
48,10048.00,0.0912018641829491
49,10049.00,0.0896821320056915
50,10050.00,0.0832130685448647
51,10051.00,0.0741923376917839
52,10052.00,0.0659764856100082
53,10053.00,0.0608604066073895
54,10054.00,0.0595657229423523
55,10055.00,0.0616753250360489
56,10056.00,0.0661091804504395
57,10057.00,0.0715731605887413
58,10058.00,0.077090248465538
59,10059.00,0.0822666957974434
60,10060.00,0.0870317742228508
61,10061.00,0.0912794694304466
62,10062.00,0.0949854701757431
63,10063.00,0.0986781269311905
64,10064.00,0.103558346629143
65,10065.00,0.110919944941998
66,10066.00,0.121263541281223
67,10067.00,0.133703917264938
68,10068.00,0.146165296435356
69,10069.00,0.156592488288879
70,10070.00,0.164604663848877
71,10071.00,0.17235179245472
72,10072.00,0.183869779109955
73,10073.00,0.203293010592461
74,10074.00,0.232346594333649
75,10075.00,0.267275333404541
76,10076.00,0.297461360692978
