#"+ESI Scan (rt: 7.114-8.967 min, 113 scans) Frag=250.0V A11d.d  Deconvoluted (Isotope Width=9.5)"
#Point,X(Daltons),Y(Counts)
0,10000.00,0.0667996555566788
1,10001.00,0.0887730792164803
2,10002.00,0.0907254368066788
3,10003.00,0.08595310151577
4,10004.00,0.0796168595552444
5,10005.00,0.0730547606945038
6,10006.00,0.0662340074777603
7,10007.00,0.0593614056706429
8,10008.00,0.0534465946257114
9,10009.00,0.049888152629137
10,10010.00,0.0498791374266148
11,10011.00,0.0541597306728363
12,10012.00,0.0626937299966812
13,10013.00,0.0736796706914902
14,10014.00,0.0826274901628494
15,10015.00,0.0839986279606819
16,10016.00,0.0757782831788063
17,10017.00,0.0616025365889072
18,10018.00,0.0471574850380421
19,10019.00,0.0359624400734901
20,10020.00,0.0288457758724689
21,10021.00,0.025495421141386
22,10022.00,0.0257519911974669
23,10023.00,0.0302505809813738
24,10024.00,0.0406764261424541
25,10025.00,0.0593156777322292
26,10026.00,0.0869971066713333
27,10027.00,0.120141990482807
28,10028.00,0.151141181588173
29,10029.00,0.173700943589211
30,10030.00,0.186771243810654
31,10031.00,0.192808225750923
32,10032.00,0.194530516862869
33,10033.00,0.194096088409424
34,10034.00,0.193814605474472
35,10035.00,0.196128845214844
36,10036.00,0.202270120382309
37,10037.00,0.210485354065895
38,10038.00,0.215287640690804
39,10039.00,0.209692806005478
40,10040.00,0.190667003393173
41,10041.00,0.162818446755409
42,10042.00,0.135307446122169
43,10043.00,0.115689009428024
44,10044.00,0.107562236487865
45,10045.00,0.112204775214195
46,10046.00,0.130112409591675
47,10047.00,0.159618780016899
48,10048.00,0.192909047007561
49,10049.00,0.21518611907959
50,10050.00,0.213996291160584
51,10051.00,0.191093131899834
52,10052.00,0.160142704844475
53,10053.00,0.134153708815575
54,10054.00,0.119164362549782
55,10055.00,0.116417825222015
56,10056.00,0.125978052616119
57,10057.00,0.148192495107651
58,10058.00,0.182978555560112
59,10059.00,0.227884188294411
60,10060.00,0.277057737112045
61,10061.00,0.324132084846497
62,10062.00,0.368734925985336
63,10063.00,0.421040445566177
64,10064.00,0.500637114048004
65,10065.00,0.631788969039917
66,10066.00,0.834179282188416
67,10067.00,1.1021032333374
68,10068.00,1.37885928153992
69,10069.00,1.56645476818085
70,10070.00,1.59518766403198
71,10071.00,1.48591661453247
72,10072.00,1.32584178447723
73,10073.00,1.19722485542297
74,10074.00,1.14065194129944
75,10075.00,1.15973508358002
76,10076.00,1.2331417798996
77,10077.00,1.32233643531799
78,10078.00,1.38603711128235
79,10079.00,1.40247213840485
80,10080.00,1.37936747074127
81,10081.00,1.34024739265442
82,10082.00,1.30163645744324
83,10083.00,1.25907039642334
84,10084.00,1.1885666847229
85,10085.00,1.06540358066559
86,10086.00,0.891267240047455
87,10087.00,0.701663851737976
88,10088.00,0.54039990901947
89,10089.00,0.431744664907455
90,10090.00,0.378305017948151
91,10091.00,0.374055802822113
92,10092.00,0.412870675325394
93,10093.00,0.487164914608002
94,10094.00,0.58143812417984
95,10095.00,0.670350074768066
96,10096.00,0.728142082691193
97,10097.00,0.7420494556427
98,10098.00,0.715732991695404
99,10099.00,0.662185847759247
100,10100.00,0.596399307250977
101,10101.00,0.532499492168427
102,10102.00,0.482759267091751
103,10103.00,0.456631362438202
104,10104.00,0.460806757211685
105,10105.00,0.500698626041412
106,10106.00,0.582019567489624
107,10107.00,0.711225152015686
108,10108.00,0.894779741764069
109,10109.00,1.13791489601135
110,10110.00,1.44297301769257
111,10111.00,1.8048038482666
112,10112.00,2.19783282279968
113,10113.00,2.55592250823975
114,10114.00,2.77068376541138
115,10115.00,2.74658036231995
116,10116.00,2.4872190952301
117,10117.00,2.10626435279846
118,10118.00,1.7374792098999
119,10119.00,1.45543766021729
120,10120.00,1.27261650562286
121,10121.00,1.17245483398438
122,10122.00,1.13288879394531
123,10123.00,1.13164484500885
124,10124.00,1.14238297939301
125,10125.00,1.13537549972534
126,10126.00,1.09207797050476
127,10127.00,1.02261698246002
128,10128.00,0.962294280529022
129,10129.00,0.949441850185394
130,10130.00,1.00996434688568
131,10131.00,1.15408980846405
132,10132.00,1.37218916416168
133,10133.00,1.62691223621368
134,10134.00,1.85397028923035
135,10135.00,1.98034048080444
136,10136.00,1.95435392856598
137,10137.00,1.77418148517609
138,10138.00,1.49512040615082
139,10139.00,1.20170772075653
140,10140.00,0.964100003242493
141,10141.00,0.816789388656616
142,10142.00,0.768690705299377
143,10143.00,0.822504639625549
144,10144.00,0.98034805059433
145,10145.00,1.222864985466
146,10146.00,1.47145462036133
147,10147.00,1.5940146446228
148,10148.00,1.50191628932953
149,10149.00,1.23532330989838
150,10150.00,0.914620995521545
151,10151.00,0.637437582015991
152,10152.00,0.441039115190506
153,10153.00,0.322450757026672
154,10154.00,0.266374319791794
155,10155.00,0.469371378421783
156,10156.00,0.567156553268433
157,10157.00,0.826919436454773
158,10158.00,1.59406816959381
159,10159.00,2.67090058326721
160,10160.00,4.12205219268799
161,10161.00,5.36984300613403
162,10162.00,5.09775447845459
163,10163.00,5.47981977462769
164,10164.00,5.51079607009888
165,10165.00,5.09304332733154
166,10166.00,5.05248069763184
167,10167.00,3.67522525787354
168,10168.00,2.02840542793274
169,10169.00,2.60608553886414
170,10170.00,3.12586402893066
171,10171.00,1.64035332202911
172,10172.00,1.02337241172791
173,10173.00,0.746221959590912
174,10174.00,0.43167120218277
175,10175.00,0.353781402111053
176,10176.00,0.301472842693329
177,10177.00,0.258152544498444
178,10178.00,0.161187693476677
179,10179.00,0.226988241076469
180,10180.00,0.392506718635559
181,10181.00,0.704861462116241
182,10182.00,0.738239407539368
183,10183.00,0.748292744159698
184,10184.00,0.854922652244568
185,10185.00,0.820123851299286
186,10186.00,0.695004642009735
187,10187.00,1.03400695323944
188,10188.00,1.2277991771698
189,10189.00,1.82762086391449
190,10190.00,1.93161690235138
191,10191.00,2.08285689353943
192,10192.00,2.5480968952179
193,10193.00,3.04816794395447
194,10194.00,3.00942230224609
195,10195.00,3.29177713394165
196,10196.00,2.94503283500671
197,10197.00,3.28503203392029
198,10198.00,3.36765289306641
199,10199.00,2.44306778907776
200,10200.00,2.33029413223267
201,10201.00,2.85966682434082
202,10202.00,2.73197841644287
203,10203.00,1.97087502479553
204,10204.00,1.3240065574646
205,10205.00,1.15446889400482
206,10206.00,1.02811932563782
207,10207.00,0.648735761642456
208,10208.00,0.578058958053589
209,10209.00,0.447032153606415
210,10210.00,0.432252556085587
211,10211.00,0.821820974349976
212,10212.00,0.986958026885986
213,10213.00,1.38493931293488
214,10214.00,2.15630483627319
215,10215.00,3.01371121406555
216,10216.00,3.78873419761658
217,10217.00,3.70438528060913
218,10218.00,3.97641348838806
219,10219.00,3.93960928916931
220,10220.00,5.10816526412964
221,10221.00,4.5158166885376
222,10222.00,4.33042621612549
223,10223.00,5.59000539779663
224,10224.00,5.93396472930908
225,10225.00,7.4202823638916
226,10226.00,8.49314117431641
227,10227.00,7.20030832290649
228,10228.00,5.14455318450928
229,10229.00,4.49512910842896
230,10230.00,4.25149631500244
231,10231.00,2.94285607337952
232,10232.00,2.28784608840942
233,10233.00,1.96610593795776
234,10234.00,1.41380631923676
235,10235.00,2.53844928741455
236,10236.00,4.16709136962891
237,10237.00,2.96412801742554
238,10238.00,1.68331980705261
239,10239.00,2.30009889602661
240,10240.00,2.36634731292725
241,10241.00,1.76120066642761
242,10242.00,1.72293329238892
243,10243.00,2.68077397346497
244,10244.00,2.49074339866638
245,10245.00,2.08685255050659
246,10246.00,2.39876484870911
247,10247.00,2.83804607391357
248,10248.00,2.2267529964447
249,10249.00,3.21958708763123
250,10250.00,4.36935758590698
251,10251.00,3.06277704238892
252,10252.00,2.22236371040344
253,10253.00,2.7205286026001
254,10254.00,3.26888060569763
255,10255.00,2.07768774032593
256,10256.00,1.59362614154816
257,10257.00,1.32987344264984
258,10258.00,1.76101720333099
259,10259.00,1.79861080646515
260,10260.00,1.54210686683655
261,10261.00,1.57400572299957
262,10262.00,2.37039804458618
263,10263.00,2.27019882202148
264,10264.00,1.99113309383392
265,10265.00,2.70349049568176
266,10266.00,2.9841480255127
267,10267.00,2.19260263442993
268,10268.00,2.00583744049072
269,10269.00,2.01753211021423
270,10270.00,1.65467953681946
271,10271.00,1.82783186435699
272,10272.00,2.03365135192871
273,10273.00,2.59134411811829
274,10274.00,4.13318490982056
275,10275.00,7.41771364212036
276,10276.00,7.73150444030762
277,10277.00,7.75048446655273
278,10278.00,9.16370391845703
279,10279.00,6.94715356826782
280,10280.00,8.08390998840332
281,10281.00,7.4728536605835
282,10282.00,6.54304075241089
283,10283.00,6.63544750213623
284,10284.00,6.12371492385864
285,10285.00,5.73394393920898
286,10286.00,3.83430600166321
287,10287.00,2.59215760231018
288,10288.00,2.98913621902466
289,10289.00,3.76435375213623
290,10290.00,4.96877908706665
291,10291.00,7.01696014404297
292,10292.00,12.9597043991089
293,10293.00,20.2353572845459
294,10294.00,24.3137226104736
295,10295.00,68.8270721435547
296,10296.00,115.668632507324
297,10297.00,97.8800888061523
298,10298.00,91.0565948486328
299,10299.00,101.917518615723
300,10300.00,87.291374206543
301,10301.00,96.3196868896484
302,10302.00,132.844375610352
303,10303.00,84.8400115966797
304,10304.00,42.2401008605957
305,10305.00,26.3338642120361
306,10306.00,19.0539741516113
307,10307.00,8.82278919219971
308,10308.00,4.35639381408691
309,10309.00,2.55652594566345
310,10310.00,2.42636847496033
311,10311.00,1.48066568374634
312,10312.00,0.744543194770813
313,10313.00,0.949937641620636
314,10314.00,1.07812213897705
315,10315.00,1.49419248104095
316,10316.00,1.44874370098114
317,10317.00,1.21707820892334
318,10318.00,0.989413499832153
319,10319.00,0.774346530437469
320,10320.00,0.672549426555634
321,10321.00,0.665281713008881
322,10322.00,0.640292346477509
323,10323.00,1.252556681633
324,10324.00,2.09239649772644
325,10325.00,3.57641649246216
326,10326.00,4.30832099914551
327,10327.00,4.09090185165405
328,10328.00,3.17239665985107
329,10329.00,2.01556754112244
330,10330.00,1.54675805568695
331,10331.00,1.41883540153503
332,10332.00,0.812798023223877
333,10333.00,0.630838871002197
334,10334.00,0.552639365196228
335,10335.00,0.757354855537415
336,10336.00,0.894303441047668
337,10337.00,0.953108668327332
338,10338.00,1.29542005062103
339,10339.00,1.33611047267914
340,10340.00,2.11477017402649
341,10341.00,2.90787053108215
342,10342.00,2.66528296470642
343,10343.00,4.44243955612183
344,10344.00,5.04700517654419
345,10345.00,6.1266188621521
346,10346.00,7.65142440795898
347,10347.00,5.14124536514282
348,10348.00,3.81708073616028
349,10349.00,2.77421402931213
350,10350.00,1.75175154209137
351,10351.00,1.93138468265533
352,10352.00,1.59296190738678
353,10353.00,1.33215272426605
354,10354.00,1.91370606422424
355,10355.00,3.59048843383789
356,10356.00,5.41290473937988
357,10357.00,5.56038284301758
358,10358.00,5.17442560195923
359,10359.00,5.78864765167236
360,10360.00,4.8048038482666
361,10361.00,5.32942819595337
362,10362.00,5.7439603805542
363,10363.00,6.34034442901611
364,10364.00,5.01622438430786
365,10365.00,5.71304368972778
366,10366.00,7.88971090316772
367,10367.00,9.92690277099609
368,10368.00,17.1467742919922
369,10369.00,18.1915664672852
370,10370.00,28.8714332580566
371,10371.00,31.7037258148193
372,10372.00,20.1187648773193
373,10373.00,17.6786842346191
374,10374.00,10.4514045715332
375,10375.00,6.5547308921814
376,10376.00,4.19504404067993
377,10377.00,2.9314398765564
378,10378.00,3.90947198867798
379,10379.00,5.59211826324463
380,10380.00,5.77062273025513
381,10381.00,5.3043794631958
382,10382.00,6.17129135131836
383,10383.00,8.37641429901123
384,10384.00,10.8642387390137
385,10385.00,16.1126308441162
386,10386.00,22.1432132720947
387,10387.00,25.230396270752
388,10388.00,18.3963718414307
389,10389.00,18.23317527771
390,10390.00,21.4375514984131
391,10391.00,11.314356803894
392,10392.00,6.05184602737427
393,10393.00,5.753333568573
394,10394.00,3.72287559509277
395,10395.00,2.73293805122375
396,10396.00,1.72713339328766
397,10397.00,1.2227531671524
398,10398.00,0.880399286746979
399,10399.00,0.589804947376251
400,10400.00,0.610515534877777
401,10401.00,0.674082398414612
402,10402.00,0.589952230453491
403,10403.00,0.722365498542786
404,10404.00,1.20530033111572
405,10405.00,3.15086555480957
406,10406.00,5.49909973144531
407,10407.00,8.17127323150635
408,10408.00,14.5554847717285
409,10409.00,20.4480323791504
410,10410.00,25.348819732666
411,10411.00,26.4414310455322
412,10412.00,24.7347431182861
413,10413.00,15.7109117507935
414,10414.00,9.19305610656738
415,10415.00,13.4777326583862
416,10416.00,12.8407783508301
417,10417.00,8.96472263336182
418,10418.00,12.163311958313
419,10419.00,17.0218410491943
420,10420.00,10.1505641937256
421,10421.00,13.1927127838135
422,10422.00,17.4183349609375
423,10423.00,12.8618669509888
424,10424.00,11.3976106643677
425,10425.00,14.8098278045654
426,10426.00,9.8206262588501
427,10427.00,8.99656772613525
428,10428.00,7.94105768203735
