#"+ESI Scan (rt: 7.123-8.959 min, 112 scans) Frag=250.0V B11a.d  Deconvoluted (Isotope Width=9.5)"
#Point,X(Daltons),Y(Counts)
0,10000.00,5.25189638137817
1,10001.00,4.33374214172363
2,10002.00,2.73919320106506
3,10003.00,1.64007759094238
4,10004.00,1.00065803527832
5,10005.00,0.639535307884216
6,10006.00,0.428799450397491
7,10007.00,0.300233542919159
8,10008.00,0.221434995532036
9,10009.00,0.176926523447037
10,10010.00,0.15838149189949
11,10011.00,0.160879492759705
12,10012.00,0.180112838745117
13,10013.00,0.207417964935303
14,10014.00,0.226190507411957
15,10015.00,0.21974515914917
16,10016.00,0.187388837337494
17,10017.00,0.144987866282463
18,10018.00,0.108220748603344
19,10019.00,0.0829444825649261
20,10020.00,0.0684759393334389
21,10021.00,0.0631186440587044
22,10022.00,0.0670477375388145
23,10023.00,0.0838512107729912
24,10024.00,0.12248856574297
25,10025.00,0.199255242943764
26,10026.00,0.335499793291092
27,10027.00,0.545722484588623
28,10028.00,0.820589601993561
29,10029.00,1.11943197250366
30,10030.00,1.3768470287323
31,10031.00,1.5217297077179
32,10032.00,1.51427578926086
33,10033.00,1.38043606281281
34,10034.00,1.19698691368103
35,10035.00,1.03564131259918
36,10036.00,0.926787853240967
37,10037.00,0.861080884933472
38,10038.00,0.804500937461853
39,10039.00,0.717550098896027
40,10040.00,0.583161294460297
41,10041.00,0.424377858638763
42,10042.00,0.283994227647781
43,10043.00,0.187745183706284
44,10044.00,0.135090842843056
45,10045.00,0.114694513380528
46,10046.00,0.117104724049568
47,10047.00,0.135588809847832
48,10048.00,0.160181522369385
49,10049.00,0.175330474972725
50,10050.00,0.170180842280388
51,10051.00,0.149100989103317
52,10052.00,0.124800644814968
53,10053.00,0.105977170169353
54,10054.00,0.0947993472218513
55,10055.00,0.0904497876763344
56,10056.00,0.0922173485159874
57,10057.00,0.101011551916599
58,10058.00,0.120131224393845
59,10059.00,0.156104058027267
60,10060.00,0.220204561948776
61,10061.00,0.331245183944702
62,10062.00,0.52101343870163
63,10063.00,0.843760550022125
64,10064.00,1.38247525691986
65,10065.00,2.21574234962463
66,10066.00,3.28265023231506
67,10067.00,4.20316505432129
68,10068.00,4.4214940071106
69,10069.00,3.79455828666687
70,10070.00,2.79214072227478
71,10071.00,1.94337368011475
72,10072.00,1.43829703330994
73,10073.00,1.24225640296936
74,10074.00,1.29323983192444
75,10075.00,1.56301975250244
76,10076.00,2.01701712608337
77,10077.00,2.53868365287781
78,10078.00,2.92028403282166
79,10079.00,2.99102258682251
80,10080.00,2.75163745880127
81,10081.00,2.34051251411438
82,10082.00,1.89788174629211
83,10083.00,1.49125027656555
84,10084.00,1.13120913505554
85,10085.00,0.817091822624207
86,10086.00,0.561224699020386
87,10087.00,0.378593564033508
88,10088.00,0.268933087587357
89,10089.00,0.218978300690651
90,10090.00,0.217136412858963
91,10091.00,0.263222813606262
92,10092.00,0.369182586669922
93,10093.00,0.549514055252075
94,10094.00,0.800372004508972
95,10095.00,1.083247423172
96,10096.00,1.3393212556839
97,10097.00,1.52540409564972
98,10098.00,1.63079810142517
99,10099.00,1.66509890556335
100,10100.00,1.64246761798859
101,10101.00,1.57807612419128
102,10102.00,1.49008214473724
103,10103.00,1.39782822132111
104,10104.00,1.31777036190033
105,10105.00,1.26356017589569
106,10106.00,1.25140523910522
107,10107.00,1.3069030046463
108,10108.00,1.47152125835419
109,10109.00,1.81036353111267
110,10110.00,2.41698551177979
111,10111.00,3.3884801864624
112,10112.00,4.71657419204712
113,10113.00,6.09611701965332
114,10114.00,6.90381813049316
115,10115.00,6.67061758041382
116,10116.00,5.61063766479492
117,10117.00,4.38430547714233
118,10118.00,3.47553968429565
119,10119.00,3.01972603797913
120,10120.00,2.99466419219971
121,10121.00,3.38118505477905
122,10122.00,4.18983840942383
123,10123.00,5.36707258224487
124,10124.00,6.6017050743103
125,10125.00,7.24686479568481
126,10126.00,6.75804901123047
127,10127.00,5.34974575042725
128,10128.00,3.8101692199707
129,10129.00,2.70081067085266
130,10130.00,2.10947608947754
131,10131.00,1.91962623596191
132,10132.00,2.01352691650391
133,10133.00,2.29439878463745
134,10134.00,2.64775729179382
135,10135.00,2.93794322013855
136,10136.00,3.05964612960815
137,10137.00,2.98809146881104
138,10138.00,2.77550840377808
139,10139.00,2.50894236564636
140,10140.00,2.273512840271
141,10141.00,2.14022374153137
142,10142.00,2.17121076583862
143,10143.00,2.42870450019836
144,10144.00,2.96621513366699
145,10145.00,3.76596713066101
146,10146.00,4.63028526306152
147,10147.00,5.18761348724365
148,10148.00,5.15719985961914
149,10149.00,4.59684085845947
150,10150.00,3.79608702659607
151,10151.00,3.02087473869324
152,10152.00,2.41476702690125
153,10153.00,2.0337188243866
154,10154.00,1.90004789829254
155,10155.00,2.0440981388092
156,10156.00,2.5316162109375
157,10157.00,3.45207214355469
158,10158.00,4.83244228363037
159,10159.00,6.51359939575195
160,10160.00,8.15207481384277
161,10161.00,9.41473960876465
162,10162.00,10.1495056152344
163,10163.00,10.3653907775879
164,10164.00,10.1424617767334
165,10165.00,9.59750843048096
166,10166.00,8.86145305633545
167,10167.00,8.01406288146973
168,10168.00,7.03529596328735
169,10169.00,5.86161613464355
170,10170.00,4.52613401412964
171,10171.00,3.21767020225525
172,10172.00,2.15210580825806
173,10173.00,1.41644048690796
174,10174.00,0.965023994445801
175,10175.00,0.707959532737732
176,10176.00,0.572107672691345
177,10177.00,0.514257609844208
178,10178.00,0.513167500495911
179,10179.00,0.556927978992462
180,10180.00,0.628591418266296
181,10181.00,0.6948322057724
182,10182.00,0.714598596096039
183,10183.00,0.672095775604248
184,10184.00,0.593938708305359
185,10185.00,0.523231744766235
186,10186.00,0.488464415073395
187,10187.00,0.498113691806793
188,10188.00,0.545907139778137
189,10189.00,0.610326647758484
190,10190.00,0.655744910240173
191,10191.00,0.650551378726959
192,10192.00,0.591799139976501
193,10193.00,0.505201935768127
194,10194.00,0.420670807361603
195,10195.00,0.353712528944016
196,10196.00,0.304878056049347
197,10197.00,0.267421096563339
198,10198.00,0.23451592028141
199,10199.00,0.203536882996559
200,10200.00,0.176307439804077
201,10201.00,0.156285479664803
202,10202.00,0.146105915307999
203,10203.00,0.147263363003731
204,10204.00,0.160797789692879
205,10205.00,0.187379017472267
206,10206.00,0.226287096738815
207,10207.00,0.274291545152664
208,10208.00,0.326595216989517
209,10209.00,0.38069075345993
210,10210.00,0.440518260002136
211,10211.00,0.517773449420929
212,10212.00,0.630545198917389
213,10213.00,0.801032543182373
214,10214.00,1.05265867710114
215,10215.00,1.40777587890625
216,10216.00,1.89178061485291
217,10217.00,2.54769468307495
218,10218.00,3.4491240978241
219,10219.00,4.68315553665161
220,10220.00,6.27701139450073
221,10221.00,8.07776737213135
222,10222.00,9.6763162612915
223,10223.00,10.519606590271
224,10224.00,10.2269906997681
225,10225.00,8.87357711791992
226,10226.00,6.9540433883667
227,10227.00,5.04791402816772
228,10228.00,3.5146803855896
229,10229.00,2.44235634803772
230,10230.00,1.7653306722641
231,10231.00,1.38196766376495
232,10232.00,1.20933854579926
233,10233.00,1.19098711013794
234,10234.00,1.27876055240631
235,10235.00,1.40289485454559
236,10236.00,1.46572172641754
237,10237.00,1.39734017848969
238,10238.00,1.21849381923676
239,10239.00,1.01247382164001
240,10240.00,0.847640931606293
241,10241.00,0.748589396476746
242,10242.00,0.714133322238922
243,10243.00,0.739239037036896
244,10244.00,0.826939523220062
245,10245.00,0.994626641273499
246,10246.00,1.27844893932343
247,10247.00,1.73382258415222
248,10248.00,2.42264842987061
249,10249.00,3.3709704875946
250,10250.00,4.48863410949707
251,10251.00,5.4897723197937
252,10252.00,5.93725967407227
253,10253.00,5.52441120147705
254,10254.00,4.40181159973145
255,10255.00,3.09539556503296
256,10256.00,2.05376195907593
257,10257.00,1.40435898303986
258,10258.00,1.07376456260681
259,10259.00,0.963273465633392
260,10260.00,1.01860392093658
261,10261.00,1.23194205760956
262,10262.00,1.62476241588593
263,10263.00,2.2188892364502
264,10264.00,2.98352098464966
265,10265.00,3.76264905929565
266,10266.00,4.25899028778076
267,10267.00,4.1991229057312
268,10268.00,3.60584568977356
269,10269.00,2.81827878952026
270,10270.00,2.18970346450806
271,10271.00,1.88104140758514
272,10272.00,1.92683446407318
273,10273.00,2.35544323921204
274,10274.00,3.1816029548645
275,10275.00,4.25011396408081
276,10276.00,5.15240621566772
277,10277.00,5.5393648147583
278,10278.00,5.51072263717651
279,10279.00,5.49288082122803
280,10280.00,5.890380859375
281,10281.00,6.95456552505493
282,10282.00,8.71958351135254
283,10283.00,10.8035650253296
284,10284.00,12.3697700500488
285,10285.00,12.7107353210449
286,10286.00,11.9361066818237
287,10287.00,10.7889089584351
288,10288.00,9.9796724319458
289,10289.00,9.94656658172607
290,10290.00,11.0711441040039
