#"+ESI Scan (rt: 7.118-8.954 min, 112 scans) Frag=250.0V B11c.d  Deconvoluted (Isotope Width=9.5)"
#Point,X(Daltons),Y(Counts)
0,10000.00,0.00469105783849955
1,10001.00,0.0105578973889351
2,10002.00,0.0178471431136131
3,10003.00,0.0267498753964901
4,10004.00,0.0369568653404713
5,10005.00,0.0471685230731964
6,10006.00,0.0553210377693176
7,10007.00,0.0599475353956223
8,10008.00,0.0614874660968781
9,10009.00,0.0620136149227619
10,10010.00,0.0638692229986191
11,10011.00,0.0686553046107292
12,10012.00,0.0767457038164139
13,10013.00,0.0866684839129448
14,10014.00,0.0945283770561218
15,10015.00,0.0951730832457542
16,10016.00,0.0860048905014992
17,10017.00,0.0698434188961983
18,10018.00,0.0526338666677475
19,10019.00,0.0388692691922188
20,10020.00,0.0300070270895958
21,10021.00,0.0258219018578529
22,10022.00,0.0261031091213226
23,10023.00,0.0317407846450806
24,10024.00,0.0453771390020847
25,10025.00,0.0710655152797699
26,10026.00,0.110997393727303
27,10027.00,0.159661084413528
28,10028.00,0.203453376889229
29,10029.00,0.230813145637512
30,10030.00,0.240699708461761
31,10031.00,0.239438220858574
32,10032.00,0.233767509460449
33,10033.00,0.228237792849541
34,10034.00,0.225917458534241
35,10035.00,0.228977084159851
36,10036.00,0.237911328673363
37,10037.00,0.249951615929604
38,10038.00,0.258288353681564
39,10039.00,0.254663676023483
40,10040.00,0.235628291964531
41,10041.00,0.206485494971275
42,10042.00,0.177418008446693
43,10043.00,0.15652035176754
44,10044.00,0.147142544388771
45,10045.00,0.14925916492939
46,10046.00,0.160879001021385
47,10047.00,0.177935004234314
48,10048.00,0.19394239783287
49,10049.00,0.201726913452148
50,10050.00,0.197507947683334
51,10051.00,0.18365515768528
52,10052.00,0.166710689663887
53,10053.00,0.152884259819984
54,10054.00,0.145438268780708
55,10055.00,0.144803389906883
56,10056.00,0.149685636162758
57,10057.00,0.158046215772629
58,10058.00,0.16779163479805
59,10059.00,0.177076190710068
60,10060.00,0.184262290596962
61,10061.00,0.188123986124992
62,10062.00,0.188724085688591
63,10063.00,0.188245460391045
64,10064.00,0.19066259264946
