#"+ESI Scan (rt: 7.116-8.952 min, 112 scans) Frag=250.0V D10c.d  Deconvoluted (Isotope Width=9.5)"
#Point,X(Daltons),Y(Counts)
0,10000.00,0.00486565567553043
1,10001.00,0.0113380337134004
2,10002.00,0.0194550044834614
3,10003.00,0.0287668686360121
4,10004.00,0.0382135212421417
5,10005.00,0.0463577024638653
6,10006.00,0.0522502325475216
7,10007.00,0.056235782802105
8,10008.00,0.0598372966051102
9,10009.00,0.0649215057492256
10,10010.00,0.0729448348283768
11,10011.00,0.0844329670071602
12,10012.00,0.0982788503170013
13,10013.00,0.110902465879917
14,10014.00,0.116663165390491
15,10015.00,0.111220501363277
16,10016.00,0.0957758277654648
17,10017.00,0.0765953063964844
18,10018.00,0.059842549264431
19,10019.00,0.0482161045074463
20,10020.00,0.0417286232113838
21,10021.00,0.0397503413259983
22,10022.00,0.0423202142119408
23,10023.00,0.050761803984642
24,10024.00,0.0679573938250542
25,10025.00,0.0978499874472618
26,10026.00,0.142862752079964
27,10027.00,0.199421942234039
28,10028.00,0.256652921438217
29,10029.00,0.302789479494095
30,10030.00,0.333122938871384
31,10031.00,0.350676417350769
32,10032.00,0.361626714468002
33,10033.00,0.371885180473328
34,10034.00,0.386121034622192
35,10035.00,0.407024025917053
36,10036.00,0.433350950479507
37,10037.00,0.457525551319122
38,10038.00,0.466100931167603
39,10039.00,0.446835935115814
40,10040.00,0.399261742830276
41,10041.00,0.337146133184433
42,10042.00,0.278671056032181
43,10043.00,0.235750332474709
44,10044.00,0.211904376745224
45,10045.00,0.205529376864433
46,10046.00,0.212305277585983
47,10047.00,0.225106194615364
48,10048.00,0.234102427959442
49,10049.00,0.230554595589638
50,10050.00,0.212612330913544
51,10051.00,0.186116173863411
52,10052.00,0.159038692712784
53,10053.00,0.136398166418076
54,10054.00,0.119693279266357
55,10055.00,0.108806826174259
56,10056.00,0.103641204535961
57,10057.00,0.104654237627983
58,10058.00,0.112562298774719
59,10059.00,0.127524897456169
60,10060.00,0.148063734173775
61,10061.00,0.170758992433548
62,10062.00,0.19230130314827
63,10063.00,0.2130396515131
64,10064.00,0.238302156329155
65,10065.00,0.276155799627304
66,10066.00,0.333666533231735
67,10067.00,0.412483990192413
68,10068.00,0.504058718681335
69,10069.00,0.5891392827034
70,10070.00,0.647508680820465
71,10071.00,0.673241496086121
72,10072.00,0.680268406867981
73,10073.00,0.692793428897858
74,10074.00,0.731886744499207
75,10075.00,0.808014392852783
76,10076.00,0.918570876121521
77,10077.00,1.04870927333832
78,10078.00,1.17748177051544
79,10079.00,1.28703224658966
80,10080.00,1.36702585220337
81,10081.00,1.41197896003723
82,10082.00,1.41730582714081
83,10083.00,1.37894368171692
84,10084.00,1.2962349653244
85,10085.00,1.17545783519745
86,10086.00,1.03123033046722
87,10087.00,0.883729636669159
88,10088.00,0.752606689929962
89,10089.00,0.651622831821442
90,10090.00,0.587171196937561
91,10091.00,0.560057461261749
92,10092.00,0.567712187767029
93,10093.00,0.604823172092438
94,10094.00,0.662695288658142
95,10095.00,0.729620516300201
96,10096.00,0.79404217004776
97,10097.00,0.849007606506348
98,10098.00,0.894483983516693
99,10099.00,0.93641608953476
100,10100.00,0.984054803848267
101,10101.00,1.04671502113342
102,10102.00,1.12999987602234
103,10103.00,1.23235058784485
104,10104.00,1.34508228302002
105,10105.00,1.4594224691391
106,10106.00,1.57826995849609
107,10107.00,1.72303760051727
108,10108.00,1.92923963069916
109,10109.00,2.23475670814514
110,10110.00,2.66552948951721
111,10111.00,3.2159161567688
112,10112.00,3.81957983970642
113,10113.00,4.32390975952148
114,10114.00,4.51827239990234
115,10115.00,4.2632737159729
116,10116.00,3.63340544700623
117,10117.00,2.88134145736694
118,10118.00,2.24275088310242
119,10119.00,1.81604790687561
120,10120.00,1.59267008304596
121,10121.00,1.52623319625854
122,10122.00,1.56434750556946
123,10123.00,1.64822387695313
124,10124.00,1.71076965332031
125,10125.00,1.69689857959747
126,10126.00,1.59785902500153
127,10127.00,1.45868468284607
128,10128.00,1.34410762786865
129,10129.00,1.30186653137207
130,10130.00,1.3529235124588
131,10131.00,1.49545681476593
132,10132.00,1.70328795909882
133,10133.00,1.9203667640686
134,10134.00,2.0677478313446
135,10135.00,2.073650598526
136,10136.00,1.91406846046448
137,10137.00,1.63143718242645
138,10138.00,1.30987882614136
139,10139.00,1.02718150615692
140,10140.00,0.82538515329361
141,10141.00,0.714762449264526
142,10142.00,0.693387627601624
143,10143.00,0.761883795261383
144,10144.00,0.923137426376343
145,10145.00,1.16147828102112
146,10146.00,1.41086173057556
147,10147.00,1.56025421619415
148,10148.00,1.53177928924561
149,10149.00,1.3507045507431
150,10150.00,1.1105672121048
151,10151.00,0.891768157482147
152,10152.00,0.729634046554565
153,10153.00,0.629453122615814
154,10154.00,0.587856411933899
155,10155.00,0.604538142681122
156,10156.00,0.686176717281342
157,10157.00,0.844858229160309
158,10158.00,1.08929359912872
159,10159.00,1.40916228294373
160,10160.00,1.76511919498444
161,10161.00,2.10164070129395
162,10162.00,2.37308526039124
163,10163.00,2.5504310131073
164,10164.00,2.60679364204407
165,10165.00,2.5168616771698
166,10166.00,2.28304862976074
167,10167.00,1.95140695571899
168,10168.00,1.58781290054321
169,10169.00,1.24283695220947
170,10170.00,0.942428767681122
171,10171.00,0.698233962059021
172,10172.00,0.51439243555069
173,10173.00,0.386898696422577
174,10174.00,0.304664850234985
175,10175.00,0.254525423049927
176,10176.00,0.22580298781395
177,10177.00,0.212143450975418
178,10178.00,0.211083397269249
179,10179.00,0.22222176194191
180,10180.00,0.244685217738152
181,10181.00,0.274631261825562
182,10182.00,0.30457729101181
183,10183.00,0.326885968446732
184,10184.00,0.339784324169159
185,10185.00,0.349655628204346
186,10186.00,0.367317646741867
187,10187.00,0.402806341648102
188,10188.00,0.461714208126068
189,10189.00,0.541523039340973
190,10190.00,0.627621173858643
191,10191.00,0.694452524185181
192,10192.00,0.717275977134705
193,10193.00,0.687868356704712
194,10194.00,0.618806064128876
195,10195.00,0.533013880252838
196,10196.00,0.450841963291168
197,10197.00,0.384496748447418
198,10198.00,0.33906152844429
199,10199.00,0.315547555685043
200,10200.00,0.313307911157608
201,10201.00,0.331079423427582
202,10202.00,0.366537243127823
203,10203.00,0.414481669664383
204,10204.00,0.464609056711197
205,10205.00,0.501695811748505
206,10206.00,0.511720061302185
207,10207.00,0.491979032754898
208,10208.00,0.455164909362793
209,10209.00,0.421874582767487
210,10210.00,0.410345286130905
211,10211.00,0.433153986930847
212,10212.00,0.499034106731415
213,10213.00,0.612622439861298
214,10214.00,0.769789159297943
215,10215.00,0.955488562583923
216,10216.00,1.15308845043182
217,10217.00,1.35812366008759
218,10218.00,1.57759809494019
219,10219.00,1.81335663795471
220,10220.00,2.04922151565552
221,10221.00,2.25798869132996
222,10222.00,2.41946363449097
223,10223.00,2.52309942245483
224,10224.00,2.55055046081543
225,10225.00,2.46831965446472
226,10226.00,2.25427389144897
227,10227.00,1.93381106853485
228,10228.00,1.5764776468277
229,10229.00,1.25310158729553
230,10230.00,1.00307047367096
231,10231.00,0.834988713264465
232,10232.00,0.742460787296295
233,10233.00,0.715581774711609
234,10234.00,0.810978710651398
235,10235.00,1.88717103004456
236,10236.00,2.87230587005615
237,10237.00,2.00096559524536
238,10238.00,1.19645774364471
239,10239.00,2.06638884544373
240,10240.00,1.84505271911621
241,10241.00,1.56294786930084
242,10242.00,1.26433181762695
243,10243.00,1.92471778392792
244,10244.00,1.60946130752563
245,10245.00,1.43859851360321
246,10246.00,1.97294616699219
247,10247.00,2.44654226303101
248,10248.00,2.10489439964294
249,10249.00,2.74678063392639
250,10250.00,3.42693567276001
251,10251.00,2.63247323036194
252,10252.00,2.06474685668945
253,10253.00,2.9902925491333
254,10254.00,3.53684210777283
255,10255.00,2.95574069023132
256,10256.00,2.22400832176209
257,10257.00,1.93313610553741
258,10258.00,2.02257204055786
259,10259.00,1.98775231838226
260,10260.00,1.461341381073
261,10261.00,1.20502591133118
262,10262.00,1.52205538749695
263,10263.00,1.62554538249969
264,10264.00,1.51591145992279
265,10265.00,2.44361782073975
266,10266.00,2.24815487861633
267,10267.00,2.02933526039124
268,10268.00,1.8035649061203
269,10269.00,2.21887993812561
270,10270.00,2.42069578170776
271,10271.00,2.96072769165039
272,10272.00,3.73686647415161
273,10273.00,4.98169136047363
274,10274.00,6.40149927139282
275,10275.00,8.11822986602783
276,10276.00,7.18999767303467
277,10277.00,6.30576848983765
278,10278.00,7.75236797332764
279,10279.00,6.24272680282593
280,10280.00,7.36875295639038
281,10281.00,6.82206106185913
282,10282.00,6.56756830215454
283,10283.00,6.79666757583618
284,10284.00,5.58417987823486
285,10285.00,5.69944953918457
286,10286.00,3.64613604545593
287,10287.00,1.88074851036072
288,10288.00,2.06100535392761
289,10289.00,2.65847682952881
290,10290.00,3.36412668228149
291,10291.00,5.31441116333008
292,10292.00,9.30631828308105
293,10293.00,12.3444862365723
294,10294.00,12.5089178085327
295,10295.00,32.8416633605957
296,10296.00,44.5836029052734
297,10297.00,31.3396148681641
298,10298.00,30.1883945465088
299,10299.00,36.0804672241211
300,10300.00,31.8162689208984
301,10301.00,41.8578643798828
302,10302.00,57.9607238769531
303,10303.00,39.7359466552734
304,10304.00,22.4433307647705
305,10305.00,14.0644159317017
306,10306.00,8.99600028991699
307,10307.00,4.43363571166992
308,10308.00,2.45311880111694
309,10309.00,2.06461143493652
310,10310.00,2.30475640296936
311,10311.00,1.79583215713501
312,10312.00,1.14569294452667
313,10313.00,1.52393877506256
314,10314.00,1.69611835479736
315,10315.00,2.40354156494141
316,10316.00,2.42702889442444
317,10317.00,1.93470668792725
318,10318.00,1.87627732753754
319,10319.00,1.89404678344727
320,10320.00,2.37883567810059
321,10321.00,2.29150199890137
322,10322.00,1.9742259979248
323,10323.00,3.58493375778198
324,10324.00,4.78166151046753
325,10325.00,6.98124647140503
326,10326.00,6.64964151382446
327,10327.00,6.50901985168457
328,10328.00,4.80029249191284
329,10329.00,2.42681479454041
330,10330.00,2.141282081604
331,10331.00,1.6511048078537
332,10332.00,1.02998876571655
333,10333.00,0.793222486972809
334,10334.00,0.932915687561035
335,10335.00,1.48456883430481
336,10336.00,1.62196850776672
337,10337.00,1.99294435977936
338,10338.00,2.42848181724548
339,10339.00,2.8919677734375
340,10340.00,5.10737657546997
341,10341.00,6.79622840881348
342,10342.00,6.58836936950684
343,10343.00,9.72279834747314
344,10344.00,10.3988351821899
345,10345.00,13.848030090332
346,10346.00,16.8612823486328
347,10347.00,11.5606145858765
348,10348.00,8.52468967437744
349,10349.00,7.55926418304443
350,10350.00,5.40282917022705
351,10351.00,6.00220394134521
352,10352.00,4.98017358779907
353,10353.00,4.01578569412231
354,10354.00,6.56573486328125
355,10355.00,11.7088594436646
356,10356.00,13.9981889724731
357,10357.00,13.156177520752
358,10358.00,11.1172456741333
359,10359.00,9.05421829223633
360,10360.00,8.26487827301025
361,10361.00,7.98247241973877
362,10362.00,8.73844623565674
363,10363.00,9.60797691345215
364,10364.00,7.93277311325073
365,10365.00,8.02391815185547
366,10366.00,8.82031726837158
367,10367.00,10.8985443115234
368,10368.00,14.4203119277954
369,10369.00,14.4056377410889
370,10370.00,15.952938079834
371,10371.00,13.0241594314575
372,10372.00,7.07860088348389
373,10373.00,5.07002878189087
374,10374.00,3.08145618438721
375,10375.00,2.76102757453918
376,10376.00,2.17477345466614
377,10377.00,1.64018297195435
378,10378.00,2.00522351264954
379,10379.00,3.10155725479126
380,10380.00,2.52519416809082
381,10381.00,1.86094927787781
382,10382.00,2.3327648639679
383,10383.00,2.83544301986694
384,10384.00,3.05808138847351
385,10385.00,4.49437475204468
386,10386.00,6.1587119102478
387,10387.00,7.23597049713135
388,10388.00,5.0633716583252
389,10389.00,6.02238035202026
390,10390.00,9.48749256134033
391,10391.00,5.733642578125
392,10392.00,3.41869592666626
393,10393.00,3.74873805046082
394,10394.00,2.48596811294556
395,10395.00,2.36368918418884
396,10396.00,1.93260073661804
397,10397.00,1.53283393383026
398,10398.00,1.30106830596924
399,10399.00,0.841741144657135
400,10400.00,0.874912023544312
401,10401.00,1.02988588809967
402,10402.00,0.897144854068756
403,10403.00,0.999773919582367
404,10404.00,1.63350248336792
405,10405.00,4.92214155197144
406,10406.00,8.50447273254395
407,10407.00,10.3533973693848
408,10408.00,15.4612693786621
409,10409.00,17.1264209747314
410,10410.00,17.7758255004883
411,10411.00,20.0788459777832
412,10412.00,19.4247589111328
413,10413.00,11.263298034668
414,10414.00,7.05788993835449
415,10415.00,11.5402603149414
416,10416.00,9.50359630584717
417,10417.00,5.86068153381348
418,10418.00,8.31442832946777
419,10419.00,10.5371026992798
420,10420.00,7.20391511917114
421,10421.00,16.603967666626
422,10422.00,20.7690143585205
423,10423.00,12.5747003555298
424,10424.00,12.7636909484863
425,10425.00,14.5045623779297
426,10426.00,7.46578216552734
427,10427.00,6.73688411712646
428,10428.00,5.33690023422241
429,10429.00,2.47217869758606
430,10430.00,2.22870349884033
431,10431.00,2.56297516822815
432,10432.00,2.47131609916687
433,10433.00,2.14696455001831
434,10434.00,3.12690091133118
435,10435.00,6.0643367767334
436,10436.00,6.01596546173096
437,10437.00,4.01968812942505
438,10438.00,3.87914347648621
439,10439.00,2.90136289596558
440,10440.00,2.82171177864075
441,10441.00,2.13687539100647
442,10442.00,1.5870897769928
443,10443.00,1.63211226463318
444,10444.00,1.55458664894104
445,10445.00,2.90410161018372
446,10446.00,3.46006083488464
447,10447.00,2.73619842529297
448,10448.00,1.81804001331329
449,10449.00,1.78227925300598
450,10450.00,1.54347515106201
451,10451.00,1.09966683387756
452,10452.00,0.678569555282593
453,10453.00,0.788637101650238
454,10454.00,0.511216580867767
455,10455.00,0.478744924068451
456,10456.00,0.613939642906189
457,10457.00,0.642787039279938
458,10458.00,0.877209007740021
459,10459.00,1.4455863237381
460,10460.00,1.69297766685486
461,10461.00,1.87607181072235
462,10462.00,2.0004243850708
463,10463.00,3.0243718624115
464,10464.00,4.62962627410889
465,10465.00,6.18823432922363
466,10466.00,10.979772567749
467,10467.00,14.4141960144043
468,10468.00,13.6666126251221
469,10469.00,19.3297386169434
470,10470.00,19.985408782959
471,10471.00,16.0299758911133
472,10472.00,18.8366622924805
473,10473.00,13.8248977661133
474,10474.00,9.74970531463623
475,10475.00,12.7518291473389
