#"+ESI Scan (rt: 7.126-8.962 min, 112 scans) Frag=250.0V E10c.d  Deconvoluted (Isotope Width=9.5)"
#Point,X(Daltons),Y(Counts)
0,10000.00,0.000492889783345163
1,10001.00,0.00212698127143085
2,10002.00,0.00603677006438375
3,10003.00,0.0128338513895869
4,10004.00,0.0213511101901531
5,10005.00,0.0287431441247463
6,10006.00,0.032829150557518
7,10007.00,0.0338661223649979
8,10008.00,0.033679436892271
9,10009.00,0.0339570678770542
10,10010.00,0.0355723761022091
11,10011.00,0.0387271568179131
12,10012.00,0.0431950427591801
13,10013.00,0.0483870133757591
14,10014.00,0.053317166864872
15,10015.00,0.0568038076162338
16,10016.00,0.0581436082720757
17,10017.00,0.0577442422509193
18,10018.00,0.0568743944168091
19,10019.00,0.0567342266440392
20,10020.00,0.0578524470329285
21,10021.00,0.0602731928229332
22,10022.00,0.0642416700720787
23,10023.00,0.0707648694515228
24,10024.00,0.0815514996647835
25,10025.00,0.0982838273048401
26,10026.00,0.121345490217209
27,10027.00,0.148439958691597
28,10028.00,0.174536168575287
29,10029.00,0.19425068795681
30,10030.00,0.20487542450428
31,10031.00,0.207081690430641
32,10032.00,0.203308507800102
33,10033.00,0.196127191185951
34,10034.00,0.187776654958725
35,10035.00,0.180302515625954
36,10036.00,0.175400584936142
37,10037.00,0.173803925514221
38,10038.00,0.174762919545174
39,10039.00,0.17632894217968
40,10040.00,0.176692962646484
41,10041.00,0.175665900111198
42,10042.00,0.174768254160881
43,10043.00,0.175859600305557
44,10044.00,0.179881349205971
45,10045.00,0.186766654253006
46,10046.00,0.196068495512009
47,10047.00,0.207159921526909
48,10048.00,0.218472227454185
49,10049.00,0.226693719625473
50,10050.00,0.227677911520004
51,10051.00,0.219381138682365
52,10052.00,0.204104796051979
53,10053.00,0.187253594398499
54,10054.00,0.174039050936699
55,10055.00,0.167509123682976
56,10056.00,0.168640121817589
57,10057.00,0.177010029554367
58,10058.00,0.190871730446815
59,10059.00,0.206677988171577
60,10060.00,0.219292744994164
61,10061.00,0.224274262785912
62,10062.00,0.221276000142097
63,10063.00,0.215085655450821
64,10064.00,0.213155001401901
65,10065.00,0.22280041873455
66,10066.00,0.250586867332459
67,10067.00,0.30266073346138
68,10068.00,0.382876604795456
69,10069.00,0.486522287130356
70,10070.00,0.593499720096588
71,10071.00,0.673784077167511
72,10072.00,0.709526777267456
73,10073.00,0.710013568401337
74,10074.00,0.699689447879791
75,10075.00,0.69689279794693
