#"+ESI Scan (rt: 7.125-8.961 min, 112 scans) Frag=250.0V F10a.d  Deconvoluted (Isotope Width=9.5)"
#Point,X(Daltons),Y(Counts)
0,10000.00,2.20927715301514
1,10001.00,2.27554059028625
2,10002.00,1.78224539756775
3,10003.00,1.28816056251526
4,10004.00,0.914371907711029
5,10005.00,0.652542054653168
6,10006.00,0.471287727355957
7,10007.00,0.34683284163475
8,10008.00,0.265225976705551
9,10009.00,0.217747822403908
10,10010.00,0.198108583688736
11,10011.00,0.201722413301468
12,10012.00,0.223984360694885
13,10013.00,0.255990594625473
14,10014.00,0.281673192977905
15,10015.00,0.284754395484924
16,10016.00,0.262519955635071
17,10017.00,0.227466329932213
18,10018.00,0.194072529673576
19,10019.00,0.169283539056778
20,10020.00,0.153732046484947
21,10021.00,0.146706283092499
22,10022.00,0.14959505200386
23,10023.00,0.167197778820992
24,10024.00,0.208230257034302
25,10025.00,0.285481333732605
26,10026.00,0.413139998912811
27,10027.00,0.598350882530212
28,10028.00,0.830366253852844
29,10029.00,1.07657217979431
30,10030.00,1.28879749774933
31,10031.00,1.4177622795105
32,10032.00,1.43677723407745
33,10033.00,1.36367702484131
34,10034.00,1.2541366815567
35,10035.00,1.16677665710449
36,10036.00,1.13443040847778
37,10037.00,1.15670108795166
38,10038.00,1.20054411888123
39,10039.00,1.20678496360779
40,10040.00,1.12042272090912
41,10041.00,0.937743246555328
42,10042.00,0.715828359127045
43,10043.00,0.523399591445923
44,10044.00,0.394108772277832
45,10045.00,0.326621741056442
46,10046.00,0.306060343980789
47,10047.00,0.315010398626328
48,10048.00,0.332211345434189
49,10049.00,0.333773642778397
50,10050.00,0.306388258934021
51,10051.00,0.257537543773651
52,10052.00,0.205535933375359
53,10053.00,0.163391083478928
54,10054.00,0.134692952036858
55,10055.00,0.118170514702797
56,10056.00,0.112118907272816
57,10057.00,0.116357676684856
58,10058.00,0.132796004414558
59,10059.00,0.1656114757061
60,10060.00,0.221403315663338
61,10061.00,0.309881627559662
62,10062.00,0.446867763996124
63,10063.00,0.661188900470734
64,10064.00,1.00119888782501
65,10065.00,1.52227509021759
66,10066.00,2.22079682350159
67,10067.00,2.9213604927063
68,10068.00,3.28584122657776
69,10069.00,3.10631489753723
70,10070.00,2.55196285247803
71,10071.00,1.97189748287201
72,10072.00,1.58423852920532
73,10073.00,1.43921494483948
74,10074.00,1.52839362621307
75,10075.00,1.84299457073212
76,10076.00,2.34510684013367
77,10077.00,2.89891815185547
78,10078.00,3.2735424041748
79,10079.00,3.28865909576416
80,10080.00,2.95674014091492
81,10081.00,2.43999195098877
82,10082.00,1.90112149715424
83,10083.00,1.42342460155487
84,10084.00,1.02674007415771
85,10085.00,0.71050226688385
86,10086.00,0.475065261125565
87,10087.00,0.31791815161705
88,10088.00,0.22735820710659
89,10089.00,0.187714606523514
90,10090.00,0.189304262399673
91,10091.00,0.234922870993614
92,10092.00,0.342348337173462
93,10093.00,0.540203154087067
94,10094.00,0.848046898841858
95,10095.00,1.24280166625977
96,10096.00,1.64570474624634
97,10097.00,1.96033501625061
98,10098.00,2.12962007522583
99,10099.00,2.15575337409973
100,10100.00,2.07873034477234
101,10101.00,1.9461544752121
102,10102.00,1.79508924484253
103,10103.00,1.64769113063812
104,10104.00,1.51608407497406
105,10105.00,1.41101408004761
106,10106.00,1.34870624542236
107,10107.00,1.35349464416504
108,10108.00,1.45942485332489
109,10109.00,1.71527791023254
110,10110.00,2.19017958641052
111,10111.00,2.96082830429077
112,10112.00,4.03999280929565
113,10113.00,5.22892570495605
114,10114.00,6.0478720664978
115,10115.00,6.03985643386841
116,10116.00,5.26043319702148
117,10117.00,4.23309755325317
118,10118.00,3.43407416343689
119,10119.00,3.05178332328796
120,10120.00,3.11612319946289
121,10121.00,3.65572309494019
122,10122.00,4.7314920425415
123,10123.00,6.32416820526123
124,10124.00,8.08612632751465
125,10125.00,9.21631622314453
126,10126.00,8.95934581756592
127,10127.00,7.43956708908081
128,10128.00,5.56995964050293
129,10129.00,4.12128925323486
130,10130.00,3.30927610397339
131,10131.00,3.04755187034607
132,10132.00,3.20925164222717
133,10133.00,3.67735433578491
134,10134.00,4.29059457778931
135,10135.00,4.81661033630371
136,10136.00,5.02532148361206
137,10137.00,4.81624794006348
138,10138.00,4.27357387542725
139,10139.00,3.59682822227478
140,10140.00,2.98305702209473
141,10141.00,2.55727243423462
142,10142.00,2.37416338920593
143,10143.00,2.45171570777893
144,10144.00,2.78505063056946
145,10145.00,3.30826830863953
146,10146.00,3.83509874343872
147,10147.00,4.10365390777588
148,10148.00,3.97062468528748
149,10149.00,3.52671694755554
150,10150.00,2.97686648368835
151,10151.00,2.47826218605042
152,10152.00,2.10424637794495
153,10153.00,1.88468742370605
154,10154.00,1.84384405612946
155,10155.00,2.02108812332153
156,10156.00,2.48133826255798
157,10157.00,3.30428218841553
158,10158.00,4.53218603134155
159,10159.00,6.09695053100586
160,10160.00,7.8113694190979
161,10161.00,9.46128463745117
162,10162.00,10.8908491134644
163,10163.00,11.9898996353149
164,10164.00,12.657036781311
165,10165.00,12.8346471786499
166,10166.00,12.5632696151733
167,10167.00,11.9368581771851
168,10168.00,10.983983039856
169,10169.00,9.63876342773438
170,10170.00,7.88719797134399
171,10171.00,5.93536758422852
172,10172.00,4.14346837997437
173,10173.00,2.77206110954285
174,10174.00,1.85659027099609
175,10175.00,1.29178380966187
176,10176.00,0.952798366546631
177,10177.00,0.748950600624084
178,10178.00,0.625901162624359
179,10179.00,0.552029252052307
180,10180.00,0.506089448928833
181,10181.00,0.471113115549088
182,10182.00,0.435154914855957
183,10183.00,0.39551243185997
184,10184.00,0.359399288892746
185,10185.00,0.338572353124619
186,10186.00,0.343872100114822
187,10187.00,0.384099960327148
188,10188.00,0.465776413679123
189,10189.00,0.588013887405396
190,10190.00,0.73302173614502
191,10191.00,0.864475965499878
192,10192.00,0.946175694465637
193,10193.00,0.967981338500977
194,10194.00,0.949728012084961
195,10195.00,0.920349597930908
196,10196.00,0.89646315574646
197,10197.00,0.87569922208786
198,10198.00,0.843337893486023
199,10199.00,0.786204159259796
200,10200.00,0.704494655132294
201,10201.00,0.611879825592041
202,10202.00,0.525600790977478
203,10203.00,0.457445532083511
204,10204.00,0.411430060863495
205,10205.00,0.385945022106171
206,10206.00,0.376740485429764
207,10207.00,0.379477888345718
208,10208.00,0.392036586999893
209,10209.00,0.416538536548615
210,10210.00,0.460764110088348
211,10211.00,0.539239823818207
212,10212.00,0.674545168876648
213,10213.00,0.897892653942108
214,10214.00,1.24600493907928
215,10215.00,1.75428128242493
216,10216.00,2.45748424530029
217,10217.00,3.4106502532959
218,10218.00,4.71132946014404
219,10219.00,6.46767330169678
220,10220.00,8.66840648651123
221,10221.00,11.003457069397
222,10222.00,12.8371601104736
223,10223.00,13.506199836731
224,10224.00,12.7431421279907
225,10225.00,10.8243532180786
226,10226.00,8.36032772064209
227,10227.00,5.96473503112793
228,10228.00,4.02579402923584
229,10229.00,2.66009068489075
230,10230.00,1.80080449581146
231,10231.00,1.31601572036743
232,10232.00,1.08657038211823
233,10233.00,1.03192472457886
234,10234.00,1.09978032112122
235,10235.00,1.23748064041138
236,10236.00,1.3715785741806
237,10237.00,1.42999672889709
238,10238.00,1.39245927333832
239,10239.00,1.29894530773163
240,10240.00,1.20548057556152
241,10241.00,1.14760494232178
242,10242.00,1.137446641922
243,10243.00,1.17584323883057
244,10244.00,1.26301598548889
245,10245.00,1.40389335155487
246,10246.00,1.60823166370392
247,10247.00,1.88607251644135
248,10248.00,2.23966002464294
249,10249.00,2.65256428718567
250,10250.00,3.07427716255188
251,10251.00,3.40228414535522
252,10252.00,3.48987913131714
253,10253.00,3.22877359390259
254,10254.00,2.67140197753906
255,10255.00,2.02759623527527
256,10256.00,1.5003228187561
257,10257.00,1.16908288002014
258,10258.00,1.02111375331879
259,10259.00,1.02419364452362
260,10260.00,1.16122937202454
261,10261.00,1.43089437484741
262,10262.00,1.83421301841736
263,10263.00,2.35442924499512
264,10264.00,2.93039011955261
265,10265.00,3.43405604362488
266,10266.00,3.69160628318787
267,10267.00,3.58487462997437
268,10268.00,3.1681911945343
269,10269.00,2.65226483345032
270,10270.00,2.25629949569702
271,10271.00,2.10983824729919
272,10272.00,2.27966475486755
273,10273.00,2.82144093513489
274,10274.00,3.74346685409546
275,10275.00,4.87179660797119
276,10276.00,5.81995391845703
277,10277.00,6.28552913665771
278,10278.00,6.36057424545288
279,10279.00,6.41475915908813
280,10280.00,6.78502559661865
281,10281.00,7.61472988128662
282,10282.00,8.77761936187744
283,10283.00,9.82871341705322
284,10284.00,10.2008466720581
285,10285.00,9.68118762969971
286,10286.00,8.61576557159424
287,10287.00,7.5578145980835
288,10288.00,6.88962936401367
289,10289.00,6.80261468887329
290,10290.00,7.48693990707397
291,10291.00,9.355149269104
292,10292.00,13.2819833755493
293,10293.00,20.7655258178711
294,10294.00,33.4329719543457
295,10295.00,51.0661163330078
296,10296.00,69.6477432250977
297,10297.00,83.9264450073242
298,10298.00,93.0350952148438
299,10299.00,100.888488769531
300,10300.00,111.256988525391
301,10301.00,123.320762634277
302,10302.00,130.044143676758
303,10303.00,122.100654602051
304,10304.00,97.3702239990234
305,10305.00,64.8811492919922
306,10306.00,36.4814834594727
307,10307.00,17.7851543426514
308,10308.00,7.83373022079468
309,10309.00,3.30801224708557
310,10310.00,1.45195519924164
311,10311.00,0.7267986536026
312,10312.00,0.450790375471115
313,10313.00,0.350723832845688
314,10314.00,0.32856211066246
315,10315.00,0.336244523525238
316,10316.00,0.343436926603317
317,10317.00,0.332533270120621
318,10318.00,0.318449437618256
319,10319.00,0.324375838041306
320,10320.00,0.368774831295013
321,10321.00,0.474286586046219
322,10322.00,0.670873463153839
323,10323.00,1.02158463001251
324,10324.00,1.4617635011673
325,10325.00,1.90734839439392
326,10326.00,2.07398295402527
327,10327.00,1.88444757461548
328,10328.00,1.51739060878754
329,10329.00,1.11911141872406
330,10330.00,0.831137001514435
331,10331.00,0.633886992931366
332,10332.00,0.504577219486237
333,10333.00,0.446064233779907
334,10334.00,0.443945109844208
335,10335.00,0.505073010921478
336,10336.00,0.630938291549683
337,10337.00,0.872962534427643
338,10338.00,1.28583943843842
339,10339.00,1.92764806747437
340,10340.00,3.02588939666748
341,10341.00,4.49460124969482
342,10342.00,6.27387809753418
343,10343.00,8.42101001739502
344,10344.00,9.95756721496582
345,10345.00,10.6810464859009
346,10346.00,10.0567588806152
347,10347.00,7.87320232391357
348,10348.00,5.52705383300781
349,10349.00,3.67678046226501
350,10350.00,2.36722993850708
351,10351.00,1.67152905464172
352,10352.00,1.32203257083893
353,10353.00,1.26189470291138
354,10354.00,1.49598062038422
355,10355.00,2.07009291648865
356,10356.00,3.14200782775879
357,10357.00,4.63631725311279
358,10358.00,6.44482231140137
359,10359.00,8.101975440979
360,10360.00,9.15274906158447
361,10361.00,9.74881458282471
362,10362.00,9.77790641784668
363,10363.00,9.79920101165771
364,10364.00,10.088942527771
365,10365.00,11.0680637359619
366,10366.00,12.5688982009888
367,10367.00,14.0081357955933
368,10368.00,14.855993270874
369,10369.00,13.5043210983276
370,10370.00,11.4805603027344
371,10371.00,8.26043796539307
372,10372.00,5.26333379745483
373,10373.00,3.43690419197083
374,10374.00,2.36933708190918
375,10375.00,1.90004193782806
376,10376.00,1.8611832857132
377,10377.00,2.26575899124146
378,10378.00,3.13340377807617
379,10379.00,4.49287271499634
380,10380.00,5.97672319412231
381,10381.00,7.50489282608032
382,10382.00,9.45028400421143
383,10383.00,11.986701965332
384,10384.00,15.3430290222168
385,10385.00,19.7286472320557
386,10386.00,23.9164600372314
387,10387.00,25.7786464691162
388,10388.00,24.6161308288574
389,10389.00,21.393590927124
390,10390.00,16.6189880371094
391,10391.00,10.8509721755981
392,10392.00,6.64690208435059
393,10393.00,4.04120779037476
394,10394.00,2.28361964225769
395,10395.00,1.31514322757721
396,10396.00,0.799206912517548
397,10397.00,0.524151563644409
398,10398.00,0.375507295131683
399,10399.00,0.289517104625702
400,10400.00,0.267188221216202
401,10401.00,0.2902971804142
402,10402.00,0.368220090866089
403,10403.00,0.588928639888763
404,10404.00,1.12568831443787
405,10405.00,2.49245476722717
406,10406.00,5.49030733108521
407,10407.00,11.5010280609131
408,10408.00,21.795352935791
