#"+ESI Scan (rt: 7.128-8.964 min, 112 scans) Frag=250.0V F10c.d  Deconvoluted (Isotope Width=9.5)"
#Point,X(Daltons),Y(Counts)
0,10000.00,2.83610057830811
1,10001.00,2.89894604682922
2,10002.00,2.25684094429016
3,10003.00,1.6259434223175
4,10004.00,1.15573692321777
5,10005.00,0.831909954547882
6,10006.00,0.611078798770905
7,10007.00,0.460126668214798
8,10008.00,0.360144913196564
9,10009.00,0.300738275051117
10,10010.00,0.275307714939117
11,10011.00,0.278986215591431
12,10012.00,0.306201756000519
13,10013.00,0.345761358737946
14,10014.00,0.37778976559639
15,10015.00,0.382100760936737
16,10016.00,0.354639410972595
17,10017.00,0.310072690248489
18,10018.00,0.266352504491806
19,10019.00,0.232689738273621
20,10020.00,0.210444316267967
21,10021.00,0.199164539575577
22,10022.00,0.200923562049866
23,10023.00,0.221846520900726
24,10024.00,0.272505581378937
25,10025.00,0.367719560861588
26,10026.00,0.522780954837799
27,10027.00,0.743472039699554
28,10028.00,1.01538038253784
29,10029.00,1.30279195308685
30,10030.00,1.55719971656799
31,10031.00,1.73003005981445
32,10032.00,1.79311215877533
33,10033.00,1.76116406917572
34,10034.00,1.69005882740021
35,10035.00,1.64482223987579
36,10036.00,1.66699957847595
37,10037.00,1.75926566123962
38,10038.00,1.87890863418579
39,10039.00,1.94321715831757
40,10040.00,1.87001180648804
41,10041.00,1.64325606822968
42,10042.00,1.33399784564972
43,10043.00,1.04296040534973
44,10044.00,0.833174169063568
45,10045.00,0.716824293136597
46,10046.00,0.67717981338501
47,10047.00,0.68411773443222
48,10048.00,0.696492910385132
49,10049.00,0.672162652015686
50,10050.00,0.594498932361603
51,10051.00,0.484483301639557
52,10052.00,0.37696236371994
53,10053.00,0.292965769767761
54,10054.00,0.235861077904701
55,10055.00,0.201006397604942
56,10056.00,0.183551758527756
57,10057.00,0.181364998221397
58,10058.00,0.195418730378151
59,10059.00,0.229609668254852
60,10060.00,0.290848404169083
61,10061.00,0.390102595090866
62,10062.00,0.545981764793396
63,10063.00,0.792066872119904
64,10064.00,1.18297755718231
65,10065.00,1.77823626995087
66,10066.00,2.56638646125793
67,10067.00,3.34228873252869
68,10068.00,3.72893309593201
69,10069.00,3.50765776634216
70,10070.00,2.87660360336304
71,10071.00,2.22134208679199
72,10072.00,1.77740895748138
73,10073.00,1.59401917457581
74,10074.00,1.65157699584961
75,10075.00,1.92453014850616
76,10076.00,2.360023021698
77,10077.00,2.82741665840149
78,10078.00,3.13234734535217
79,10079.00,3.13561248779297
80,10080.00,2.85545086860657
81,10081.00,2.4257709980011
82,10082.00,1.9772709608078
83,10083.00,1.57327461242676
84,10084.00,1.22265732288361
85,10085.00,0.919795155525208
86,10086.00,0.669318795204163
87,10087.00,0.482840538024902
88,10088.00,0.364398628473282
89,10089.00,0.307896047830582
90,10090.00,0.307263731956482
91,10091.00,0.367107570171356
92,10092.00,0.507692992687225
93,10093.00,0.76001113653183
94,10094.00,1.14225733280182
95,10095.00,1.62137365341187
96,10096.00,2.09817433357239
97,10097.00,2.45354247093201
98,10098.00,2.62156963348389
99,10099.00,2.61663341522217
100,10100.00,2.5010130405426
101,10101.00,2.33812642097473
102,10102.00,2.1670515537262
103,10103.00,2.00181412696838
104,10104.00,1.84434485435486
105,10105.00,1.69871819019318
106,10106.00,1.57649207115173
107,10107.00,1.49055624008179
108,10108.00,1.44507837295532
109,10109.00,1.43135094642639
110,10110.00,1.43381440639496
111,10111.00,1.44278502464294
112,10112.00,1.46206593513489
113,10113.00,1.50183045864105
114,10114.00,1.56343078613281
115,10115.00,1.6328558921814
116,10116.00,1.69331169128418
117,10117.00,1.74894881248474
118,10118.00,1.8364006280899
119,10119.00,2.01613712310791
120,10120.00,2.36143326759338
121,10121.00,2.95449924468994
122,10122.00,3.86850786209106
123,10123.00,5.0920147895813
124,10124.00,6.38470983505249
125,10125.00,7.22401571273804
126,10126.00,7.13055801391602
127,10127.00,6.18070888519287
128,10128.00,4.96335363388062
129,10129.00,4.01746559143066
130,10130.00,3.54825949668884
131,10131.00,3.55173206329346
132,10132.00,3.96239137649536
133,10133.00,4.66430282592773
134,10134.00,5.44323492050171
135,10135.00,6.00977039337158
136,10136.00,6.13187837600708
137,10137.00,5.7634859085083
138,10138.00,5.04799652099609
139,10139.00,4.21489667892456
140,10140.00,3.46913552284241
141,10141.00,2.93775343894959
142,10142.00,2.67571783065796
143,10143.00,2.69820785522461
144,10144.00,2.9966459274292
145,10145.00,3.50593209266663
146,10146.00,4.0453577041626
147,10147.00,4.35110807418823
148,10148.00,4.26285982131958
149,10149.00,3.85635805130005
150,10150.00,3.33816361427307
