#"+ESI Scan (rt: 7.129-8.965 min, 112 scans) Frag=250.0V F10d.d  Deconvoluted (Isotope Width=9.5)"
#Point,X(Daltons),Y(Counts)
0,10000.00,0.0291783586144447
1,10001.00,0.0525632910430431
2,10002.00,0.0698252767324448
3,10003.00,0.0798827260732651
4,10004.00,0.0819412767887115
5,10005.00,0.0767305642366409
6,10006.00,0.0671068653464317
7,10007.00,0.0570106394588947
8,10008.00,0.0496489591896534
9,10009.00,0.0467254556715488
10,10010.00,0.0489458478987217
11,10011.00,0.056519404053688
12,10012.00,0.0685189142823219
13,10013.00,0.0811747685074806
14,10014.00,0.0876361280679703
15,10015.00,0.0825039073824883
16,10016.00,0.0675567463040352
17,10017.00,0.0500789657235146
18,10018.00,0.0359582081437111
19,10019.00,0.0268318559974432
20,10020.00,0.02193265222013
21,10021.00,0.020233416929841
22,10022.00,0.0213373843580484
23,10023.00,0.0256832949817181
24,10024.00,0.0345223098993301
25,10025.00,0.0494519546627998
26,10026.00,0.0709416195750237
27,10027.00,0.0963796451687813
28,10028.00,0.120359234511852
29,10029.00,0.13841013610363
30,10030.00,0.150103360414505
31,10031.00,0.158074125647545
32,10032.00,0.16524264216423
33,10033.00,0.17343544960022
34,10034.00,0.183662250638008
35,10035.00,0.196707367897034
36,10036.00,0.212914109230042
37,10037.00,0.230953186750412
38,10038.00,0.246480032801628
39,10039.00,0.252659440040588
40,10040.00,0.244104519486427
41,10041.00,0.22184830904007
42,10042.00,0.193678393959999
43,10043.00,0.168924912810326
44,10044.00,0.153561353683472
45,10045.00,0.14930035173893
46,10046.00,0.154599472880363
47,10047.00,0.164993077516556
48,10048.00,0.173436716198921
49,10049.00,0.173128992319107
50,10050.00,0.162043049931526
51,10051.00,0.144172757863998
52,10052.00,0.125889033079147
53,10053.00,0.111986391246319
54,10054.00,0.104804560542107
55,10055.00,0.105430386960506
56,10056.00,0.115072146058083
57,10057.00,0.135851308703423
58,10058.00,0.170854061841965
59,10059.00,0.223220005631447
60,10060.00,0.294403046369553
61,10061.00,0.383299797773361
62,10062.00,0.488935500383377
63,10063.00,0.616160333156586
64,10064.00,0.778475880622864
65,10065.00,0.991710007190704
66,10066.00,1.25629639625549
67,10067.00,1.53452169895172
68,10068.00,1.74788069725037
69,10069.00,1.82137012481689
70,10070.00,1.74592816829681
71,10071.00,1.5869973897934
72,10072.00,1.43188524246216
73,10073.00,1.34122800827026
74,10074.00,1.33977472782135
75,10075.00,1.42677855491638
76,10076.00,1.58263993263245
77,10077.00,1.77075147628784
78,10078.00,1.94427597522736
79,10079.00,2.0597140789032
80,10080.00,2.08934354782104
81,10081.00,2.02704787254334
82,10082.00,1.88698363304138
83,10083.00,1.69531631469727
84,10084.00,1.479363322258
85,10085.00,1.26172399520874
86,10086.00,1.06085896492004
87,10087.00,0.892472684383392
88,10088.00,0.768278837203979
89,10089.00,0.694793701171875
90,10090.00,0.674905240535736
91,10091.00,0.710667788982391
92,10092.00,0.803601324558258
93,10093.00,0.950041353702545
94,10094.00,1.13349878787994
95,10095.00,1.32269620895386
96,10096.00,1.48351180553436
97,10097.00,1.59762871265411
98,10098.00,1.66953134536743
99,10099.00,1.71681642532349
100,10100.00,1.75575470924377
101,10101.00,1.79226922988892
102,10102.00,1.81975936889648
103,10103.00,1.82355928421021
104,10104.00,1.79260289669037
105,10105.00,1.73302817344666
106,10106.00,1.67160832881927
107,10107.00,1.6444605588913
108,10108.00,1.68194329738617
109,10109.00,1.80098688602448
110,10110.00,2.00443696975708
111,10111.00,2.28109860420227
112,10112.00,2.60020709037781
113,10113.00,2.89854598045349
114,10114.00,3.07780051231384
115,10115.00,3.04741072654724
116,10116.00,2.80311918258667
117,10117.00,2.44993305206299
118,10118.00,2.12683773040771
119,10119.00,1.92604291439056
120,10120.00,1.88193213939667
121,10121.00,1.99817478656769
122,10122.00,2.26119017601013
123,10123.00,2.62311840057373
124,10124.00,2.97146892547607
125,10125.00,3.14252519607544
126,10126.00,3.02787828445435
127,10127.00,2.68645882606506
128,10128.00,2.30266523361206
129,10129.00,2.04179525375366
130,10130.00,1.98392260074615
131,10131.00,2.15068221092224
132,10132.00,2.52638459205627
133,10133.00,3.03000068664551
134,10134.00,3.48403382301331
135,10135.00,3.6697986125946
136,10136.00,3.47147870063782
137,10137.00,2.96312117576599
138,10138.00,2.33771467208862
139,10139.00,1.77085328102112
140,10140.00,1.35124182701111
141,10141.00,1.09454345703125
142,10142.00,0.986032724380493
143,10143.00,1.01161348819733
144,10144.00,1.16465187072754
145,10145.00,1.4247522354126
146,10146.00,1.71739947795868
147,10147.00,1.90822601318359
148,10148.00,1.8883159160614
149,10149.00,1.67172658443451
150,10150.00,1.36985731124878
151,10151.00,1.08893871307373
152,10152.00,0.879354238510132
153,10153.00,0.74963790178299
154,10154.00,0.694015085697174
155,10155.00,0.708378672599792
156,10156.00,0.795087993144989
157,10157.00,0.960364699363709
158,10158.00,1.20553624629974
159,10159.00,1.51592934131622
160,10160.00,1.85702645778656
161,10161.00,2.18268585205078
162,10162.00,2.44399642944336
163,10163.00,2.58891487121582
164,10164.00,2.5684757232666
165,10165.00,2.36713457107544
166,10166.00,2.03015637397766
167,10167.00,1.64277958869934
168,10168.00,1.27767753601074
169,10169.00,0.96848863363266
170,10170.00,0.721601605415344
171,10171.00,0.535173118114471
172,10172.00,0.405125886201859
173,10173.00,0.323440462350845
174,10174.00,0.278796762228012
175,10175.00,0.259790867567062
176,10176.00,0.257491916418076
177,10177.00,0.267075955867767
178,10178.00,0.288681656122208
179,10179.00,0.326295733451843
180,10180.00,0.384114950895309
181,10181.00,0.46106892824173
182,10182.00,0.546213448047638
183,10183.00,0.621549069881439
184,10184.00,0.6752809882164
185,10185.00,0.713969469070435
186,10186.00,0.759963750839233
187,10187.00,0.838416755199432
188,10188.00,0.964770555496216
189,10189.00,1.13377690315247
190,10190.00,1.31205677986145
191,10191.00,1.44899451732636
192,10192.00,1.51030015945435
193,10193.00,1.50233495235443
194,10194.00,1.45929515361786
195,10195.00,1.41324627399445
196,10196.00,1.37869369983673
197,10197.00,1.355912566185
198,10198.00,1.34084331989288
199,10199.00,1.33115351200104
200,10200.00,1.32526159286499
201,10201.00,1.31780898571014
202,10202.00,1.29715394973755
203,10203.00,1.24782717227936
204,10204.00,1.15747606754303
205,10205.00,1.02544665336609
206,10206.00,0.86759227514267
207,10207.00,0.711420595645905
208,10208.00,0.583201944828033
209,10209.00,0.49803301692009
210,10210.00,0.460203677415848
211,10211.00,0.469572246074677
212,10212.00,0.526058912277222
213,10213.00,0.628731548786163
214,10214.00,0.771572291851044
215,10215.00,0.943329453468323
216,10216.00,1.13747334480286
217,10217.00,1.36435353755951
218,10218.00,1.64939045906067
219,10219.00,2.01401042938232
220,10220.00,2.45260405540466
221,10221.00,2.92721629142761
222,10222.00,3.39269542694092
223,10223.00,3.82691717147827
224,10224.00,4.223801612854
225,10225.00,4.55331182479858
226,10226.00,4.73844766616821
227,10227.00,4.68814992904663
228,10228.00,4.36917877197266
229,10229.00,3.84882473945618
230,10230.00,3.2625732421875
231,10231.00,2.7396559715271
232,10232.00,2.35155010223389
233,10233.00,2.10673666000366
234,10234.00,1.96995973587036
235,10235.00,1.8839373588562
236,10236.00,1.79366111755371
237,10237.00,1.67359173297882
238,10238.00,1.53714466094971
239,10239.00,1.41641092300415
240,10240.00,1.33501005172729
241,10241.00,1.29781305789948
242,10242.00,1.29563915729523
243,10243.00,1.31384789943695
244,10244.00,1.33894097805023
245,10245.00,1.36172211170197
246,10246.00,1.3779878616333
247,10247.00,1.38890850543976
248,10248.00,1.40179562568665
249,10249.00,1.42923450469971
250,10250.00,1.48400914669037
251,10251.00,1.5695868730545
252,10252.00,1.66987252235413
253,10253.00,1.74805808067322
254,10254.00,1.76615285873413
255,10255.00,1.71627640724182
256,10256.00,1.62922513484955
257,10257.00,1.54841721057892
258,10258.00,1.50069296360016
259,10259.00,1.48945808410645
260,10260.00,1.50571155548096
261,10261.00,1.54255104064941
262,10262.00,1.60134625434875
263,10263.00,1.68493568897247
264,10264.00,1.78382337093353
265,10265.00,1.86797320842743
266,10266.00,1.89680969715118
267,10267.00,1.84802937507629
268,10268.00,1.74163019657135
269,10269.00,1.6332676410675
270,10270.00,1.58674323558807
271,10271.00,1.65641105175018
272,10272.00,1.88700699806213
273,10273.00,2.31006050109863
274,10274.00,2.9144434928894
275,10275.00,3.60327363014221
276,10276.00,4.20510149002075
277,10277.00,4.58162975311279
278,10278.00,4.73150825500488
279,10279.00,4.76488161087036
280,10280.00,4.79031276702881
281,10281.00,4.82874870300293
282,10282.00,4.79773616790771
283,10283.00,4.57165718078613
284,10284.00,4.10267353057861
285,10285.00,3.49854397773743
286,10286.00,2.95535516738892
287,10287.00,2.63172674179077
288,10288.00,2.61562252044678
289,10289.00,2.9824435710907
290,10290.00,3.86290144920349
291,10291.00,5.47667360305786
292,10292.00,8.10093116760254
293,10293.00,11.9018220901489
294,10294.00,16.5769023895264
295,10295.00,21.0652561187744
296,10296.00,23.9740657806396
297,10297.00,24.7162475585938
298,10298.00,23.994348526001
299,10299.00,22.957633972168
300,10300.00,22.1764736175537
301,10301.00,21.3312702178955
302,10302.00,19.5703430175781
303,10303.00,16.3565292358398
304,10304.00,12.1599388122559
305,10305.00,8.10340023040771
306,10306.00,5.0008659362793
307,10307.00,2.98356366157532
308,10308.00,1.79361736774445
309,10309.00,1.12619590759277
310,10310.00,0.762576639652252
311,10311.00,0.572335720062256
312,10312.00,0.48355969786644
313,10313.00,0.454465746879578
314,10314.00,0.454806059598923
315,10315.00,0.460469156503677
316,10316.00,0.448447406291962
317,10317.00,0.414601296186447
318,10318.00,0.375632852315903
319,10319.00,0.349815607070923
320,10320.00,0.352292031049728
321,10321.00,0.391749143600464
322,10322.00,0.478332370519638
323,10323.00,0.617158234119415
324,10324.00,0.78171980381012
325,10325.00,0.914417862892151
326,10326.00,0.934715807437897
327,10327.00,0.826670408248901
328,10328.00,0.646360039710999
329,10329.00,0.472853809595108
330,10330.00,0.348055750131607
331,10331.00,0.270548820495605
332,10332.00,0.229406952857971
333,10333.00,0.216158002614975
334,10334.00,0.223836064338684
335,10335.00,0.251198649406433
336,10336.00,0.297297269105911
337,10337.00,0.370371222496033
338,10338.00,0.484664469957352
339,10339.00,0.660507023334503
340,10340.00,0.933923244476318
341,10341.00,1.33019232749939
342,10342.00,1.85864007472992
343,10343.00,2.51143169403076
344,10344.00,3.16776442527771
345,10345.00,3.68206572532654
346,10346.00,3.88509917259216
347,10347.00,3.68444395065308
348,10348.00,3.23269414901733
349,10349.00,2.71447968482971
350,10350.00,2.26232075691223
351,10351.00,1.99158275127411
352,10352.00,1.9119108915329
353,10353.00,2.05363345146179
354,10354.00,2.45072984695435
355,10355.00,3.07276320457459
356,10356.00,3.77516961097717
357,10357.00,4.29761648178101
358,10358.00,4.48690414428711
359,10359.00,4.36056995391846
360,10360.00,4.11136722564697
361,10361.00,3.91927194595337
362,10362.00,3.859858751297
363,10363.00,3.96580600738525
364,10364.00,4.23741626739502
365,10365.00,4.71592569351196
366,10366.00,5.39154243469238
367,10367.00,6.20429182052612
368,10368.00,6.98797702789307
369,10369.00,7.36870956420898
370,10370.00,7.20893955230713
371,10371.00,6.4139552116394
372,10372.00,5.24904680252075
373,10373.00,4.12612581253052
374,10374.00,3.21707105636597
375,10375.00,2.6002049446106
376,10376.00,2.24948406219482
377,10377.00,2.11277437210083
378,10378.00,2.13468456268311
379,10379.00,2.26028394699097
380,10380.00,2.42792201042175
381,10381.00,2.6445894241333
382,10382.00,2.97263813018799
383,10383.00,3.46321153640747
384,10384.00,4.16221189498901
385,10385.00,5.06685733795166
386,10386.00,6.03326225280762
387,10387.00,6.79642915725708
388,10388.00,7.08711767196655
389,10389.00,6.86146020889282
390,10390.00,6.14680337905884
391,10391.00,5.02771854400635
392,10392.00,3.89068627357483
393,10393.00,2.94466662406921
394,10394.00,2.18410444259644
395,10395.00,1.62323915958405
396,10396.00,1.20366513729095
397,10397.00,0.88634318113327
398,10398.00,0.653205513954163
399,10399.00,0.487136334180832
400,10400.00,0.386934787034988
401,10401.00,0.343101918697357
402,10402.00,0.354316115379334
403,10403.00,0.442271083593369
404,10404.00,0.65489536523819
405,10405.00,1.09316730499268
406,10406.00,1.88450527191162
407,10407.00,3.13563060760498
408,10408.00,4.79387140274048
409,10409.00,6.41908931732178
410,10410.00,7.42156791687012
411,10411.00,7.37616109848022
412,10412.00,6.48073387145996
413,10413.00,5.24701023101807
414,10414.00,4.20243215560913
415,10415.00,3.55411386489868
416,10416.00,3.20762515068054
417,10417.00,3.12217974662781
418,10418.00,3.30931210517883
419,10419.00,3.69506764411926
420,10420.00,4.1904091835022
421,10421.00,4.81009197235107
422,10422.00,5.27740478515625
423,10423.00,5.37514638900757
424,10424.00,5.17346954345703
425,10425.00,4.69481658935547
426,10426.00,3.98063349723816
427,10427.00,3.29061317443848
428,10428.00,2.69775629043579
429,10429.00,2.25759196281433
430,10430.00,2.03353309631348
431,10431.00,2.00587916374207
432,10432.00,2.15329885482788
433,10433.00,2.44371032714844
434,10434.00,2.81998109817505
435,10435.00,3.13724374771118
436,10436.00,3.22891807556152
437,10437.00,3.08390998840332
438,10438.00,2.83703923225403
439,10439.00,2.57450079917908
440,10440.00,2.39875888824463
441,10441.00,2.31118226051331
442,10442.00,2.32948660850525
443,10443.00,2.46950101852417
444,10444.00,2.70432949066162
445,10445.00,3.00660419464111
446,10446.00,3.24546694755554
447,10447.00,3.29683208465576
448,10448.00,3.1201229095459
449,10449.00,2.75412797927856
450,10450.00,2.29502320289612
451,10451.00,1.84310567378998
452,10452.00,1.47929728031158
453,10453.00,1.23206496238709
454,10454.00,1.07960021495819
455,10455.00,1.01893925666809
456,10456.00,1.03788888454437
457,10457.00,1.11817789077759
458,10458.00,1.250208735466
459,10459.00,1.42504358291626
460,10460.00,1.65424585342407
461,10461.00,1.99273896217346
462,10462.00,2.53587913513184
463,10463.00,3.44146704673767
464,10464.00,4.87452363967896
465,10465.00,6.90692281723022
466,10466.00,9.516432762146
467,10467.00,12.3119745254517
468,10468.00,14.7808790206909
469,10469.00,16.586404800415
470,10470.00,17.1971683502197
471,10471.00,16.5899963378906
472,10472.00,15.1376132965088
473,10473.00,13.033260345459
474,10474.00,10.7795343399048
475,10475.00,8.82767963409424
476,10476.00,7.11610746383667
477,10477.00,5.76820230484009
478,10478.00,4.7836389541626
479,10479.00,4.02698945999146
480,10480.00,3.39713954925537
481,10481.00,2.86718463897705
482,10482.00,2.43909239768982
483,10483.00,2.10519886016846
484,10484.00,1.85871696472168
485,10485.00,1.70956301689148
486,10486.00,1.6295645236969
487,10487.00,1.61240518093109
488,10488.00,1.65328371524811
489,10489.00,1.71124601364136
