#"+ESI Scan (rt: 7.125-8.961 min, 112 scans) Frag=250.0V G10a.d  Deconvoluted (Isotope Width=9.5)"
#Point,X(Daltons),Y(Counts)
0,10000.00,0.00991953071206808
1,10001.00,0.0239257477223873
2,10002.00,0.0416475869715214
3,10003.00,0.0607231110334396
4,10004.00,0.0772899985313416
5,10005.00,0.08755112439394
6,10006.00,0.0902276337146759
7,10007.00,0.0875135064125061
8,10008.00,0.0834753885865211
9,10009.00,0.0817699432373047
10,10010.00,0.0846405252814293
11,10011.00,0.092918761074543
12,10012.00,0.105737529695034
13,10013.00,0.119537562131882
14,10014.00,0.127895921468735
15,10015.00,0.12474562972784
16,10016.00,0.10969503223896
17,10017.00,0.0888334214687347
18,10018.00,0.0693604499101639
19,10019.00,0.0550427846610546
20,10020.00,0.0463831089437008
21,10021.00,0.0427924729883671
22,10022.00,0.0441607981920242
23,10023.00,0.051599208265543
24,10024.00,0.0677717924118042
25,10025.00,0.0964958444237709
26,10026.00,0.140283703804016
27,10027.00,0.195680350065231
28,10028.00,0.251315116882324
29,10029.00,0.294266879558563
30,10030.00,0.319171100854874
31,10031.00,0.329515606164932
32,10032.00,0.332210540771484
33,10033.00,0.333279222249985
34,10034.00,0.337124198675156
35,10035.00,0.346959382295609
36,10036.00,0.36420202255249
37,10037.00,0.386582434177399
38,10038.00,0.40652322769165
39,10039.00,0.412853717803955
40,10040.00,0.397642403841019
41,10041.00,0.363345086574554
42,10042.00,0.322027623653412
43,10043.00,0.287320822477341
44,10044.00,0.268073737621307
45,10045.00,0.267633646726608
46,10046.00,0.285082846879959
47,10047.00,0.314573705196381
48,10048.00,0.343498259782791
49,10049.00,0.354963630437851
50,10050.00,0.337879210710526
51,10051.00,0.296038150787354
52,10052.00,0.244438827037811
53,10053.00,0.197445020079613
54,10054.00,0.1621203571558
55,10055.00,0.139505684375763
56,10056.00,0.128306150436401
57,10057.00,0.127248272299767
58,10058.00,0.135754212737083
59,10059.00,0.153597563505173
60,10060.00,0.180186495184898
61,10061.00,0.214357003569603
62,10062.00,0.255599826574326
63,10063.00,0.306278437376022
64,10064.00,0.372664570808411
65,10065.00,0.46290248632431
66,10066.00,0.581425964832306
67,10067.00,0.720969676971436
68,10068.00,0.857800900936127
69,10069.00,0.959681689739227
70,10070.00,1.00682008266449
71,10071.00,1.007692694664
72,10072.00,0.992986142635345
73,10073.00,0.995145678520203
74,10074.00,1.031858086586
75,10075.00,1.09929966926575
76,10076.00,1.17329585552216
77,10077.00,1.22148036956787
78,10078.00,1.22431373596191
79,10079.00,1.18659341335297
80,10080.00,1.12770259380341
81,10081.00,1.06388103961945
82,10082.00,0.999162316322327
83,10083.00,0.92712527513504
84,10084.00,0.838640451431274
85,10085.00,0.731099724769592
86,10086.00,0.613524079322815
87,10087.00,0.502875626087189
88,10088.00,0.414795398712158
89,10089.00,0.357673048973084
90,10090.00,0.333709627389908
91,10091.00,0.343045443296433
92,10092.00,0.385952264070511
93,10093.00,0.460599929094315
94,10094.00,0.556953251361847
95,10095.00,0.652614533901215
96,10096.00,0.719679176807404
97,10097.00,0.741558194160461
98,10098.00,0.723427653312683
99,10099.00,0.685733258724213
100,10100.00,0.649907886981964
101,10101.00,0.629247069358826
102,10102.00,0.627301633358002
103,10103.00,0.640097200870514
104,10104.00,0.66021716594696
105,10105.00,0.682553172111511
106,10106.00,0.709300220012665
107,10107.00,0.750303268432617
108,10108.00,0.818814516067505
109,10109.00,0.926568865776062
110,10110.00,1.08049094676971
