#"+ESI Scan (rt: 7.121-8.956 min, 112 scans) Frag=250.0V G10d.d  Deconvoluted (Isotope Width=9.5)"
#Point,X(Daltons),Y(Counts)
0,10000.00,0.0131184933707118
1,10001.00,0.0259038396179676
2,10002.00,0.0376080349087715
3,10003.00,0.0468522012233734
4,10004.00,0.0522325970232487
5,10005.00,0.0531548224389553
6,10006.00,0.0504834614694119
7,10007.00,0.0462421178817749
8,10008.00,0.0425598099827766
9,10009.00,0.0408643558621407
10,10010.00,0.0417768992483616
11,10011.00,0.045271772891283
12,10012.00,0.0505967140197754
13,10013.00,0.055988721549511
14,10014.00,0.0588593408465385
15,10015.00,0.057124238461256
16,10016.00,0.0508875176310539
17,10017.00,0.0424508489668369
18,10018.00,0.0344816520810127
19,10019.00,0.028531102463603
20,10020.00,0.0250480491667986
21,10021.00,0.0241178199648857
22,10022.00,0.0261134281754494
23,10023.00,0.0321450605988503
24,10024.00,0.044379860162735
25,10025.00,0.0659047737717628
26,10026.00,0.099332220852375
27,10027.00,0.144204393029213
28,10028.00,0.195795685052872
29,10029.00,0.247629746794701
30,10030.00,0.294908434152603
31,10031.00,0.334777653217316
32,10032.00,0.364661782979965
33,10033.00,0.382469296455383
34,10034.00,0.388981580734253
35,10035.00,0.388943880796433
36,10036.00,0.388596147298813
37,10037.00,0.391459941864014
38,10038.00,0.395441174507141
39,10039.00,0.39316588640213
40,10040.00,0.376608967781067
41,10041.00,0.344063580036163
42,10042.00,0.302984476089478
43,10043.00,0.265203386545181
44,10044.00,0.24006649851799
45,10045.00,0.23182612657547
46,10046.00,0.240461871027946
47,10047.00,0.261967778205872
48,10048.00,0.287237286567688
49,10049.00,0.303204149007797
50,10050.00,0.299624234437943
51,10051.00,0.276548713445663
52,10052.00,0.243346601724625
53,10053.00,0.210618674755096
54,10054.00,0.184412121772766
55,10055.00,0.166170045733452
56,10056.00,0.155222848057747
57,10057.00,0.150829404592514
58,10058.00,0.1529900431633
