#"+ESI Scan (rt: 7.121-8.957 min, 112 scans) Frag=250.0V H10a.d  Deconvoluted (Isotope Width=9.5)"
#Point,X(Daltons),Y(Counts)
0,10000.00,0.096032477915287
1,10001.00,0.145826250314713
2,10002.00,0.165158182382584
3,10003.00,0.164570778608322
4,10004.00,0.151379466056824
5,10005.00,0.131552442908287
6,10006.00,0.110215306282043
7,10007.00,0.0913500785827637
8,10008.00,0.0773863047361374
9,10009.00,0.0693556889891624
10,10010.00,0.0675821155309677
11,10011.00,0.0723162516951561
12,10012.00,0.0836712867021561
13,10013.00,0.100371032953262
14,10014.00,0.117749027907848
15,10015.00,0.127880930900574
16,10016.00,0.124710753560066
17,10017.00,0.109638400375843
18,10018.00,0.0897704511880875
19,10019.00,0.0715646222233772
20,10020.00,0.0578075535595417
21,10021.00,0.0486663542687893
22,10022.00,0.043423380702734
23,10023.00,0.0412987247109413
24,10024.00,0.0415333285927773
25,10025.00,0.0432229600846767
26,10026.00,0.0452875420451164
27,10027.00,0.0467774420976639
28,10028.00,0.047288041561842
29,10029.00,0.0470035560429096
30,10030.00,0.0463360287249088
31,10031.00,0.0455971620976925
32,10032.00,0.0449644848704338
33,10033.00,0.0446133650839329
34,10034.00,0.0447843596339226
35,10035.00,0.0456992387771606
36,10036.00,0.0473827235400677
37,10037.00,0.0494784079492092
38,10038.00,0.0511611774563789
39,10039.00,0.0513180270791054
40,10040.00,0.0491195432841778
41,10041.00,0.0447121970355511
42,10042.00,0.0393799655139446
43,10043.00,0.0349361076951027
44,10044.00,0.0330200977623463
45,10045.00,0.0350706353783607
46,10046.00,0.042964443564415
47,10047.00,0.0596692264080048
48,10048.00,0.0887794941663742
49,10049.00,0.131508782505989
50,10050.00,0.181919634342194
51,10051.00,0.226337283849716
52,10052.00,0.251882374286652
53,10053.00,0.257060348987579
54,10054.00,0.252656370401382
55,10055.00,0.254052549600601
56,10056.00,0.275354713201523
57,10057.00,0.329195588827133
58,10058.00,0.427060961723328
59,10059.00,0.573402583599091
60,10060.00,0.754411518573761
61,10061.00,0.93753570318222
62,10062.00,1.0957967042923
63,10063.00,1.23525846004486
64,10064.00,1.39185047149658
65,10065.00,1.6016560792923
66,10066.00,1.86652171611786
67,10067.00,2.12840414047241
68,10068.00,2.28181385993958
69,10069.00,2.24888753890991
70,10070.00,2.05422711372375
71,10071.00,1.80455195903778
72,10072.00,1.60526084899902
73,10073.00,1.5146849155426
74,10074.00,1.55371224880219
75,10075.00,1.72806060314178
76,10076.00,2.03752183914185
77,10077.00,2.47298407554626
78,10078.00,3.00800204277039
79,10079.00,3.58611965179443
80,10080.00,4.10667562484741
