#"+ESI Scan (rt: 7.129-8.965 min, 112 scans) Frag=250.0V H10c.d  Deconvoluted (Isotope Width=9.5)"
#Point,X(Daltons),Y(Counts)
0,10000.00,0.0179847087711096
1,10001.00,0.015494323335588
2,10002.00,0.010085535235703
3,10003.00,0.00605895696207881
4,10004.00,0.00364575511775911
5,10005.00,0.00234056380577385
6,10006.00,0.00168425415176898
7,10007.00,0.00139937445055693
8,10008.00,0.00135717482771724
9,10009.00,0.00153540074825287
10,10010.00,0.00200992077589035
11,10011.00,0.00297932117246091
12,10012.00,0.00476296432316303
13,10013.00,0.0075499452650547
14,10014.00,0.0106408810243011
15,10015.00,0.0120309395715594
16,10016.00,0.0103082284331322
17,10017.00,0.00683267321437597
18,10018.00,0.00389824248850346
19,10019.00,0.00226304959505796
20,10020.00,0.00158218969590962
21,10021.00,0.00147321610711515
22,10022.00,0.00181990629062057
23,10023.00,0.00272343936376274
24,10024.00,0.0043428847566247
25,10025.00,0.00654967082664371
26,10026.00,0.00858580134809017
27,10027.00,0.009381502866745
28,10028.00,0.00851850491017103
29,10029.00,0.00660188868641853
30,10030.00,0.00457873614504933
31,10031.00,0.0030214108992368
32,10032.00,0.00203304272145033
33,10033.00,0.00149210239760578
34,10034.00,0.0012565174838528
35,10035.00,0.00124068988952786
36,10036.00,0.00142438407056034
37,10037.00,0.00184777658432722
38,10038.00,0.00261041359044611
39,10039.00,0.0038657202385366
40,10040.00,0.00578820006921887
41,10041.00,0.00849704816937447
42,10042.00,0.0119560901075602
43,10043.00,0.0159061439335346
44,10044.00,0.0198929756879807
45,10045.00,0.0234405286610127
46,10046.00,0.0263276882469654
47,10047.00,0.0287654623389244
48,10048.00,0.0313307344913483
49,10049.00,0.034833874553442
50,10050.00,0.0404183454811573
51,10051.00,0.0499523319303989
52,10052.00,0.0664098039269447
53,10053.00,0.0933154448866844
54,10054.00,0.131362840533257
55,10055.00,0.172283843159676
56,10056.00,0.199040532112122
57,10057.00,0.200415223836899
58,10058.00,0.182026982307434
59,10059.00,0.156726375222206
60,10060.00,0.131715446710587
61,10061.00,0.107736602425575
