#"+ESI Scan (rt: 7.122-8.958 min, 112 scans) Frag=250.0V H10d.d  Deconvoluted (Isotope Width=9.5)"
#Point,X(Daltons),Y(Counts)
0,10000.00,0.0704617276787758
1,10001.00,0.0906084924936295
2,10002.00,0.0904367193579674
3,10003.00,0.0849514976143837
4,10004.00,0.0791108757257462
5,10005.00,0.0734280198812485
6,10006.00,0.0669795274734497
7,10007.00,0.0594786964356899
8,10008.00,0.0520967841148376
9,10009.00,0.0467688031494617
10,10010.00,0.0451508536934853
11,10011.00,0.04836106300354
12,10012.00,0.0570325702428818
13,10013.00,0.0704778432846069
14,10014.00,0.0848824679851532
15,10015.00,0.0932920277118683
16,10016.00,0.0903796851634979
17,10017.00,0.0776072815060616
18,10018.00,0.0614185370504856
19,10019.00,0.0474494993686676
20,10020.00,0.0380776487290859
21,10021.00,0.0336305163800716
22,10022.00,0.0341741405427456
23,10023.00,0.0405985452234745
24,10024.00,0.054931066930294
25,10025.00,0.0793219283223152
26,10026.00,0.113018378615379
27,10027.00,0.149673953652382
28,10028.00,0.180106103420258
29,10029.00,0.19895413517952
30,10030.00,0.206799566745758
31,10031.00,0.206733301281929
32,10032.00,0.201588317751884
33,10033.00,0.19419601559639
34,10034.00,0.188225284218788
35,10035.00,0.187631979584694
36,10036.00,0.195204690098763
37,10037.00,0.211051642894745
38,10038.00,0.231018289923668
39,10039.00,0.246104195713997
40,10040.00,0.246015697717667
41,10041.00,0.227039933204651
42,10042.00,0.196409940719604
43,10043.00,0.166849136352539
44,10044.00,0.148061811923981
45,10045.00,0.144128695130348
46,10046.00,0.155282706022263
47,10047.00,0.178258433938026
48,10048.00,0.204263314604759
49,10049.00,0.220186144113541
50,10050.00,0.217235133051872
51,10051.00,0.198360443115234
52,10052.00,0.174303531646729
53,10053.00,0.154732063412666
54,10054.00,0.144820719957352
55,10055.00,0.147102698683739
56,10056.00,0.164222687482834
57,10057.00,0.200570419430733
58,10058.00,0.262254983186722
59,10059.00,0.354643195867538
60,10060.00,0.477578938007355
61,10061.00,0.622544527053833
62,10062.00,0.778417110443115
63,10063.00,0.943782508373261
64,10064.00,1.1322124004364
65,10065.00,1.36149632930756
66,10066.00,1.63113379478455
67,10067.00,1.90141201019287
68,10068.00,2.09761786460876
69,10069.00,2.15514492988586
70,10070.00,2.07269501686096
71,10071.00,1.91617572307587
72,10072.00,1.77340340614319
73,10073.00,1.7123396396637
74,10074.00,1.77051019668579
75,10075.00,1.95895171165466
76,10076.00,2.25778698921204
77,10077.00,2.60526847839355
78,10078.00,2.90793776512146
79,10079.00,3.08667373657227
80,10080.00,3.12115287780762
81,10081.00,3.04441738128662
82,10082.00,2.89704394340515
83,10083.00,2.68918204307556
84,10084.00,2.40170884132385
85,10085.00,2.02508950233459
86,10086.00,1.59929585456848
87,10087.00,1.20375037193298
88,10088.00,0.903655052185059
89,10089.00,0.718168914318085
90,10090.00,0.634438097476959
91,10091.00,0.632833421230316
92,10092.00,0.696551382541656
93,10093.00,0.806719958782196
94,10094.00,0.936073243618011
95,10095.00,1.05363118648529
96,10096.00,1.13879263401031
97,10097.00,1.1883796453476
98,10098.00,1.20866000652313
99,10099.00,1.20371806621552
100,10100.00,1.17330861091614
101,10101.00,1.12025284767151
102,10102.00,1.05689823627472
103,10103.00,1.00254154205322
104,10104.00,0.975521743297577
105,10105.00,0.988661110401154
106,10106.00,1.0505291223526
107,10107.00,1.16928005218506
108,10108.00,1.35569298267365
109,10109.00,1.62351882457733
110,10110.00,1.98501241207123
111,10111.00,2.43689489364624
112,10112.00,2.93141555786133
113,10113.00,3.34465193748474
114,10114.00,3.4965181350708
115,10115.00,3.2713623046875
116,10116.00,2.74293947219849
117,10117.00,2.12548184394836
118,10118.00,1.60100066661835
119,10119.00,1.23438656330109
120,10120.00,1.01140749454498
121,10121.00,0.897986888885498
122,10122.00,0.868088126182556
123,10123.00,0.905803442001343
124,10124.00,0.995755851268768
125,10125.00,1.1122020483017
126,10126.00,1.2206152677536
127,10127.00,1.29958724975586
128,10128.00,1.36173784732819
129,10129.00,1.44538772106171
130,10130.00,1.58631908893585
131,10131.00,1.79415476322174
132,10132.00,2.04017329216003
133,10133.00,2.26053500175476
134,10134.00,2.38064742088318
135,10135.00,2.3492910861969
136,10136.00,2.16143417358398
137,10137.00,1.86047470569611
138,10138.00,1.51975619792938
139,10139.00,1.21092665195465
140,10140.00,0.979423463344574
141,10141.00,0.842213153839111
142,10142.00,0.801530301570892
143,10143.00,0.858116090297699
144,10144.00,1.0103052854538
145,10145.00,1.23046350479126
146,10146.00,1.43346321582794
147,10147.00,1.49822115898132
148,10148.00,1.36702156066895
149,10149.00,1.1021648645401
150,10150.00,0.815393447875977
151,10151.00,0.579800426959991
152,10152.00,0.415424764156342
153,10153.00,0.315214544534683
154,10154.00,0.2667396068573
155,10155.00,0.262205123901367
156,10156.00,0.302160710096359
157,10157.00,0.394903182983398
158,10158.00,0.549085438251495
159,10159.00,0.758907496929169
160,10160.00,0.993941962718964
161,10161.00,1.21042954921722
162,10162.00,1.37562131881714
163,10163.00,1.47844123840332
164,10164.00,1.52237391471863
165,10165.00,1.516761302948
166,10166.00,1.47303521633148
167,10167.00,1.40146601200104
168,10168.00,1.30884122848511
169,10169.00,1.20266580581665
170,10170.00,1.0997406244278
171,10171.00,1.02784037590027
172,10172.00,1.01687204837799
173,10173.00,1.08835387229919
174,10174.00,1.24541807174683
175,10175.00,1.45808219909668
176,10176.00,1.66013360023499
177,10177.00,1.78803765773773
178,10178.00,1.83297145366669
179,10179.00,1.83459806442261
180,10180.00,1.82704102993011
181,10181.00,1.80576014518738
182,10182.00,1.74230432510376
183,10183.00,1.62683475017548
184,10184.00,1.49279594421387
185,10185.00,1.39711701869965
186,10186.00,1.3860239982605
187,10187.00,1.47977375984192
188,10188.00,1.66734683513641
189,10189.00,1.89757347106934
190,10190.00,2.08640956878662
191,10191.00,2.16311597824097
192,10192.00,2.11930823326111
193,10193.00,2.00239634513855
194,10194.00,1.867711186409
195,10195.00,1.74610960483551
196,10196.00,1.64471387863159
197,10197.00,1.56291091442108
198,10198.00,1.5048760175705
199,10199.00,1.48070907592773
200,10200.00,1.49841213226318
201,10201.00,1.55296277999878
202,10202.00,1.61708998680115
203,10203.00,1.64056921005249
204,10204.00,1.57021582126617
205,10205.00,1.3896621465683
206,10206.00,1.14247238636017
207,10207.00,0.903578758239746
208,10208.00,0.728808403015137
209,10209.00,0.637422740459442
210,10210.00,0.628989219665527
211,10211.00,0.703017234802246
212,10212.00,0.866125702857971
213,10213.00,1.12929856777191
214,10214.00,1.5025417804718
215,10215.00,1.99350774288177
216,10216.00,2.60966444015503
217,10217.00,3.35257124900818
218,10218.00,4.19299507141113
219,10219.00,5.03964281082153
220,10220.00,5.7458758354187
221,10221.00,6.18021297454834
222,10222.00,6.30087518692017
223,10223.00,6.14984655380249
224,10224.00,5.78829479217529
225,10225.00,5.26385259628296
226,10226.00,4.63225841522217
227,10227.00,3.97595882415771
228,10228.00,3.38117170333862
229,10229.00,2.9038667678833
230,10230.00,2.56394648551941
231,10231.00,2.36238718032837
232,10232.00,2.29492568969727
233,10233.00,2.34788274765015
234,10234.00,2.47732043266296
235,10235.00,2.58979439735413
236,10236.00,2.56731510162354
237,10237.00,2.35307717323303
238,10238.00,2.00845813751221
239,10239.00,1.65465688705444
