#"+ESI Scan (rt: 7.123-8.959 min, 112 scans) Frag=250.0V blank05.d  Deconvoluted (Isotope Width=9.5)"
#Point,X(Daltons),Y(Counts)
0,10000.00,3.10410032398067E-05
1,10001.00,0.000221417067223229
2,10002.00,0.000963168684393168
3,10003.00,0.00291966903023422
4,10004.00,0.00641422159969807
5,10005.00,0.0104277124628425
6,10006.00,0.0130048133432865
7,10007.00,0.0132514955475926
8,10008.00,0.0120190735906363
9,10009.00,0.0106339016929269
10,10010.00,0.00990643166005611
11,10011.00,0.0101642562076449
12,10012.00,0.0115676214918494
13,10013.00,0.0142046613618732
14,10014.00,0.017886433750391
15,10015.00,0.0218419414013624
16,10016.00,0.024852316826582
17,10017.00,0.0260618515312672
18,10018.00,0.0255893114954233
19,10019.00,0.024157578125596
20,10020.00,0.0223939046263695
21,10021.00,0.020638843998313
22,10022.00,0.0191662795841694
23,10023.00,0.0183368809521198
24,10024.00,0.0185223668813705
25,10025.00,0.0199486128985882
26,10026.00,0.022546311840415
27,10027.00,0.0258232709020376
28,10028.00,0.0289424508810043
29,10029.00,0.0311591625213623
30,10030.00,0.0322742387652397
31,10031.00,0.032601248472929
32,10032.00,0.032539788633585
33,10033.00,0.0322422720491886
34,10034.00,0.0316232554614544
35,10035.00,0.030604999512434
36,10036.00,0.0293157678097487
37,10037.00,0.0280427783727646
38,10038.00,0.0270463787019253
39,10039.00,0.0264897104352713
40,10040.00,0.0265576858073473
41,10041.00,0.0276128221303225
42,10042.00,0.0302172712981701
43,10043.00,0.0349866487085819
44,10044.00,0.042295403778553
45,10045.00,0.0518548078835011
46,10046.00,0.0623696744441986
47,10047.00,0.0716309025883675
48,10048.00,0.0771520212292671
49,10049.00,0.0771836563944817
50,10050.00,0.0717929825186729
51,10051.00,0.0631750077009201
52,10052.00,0.05450289696455
53,10053.00,0.0482546798884869
54,10054.00,0.0455471202731133
55,10055.00,0.0464993789792061
56,10056.00,0.0506667084991932
57,10057.00,0.0570571534335613
58,10058.00,0.0639219731092453
59,10059.00,0.0688028931617737
60,10060.00,0.0693046748638153
61,10061.00,0.0645147040486336
62,10062.00,0.0558830350637436
63,10063.00,0.04634178429842
64,10064.00,0.0384480245411396
65,10065.00,0.0334259495139122
66,10066.00,0.0314849354326725
67,10067.00,0.0324666872620583
68,10068.00,0.036136656999588
69,10069.00,0.0420805886387825
70,10070.00,0.0495435334742069
71,10071.00,0.0576515905559063
72,10072.00,0.065971665084362
73,10073.00,0.0746369063854218
74,10074.00,0.0835750699043274
75,10075.00,0.0915811955928802
76,10076.00,0.0966014564037323
77,10077.00,0.0975636914372444
78,10078.00,0.0957752391695976
79,10079.00,0.0939667075872421
80,10080.00,0.0942083969712257
81,10081.00,0.0968135818839073
82,10082.00,0.1005554869771
83,10083.00,0.103671841323376
84,10084.00,0.10501054674387
85,10085.00,0.104464836418629
86,10086.00,0.102463811635971
87,10087.00,0.0993062406778336
88,10088.00,0.0951320081949234
89,10089.00,0.0904526710510254
90,10090.00,0.0864891558885574
91,10091.00,0.0848040580749512
92,10092.00,0.0865032896399498
93,10093.00,0.0914921388030052
94,10094.00,0.0980107113718987
95,10095.00,0.102966420352459
96,10096.00,0.103690758347511
97,10097.00,0.100092098116875
98,10098.00,0.094874382019043
99,10099.00,0.0916861593723297
100,10100.00,0.0934143960475922
101,10101.00,0.101636916399002
102,10102.00,0.116291493177414
103,10103.00,0.134847164154053
104,10104.00,0.152207791805267
105,10105.00,0.16336752474308
106,10106.00,0.167305693030357
107,10107.00,0.167369738221169
108,10108.00,0.167666018009186
109,10109.00,0.169858038425446
110,10110.00,0.17302280664444
111,10111.00,0.17591193318367
112,10112.00,0.179181262850761
113,10113.00,0.18502002954483
114,10114.00,0.194290697574615
115,10115.00,0.203859329223633
116,10116.00,0.207202136516571
117,10117.00,0.199617594480515
118,10118.00,0.183326065540314
119,10119.00,0.165672793984413
120,10120.00,0.153043165802956
121,10121.00,0.147667050361633
122,10122.00,0.148083686828613
123,10123.00,0.150705739855766
124,10124.00,0.151842907071114
125,10125.00,0.150083243846893
126,10126.00,0.147402718663216
127,10127.00,0.147875145077705
128,10128.00,0.15543170273304
129,10129.00,0.172402828931808
130,10130.00,0.198821946978569
131,10131.00,0.232280418276787
132,10132.00,0.268954932689667
133,10133.00,0.305197268724442
134,10134.00,0.337207287549973
135,10135.00,0.358490943908691
136,10136.00,0.359446853399277
137,10137.00,0.333278685808182
138,10138.00,0.284060895442963
139,10139.00,0.226391687989235
140,10140.00,0.175683468580246
141,10141.00,0.140375182032585
142,10142.00,0.122262507677078
143,10143.00,0.120736926794052
144,10144.00,0.135618731379509
145,10145.00,0.16625303030014
146,10146.00,0.206387460231781
147,10147.00,0.239550352096558
148,10148.00,0.246514171361923
149,10149.00,0.223222523927689
150,10150.00,0.184456050395966
151,10151.00,0.147876471281052
152,10152.00,0.122191943228245
153,10153.00,0.108457237482071
154,10154.00,0.1052530631423
155,10155.00,0.111639283597469
156,10156.00,0.127717867493629
157,10157.00,0.153496563434601
158,10158.00,0.186269596219063
159,10159.00,0.218316972255707
160,10160.00,0.239464148879051
161,10161.00,0.245052248239517
162,10162.00,0.239844992756844
163,10163.00,0.232119545340538
164,10164.00,0.226041883230209
165,10165.00,0.220070913434029
166,10166.00,0.210846588015556
167,10167.00,0.198029860854149
168,10168.00,0.185077741742134
169,10169.00,0.175837010145187
170,10170.00,0.171636521816254
171,10171.00,0.17122957110405
172,10172.00,0.172331377863884
173,10173.00,0.172908559441566
174,10174.00,0.171301856637001
175,10175.00,0.165892109274864
176,10176.00,0.155744001269341
177,10177.00,0.142035126686096
178,10178.00,0.128270134329796
179,10179.00,0.118604853749275
180,10180.00,0.116169847548008
181,10181.00,0.122763521969318
182,10182.00,0.13912932574749
183,10183.00,0.164637178182602
184,10184.00,0.196382910013199
185,10185.00,0.228912487626076
186,10186.00,0.255667090415955
187,10187.00,0.271644741296768
188,10188.00,0.275499671697617
189,10189.00,0.269787043333054
190,10190.00,0.259455263614655
191,10191.00,0.249645546078682
192,10192.00,0.243886321783066
193,10193.00,0.24312125146389
194,10194.00,0.245550721883774
195,10195.00,0.247564539313316
196,10196.00,0.246141165494919
197,10197.00,0.241519272327423
198,10198.00,0.237482041120529
199,10199.00,0.238693699240685
200,10200.00,0.247531726956367
201,10201.00,0.262322455644608
202,10202.00,0.277398884296417
203,10203.00,0.285457938909531
204,10204.00,0.281654626131058
205,10205.00,0.266550540924072
206,10206.00,0.245607033371925
207,10207.00,0.226271018385887
208,10208.00,0.215322077274323
209,10209.00,0.217927604913712
210,10210.00,0.23784513771534
211,10211.00,0.276875168085098
212,10212.00,0.331835806369781
213,10213.00,0.390661895275116
214,10214.00,0.434949159622192
215,10215.00,0.45286825299263
216,10216.00,0.449091851711273
217,10217.00,0.437445342540741
218,10218.00,0.425840079784393
219,10219.00,0.410293757915497
220,10220.00,0.382160782814026
221,10221.00,0.341117411851883
222,10222.00,0.298660576343536
223,10223.00,0.268005132675171
224,10224.00,0.254801511764526
225,10225.00,0.256184935569763
226,10226.00,0.263341099023819
227,10227.00,0.265554130077362
228,10228.00,0.256207525730133
229,10229.00,0.236535266041756
230,10230.00,0.213410377502441
231,10231.00,0.194560512900352
232,10232.00,0.185975804924965
233,10233.00,0.192009925842285
234,10234.00,0.216174826025963
235,10235.00,0.260489583015442
236,10236.00,0.322219252586365
237,10237.00,0.390243947505951
238,10238.00,0.447275996208191
239,10239.00,0.479787707328796
240,10240.00,0.486353248357773
241,10241.00,0.475904881954193
242,10242.00,0.4598308801651
243,10243.00,0.445842206478119
244,10244.00,0.436001300811768
245,10245.00,0.427679896354675
246,10246.00,0.416527926921844
247,10247.00,0.400488913059235
248,10248.00,0.382229655981064
249,10249.00,0.367784947156906
250,10250.00,0.362892746925354
251,10251.00,0.370058834552765
252,10252.00,0.38707908987999
253,10253.00,0.406283617019653
254,10254.00,0.415322571992874
255,10255.00,0.401821196079254
256,10256.00,0.361321926116943
257,10257.00,0.301896989345551
258,10258.00,0.239535987377167
259,10259.00,0.18848343193531
260,10260.00,0.155848249793053
261,10261.00,0.143166854977608
262,10262.00,0.150519907474518
263,10263.00,0.17852096259594
264,10264.00,0.226064637303352
265,10265.00,0.285449862480164
266,10266.00,0.342485308647156
267,10267.00,0.386484771966934
268,10268.00,0.418733388185501
269,10269.00,0.447485774755478
270,10270.00,0.47660019993782
271,10271.00,0.499829530715942
272,10272.00,0.505258619785309
273,10273.00,0.487131536006927
274,10274.00,0.453728139400482
275,10275.00,0.422386586666107
276,10276.00,0.40869876742363
277,10277.00,0.420670241117477
278,10278.00,0.457377284765244
279,10279.00,0.507232785224915
280,10280.00,0.548295438289642
281,10281.00,0.558014214038849
282,10282.00,0.528428912162781
283,10283.00,0.47020348906517
284,10284.00,0.402099639177322
285,10285.00,0.340243339538574
286,10286.00,0.29532852768898
287,10287.00,0.27424892783165
288,10288.00,0.282248169183731
289,10289.00,0.323858767747879
290,10290.00,0.39941617846489
291,10291.00,0.495405912399292
292,10292.00,0.57930052280426
293,10293.00,0.616530239582062
294,10294.00,0.598015964031219
295,10295.00,0.543499529361725
296,10296.00,0.481280326843262
297,10297.00,0.432284653186798
298,10298.00,0.407599449157715
299,10299.00,0.411543101072311
300,10300.00,0.443210810422897
301,10301.00,0.494172424077988
302,10302.00,0.545313656330109
303,10303.00,0.571777820587158
304,10304.00,0.559777438640594
305,10305.00,0.519208610057831
306,10306.00,0.475199401378632
307,10307.00,0.450127691030502
308,10308.00,0.455908447504044
309,10309.00,0.496802091598511
310,10310.00,0.573808014392853
311,10311.00,0.686545848846436
312,10312.00,0.830846548080444
313,10313.00,0.989351511001587
314,10314.00,1.11985075473785
315,10315.00,1.16325747966766
316,10316.00,1.08652579784393
317,10317.00,0.920238971710205
318,10318.00,0.735216319561005
319,10319.00,0.587584912776947
320,10320.00,0.497566640377045
321,10321.00,0.463411331176758
322,10322.00,0.478041052818298
323,10323.00,0.534100234508514
324,10324.00,0.619312167167664
325,10325.00,0.708957612514496
326,10326.00,0.766568720340729
327,10327.00,0.76149982213974
328,10328.00,0.692026793956757
329,10329.00,0.587605834007263
330,10330.00,0.48635271191597
331,10331.00,0.413497745990753
332,10332.00,0.37791645526886
333,10333.00,0.379391133785248
334,10334.00,0.41431987285614
335,10335.00,0.476305484771729
336,10336.00,0.555207192897797
337,10337.00,0.639059364795685
338,10338.00,0.718023121356964
339,10339.00,0.786262452602386
340,10340.00,0.842218101024628
341,10341.00,0.890195846557617
342,10342.00,0.940418839454651
343,10343.00,1.00206804275513
344,10344.00,1.0706878900528
345,10345.00,1.12009382247925
346,10346.00,1.11335837841034
347,10347.00,1.03381431102753
348,10348.00,0.904606938362122
349,10349.00,0.770874619483948
350,10350.00,0.669126331806183
351,10351.00,0.616714119911194
352,10352.00,0.618639469146729
353,10353.00,0.673783540725708
354,10354.00,0.77081036567688
355,10355.00,0.87651914358139
356,10356.00,0.937066614627838
357,10357.00,0.913069367408752
358,10358.00,0.817986309528351
359,10359.00,0.703763008117676
360,10360.00,0.6140256524086
361,10361.00,0.562885642051697
362,10362.00,0.542560815811157
363,10363.00,0.536525666713715
364,10364.00,0.531038701534271
365,10365.00,0.523445308208466
366,10366.00,0.521177113056183
367,10367.00,0.532424032688141
368,10368.00,0.557379961013794
369,10369.00,0.58559775352478
370,10370.00,0.601409077644348
371,10371.00,0.595494270324707
372,10372.00,0.571954250335693
373,10373.00,0.54293167591095
374,10374.00,0.518382012844086
375,10375.00,0.501858294010162
376,10376.00,0.493248373270035
377,10377.00,0.493293076753616
378,10378.00,0.505268394947052
379,10379.00,0.532676517963409
380,10380.00,0.574928820133209
381,10381.00,0.623824834823608
382,10382.00,0.663979351520538
383,10383.00,0.679649174213409
384,10384.00,0.664784610271454
385,10385.00,0.627369344234467
386,10386.00,0.583593726158142
387,10387.00,0.547700166702271
388,10388.00,0.525447726249695
389,10389.00,0.513414204120636
390,10390.00,0.503059387207031
391,10391.00,0.488147228956223
392,10392.00,0.470737844705582
393,10393.00,0.459659844636917
394,10394.00,0.463158965110779
395,10395.00,0.482651472091675
396,10396.00,0.510494768619537
397,10397.00,0.53235387802124
398,10398.00,0.535156309604645
399,10399.00,0.516645610332489
400,10400.00,0.487735956907272
401,10401.00,0.465530544519424
402,10402.00,0.464675754308701
403,10403.00,0.493035018444061
404,10404.00,0.549797177314758
405,10405.00,0.623448133468628
406,10406.00,0.693817555904388
407,10407.00,0.742840170860291
408,10408.00,0.765385806560516
409,10409.00,0.767041325569153
410,10410.00,0.753220796585083
411,10411.00,0.724280476570129
412,10412.00,0.68064296245575
413,10413.00,0.628961026668549
414,10414.00,0.580530405044556
415,10415.00,0.544621765613556
416,10416.00,0.524971604347229
417,10417.00,0.521686553955078
418,10418.00,0.534990191459656
419,10419.00,0.566819071769714
420,10420.00,0.618542611598969
421,10421.00,0.685823380947113
422,10422.00,0.754160046577454
423,10423.00,0.800687789916992
424,10424.00,0.804853856563568
425,10425.00,0.760653913021088
426,10426.00,0.679372370243073
427,10427.00,0.582194983959198
428,10428.00,0.490886241197586
429,10429.00,0.422161042690277
430,10430.00,0.386561393737793
431,10431.00,0.390641868114471
432,10432.00,0.438987821340561
