#"+ESI Scan (rt: 0.738-1.071 min, 21 scans) Frag=250.0V blank06.d  Deconvoluted (Isotope Width=9.5)"
#Point,X(Daltons),Y(Counts)
0,10000.00,4.17831033701077E-05
1,10001.00,0.000272090255748481
2,10002.00,0.00109847192652524
3,10003.00,0.00313452654518187
4,10004.00,0.00663054781034589
5,10005.00,0.010819205082953
6,10006.00,0.0143302232027054
7,10007.00,0.0163543373346329
8,10008.00,0.0170454252511263
9,10009.00,0.0170209351927042
10,10010.00,0.0168808810412884
11,10011.00,0.0171220377087593
12,10012.00,0.018244918435812
13,10013.00,0.0208258349448442
14,10014.00,0.0254083145409822
15,10015.00,0.0319840312004089
16,10016.00,0.0390134118497372
17,10017.00,0.0431774668395519
18,10018.00,0.0417166315019131
19,10019.00,0.0355216003954411
20,10020.00,0.0283710435032845
21,10021.00,0.0235211811959744
22,10022.00,0.0224966760724783
23,10023.00,0.0264041274785995
24,10024.00,0.0373996123671532
25,10025.00,0.0586226806044579
26,10026.00,0.0912540033459663
27,10027.00,0.130602896213531
28,10028.00,0.168414101004601
29,10029.00,0.201356112957001
30,10030.00,0.234282985329628
31,10031.00,0.275379091501236
32,10032.00,0.330269813537598
33,10033.00,0.398631125688553
34,10034.00,0.474355340003967
35,10035.00,0.551248073577881
36,10036.00,0.631615340709686
37,10037.00,0.729479849338531
38,10038.00,0.864583730697632
39,10039.00,1.05004739761353
40,10040.00,1.27715647220612
41,10041.00,1.50728249549866
42,10042.00,1.69023394584656
43,10043.00,1.80540668964386
44,10044.00,1.88187444210052
45,10045.00,1.97305822372437
46,10046.00,2.11396956443787
47,10047.00,2.28782534599304
48,10048.00,2.41157722473145
49,10049.00,2.36975383758545
50,10050.00,2.11001443862915
51,10051.00,1.70835900306702
52,10052.00,1.30643057823181
53,10053.00,1.00166189670563
54,10054.00,0.816179871559143
55,10055.00,0.73106449842453
56,10056.00,0.718311250209808
57,10057.00,0.749067544937134
58,10058.00,0.789755821228027
59,10059.00,0.802508234977722
60,10060.00,0.759860575199127
61,10061.00,0.664343237876892
62,10062.00,0.547672986984253
63,10063.00,0.446003675460815
64,10064.00,0.379703521728516
65,10065.00,0.354021638631821
66,10066.00,0.369342267513275
67,10067.00,0.427813619375229
68,10068.00,0.531934440135956
69,10069.00,0.673138082027435
70,10070.00,0.813245534896851
71,10071.00,0.881880581378937
72,10072.00,0.821345329284668
73,10073.00,0.64808052778244
74,10074.00,0.443005502223969
75,10075.00,0.277387380599976
76,10076.00,0.172345459461212
77,10077.00,0.116129957139492
78,10078.00,0.0915594771504402
79,10079.00,0.0877651795744896
80,10080.00,0.100698478519917
81,10081.00,0.12956103682518
82,10082.00,0.170927062630653
83,10083.00,0.213292330503464
84,10084.00,0.240263566374779
85,10085.00,0.243645817041397
86,10086.00,0.230452194809914
87,10087.00,0.214815735816956
88,10088.00,0.207388862967491
89,10089.00,0.212307780981064
90,10090.00,0.228487208485603
91,10091.00,0.250792324542999
92,10092.00,0.271542996168137
93,10093.00,0.283954292535782
94,10094.00,0.285683363676071
95,10095.00,0.278965175151825
96,10096.00,0.267565757036209
97,10097.00,0.254097491502762
98,10098.00,0.239735171198845
99,10099.00,0.225438520312309
100,10100.00,0.212829515337944
101,10101.00,0.203906327486038
102,10102.00,0.200198262929916
103,10103.00,0.202254712581635
104,10104.00,0.2097138017416
105,10105.00,0.221741333603859
106,10106.00,0.237602457404137
107,10107.00,0.257185012102127
108,10108.00,0.281372338533401
109,10109.00,0.312290996313095
110,10110.00,0.353423237800598
111,10111.00,0.409200072288513
112,10112.00,0.483168631792068
113,10113.00,0.573897004127502
114,10114.00,0.670020461082459
115,10115.00,0.750662446022034
116,10116.00,0.79740571975708
117,10117.00,0.809663891792297
118,10118.00,0.804550886154175
119,10119.00,0.799950242042542
120,10120.00,0.798821747303009
121,10121.00,0.786999225616455
122,10122.00,0.745554983615875
123,10123.00,0.669202089309692
124,10124.00,0.572451174259186
125,10125.00,0.477129608392715
126,10126.00,0.397790223360062
127,10127.00,0.338360965251923
128,10128.00,0.296368807554245
129,10129.00,0.267195135354996
130,10130.00,0.245900452136993
131,10131.00,0.227595537900925
132,10132.00,0.207824945449829
133,10133.00,0.183593958616257
134,10134.00,0.15448172390461
135,10135.00,0.122719056904316
136,10136.00,0.0918936133384705
137,10137.00,0.0652070939540863
138,10138.00,0.0444180928170681
139,10139.00,0.0297614820301533
140,10140.00,0.0204442776739597
141,10141.00,0.0152898794040084
142,10142.00,0.0133083295077085
143,10143.00,0.0140802972018719
144,10144.00,0.0178400781005621
145,10145.00,0.0248268656432629
146,10146.00,0.0332645326852798
147,10147.00,0.0379533283412457
148,10148.00,0.0347126647830009
149,10149.00,0.0262894872575998
150,10150.00,0.0186151042580605
151,10151.00,0.014554244466126
152,10152.00,0.0143932700157166
153,10153.00,0.0186947658658028
154,10154.00,0.0297003816813231
155,10155.00,0.0507940873503685
156,10156.00,0.0832999125123024
157,10157.00,0.122884728014469
158,10158.00,0.161252826452255
159,10159.00,0.191805779933929
160,10160.00,0.211555033922195
161,10161.00,0.218751087784767
162,10162.00,0.211607083678246
163,10163.00,0.190162122249603
164,10164.00,0.158655896782875
165,10165.00,0.124976694583893
166,10166.00,0.0969900265336037
167,10167.00,0.0793605521321297
168,10168.00,0.0739380791783333
169,10169.00,0.0829795673489571
170,10170.00,0.113209918141365
171,10171.00,0.180029317736626
172,10172.00,0.310244739055634
173,10173.00,0.537332892417908
174,10174.00,0.882645845413208
175,10175.00,1.32978081703186
176,10176.00,1.81687486171722
177,10177.00,2.25911474227905
178,10178.00,2.57803058624268
179,10179.00,2.71204805374146
180,10180.00,2.61929321289063
181,10181.00,2.29854702949524
182,10182.00,1.81939625740051
183,10183.00,1.31222879886627
184,10184.00,0.899472236633301
185,10185.00,0.634113848209381
186,10186.00,0.508773684501648
187,10187.00,0.508457660675049
188,10188.00,0.660551428794861
189,10189.00,1.08761644363403
190,10190.00,2.08238983154297
191,10191.00,4.13363742828369
192,10192.00,7.66332387924194
193,10193.00,12.3926229476929
194,10194.00,17.0232982635498
195,10195.00,19.9621620178223
196,10196.00,20.3662509918213
197,10197.00,18.3808269500732
198,10198.00,14.7582635879517
199,10199.00,10.523003578186
200,10200.00,6.68901252746582
201,10201.00,3.88592195510864
202,10202.00,2.17979717254639
203,10203.00,1.28051209449768
204,10204.00,0.858571112155914
205,10205.00,0.695910453796387
206,10206.00,0.683724939823151
207,10207.00,0.774543464183807
208,10208.00,0.940682947635651
209,10209.00,1.15327918529511
210,10210.00,1.38820517063141
211,10211.00,1.6463280916214
212,10212.00,1.95962953567505
213,10213.00,2.370685338974
214,10214.00,2.89168739318848
215,10215.00,3.45491766929626
216,10216.00,3.89263653755188
217,10217.00,4.00900793075562
218,10218.00,3.73271441459656
219,10219.00,3.20060563087463
220,10220.00,2.66127228736877
221,10221.00,2.31634163856506
222,10222.00,2.27597999572754
223,10223.00,2.6251232624054
224,10224.00,3.48573160171509
225,10225.00,4.97960710525513
226,10226.00,7.06026792526245
227,10227.00,9.36670303344727
228,10228.00,11.3816757202148
229,10229.00,12.8194055557251
230,10230.00,13.7862997055054
231,10231.00,14.5850267410278
232,10232.00,15.451096534729
233,10233.00,16.4218597412109
234,10234.00,17.3324584960938
235,10235.00,17.9152812957764
236,10236.00,17.9977512359619
237,10237.00,17.6895351409912
238,10238.00,17.3706474304199
239,10239.00,17.4573135375977
240,10240.00,18.1135406494141
241,10241.00,19.0218925476074
242,10242.00,19.3309650421143
243,10243.00,18.1032943725586
244,10244.00,15.2064762115479
245,10245.00,11.5930824279785
246,10246.00,8.44031620025635
247,10247.00,6.31526041030884
248,10248.00,5.20525455474854
249,10249.00,4.92034816741943
250,10250.00,5.32640409469604
251,10251.00,6.34941625595093
252,10252.00,7.83201599121094
253,10253.00,9.33312225341797
254,10254.00,10.0999698638916
255,10255.00,9.48675537109375
256,10256.00,7.5728178024292
257,10257.00,5.17472314834595
258,10258.00,3.13615274429321
259,10259.00,1.7900937795639
260,10260.00,1.04229927062988
261,10261.00,0.678586661815643
262,10262.00,0.538270711898804
263,10263.00,0.546148121356964
264,10264.00,0.69537740945816
265,10265.00,1.01463711261749
266,10266.00,1.4902184009552
267,10267.00,1.95461857318878
268,10268.00,2.12863850593567
269,10269.00,1.89800822734833
270,10270.00,1.43697166442871
271,10271.00,0.988226890563965
272,10272.00,0.666789352893829
273,10273.00,0.472574859857559
274,10274.00,0.368739783763886
275,10275.00,0.323360353708267
276,10276.00,0.317097991704941
277,10277.00,0.338577836751938
278,10278.00,0.377265512943268
279,10279.00,0.417760699987412
280,10280.00,0.44087541103363
281,10281.00,0.43389904499054
282,10282.00,0.399650990962982
283,10283.00,0.351950496435165
284,10284.00,0.303557842969894
285,10285.00,0.260363280773163
286,10286.00,0.2235938757658
287,10287.00,0.193619072437286
288,10288.00,0.171210616827011
289,10289.00,0.156747847795486
290,10290.00,0.149532422423363
291,10291.00,0.148093640804291
292,10292.00,0.150999262928963
293,10293.00,0.157282382249832
294,10294.00,0.16573791205883
295,10295.00,0.173241406679153
296,10296.00,0.173853263258934
297,10297.00,0.161431923508644
298,10298.00,0.135346606373787
299,10299.00,0.102628387510777
300,10300.00,0.0724704563617706
301,10301.00,0.0498430691659451
302,10302.00,0.0348105207085609
303,10303.00,0.0253022983670235
304,10304.00,0.0192654877901077
305,10305.00,0.0153491953387856
306,10306.00,0.0128387324512005
307,10307.00,0.0114123299717903
308,10308.00,0.0109585775062442
309,10309.00,0.011513652279973
310,10310.00,0.0132886562496424
311,10311.00,0.0167190227657557
312,10312.00,0.022388344630599
313,10313.00,0.0304784905165434
314,10314.00,0.0394238159060478
315,10315.00,0.0448966398835182
316,10316.00,0.0423768050968647
317,10317.00,0.0325425490736961
318,10318.00,0.0211563911288977
319,10319.00,0.012817676179111
320,10320.00,0.00821947865188122
321,10321.00,0.00625797361135483
322,10322.00,0.0060016019269824
323,10323.00,0.00714837620034814
324,10324.00,0.00985277071595192
325,10325.00,0.0143216419965029
326,10326.00,0.020154120400548
327,10327.00,0.0258022546768188
328,10328.00,0.0290914345532656
329,10329.00,0.028855811804533
330,10330.00,0.0258922688663006
331,10331.00,0.0220476351678371
332,10332.00,0.0187740419059992
333,10333.00,0.0166410245001316
334,10334.00,0.0156525615602732
335,10335.00,0.0156949684023857
336,10336.00,0.0168871935456991
337,10337.00,0.0199188906699419
338,10338.00,0.0266054812818766
339,10339.00,0.041175227612257
340,10340.00,0.0730995610356331
341,10341.00,0.141332775354385
342,10342.00,0.273976057767868
343,10343.00,0.486587524414063
344,10344.00,0.735384464263916
345,10345.00,0.909081339836121
346,10346.00,0.923443019390106
347,10347.00,0.809122204780579
348,10348.00,0.662938296794891
349,10349.00,0.555958569049835
350,10350.00,0.513544917106628
351,10351.00,0.541967272758484
352,10352.00,0.650447010993958
353,10353.00,0.855981767177582
354,10354.00,1.17109501361847
355,10355.00,1.57477653026581
356,10356.00,1.98545205593109
357,10357.00,2.28193426132202
358,10358.00,2.38436198234558
359,10359.00,2.31421661376953
360,10360.00,2.16175484657288
361,10361.00,2.01107358932495
362,10362.00,1.90324282646179
363,10363.00,1.84637689590454
364,10364.00,1.84281635284424
365,10365.00,1.91096901893616
366,10366.00,2.09200143814087
367,10367.00,2.44053721427917
368,10368.00,2.99608516693115
369,10369.00,3.72361516952515
370,10370.00,4.44777345657349
371,10371.00,4.89126968383789
372,10372.00,4.87742519378662
373,10373.00,4.49292421340942
374,10374.00,3.99475026130676
375,10375.00,3.60626769065857
376,10376.00,3.43431353569031
377,10377.00,3.50175976753235
378,10378.00,3.78748774528503
379,10379.00,4.2265739440918
380,10380.00,4.69044971466064
381,10381.00,5.00479984283447
382,10382.00,5.03984403610229
383,10383.00,4.79960012435913
384,10384.00,4.39754390716553
385,10385.00,3.94502282142639
386,10386.00,3.47667860984802
387,10387.00,2.96641683578491
388,10388.00,2.39885354042053
389,10389.00,1.82321667671204
390,10390.00,1.3299674987793
391,10391.00,0.981868386268616
392,10392.00,0.785986244678497
393,10393.00,0.720163404941559
394,10394.00,0.763740181922913
395,10395.00,0.902820587158203
396,10396.00,1.11296260356903
397,10397.00,1.33964419364929
398,10398.00,1.50807452201843
399,10399.00,1.57001578807831
400,10400.00,1.54130804538727
401,10401.00,1.48575186729431
402,10402.00,1.46824443340302
403,10403.00,1.52376627922058
404,10404.00,1.64866721630096
405,10405.00,1.80107164382935
406,10406.00,1.91822135448456
407,10407.00,1.95909106731415
408,10408.00,1.93757581710815
409,10409.00,1.90773463249207
410,10410.00,1.92338585853577
411,10411.00,2.01367402076721
412,10412.00,2.17840051651001
413,10413.00,2.38749289512634
414,10414.00,2.58217334747314
415,10415.00,2.69313454627991
416,10416.00,2.68475437164307
417,10417.00,2.59300947189331
418,10418.00,2.50917530059814
419,10419.00,2.52269411087036
420,10420.00,2.67428731918335
421,10421.00,2.92375254631042
422,10422.00,3.12193441390991
423,10423.00,3.05138993263245
424,10424.00,2.60234642028809
425,10425.00,1.91786825656891
426,10426.00,1.26719725131989
427,10427.00,0.809704840183258
428,10428.00,0.548208713531494
429,10429.00,0.423600018024445
430,10430.00,0.384529054164886
431,10431.00,0.39961650967598
432,10432.00,0.443894803524017
433,10433.00,0.483268529176712
434,10434.00,0.477654576301575
435,10435.00,0.411351442337036
436,10436.00,0.311973184347153
437,10437.00,0.22170378267765
438,10438.00,0.161926954984665
439,10439.00,0.132682889699936
440,10440.00,0.12838077545166
