#"+ESI Scan (rt: 0.738-1.071 min, 21 scans) Frag=250.0V NUDT7A_0_0_a.d  Deconvoluted (Isotope Width=9.5)"
#Point,X(Daltons),Y(Counts)
0,10000.00,0.828430652618408
1,10001.00,1.56593573093414
2,10002.00,2.10892057418823
3,10003.00,2.32171058654785
4,10004.00,2.19446229934692
5,10005.00,1.87227475643158
6,10006.00,1.53217363357544
7,10007.00,1.27347266674042
8,10008.00,1.11475205421448
9,10009.00,1.03672063350677
10,10010.00,1.01269245147705
11,10011.00,1.02106618881226
12,10012.00,1.04940867424011
13,10013.00,1.09392285346985
14,10014.00,1.15399253368378
15,10015.00,1.22232139110565
16,10016.00,1.27447092533112
17,10017.00,1.2679557800293
18,10018.00,1.16421186923981
19,10019.00,0.965877950191498
20,10020.00,0.726824879646301
21,10021.00,0.512765526771545
22,10022.00,0.357874721288681
23,10023.00,0.260951966047287
24,10024.00,0.205656856298447
25,10025.00,0.175776600837708
26,10026.00,0.159722566604614
27,10027.00,0.150271996855736
28,10028.00,0.143649324774742
29,10029.00,0.138745814561844
30,10030.00,0.136417374014854
31,10031.00,0.138969734311104
32,10032.00,0.149912148714066
33,10033.00,0.173910290002823
34,10034.00,0.216494217514992
35,10035.00,0.282292425632477
36,10036.00,0.37047204375267
37,10037.00,0.46884959936142
38,10038.00,0.553117454051971
39,10039.00,0.597287893295288
40,10040.00,0.590483784675598
41,10041.00,0.545168340206146
42,10042.00,0.489138245582581
43,10043.00,0.451156616210938
44,10044.00,0.455076277256012
45,10045.00,0.526686072349548
46,10046.00,0.707781732082367
47,10047.00,1.0662853717804
48,10048.00,1.67894446849823
49,10049.00,2.5649139881134
50,10050.00,3.62380814552307
51,10051.00,4.70031499862671
52,10052.00,5.7434458732605
53,10053.00,6.85791730880737
54,10054.00,8.19013214111328
55,10055.00,9.7562427520752
56,10056.00,11.3103532791138
57,10057.00,12.3760232925415
58,10058.00,12.538272857666
59,10059.00,11.7886247634888
60,10060.00,10.5324649810791
61,10061.00,9.26360893249512
62,10062.00,8.28557300567627
63,10063.00,7.66532468795776
64,10064.00,7.31307411193848
65,10065.00,7.07205057144165
66,10066.00,6.79755783081055
67,10067.00,6.42014932632446
68,10068.00,5.95859479904175
69,10069.00,5.47279024124146
70,10070.00,5.00313186645508
71,10071.00,4.54436731338501
72,10072.00,4.06039381027222
73,10073.00,3.52079844474792
74,10074.00,2.93404722213745
75,10075.00,2.35260272026062
76,10076.00,1.84303629398346
77,10077.00,1.44697654247284
78,10078.00,1.16599011421204
79,10079.00,0.973403632640839
80,10080.00,0.833980202674866
81,10081.00,0.718950748443604
82,10082.00,0.613681375980377
83,10083.00,0.516520380973816
84,10084.00,0.431290656328201
85,10085.00,0.360925555229187
86,10086.00,0.30616307258606
87,10087.00,0.266915917396545
88,10088.00,0.243315637111664
89,10089.00,0.236016780138016
90,10090.00,0.246495708823204
91,10091.00,0.277432382106781
92,10092.00,0.332349866628647
93,10093.00,0.413014501333237
94,10094.00,0.513174057006836
95,10095.00,0.610523879528046
96,10096.00,0.666627407073975
97,10097.00,0.646281898021698
98,10098.00,0.546833693981171
99,10099.00,0.404525279998779
100,10100.00,0.266790121793747
101,10101.00,0.162067428231239
102,10102.00,0.0942337363958359
103,10103.00,0.0543109178543091
104,10104.00,0.0317345559597015
105,10105.00,0.0189128164201975
106,10106.00,0.0114307580515742
107,10107.00,0.00697281025350094
108,10108.00,0.00433639762923121
109,10109.00,0.00283963466063142
110,10110.00,0.0020592282526195
111,10111.00,0.00174459838308394
112,10112.00,0.00179244577884674
113,10113.00,0.00225063948892057
114,10114.00,0.00337449484504759
115,10115.00,0.00576999271288514
116,10116.00,0.0105982180684805
117,10117.00,0.0195234678685665
118,10118.00,0.0334966257214546
119,10119.00,0.0498497523367405
120,10120.00,0.061004601418972
121,10121.00,0.0602467842400074
122,10122.00,0.0492781884968281
123,10123.00,0.035698477178812
124,10124.00,0.0250197201967239
125,10125.00,0.018365416675806
126,10126.00,0.0147394333034754
127,10127.00,0.0128913428634405
128,10128.00,0.0118301212787628
129,10129.00,0.0108455196022987
130,10130.00,0.00954688619822264
131,10131.00,0.00790683552622795
132,10132.00,0.00615932419896126
133,10133.00,0.0045822449028492
134,10134.00,0.00333737023174763
135,10135.00,0.00245219701901078
136,10136.00,0.00188408652320504
137,10137.00,0.00158571684733033
138,10138.00,0.00155202113091946
139,10139.00,0.00188477651681751
140,10140.00,0.00297535653226078
141,10141.00,0.00609657540917397
142,10142.00,0.01516820397228
143,10143.00,0.0405828878283501
144,10144.00,0.101179473102093
145,10145.00,0.20654533803463
146,10146.00,0.315071523189545
147,10147.00,0.344169348478317
148,10148.00,0.271877616643906
149,10149.00,0.165410920977592
150,10150.00,0.08677838742733
151,10151.00,0.0455969423055649
152,10152.00,0.0280528832226992
153,10153.00,0.0227435007691383
154,10154.00,0.0253126472234726
155,10155.00,0.0369726084172726
156,10156.00,0.063918374478817
157,10157.00,0.116188384592533
158,10158.00,0.201131016016006
159,10159.00,0.31131711602211
160,10160.00,0.420635640621185
161,10161.00,0.501391649246216
162,10162.00,0.546777367591858
163,10163.00,0.573675692081451
164,10164.00,0.609827518463135
165,10165.00,0.685785293579102
166,10166.00,0.8399418592453
167,10167.00,1.13462769985199
168,10168.00,1.68213605880737
169,10169.00,2.67890381813049
170,10170.00,4.43167543411255
