#"+ESI Scan (rt: 0.693-1.109 min, 26 scans) Frag=250.0V NUDT7A_0_8_d.d  Deconvoluted (Isotope Width=9.5)"
#Point,X(Daltons),Y(Counts)
0,10000.00,0.0373581908643246
1,10001.00,0.0666083544492722
2,10002.00,0.0836421623826027
3,10003.00,0.0845627412199974
4,10004.00,0.0724780485033989
5,10005.00,0.0558108575642109
6,10006.00,0.0416003130376339
7,10007.00,0.0322819575667381
8,10008.00,0.027285972610116
9,10009.00,0.0251999832689762
10,10010.00,0.0246284548193216
11,10011.00,0.0243568457663059
12,10012.00,0.0235459748655558
13,10013.00,0.0219564456492662
14,10014.00,0.0198472943156958
15,10015.00,0.0175777766853571
16,10016.00,0.0153074041008949
17,10017.00,0.0129991704598069
18,10018.00,0.0106195406988263
19,10019.00,0.00830877851694822
20,10020.00,0.00634302711114287
21,10021.00,0.00494498340412974
22,10022.00,0.00418172590434551
23,10023.00,0.00403669010847807
24,10024.00,0.00454160524532199
25,10025.00,0.00588862411677837
26,10026.00,0.00856812763959169
27,10027.00,0.0136607689782977
28,10028.00,0.0234636906534433
29,10029.00,0.0426195375621319
30,10030.00,0.0797077938914299
31,10031.00,0.148929372429848
32,10032.00,0.27231827378273
33,10033.00,0.486693918704987
34,10034.00,0.864802837371826
35,10035.00,1.56234133243561
36,10036.00,2.89550280570984
37,10037.00,5.40399980545044
38,10038.00,9.70324802398682
39,10039.00,15.8395729064941
40,10040.00,22.4976787567139
41,10041.00,27.4887008666992
42,10042.00,29.7288837432861
43,10043.00,30.2195453643799
44,10044.00,30.9908351898193
45,10045.00,33.9633560180664
46,10046.00,40.8072929382324
47,10047.00,53.0219879150391
48,10048.00,71.2590713500977
49,10049.00,93.9186172485352
50,10050.00,116.778297424316
51,10051.00,135.335800170898
52,10052.00,147.933013916016
53,10053.00,156.082214355469
54,10054.00,161.957778930664
55,10055.00,165.798187255859
56,10056.00,165.270492553711
57,10057.00,157.324859619141
58,10058.00,141.204483032227
59,10059.00,119.754486083984
60,10060.00,97.7205276489258
61,10061.00,78.9782867431641
62,10062.00,65.1523971557617
63,10063.00,55.9541130065918
64,10064.00,50.136848449707
65,10065.00,46.2584228515625
66,10066.00,43.1447715759277
