#"+ESI Scan (rt: 0.701-1.117 min, 26 scans) Frag=250.0V NUDT7A_0_95_b.d  Deconvoluted (Isotope Width=9.5)"
#Point,X(Daltons),Y(Counts)
0,10000.00,0.164994984865189
1,10001.00,0.352881073951721
2,10002.00,0.524987995624542
3,10003.00,0.614518046379089
4,10004.00,0.590164482593536
5,10005.00,0.488499283790588
6,10006.00,0.37303039431572
7,10007.00,0.282269209623337
8,10008.00,0.223330557346344
9,10009.00,0.189320161938667
10,10010.00,0.171778172254562
11,10011.00,0.164552688598633
12,10012.00,0.163885042071342
13,10013.00,0.167507246136665
14,10014.00,0.173474833369255
15,10015.00,0.178906977176666
16,10016.00,0.179224699735641
17,10017.00,0.169220954179764
18,10018.00,0.146612077951431
19,10019.00,0.115255422890186
20,10020.00,0.0834019780158997
21,10021.00,0.0579372122883797
22,10022.00,0.0410115011036396
23,10023.00,0.0313317514955997
24,10024.00,0.026783486828208
25,10025.00,0.0258385147899389
26,10026.00,0.0278653763234615
27,10027.00,0.0331364162266254
28,10028.00,0.0428906865417957
29,10029.00,0.0593985505402088
30,10030.00,0.0857753902673721
31,10031.00,0.125491544604301
32,10032.00,0.182562068104744
33,10033.00,0.264527469873428
34,10034.00,0.389601141214371
35,10035.00,0.597546935081482
36,10036.00,0.961552500724792
37,10037.00,1.58528006076813
38,10038.00,2.53779888153076
39,10039.00,3.69429802894592
40,10040.00,4.64717626571655
41,10041.00,4.98810386657715
42,10042.00,4.74019765853882
43,10043.00,4.31662750244141
44,10044.00,4.14323806762695
45,10045.00,4.51796865463257
46,10046.00,5.73736381530762
47,10047.00,8.21180820465088
48,10048.00,12.3482675552368
49,10049.00,18.1332950592041
50,10050.00,24.8142986297607
51,10051.00,31.3162136077881
52,10052.00,37.1006317138672
53,10053.00,42.4022521972656
54,10054.00,47.6008110046387
55,10055.00,52.4044914245605
56,10056.00,55.5747489929199
57,10057.00,55.6421508789063
58,10058.00,52.1975898742676
59,10059.00,46.4040985107422
60,10060.00,40.161205291748
61,10061.00,34.9614524841309
62,10062.00,31.437629699707
63,10063.00,29.5139560699463
64,10064.00,28.6820201873779
65,10065.00,28.223762512207
66,10066.00,27.4648265838623
67,10067.00,26.0562191009521
68,10068.00,24.0816345214844
69,10069.00,21.8795051574707
70,10070.00,19.7584571838379
71,10071.00,17.8362655639648
72,10072.00,16.0528469085693
73,10073.00,14.2861461639404
74,10074.00,12.4847545623779
75,10075.00,10.7354354858398
76,10076.00,9.22032928466797
77,10077.00,8.11081504821777
78,10078.00,7.49394369125366
79,10079.00,7.36430406570435
80,10080.00,7.63723421096802
81,10081.00,8.14611053466797
82,10082.00,8.64615154266357
83,10083.00,8.87598514556885
84,10084.00,8.67689228057861
85,10085.00,8.08379745483398
86,10086.00,7.29698133468628
87,10087.00,6.5526819229126
88,10088.00,6.00469923019409
89,10089.00,5.68952226638794
90,10090.00,5.55531024932861
91,10091.00,5.51334095001221
92,10092.00,5.4921875
93,10093.00,5.47200393676758
94,10094.00,5.47190427780151
95,10095.00,5.49591970443726
96,10096.00,5.47663688659668
97,10097.00,5.26401901245117
98,10098.00,4.70339441299438
99,10099.00,3.7825620174408
100,10100.00,2.69802975654602
101,10101.00,1.72281098365784
102,10102.00,1.01565897464752
103,10103.00,0.57653534412384
104,10104.00,0.328158766031265
105,10105.00,0.19343888759613
106,10106.00,0.121469125151634
107,10107.00,0.084154486656189
108,10108.00,0.0673797950148582
109,10109.00,0.0652049481868744
110,10110.00,0.0775312706828117
111,10111.00,0.109639532864094
112,10112.00,0.170739248394966
113,10113.00,0.266990542411804
114,10114.00,0.389355570077896
115,10115.00,0.510618686676025
116,10116.00,0.601935207843781
117,10117.00,0.649263799190521
118,10118.00,0.64951479434967
