#"+ESI Scan (rt: 0.706-1.122 min, 26 scans) Frag=250.0V NUDT7A_1_0.d  Deconvoluted (Isotope Width=9.5)"
#Point,X(Daltons),Y(Counts)
0,10000.00,0.61273980140686
1,10001.00,1.19738173484802
2,10002.00,1.64928030967712
3,10003.00,1.82701575756073
4,10004.00,1.70742869377136
5,10005.00,1.4195305109024
6,10006.00,1.1254551410675
7,10007.00,0.912992119789124
8,10008.00,0.795694053173065
9,10009.00,0.755291402339935
10,10010.00,0.766879081726074
11,10011.00,0.804894089698792
12,10012.00,0.844916522502899
13,10013.00,0.868496060371399
14,10014.00,0.867405593395233
15,10015.00,0.841583609580994
16,10016.00,0.792589545249939
17,10017.00,0.719981849193573
18,10018.00,0.624404966831207
19,10019.00,0.513260900974274
20,10020.00,0.401095032691956
21,10021.00,0.302659273147583
22,10022.00,0.225655823945999
23,10023.00,0.169629991054535
24,10024.00,0.129689902067184
25,10025.00,0.100514486432076
26,10026.00,0.0784396976232529
27,10027.00,0.0616892091929913
28,10028.00,0.0495860427618027
29,10029.00,0.0417450368404388
30,10030.00,0.0378258302807808
31,10031.00,0.0377425476908684
32,10032.00,0.0420105755329132
33,10033.00,0.0520685650408268
34,10034.00,0.0704236403107643
35,10035.00,0.100138373672962
36,10036.00,0.14286695420742
37,10037.00,0.19542022049427
38,10038.00,0.247333377599716
39,10039.00,0.283596962690353
40,10040.00,0.293197959661484
41,10041.00,0.277031391859055
42,10042.00,0.247491076588631
43,10043.00,0.220655128359795
44,10044.00,0.209758952260017
45,10045.00,0.225669860839844
46,10046.00,0.282659292221069
47,10047.00,0.404360681772232
48,10048.00,0.622623920440674
49,10049.00,0.961626529693604
50,10050.00,1.41703999042511
51,10051.00,1.96408116817474
52,10052.00,2.59830331802368
53,10053.00,3.35485315322876
54,10054.00,4.267014503479
55,10055.00,5.28257036209106
56,10056.00,6.20223999023438
57,10057.00,6.73866319656372
58,10058.00,6.71413993835449
59,10059.00,6.21367692947388
60,10060.00,5.51287126541138
61,10061.00,4.87933111190796
62,10062.00,4.4562931060791
63,10063.00,4.26820659637451
64,10064.00,4.26674222946167
65,10065.00,4.36627531051636
66,10066.00,4.47336626052856
67,10067.00,4.5193305015564
68,10068.00,4.47957754135132
69,10069.00,4.36225175857544
70,10070.00,4.17875623703003
71,10071.00,3.9240026473999
72,10072.00,3.57970452308655
73,10073.00,3.13580274581909
74,10074.00,2.61490893363953
75,10075.00,2.07822799682617
76,10076.00,1.59998655319214
77,10077.00,1.22900366783142
