#"+ESI Scan (rt: 0.707-1.123 min, 26 scans) Frag=250.0V NUDT7A_1_0_c.d  Deconvoluted (Isotope Width=9.5)"
#Point,X(Daltons),Y(Counts)
0,10000.00,0.799030482769012
1,10001.00,1.68826746940613
2,10002.00,2.50429630279541
3,10003.00,2.97031760215759
4,10004.00,2.95021343231201
5,10005.00,2.58092522621155
6,10006.00,2.12397599220276
7,10007.00,1.75743281841278
8,10008.00,1.53210484981537
9,10009.00,1.42903292179108
10,10010.00,1.40796685218811
11,10011.00,1.42650437355042
12,10012.00,1.44872319698334
13,10013.00,1.45338559150696
14,10014.00,1.43691194057465
15,10015.00,1.40563189983368
16,10016.00,1.36218297481537
17,10017.00,1.29654824733734
18,10018.00,1.18941020965576
19,10019.00,1.02870273590088
20,10020.00,0.827305257320404
21,10021.00,0.621019661426544
22,10022.00,0.445060849189758
23,10023.00,0.314587235450745
24,10024.00,0.22565920650959
25,10025.00,0.16671359539032
26,10026.00,0.127114310860634
27,10027.00,0.0998969003558159
28,10028.00,0.0812483951449394
29,10029.00,0.0691612586379051
30,10030.00,0.0624943561851978
31,10031.00,0.0606802627444267
32,10032.00,0.0638181269168854
33,10033.00,0.072890393435955
34,10034.00,0.0899497866630554
35,10035.00,0.118002042174339
36,10036.00,0.159880325198174
37,10037.00,0.215115457773209
38,10038.00,0.27522537112236
39,10039.00,0.322280079126358
40,10040.00,0.337824672460556
41,10041.00,0.318573623895645
42,10042.00,0.281178861856461
43,10043.00,0.249871328473091
44,10044.00,0.244720876216888
45,10045.00,0.284950584173203
46,10046.00,0.404584497213364
47,10047.00,0.672375559806824
48,10048.00,1.19808948040009
49,10049.00,2.08742427825928
50,10050.00,3.34962677955627
51,10051.00,4.87860441207886
52,10052.00,6.57436561584473
53,10053.00,8.43760776519775
54,10054.00,10.4844236373901
55,10055.00,12.5532093048096
56,10056.00,14.201247215271
57,10057.00,14.8806486129761
58,10058.00,14.3428478240967
59,10059.00,12.8703050613403
60,10060.00,11.0640211105347
61,10061.00,9.44994068145752
62,10062.00,8.28362274169922
63,10063.00,7.59005451202393
64,10064.00,7.27334070205688
65,10065.00,7.19607448577881
66,10066.00,7.22643947601318
67,10067.00,7.26916265487671
68,10068.00,7.27355241775513
69,10069.00,7.21151208877563
70,10070.00,7.044837474823
71,10071.00,6.71273183822632
72,10072.00,6.15355587005615
73,10073.00,5.34972476959229
74,10074.00,4.36598968505859
75,10075.00,3.34412741661072
76,10076.00,2.44028782844543
77,10077.00,1.74871861934662
78,10078.00,1.2768771648407
79,10079.00,0.977629423141479
80,10080.00,0.791888773441315
81,10081.00,0.671245217323303
82,10082.00,0.583009779453278
83,10083.00,0.508292138576508
84,10084.00,0.43861848115921
85,10085.00,0.372832864522934
86,10086.00,0.314263433218002
87,10087.00,0.267562001943588
88,10088.00,0.236019730567932
89,10089.00,0.220874801278114
90,10090.00,0.222474932670593
91,10091.00,0.241813972592354
92,10092.00,0.28116762638092
93,10093.00,0.342742681503296
94,10094.00,0.423955053091049
95,10095.00,0.509552597999573
96,10096.00,0.567491948604584
97,10097.00,0.561581075191498
98,10098.00,0.480316549539566
99,10099.00,0.352291613817215
100,10100.00,0.224783927202225
101,10101.00,0.12931515276432
102,10102.00,0.0706535279750824
103,10103.00,0.0388216972351074
104,10104.00,0.0225180741399527
105,10105.00,0.0142220444977283
106,10106.00,0.00995008181780577
107,10107.00,0.00784002710133791
108,10108.00,0.00713687110692263
109,10109.00,0.00772013841196895
110,10110.00,0.0100187202915549
111,10111.00,0.0151473376899958
112,10112.00,0.0249114520847797
113,10113.00,0.0409427061676979
114,10114.00,0.0627561062574387
115,10115.00,0.0868467912077904
116,10116.00,0.10891929268837
117,10117.00,0.126335889101028
118,10118.00,0.137034356594086
119,10119.00,0.137229323387146
120,10120.00,0.123110845685005
121,10121.00,0.0965633615851402
122,10122.00,0.066605232656002
123,10123.00,0.0423268266022205
124,10124.00,0.0267737917602062
125,10125.00,0.0182611029595137
126,10126.00,0.0141092361882329
127,10127.00,0.0123279904946685
128,10128.00,0.0116022508591414
129,10129.00,0.0109543260186911
130,10130.00,0.00973643269389868
131,10131.00,0.00786576326936483
132,10132.00,0.00577219761908054
133,10133.00,0.00394888781011105
134,10134.00,0.00261575146578252
135,10135.00,0.00174474134109914
136,10136.00,0.00122151232790202
137,10137.00,0.00094646232901141
138,10138.00,0.0008689557434991
139,10139.00,0.00101346871815622
140,10140.00,0.00156449270434678
141,10141.00,0.00314851058647037
142,10142.00,0.00764910783618689
143,10143.00,0.0199264641851187
144,10144.00,0.048940472304821
145,10145.00,0.101216733455658
146,10146.00,0.162288829684258
147,10147.00,0.192883461713791
148,10148.00,0.169758558273315
149,10149.00,0.116209924221039
150,10150.00,0.0685093924403191
151,10151.00,0.0401901416480541
152,10152.00,0.0274360403418541
153,10153.00,0.0245779510587454
154,10154.00,0.0300958473235369
155,10155.00,0.048036590218544
156,10156.00,0.0899312943220139
157,10157.00,0.175386801362038
158,10158.00,0.322787880897522
159,10159.00,0.525123119354248
160,10160.00,0.732287585735321
161,10161.00,0.876418650150299
162,10162.00,0.927098989486694
163,10163.00,0.912694871425629
164,10164.00,0.891277611255646
165,10165.00,0.919164955615997
166,10166.00,1.04997742176056
167,10167.00,1.35868155956268
168,10168.00,1.97896862030029
169,10169.00,3.14573407173157
170,10170.00,5.21704435348511
171,10171.00,8.62111663818359
172,10172.00,13.701732635498
173,10173.00,20.5617275238037
174,10174.00,29.0490798950195
175,10175.00,38.791690826416
176,10176.00,48.9685325622559
177,10177.00,57.8071670532227
178,10178.00,62.5306816101074
179,10179.00,60.6896362304688
180,10180.00,52.3000259399414
181,10181.00,40.3439483642578
182,10182.00,28.6919364929199
183,10183.00,19.7949867248535
184,10184.00,14.236647605896
185,10185.00,11.6683959960938
186,10186.00,11.9250869750977
187,10187.00,16.1164932250977
188,10188.00,28.635570526123
189,10189.00,61.8857040405273
190,10190.00,144.21809387207
191,10191.00,322.381469726563
192,10192.00,637.946350097656
193,10193.00,1077.90405273438
194,10194.00,1547.92041015625
195,10195.00,1904.34033203125
196,10196.00,2021.57836914063
197,10197.00,1858.26330566406
198,10198.00,1486.33984375
199,10199.00,1048.00354003906
200,10200.00,667.142028808594
201,10201.00,395.971893310547
202,10202.00,226.882720947266
203,10203.00,129.612213134766
204,10204.00,75.9076232910156
205,10205.00,46.7118759155273
206,10206.00,30.9373207092285
207,10207.00,22.589485168457
208,10208.00,18.5738620758057
209,10209.00,17.4139404296875
210,10210.00,18.5880489349365
211,10211.00,22.185676574707
212,10212.00,28.5987892150879
213,10213.00,37.8994178771973
214,10214.00,48.7126159667969
215,10215.00,57.3961219787598
216,10216.00,59.4866943359375
217,10217.00,53.4049072265625
218,10218.00,42.1528472900391
219,10219.00,30.4834747314453
220,10220.00,21.3622894287109
221,10221.00,15.3233261108398
222,10222.00,11.6926422119141
223,10223.00,9.64101123809814
224,10224.00,8.5669994354248
225,10225.00,8.12910652160645
226,10226.00,8.1952657699585
227,10227.00,8.79616641998291
228,10228.00,10.0952863693237
229,10229.00,12.3757553100586
230,10230.00,16.0286712646484
231,10231.00,21.5005931854248
232,10232.00,29.1363315582275
233,10233.00,38.8652839660645
234,10234.00,49.7962837219238
235,10235.00,60.0482482910156
236,10236.00,67.2825927734375
237,10237.00,69.8970794677734
238,10238.00,67.9568634033203
239,10239.00,62.9917945861816
240,10240.00,56.9572448730469
241,10241.00,51.3244018554688
242,10242.00,46.7712287902832
243,10243.00,43.2983627319336
244,10244.00,40.4820365905762
245,10245.00,37.7659072875977
246,10246.00,34.7934265136719
247,10247.00,31.672290802002
248,10248.00,28.9708385467529
249,10249.00,27.4555244445801
250,10250.00,27.8541584014893
251,10251.00,30.8203086853027
252,10252.00,36.9236183166504
253,10253.00,46.3343772888184
254,10254.00,58.1347122192383
255,10255.00,69.8989334106445
256,10256.00,78.5029678344727
257,10257.00,81.8198471069336
258,10258.00,79.5437088012695
259,10259.00,72.5318298339844
260,10260.00,61.9735717773438
261,10261.00,49.3522644042969
262,10262.00,36.6072120666504
263,10263.00,25.6274852752686
264,10264.00,17.4279518127441
265,10265.00,11.9542427062988
266,10266.00,8.56904983520508
267,10267.00,6.58493328094482
268,10268.00,5.50477933883667
269,10269.00,5.04393005371094
270,10270.00,5.08185386657715
271,10271.00,5.61311626434326
272,10272.00,6.70037746429443
273,10273.00,8.39598178863525
274,10274.00,10.6030607223511
275,10275.00,12.9415740966797
276,10276.00,14.8205051422119
277,10277.00,15.8005828857422
278,10278.00,15.9212713241577
279,10279.00,15.6270685195923
280,10280.00,15.431694984436
281,10281.00,15.6780872344971
282,10282.00,16.4905395507813
283,10283.00,17.8237762451172
284,10284.00,19.5471935272217
285,10285.00,21.5454883575439
286,10286.00,23.7835941314697
287,10287.00,26.283031463623
288,10288.00,29.0360069274902
289,10289.00,31.938627243042
290,10290.00,34.8062324523926
291,10291.00,37.4841194152832
292,10292.00,39.9896469116211
293,10293.00,42.5485458374023
294,10294.00,45.4355506896973
295,10295.00,48.6849365234375
296,10296.00,51.8313751220703
297,10297.00,53.8483047485352
298,10298.00,53.4482383728027
299,10299.00,49.771183013916
300,10300.00,43.0720405578613
301,10301.00,34.7429351806641
302,10302.00,26.5296363830566
303,10303.00,19.6543369293213
304,10304.00,14.5355844497681
305,10305.00,11.0458345413208
306,10306.00,8.86999320983887
307,10307.00,7.71828031539917
308,10308.00,7.39048767089844
309,10309.00,7.74542236328125
310,10310.00,8.58612537384033
311,10311.00,9.48009777069092
312,10312.00,9.70609378814697
313,10313.00,8.65314960479736
314,10314.00,6.47370624542236
315,10315.00,4.05974531173706
316,10316.00,2.21049165725708
317,10317.00,1.11188864707947
318,10318.00,0.554858446121216
319,10319.00,0.291774302721024
320,10320.00,0.1673414260149
321,10321.00,0.105177365243435
322,10322.00,0.0711764544248581
323,10323.00,0.0504998192191124
324,10324.00,0.0367795079946518
325,10325.00,0.0273811165243387
326,10326.00,0.0212122928351164
327,10327.00,0.0177251454442739
328,10328.00,0.0166134350001812
329,10329.00,0.01784030161798
330,10330.00,0.0216484181582928
331,10331.00,0.0282379873096943
332,10332.00,0.0369939208030701
333,10333.00,0.0460078902542591
334,10334.00,0.0533277280628681
335,10335.00,0.0593872405588627
336,10336.00,0.0679886862635612
337,10337.00,0.0860399007797241
338,10338.00,0.124929435551167
339,10339.00,0.203298851847649
340,10340.00,0.343076884746552
341,10341.00,0.544291138648987
342,10342.00,0.749763190746307
343,10343.00,0.866393446922302
344,10344.00,0.856298685073853
345,10345.00,0.772600769996643
346,10346.00,0.694797575473785
347,10347.00,0.673790812492371
348,10348.00,0.736002445220947
349,10349.00,0.907409191131592
350,10350.00,1.22940599918365
351,10351.00,1.76447725296021
352,10352.00,2.5920569896698
353,10353.00,3.78347826004028
354,10354.00,5.33185386657715
355,10355.00,7.03408670425415
356,10356.00,8.42438411712646
357,10357.00,8.94814109802246
358,10358.00,8.36332607269287
359,10359.00,6.96428966522217
360,10360.00,5.33769464492798
361,10361.00,3.94909191131592
362,10362.00,2.97642660140991
363,10363.00,2.40008473396301
364,10364.00,2.14226841926575
365,10365.00,2.14540505409241
366,10366.00,2.39468050003052
367,10367.00,2.91265463829041
368,10368.00,3.73253774642944
369,10369.00,4.83735799789429
370,10370.00,6.06715631484985
371,10371.00,7.07272815704346
372,10372.00,7.45558738708496
373,10373.00,7.06832504272461
374,10374.00,6.15367555618286
375,10375.00,5.13086128234863
376,10376.00,4.30010843276978
377,10377.00,3.75436210632324
378,10378.00,3.45256090164185
379,10379.00,3.3051860332489
380,10380.00,3.22498750686646
381,10381.00,3.15481734275818
382,10382.00,3.07374000549316
383,10383.00,2.97772932052612
384,10384.00,2.85106301307678
385,10385.00,2.6554172039032
386,10386.00,2.35352182388306
387,10387.00,1.95434379577637
388,10388.00,1.52874302864075
389,10389.00,1.16472578048706
390,10390.00,0.912132859230042
391,10391.00,0.774433195590973
392,10392.00,0.73332405090332
393,10393.00,0.766272962093353
394,10394.00,0.844834983348846
395,10395.00,0.926313638687134
396,10396.00,0.960708677768707
397,10397.00,0.91924250125885
398,10398.00,0.814942479133606
399,10399.00,0.687965273857117
400,10400.00,0.574625074863434
401,10401.00,0.492079734802246
402,10402.00,0.441670745611191
403,10403.00,0.417299211025238
404,10404.00,0.411030888557434
405,10405.00,0.416063576936722
406,10406.00,0.429051965475082
407,10407.00,0.45229771733284
408,10408.00,0.495340883731842
409,10409.00,0.576536476612091
410,10410.00,0.726528942584991
411,10411.00,0.994228422641754
412,10412.00,1.44952976703644
413,10413.00,2.16458058357239
414,10414.00,3.15013837814331
415,10415.00,4.26847267150879
416,10416.00,5.23798227310181
417,10417.00,5.81015682220459
418,10418.00,5.95533132553101
419,10419.00,5.83474493026733
420,10420.00,5.62202405929565
421,10421.00,5.37605142593384
422,10422.00,5.03145933151245
423,10423.00,4.47768402099609
424,10424.00,3.68306636810303
425,10425.00,2.76767826080322
426,10426.00,1.93155515193939
427,10427.00,1.31045830249786
428,10428.00,0.920617938041687
429,10429.00,0.710207045078278
430,10430.00,0.621990621089935
431,10431.00,0.618233323097229
432,10432.00,0.679877102375031
433,10433.00,0.79946380853653
434,10434.00,0.975273013114929
435,10435.00,1.20511734485626
436,10436.00,1.47539746761322
