#"+ESI Scan (rt: 7.094-9.009 min, 116 scans) Frag=250.0V NUDT7A_imp_0_0_b.d  Deconvoluted (Isotope Width=9.5)"
#Point,X(Daltons),Y(Counts)
0,10000.00,0.000340086262440309
1,10001.00,0.000931783928535879
2,10002.00,0.00176260201260448
3,10003.00,0.0026173060759902
4,10004.00,0.00318577326834202
5,10005.00,0.00331744807772338
6,10006.00,0.00313764461316168
7,10007.00,0.00289025693200529
8,10008.00,0.00276176654733717
9,10009.00,0.00285499845631421
10,10010.00,0.00324557488784194
11,10011.00,0.00403234735131264
12,10012.00,0.0053448099642992
13,10013.00,0.00727150170132518
14,10014.00,0.00967230275273323
15,10015.00,0.0119622806087136
16,10016.00,0.0132012665271759
17,10017.00,0.0127252014353871
18,10018.00,0.0107874041423202
19,10019.00,0.00836726929992437
20,10020.00,0.00637255888432264
21,10021.00,0.00520482333377004
22,10022.00,0.00493246782571077
23,10023.00,0.00563159678131342
24,10024.00,0.00760060409083962
25,10025.00,0.0114184943959117
26,10026.00,0.0179157461971045
27,10027.00,0.028369028121233
28,10028.00,0.0455003455281258
29,10029.00,0.0757257267832756
30,10030.00,0.132965758442879
31,10031.00,0.243788465857506
32,10032.00,0.449644893407822
33,10033.00,0.794127523899078
34,10034.00,1.28444838523865
35,10035.00,1.84426772594452
36,10036.00,2.30875778198242
37,10037.00,2.49903512001038
38,10038.00,2.34241366386414
39,10039.00,1.93231117725372
40,10040.00,1.45464408397675
41,10041.00,1.05853140354156
42,10042.00,0.80185604095459
43,10043.00,0.684490442276001
44,10044.00,0.702811360359192
45,10045.00,0.890762031078339
46,10046.00,1.34939563274384
47,10047.00,2.24216246604919
48,10048.00,3.66250038146973
49,10049.00,5.34784460067749
50,10050.00,6.60888957977295
51,10051.00,6.85452842712402
52,10052.00,6.13092756271362
53,10053.00,4.94266700744629
54,10054.00,3.75378489494324
55,10055.00,2.78329038619995
56,10056.00,2.07268214225769
57,10057.00,1.5906069278717
58,10058.00,1.28846442699432
59,10059.00,1.12090933322906
60,10060.00,1.05179500579834
61,10061.00,1.0532443523407
62,10062.00,1.10135531425476
63,10063.00,1.17273724079132
64,10064.00,1.24579513072968
65,10065.00,1.30612540245056
66,10066.00,1.34902834892273
67,10067.00,1.3731940984726
68,10068.00,1.36937808990479
69,10069.00,1.31575810909271
70,10070.00,1.19013059139252
71,10071.00,0.994266152381897
72,10072.00,0.764790892601013
73,10073.00,0.55226057767868
74,10074.00,0.389906227588654
75,10075.00,0.284083634614944
76,10076.00,0.225964143872261
77,10077.00,0.205639272928238
