#"+ESI Scan (rt: 6.722-9.003 min, 138 scans) Frag=250.0V NUDT7A_imp_0_3_a.d  Deconvoluted (Isotope Width=9.5)"
#Point,X(Daltons),Y(Counts)
0,10000.00,0.0315786823630333
1,10001.00,0.0655932351946831
2,10002.00,0.095062144100666
3,10003.00,0.109707251191139
4,10004.00,0.106209486722946
5,10005.00,0.091290570795536
6,10006.00,0.0747692137956619
7,10007.00,0.0624400414526463
8,10008.00,0.0554726161062717
9,10009.00,0.0527456253767014
10,10010.00,0.0524210445582867
11,10011.00,0.0525716356933117
12,10012.00,0.0516707822680473
13,10013.00,0.0490560904145241
14,10014.00,0.0449326261878014
15,10015.00,0.039865255355835
16,10016.00,0.0342954099178314
17,10017.00,0.0284948870539665
18,10018.00,0.0228148680180311
19,10019.00,0.0178070198744535
20,10020.00,0.0140299247577786
21,10021.00,0.0118082799017429
22,10022.00,0.0112705882638693
23,10023.00,0.0126215312629938
24,10024.00,0.0163928549736738
25,10025.00,0.0234829150140285
26,10026.00,0.0349736474454403
27,10027.00,0.0521341115236282
28,10028.00,0.0773057490587235
29,10029.00,0.115800730884075
30,10030.00,0.178421944379807
31,10031.00,0.284637928009033
32,10032.00,0.466602206230164
33,10033.00,0.773551106452942
34,10034.00,1.2759735584259
35,10035.00,2.06844663619995
36,10036.00,3.26105284690857
37,10037.00,4.92496633529663
38,10038.00,6.94942808151245
39,10039.00,8.87012672424316
40,10040.00,9.94775485992432
41,10041.00,9.69572162628174
42,10042.00,8.3724193572998
43,10043.00,6.74891710281372
44,10044.00,5.46965503692627
45,10045.00,4.78898191452026
46,10046.00,4.72290992736816
47,10047.00,5.2267894744873
48,10048.00,6.22611951828003
49,10049.00,7.55760097503662
50,10050.00,8.95828914642334
51,10051.00,10.1760883331299
52,10052.00,11.0938005447388
53,10053.00,11.7221164703369
54,10054.00,12.0867023468018
55,10055.00,12.1374158859253
56,10056.00,11.7618036270142
57,10057.00,10.8932437896729
58,10058.00,9.61392021179199
59,10059.00,8.14571285247803
60,10060.00,6.74027252197266
61,10061.00,5.57406902313232
62,10062.00,4.71605587005615
63,10063.00,4.15383052825928
64,10064.00,3.83551955223084
65,10065.00,3.70187592506409
66,10066.00,3.70442318916321
67,10067.00,3.81196880340576
68,10068.00,4.00527000427246
69,10069.00,4.25965452194214
70,10070.00,4.521559715271
71,10071.00,4.69536685943604
72,10072.00,4.66538381576538
73,10073.00,4.36218070983887
74,10074.00,3.82899498939514
75,10075.00,3.21358275413513
76,10076.00,2.68195605278015
77,10077.00,2.3421094417572
78,10078.00,2.23838090896606
79,10079.00,2.38692569732666
80,10080.00,2.79565787315369
81,10081.00,3.4407901763916
82,10082.00,4.21463108062744
83,10083.00,4.91112422943115
84,10084.00,5.31640243530273
85,10085.00,5.35162401199341
86,10086.00,5.11598014831543
87,10087.00,4.78720808029175
88,10088.00,4.4977970123291
89,10089.00,4.28613424301147
90,10090.00,4.11773777008057
91,10091.00,3.93750953674316
92,10092.00,3.72217202186584
93,10093.00,3.5019850730896
94,10094.00,3.33972811698914
95,10095.00,3.2926926612854
96,10096.00,3.3873143196106
97,10097.00,3.60855579376221
98,10098.00,3.89643788337708
99,10099.00,4.15728998184204
100,10100.00,4.30114889144897
101,10101.00,4.28857231140137
102,10102.00,4.14684581756592
103,10103.00,3.94170689582825
104,10104.00,3.73475098609924
105,10105.00,3.56110692024231
106,10106.00,3.43518280982971
107,10107.00,3.37211632728577
108,10108.00,3.40830874443054
109,10109.00,3.61113047599792
110,10110.00,4.07978534698486
111,10111.00,4.9404034614563
112,10112.00,6.31897068023682
113,10113.00,8.25932884216309
114,10114.00,10.5972490310669
115,10115.00,12.91810131073
116,10116.00,14.732253074646
117,10117.00,15.7367696762085
118,10118.00,15.8691568374634
119,10119.00,15.1568393707275
120,10120.00,13.6527309417725
121,10121.00,11.5642766952515
122,10122.00,9.32606887817383
123,10123.00,7.40641117095947
124,10124.00,6.05368852615356
125,10125.00,5.25276470184326
126,10126.00,4.82928276062012
127,10127.00,4.54448747634888
128,10128.00,4.17517328262329
129,10129.00,3.60976552963257
130,10130.00,2.88886880874634
131,10131.00,2.13685989379883
132,10132.00,1.46766030788422
133,10133.00,0.945111215114594
134,10134.00,0.583683490753174
135,10135.00,0.360695481300354
136,10136.00,0.236154213547707
137,10137.00,0.172912269830704
138,10138.00,0.146239906549454
139,10139.00,0.143583059310913
140,10140.00,0.161583065986633
141,10141.00,0.204629987478256
142,10142.00,0.285183608531952
143,10143.00,0.421885401010513
144,10144.00,0.624469757080078
145,10145.00,0.855192184448242
146,10146.00,1.00149714946747
147,10147.00,0.95039176940918
148,10148.00,0.725899815559387
149,10149.00,0.470124781131744
150,10150.00,0.287278831005096
151,10151.00,0.189539507031441
152,10152.00,0.151383683085442
153,10153.00,0.152867004275322
154,10154.00,0.186282441020012
155,10155.00,0.245782360434532
156,10156.00,0.312591820955276
157,10157.00,0.354016691446304
158,10158.00,0.348214685916901
159,10159.00,0.304127037525177
160,10160.00,0.24749818444252
161,10161.00,0.197390750050545
162,10162.00,0.159918442368507
163,10163.00,0.133896261453629
164,10164.00,0.116710014641285
165,10165.00,0.107166789472103
166,10166.00,0.106382817029953
167,10167.00,0.118353813886642
168,10168.00,0.151909291744232
169,10169.00,0.225677251815796
170,10170.00,0.377366244792938
171,10171.00,0.677494943141937
172,10172.00,1.24549055099487
173,10173.00,2.26584506034851
174,10174.00,4.00318288803101
175,10175.00,6.79861545562744
176,10176.00,10.9712934494019
177,10177.00,16.4871292114258
178,10178.00,22.389253616333
179,10179.00,26.5393085479736
180,10180.00,26.6365051269531
181,10181.00,22.2542591094971
182,10182.00,15.5505390167236
183,10183.00,9.40761756896973
184,10184.00,5.2924337387085
185,10185.00,3.08546447753906
186,10186.00,2.11810660362244
187,10187.00,1.90786588191986
188,10188.00,2.35553121566772
189,10189.00,3.82421040534973
190,10190.00,7.35130977630615
191,10191.00,14.8339385986328
192,10192.00,28.542366027832
193,10193.00,49.406120300293
194,10194.00,74.7498779296875
195,10195.00,97.3064041137695
196,10196.00,107.352439880371
197,10197.00,98.6021881103516
198,10198.00,74.2700881958008
199,10199.00,45.7930641174316
200,10200.00,23.6293144226074
201,10201.00,10.7507438659668
202,10202.00,4.67073154449463
203,10203.00,2.12669515609741
204,10204.00,1.10163009166718
205,10205.00,0.680185198783875
206,10206.00,0.50163608789444
207,10207.00,0.429223239421844
208,10208.00,0.411607563495636
209,10209.00,0.433460801839828
210,10210.00,0.499663144350052
211,10211.00,0.631543397903442
212,10212.00,0.866271018981934
213,10213.00,1.24861800670624
214,10214.00,1.79796707630157
215,10215.00,2.45041871070862
216,10216.00,3.03572368621826
217,10217.00,3.3671019077301
218,10218.00,3.38935160636902
219,10219.00,3.21935296058655
220,10220.00,3.04902148246765
221,10221.00,3.0470404624939
222,10222.00,3.34698510169983
223,10223.00,4.0917911529541
224,10224.00,5.47647380828857
225,10225.00,7.75548410415649
226,10226.00,11.2077331542969
227,10227.00,16.0811061859131
228,10228.00,22.5456409454346
229,10229.00,30.6369190216064
230,10230.00,40.1143569946289
231,10231.00,50.2014045715332
232,10232.00,59.3672294616699
233,10233.00,65.5215225219727
234,10234.00,66.8719177246094
235,10235.00,63.0369567871094
236,10236.00,55.4361534118652
237,10237.00,46.4826698303223
238,10238.00,38.3020362854004
239,10239.00,32.0183410644531
240,10240.00,27.8338108062744
241,10241.00,25.4401683807373
242,10242.00,24.3508853912354
243,10243.00,24.073694229126
244,10244.00,24.2106323242188
245,10245.00,24.5428466796875
246,10246.00,25.0699596405029
247,10247.00,25.9596576690674
248,10248.00,27.426212310791
249,10249.00,29.5930252075195
250,10250.00,32.3679885864258
251,10251.00,35.3436431884766
252,10252.00,37.7790641784668
253,10253.00,38.7781066894531
254,10254.00,37.7049942016602
255,10255.00,34.6010856628418
256,10256.00,30.1954708099365
257,10257.00,25.4438095092773
258,10258.00,21.0274391174316
259,10259.00,17.1991157531738
260,10260.00,13.940619468689
261,10261.00,11.1860084533691
262,10262.00,8.93359184265137
263,10263.00,7.22223520278931
264,10264.00,6.06316900253296
265,10265.00,5.41673278808594
266,10266.00,5.21674823760986
267,10267.00,5.39888906478882
268,10268.00,5.91227293014526
269,10269.00,6.72594022750854
270,10270.00,7.84676313400269
271,10271.00,9.3424186706543
272,10272.00,11.3345050811768
273,10273.00,13.9193620681763
274,10274.00,17.0023059844971
275,10275.00,20.1247882843018
276,10276.00,22.5025024414063
277,10277.00,23.4259757995605
278,10278.00,22.7469787597656
279,10279.00,20.9516487121582
280,10280.00,18.787015914917
281,10281.00,16.8695259094238
282,10282.00,15.5492324829102
283,10283.00,14.9629621505737
284,10284.00,15.1179141998291
285,10285.00,15.9212589263916
286,10286.00,17.1515502929688
287,10287.00,18.4326076507568
288,10288.00,19.3174495697021
289,10289.00,19.5288257598877
290,10290.00,19.1962051391602
291,10291.00,18.8391551971436
292,10292.00,19.1023273468018
293,10293.00,20.4762401580811
294,10294.00,23.0668678283691
295,10295.00,26.2775802612305
296,10296.00,28.5816268920898
297,10297.00,28.1234073638916
298,10298.00,24.2637977600098
299,10299.00,18.3624019622803
300,10300.00,12.5646657943726
301,10301.00,8.17791366577148
302,10302.00,5.36072301864624
303,10303.00,3.71809935569763
304,10304.00,2.81662559509277
305,10305.00,2.35993981361389
306,10306.00,2.18458580970764
307,10307.00,2.21679162979126
308,10308.00,2.43551445007324
309,10309.00,2.84071373939514
310,10310.00,3.41400241851807
311,10311.00,4.06670331954956
312,10312.00,4.6021556854248
313,10313.00,4.75714492797852
314,10314.00,4.35662126541138
315,10315.00,3.47569179534912
316,10316.00,2.41815948486328
317,10317.00,1.4999668598175
