#"+ESI Scan (rt: 7.103-9.000 min, 115 scans) Frag=250.0V NUDT7A_imp_0_9_c.d  Deconvoluted (Isotope Width=9.5)"
#Point,X(Daltons),Y(Counts)
0,10000.00,0.491839617490768
1,10001.00,0.948926389217377
2,10002.00,1.31049716472626
3,10003.00,1.49572885036469
4,10004.00,1.48996961116791
5,10005.00,1.36519384384155
6,10006.00,1.21895897388458
7,10007.00,1.11348235607147
8,10008.00,1.06707966327667
9,10009.00,1.07285845279694
10,10010.00,1.11589109897614
11,10011.00,1.18348562717438
12,10012.00,1.26942574977875
13,10013.00,1.37112510204315
14,10014.00,1.48061776161194
15,10015.00,1.57455849647522
16,10016.00,1.61208403110504
17,10017.00,1.54987382888794
18,10018.00,1.37208163738251
19,10019.00,1.11073064804077
20,10020.00,0.830667078495026
21,10021.00,0.589649796485901
22,10022.00,0.41212010383606
23,10023.00,0.293211460113525
24,10024.00,0.216264188289642
25,10025.00,0.165570646524429
26,10026.00,0.130835220217705
27,10027.00,0.106864020228386
28,10028.00,0.0916197448968887
29,10029.00,0.0845579728484154
30,10030.00,0.0861540734767914
31,10031.00,0.0985538139939308
32,10032.00,0.12706883251667
33,10033.00,0.182476788759232
34,10034.00,0.283465087413788
35,10035.00,0.455620288848877
36,10036.00,0.718472123146057
37,10037.00,1.05389535427094
38,10038.00,1.37459170818329
39,10039.00,1.54753422737122
40,10040.00,1.49354994297028
41,10041.00,1.26449310779572
42,10042.00,0.993350207805634
43,10043.00,0.786856412887573
44,10044.00,0.688273012638092
45,10045.00,0.711893260478973
46,10046.00,0.886592566967011
47,10047.00,1.27793729305267
48,10048.00,1.97455430030823
49,10049.00,3.02524828910828
50,10050.00,4.37335252761841
51,10051.00,5.8923168182373
52,10052.00,7.49911546707153
53,10053.00,9.16759014129639
54,10054.00,10.7773141860962
55,10055.00,11.9572820663452
56,10056.00,12.1849308013916
57,10057.00,11.2105541229248
58,10058.00,9.37629795074463
59,10059.00,7.37294006347656
60,10060.00,5.7356653213501
61,10061.00,4.64526557922363
62,10062.00,4.0506477355957
63,10063.00,3.82909965515137
64,10064.00,3.85674738883972
65,10065.00,4.01875114440918
66,10066.00,4.2125358581543
67,10067.00,4.36266136169434
68,10068.00,4.43149137496948
69,10069.00,4.40978240966797
70,10070.00,4.29719829559326
71,10071.00,4.09248685836792
72,10072.00,3.79739022254944
73,10073.00,3.42460060119629
74,10074.00,3.00224757194519
75,10075.00,2.57273435592651
76,10076.00,2.18310928344727
77,10077.00,1.86822247505188
78,10078.00,1.63743877410889
79,10079.00,1.47374212741852
80,10080.00,1.34341406822205
81,10081.00,1.21110856533051
82,10082.00,1.05494618415833
83,10083.00,0.873540043830872
84,10084.00,0.681767344474792
85,10085.00,0.501304566860199
86,10086.00,0.351263970136642
87,10087.00,0.240928947925568
88,10088.00,0.168182209134102
89,10089.00,0.124323144555092
90,10090.00,0.100130058825016
91,10091.00,0.0890002995729446
92,10092.00,0.0873647406697273
93,10093.00,0.0940046086907387
94,10094.00,0.109009183943272
95,10095.00,0.132125541567802
96,10096.00,0.160156905651093
97,10097.00,0.184740826487541
98,10098.00,0.194336727261543
99,10099.00,0.181884542107582
100,10100.00,0.15107199549675
101,10101.00,0.113253697752953
102,10102.00,0.0788716077804565
103,10103.00,0.0527047216892242
104,10104.00,0.034853607416153
105,10105.00,0.0235158838331699
106,10106.00,0.0167859066277742
107,10107.00,0.0132879484444857
108,10108.00,0.0123085370287299
109,10109.00,0.0139216836541891
110,10110.00,0.0193621255457401
111,10111.00,0.0316801145672798
112,10112.00,0.0558100044727325
113,10113.00,0.0952797904610634
114,10114.00,0.144253835082054
115,10115.00,0.184358224272728
116,10116.00,0.197842389345169
117,10117.00,0.183112844824791
118,10118.00,0.151794970035553
119,10119.00,0.116205953061581
120,10120.00,0.0837035104632378
121,10121.00,0.0576777532696724
122,10122.00,0.0391340106725693
123,10123.00,0.0273776408284903
124,10124.00,0.0208067521452904
125,10125.00,0.0178284347057343
126,10126.00,0.017313739284873
127,10127.00,0.0185240674763918
128,10128.00,0.0207859724760056
129,10129.00,0.0232035331428051
130,10130.00,0.0246865171939135
131,10131.00,0.0243868120014668
132,10132.00,0.0221787337213755
133,10133.00,0.0186669621616602
134,10134.00,0.0147375119850039
135,10135.00,0.011125098913908
136,10136.00,0.00825994089245796
137,10137.00,0.00630576629191637
138,10138.00,0.0052723023109138
139,10139.00,0.00518417125567794
140,10140.00,0.00633304100483656
141,10141.00,0.00972621701657772
142,10142.00,0.0179732255637646
143,10143.00,0.03650738671422
144,10144.00,0.0727936178445816
145,10145.00,0.127635911107063
146,10146.00,0.180346846580505
147,10147.00,0.19511616230011
148,10148.00,0.16076996922493
149,10149.00,0.105732284486294
150,10150.00,0.0612710155546665
151,10151.00,0.0358799435198307
152,10152.00,0.0244773644953966
153,10153.00,0.0215426832437515
154,10154.00,0.0251184441149235
155,10155.00,0.0368724949657917
156,10156.00,0.0617658533155918
157,10157.00,0.106137253344059
158,10158.00,0.171344071626663
159,10159.00,0.245113834738731
160,10160.00,0.302439272403717
161,10161.00,0.323036372661591
162,10162.00,0.308235704898834
163,10163.00,0.276910006999969
164,10164.00,0.249107778072357
165,10165.00,0.237462267279625
166,10166.00,0.249678626656532
167,10167.00,0.2950359582901
168,10168.00,0.391284078359604
169,10169.00,0.573060512542725
170,10170.00,0.904629707336426
171,10171.00,1.50017118453979
172,10172.00,2.55452632904053
173,10173.00,4.38094663619995
174,10174.00,7.42463064193726
175,10175.00,12.1559753417969
176,10176.00,18.690299987793
177,10177.00,26.1411151885986
178,10178.00,32.2931747436523
179,10179.00,34.5413360595703
180,10180.00,31.8312683105469
181,10181.00,25.5677871704102
182,10182.00,18.3945789337158
183,10183.00,12.3694267272949
184,10184.00,8.25479221343994
185,10185.00,5.90880298614502
186,10186.00,4.942711353302
187,10187.00,5.17790651321411
188,10188.00,6.94859933853149
189,10189.00,11.4990968704224
190,10190.00,21.5779876708984
191,10191.00,41.7039489746094
192,10192.00,76.703239440918
193,10193.00,127.549858093262
194,10194.00,186.285797119141
195,10195.00,234.665603637695
196,10196.00,251.364868164063
197,10197.00,226.778762817383
198,10198.00,172.490615844727
199,10199.00,112.459747314453
200,10200.00,64.9312973022461
201,10201.00,34.7000350952148
202,10202.00,18.0315093994141
203,10203.00,9.56545543670654
204,10204.00,5.41548442840576
205,10205.00,3.39937901496887
206,10206.00,2.43946146965027
207,10207.00,2.04422903060913
208,10208.00,2.01763606071472
209,10209.00,2.32849955558777
210,10210.00,3.06706166267395
211,10211.00,4.43470478057861
212,10212.00,6.70021390914917
213,10213.00,10.0205526351929
214,10214.00,14.076602935791
215,10215.00,17.7799415588379
216,10216.00,19.6241550445557
217,10217.00,18.7581958770752
218,10218.00,15.7263412475586
219,10219.00,11.957989692688
220,10220.00,8.66715717315674
221,10221.00,6.33485174179077
222,10222.00,4.90831756591797
223,10223.00,4.16600894927979
224,10224.00,3.9240026473999
225,10225.00,4.09743881225586
226,10226.00,4.71115303039551
227,10227.00,5.91138172149658
228,10228.00,7.98956346511841
229,10229.00,11.4089870452881
230,10230.00,16.8197765350342
231,10231.00,25.0546169281006
232,10232.00,37.0652885437012
233,10233.00,53.6024398803711
234,10234.00,74.3062744140625
235,10235.00,96.3745574951172
236,10236.00,114.382827758789
237,10237.00,123.080459594727
238,10238.00,121.43399810791
239,10239.00,113.251495361328
240,10240.00,103.795394897461
241,10241.00,96.5545120239258
242,10242.00,92.5025863647461
243,10243.00,90.8160095214844
244,10244.00,89.8147048950195
245,10245.00,87.8885879516602
246,10246.00,84.3289337158203
