#"+ESI Scan (rt: 6.718-8.998 min, 138 scans) Frag=250.0V blank16.d  Deconvoluted (Isotope Width=9.5)"
#Point,X(Daltons),Y(Counts)
0,10000.00,0.00057241169270128
1,10001.00,0.00243467860855162
2,10002.00,0.00671879015862942
3,10003.00,0.0136549193412066
4,10004.00,0.021484799683094
5,10005.00,0.0273924898356199
6,10006.00,0.0300292279571295
7,10007.00,0.0302767753601074
8,10008.00,0.0298135969787836
9,10009.00,0.0298353247344494
10,10010.00,0.0308746248483658
11,10011.00,0.0331379510462284
12,10012.00,0.0367806442081928
13,10013.00,0.0418499670922756
14,10014.00,0.0478111654520035
15,10015.00,0.0529486276209354
16,10016.00,0.0546040013432503
17,10017.00,0.051001250743866
18,10018.00,0.0431084558367729
19,10019.00,0.0339943766593933
20,10020.00,0.0264706537127495
21,10021.00,0.0218537393957376
22,10022.00,0.0204274300485849
23,10023.00,0.0223629493266344
24,10024.00,0.0281787905842066
25,10025.00,0.0383903831243515
26,10026.00,0.0524526163935661
27,10027.00,0.0683202892541885
28,10028.00,0.0841252133250237
29,10029.00,0.100391544401646
30,10030.00,0.119993463158607
31,10031.00,0.14626832306385
32,10032.00,0.181156396865845
33,10033.00,0.224416315555573
34,10034.00,0.275065034627914
35,10035.00,0.335413038730621
36,10036.00,0.415125995874405
37,10037.00,0.531630039215088
38,10038.00,0.704297304153442
39,10039.00,0.939350783824921
40,10040.00,1.2092672586441
41,10041.00,1.45358085632324
42,10042.00,1.62478172779083
43,10043.00,1.7378089427948
44,10044.00,1.8636429309845
45,10045.00,2.08811593055725
46,10046.00,2.48242568969727
47,10047.00,3.07525944709778
48,10048.00,3.79808664321899
49,10049.00,4.44402599334717
50,10050.00,4.75590419769287
51,10051.00,4.63449382781982
52,10052.00,4.22512340545654
53,10053.00,3.77162194252014
54,10054.00,3.44064450263977
55,10055.00,3.27028203010559
56,10056.00,3.19592595100403
57,10057.00,3.0931282043457
58,10058.00,2.84541940689087
59,10059.00,2.42627000808716
60,10060.00,1.92012369632721
61,10061.00,1.45075607299805
62,10062.00,1.09701955318451
63,10063.00,0.873280584812164
64,10064.00,0.759521961212158
65,10065.00,0.732890844345093
66,10066.00,0.782995700836182
67,10067.00,0.916977047920227
68,10068.00,1.1598916053772
69,10069.00,1.54580545425415
70,10070.00,2.08601880073547
71,10071.00,2.71139049530029
72,10072.00,3.23872876167297
73,10073.00,3.44748950004578
74,10074.00,3.24334931373596
75,10075.00,2.73640394210815
76,10076.00,2.14661073684692
77,10077.00,1.6542706489563
78,10078.00,1.33570778369904
79,10079.00,1.19255173206329
80,10080.00,1.2012687921524
81,10081.00,1.33139312267303
82,10082.00,1.52873146533966
83,10083.00,1.69680917263031
84,10084.00,1.73036348819733
85,10085.00,1.59700691699982
86,10086.00,1.36486852169037
87,10087.00,1.13273417949677
88,10088.00,0.957729160785675
89,10089.00,0.845873057842255
90,10090.00,0.775325119495392
91,10091.00,0.717787325382233
92,10092.00,0.653742015361786
93,10093.00,0.580910563468933
94,10094.00,0.510657429695129
95,10095.00,0.456449061632156
96,10096.00,0.425844639539719
97,10097.00,0.419672161340714
98,10098.00,0.433982908725739
99,10099.00,0.461272448301315
100,10100.00,0.49103194475174
101,10101.00,0.510833144187927
102,10102.00,0.508744120597839
103,10103.00,0.477763265371323
104,10104.00,0.421115517616272
105,10105.00,0.353039741516113
106,10106.00,0.291543573141098
107,10107.00,0.24950797855854
108,10108.00,0.232684880495071
109,10109.00,0.243942320346832
110,10110.00,0.287992864847183
111,10111.00,0.372893989086151
112,10112.00,0.505681753158569
113,10113.00,0.679136276245117
114,10114.00,0.854922473430634
115,10115.00,0.968490421772003
116,10116.00,0.974249064922333
117,10117.00,0.886597096920013
118,10118.00,0.759235262870789
119,10119.00,0.634654581546783
120,10120.00,0.524865806102753
121,10121.00,0.424728453159332
122,10122.00,0.330546349287033
123,10123.00,0.246952876448631
124,10124.00,0.18094690144062
125,10125.00,0.134586676955223
126,10126.00,0.104595728218555
127,10127.00,0.0858243703842163
128,10128.00,0.0737343356013298
129,10129.00,0.065080963075161
130,10130.00,0.0577609203755856
