f_name,intended_ratio,experiment,low_signal
180425_NUDT7A_p016_NUDT7A_p016_30min_1day,1.0,pre_xtal,False
180425_NUDT7A_p016_NUDT7A_p016_30min_1day_1_no_cov_9,0.9,pre_xtal,False
180425_NUDT7A_p016_NUDT7A_p016_30min_1day_2_no_cov_8,0.8,pre_xtal,False
180425_NUDT7A_p016_NUDT7A_p016_30min_1day_3_no_cov_7,0.7,pre_xtal,False
180425_NUDT7A_p016_NUDT7A_p016_30min_1day_4_no_cov_6,0.6,pre_xtal,False
180425_NUDT7A_p016_NUDT7A_p016_30min_1day_5_no_cov_5,0.5,pre_xtal,False
180425_NUDT7A_p016_NUDT7A_p016_30min_1day_6_no_cov_4,0.4,pre_xtal,False
180425_NUDT7A_p016_NUDT7A_p016_30min_1day_7_no_cov_3,0.3,pre_xtal,False
180425_NUDT7A_p016_NUDT7A_p016_30min_1day_8_no_cov_2,0.2,pre_xtal,False
180425_NUDT7A_p016_NUDT7A_p016_30min_1day_9_9_no_cov_0_1,0.01,pre_xtal,False
180425_NUDT7A_p016_NUDT7A_p016_30min_1day_9_no_cov_1,0.1,pre_xtal,False
180425_NUDT7A_p016_NUDT7A_p016_No_cov_1day,0.0,pre_xtal,False
190218_NUDT7A_p026_NUDT7A_p026_NU0000308a_30min_16ul,1.0,loading,False
190218_NUDT7A_p026_NUDT7A_p026_NU0000308a_30min_6ul,1.0,loading,False
190218_NUDT7A_p026_NUDT7A_p026_NU0000308a_70min_6ul,1.0,loading,False
"190220 : ""+ESI Scan (rt: 0.744-1.058 min, 20 scans) Frag=250.0V NUDT7A_p026_20L_80U.d  Deconvoluted (Isotope Width=10.5)""
",0.2,pre_xtal,False
"190220 : ""+ESI Scan (rt: 0.744-1.058 min, 20 scans) Frag=250.0V NUDT7A_p026_40L_60U.d  Deconvoluted (Isotope Width=10.5)""
",0.4,pre_xtal,False
"190220 : ""+ESI Scan (rt: 0.746-1.060 min, 20 scans) Frag=250.0V NUDT7A_p026_100L_0U.d  Deconvoluted (Isotope Width=10.5)""
",1.0,pre_xtal,False
"190220 : ""+ESI Scan (rt: 0.746-1.061 min, 20 scans) Frag=250.0V NUDT7A_p026_0L_100U.d  Deconvoluted (Isotope Width=10.5)""
",0.0,pre_xtal,False
"190220 : ""+ESI Scan (rt: 0.746-1.061 min, 20 scans) Frag=250.0V NUDT7A_p026_80L_20U.d  Deconvoluted (Isotope Width=10.5)""
",0.8,pre_xtal,False
"190220 : ""+ESI Scan (rt: 0.748-1.062 min, 20 scans) Frag=250.0V NUDT7A_p026_60L_40U.d  Deconvoluted (Isotope Width=10.5)""
",0.6,pre_xtal,False
"190220 : ""+ESI Scan (rt: 0.748-1.063 min, 20 scans) Frag=250.0V NUDT7A_p026_30L_70U.d  Deconvoluted (Isotope Width=10.5)""
",0.3,pre_xtal,False
"190220 : ""+ESI Scan (rt: 0.748-1.063 min, 20 scans) Frag=250.0V NUDT7A_p026_50L_50U.d  Deconvoluted (Isotope Width=10.5)""
",0.5,pre_xtal,False
"190220 : ""+ESI Scan (rt: 0.750-1.047 min, 19 scans) Frag=250.0V NUDT7A_p026_90L_10U.d  Deconvoluted (Isotope Width=10.5)""
",0.9,pre_xtal,False
"190220 : ""+ESI Scan (rt: 0.751-1.048 min, 19 scans) Frag=250.0V NUDT7A_p026_70L_30U.d  Deconvoluted (Isotope Width=10.5)""
",0.7,pre_xtal,False
"190220 : ""+ESI Scan (rt: 0.752-1.050 min, 19 scans) Frag=250.0V NUDT7A_p026_NU0000308a_post_gel_filtration.d  Deconvoluted (Isotope Width=10.5)""
",1.0,loading,False
"190220 : ""+ESI Scan (rt: 0.753-1.051 min, 19 scans) Frag=250.0V NUDT7A_p026_10L_90U.d  Deconvoluted (Isotope Width=10.5)""
",0.1,pre_xtal,False
"190220 : ""+ESI Scan (rt: 0.785-1.033 min, 16 scans) Frag=250.0V NUDT7A_p026_NU0000308a_post_gel_filtration.d  Deconvoluted (Isotope Width=10.4)""
",1.0,loading,False
"190225 : ""+ESI Scan (rt: 7.208-7.986 min, 48 scans) Frag=250.0V NUDT7A_p026_CI074433_H1a_single_xtal.d  Deconvoluted (Isotope Width=0.0)""
",0.1,crystal_mass_spec,False
"190225 : ""+ESI Scan (rt: 7.212-7.989 min, 48 scans) Frag=250.0V NUDT7A_p026_CI074433_H1c_single_xtal.d  Deconvoluted (Isotope Width=0.0)""
",0.1,crystal_mass_spec,False
"190225 : ""+ESI Scan (rt: 7.215-7.992 min, 48 scans) Frag=250.0V NUDT7A_p026_CI074433_H1d_multiple_xtal.d  Deconvoluted (Isotope Width=0.0)""
",0.1,crystal_mass_spec,False
"190225 : ""+ESI Scan (rt: 7.216-7.993 min, 48 scans) Frag=250.0V NUDT7A_p026_CI074433_H1a_multiple_xtal.d  Deconvoluted (Isotope Width=0.0)""
",0.1,crystal_mass_spec,False
"190225 : ""+ESI Scan (rt: 7.217-7.995 min, 48 scans) Frag=250.0V NUDT7A_p026_CI074433_H1c_multiple_xtal.d  Deconvoluted (Isotope Width=0.0)""
",0.1,crystal_mass_spec,False
"190227 : ""+ESI Scan (rt: 7.204-7.998 min, 49 scans) Frag=250.0V NUDT7A_p026_CI074437_D11c.d  Deconvoluted (Isotope Width=0.0)""
",0.75,crystal_mass_spec,False
