  Mounted Crystal ID ,  Crystal to be Mounted ,Expected Ratio
NUDT7A-x2074,CI074433-A05c,0
NUDT7A-x2075,CI074433-A05d,0
NUDT7A-x2076,CI074433-A06c,0
NUDT7A-x2162,CI074433-A08c,0
NUDT7A-x2077,CI074433-A09c,0
NUDT7A-x2163,CI074433-A10c,0
NUDT7A-x2164,CI074433-A10c,0
NUDT7A-x2231,CI074433-B11c,0
NUDT7A-x2185,CI074433-C09a,0
NUDT7A-x2186,CI074433-C10a,0
NUDT7A-x2187,CI074433-C11c,0
NUDT7A-x2078,CI074433-E01a,0.1
NUDT7A-x2079,CI074433-E02a,0.1
NUDT7A-x2152,CI074433-E03a,0.1
NUDT7A-x2080,CI074433-E03a,0.1
NUDT7A-x2153,CI074433-E05a,0.1
NUDT7A-x2081,CI074433-E05a,0.1
NUDT7A-x2166,CI074433-E09a,0.1
NUDT7A-x2167,CI074433-E09a,0.1
NUDT7A-x2165,CI074433-E09c,0.1
NUDT7A-x2188,CI074433-E10c,0.1
NUDT7A-x2190,CI074433-F02a,0.1
NUDT7A-x2189,CI074433-F03a,0.1
NUDT7A-x2168,CI074433-G04a,0.1
NUDT7A-x2169,CI074433-G04c,0.1
NUDT7A-x2170,CI074433-G04c,0.1
NUDT7A-x2171,CI074433-G04c,0.1
NUDT7A-x2191,CI074433-H03a,0.1
NUDT7A-x2154,CI074433-H09a,0.1
NUDT7A-x2184,CI074434-B01a,0.6
NUDT7A-x2155,CI074434-B01a,0.6
NUDT7A-x2156,CI074434-B01a,0.6
NUDT7A-x2158,CI074434-B01c,0.6
NUDT7A-x2159,CI074434-B01c,0.6
NUDT7A-x2157,CI074434-B01d,0.6
NUDT7A-x2106,CI074434-B06c,0.6
NUDT7A-x2107,CI074434-B07c,0.6
NUDT7A-x2108,CI074434-B08c,0.6
NUDT7A-x2109,CI074434-B10c,0.6
NUDT7A-x2210,CI074434-B12c,0.6
NUDT7A-x2211,CI074434-B12d,0.6
NUDT7A-x2208,CI074434-D05c,0.6
NUDT7A-x2209,CI074434-D06c,0.6
NUDT7A-x2110,CI074434-E01a,0.7
NUDT7A-x2111,CI074434-E01d,0.7
NUDT7A-x2160,CI074434-E02a,0.7
NUDT7A-x2161,CI074434-E02a,0.7
NUDT7A-x2112,CI074434-E02d,0.7
NUDT7A-x2113,CI074434-E03d,0.7
NUDT7A-x2212,CI074434-F02c,0.7
NUDT7A-x2213,CI074434-F03a,0.7
NUDT7A-x2214,CI074434-F05a,0.7
NUDT7A-x2215,CI074434-H05a,0.7
NUDT7A-x2228,CI074435-A05c,0.4
NUDT7A-x2089,CI074435-A05d,0.4
NUDT7A-x2090,CI074435-A05d,0.4
NUDT7A-x2091,CI074435-A09c,0.4
NUDT7A-x2229,CI074435-B05a,0.4
NUDT7A-x2092,CI074435-B05c,0.4
NUDT7A-x2181,CI074435-B06c,0.4
NUDT7A-x2182,CI074435-B06c,0.4
NUDT7A-x2183,CI074435-B06c,0.4
NUDT7A-x2093,CI074435-B09c,0.4
NUDT7A-x2137,CI074435-B10c,0.4
NUDT7A-x2138,CI074435-B12c,0.4
NUDT7A-x2230,CI074435-B12c,0.4
NUDT7A-x2232,CI074435-C05c,0.4
NUDT7A-x2139,CI074435-C06c,0.4
NUDT7A-x2140,CI074435-C10c,0.4
NUDT7A-x2141,CI074435-E04d,0.5
NUDT7A-x2142,CI074435-E05c,0.5
NUDT7A-x2143,CI074435-E05d,0.5
NUDT7A-x2144,CI074435-E06a,0.5
NUDT7A-x2227,CI074435-G01a,0.5
NUDT7A-x2094,CI074435-G04d,0.5
NUDT7A-x2095,CI074435-G05c,0.5
NUDT7A-x2096,CI074435-G05d,0.5
NUDT7A-x2097,CI074435-G06c,0.5
NUDT7A-x2224,CI074435-G11a,0.5
NUDT7A-x2225,CI074435-H09a,0.5
NUDT7A-x2226,CI074435-H09a,0.5
NUDT7A-x2082,CI074436-A05c,0.2
NUDT7A-x2145,CI074436-A08c,0.2
NUDT7A-x2192,CI074436-A09a,0.2
NUDT7A-x2146,CI074436-A09c,0.2
NUDT7A-x2147,CI074436-A10c,0.2
NUDT7A-x2193,CI074436-B03a,0.2
NUDT7A-x2148,CI074436-B10c,0.2
NUDT7A-x2083,CI074436-B10c,0.2
NUDT7A-x2084,CI074436-B11c,0.2
