Solubilisation Well,Pin,Mounting well,Ratio
A11a,SS150E0007,CI074438_B6c,0.8
A11c,SS150E0118,CI074438_B6c,0.8
A11d,SS100D0127,CI074435_G11a,0.7
B11a,SS200F0019,CI074435_H9a,0.7
B11c,SS0075C0188,CI074435_H9a,0.7
D10c,SF150E0097,CI074433_C9a,0
D10d,SS150E0052,CI074436_H1a,0.3
E10c,SS150E0057,Ci074433_C10a,0
F10a,SF150E0032,CI074436_C12a,0.2
F10c,SF150E0032,CI074436_C12a,0.2
F10d,SF150E0034,CI074436_C4a,0.2
G10a,SF150E0009,,
G10c,SF150E0036,CI074436_F6a,0.3
G10d,SF150E0078,CI074433_B11c,0
H10a,SF150E0025,CI074438_F4c,0.9
H10c,SS150E0021,CI074438_B6c,0.8
H10d,SS150E0120,CI074438_B6a,0.8
